key,city,competition,date,gender,match_type,neutral_venue,overs,player_of_match,venue
apl0001,Sharjah,Afghanistan Premier League,2018-10-05,male,T20,,20,LJ Evans,Sharjah Cricket Stadium
apl0002,Sharjah,Afghanistan Premier League,2018-10-06,male,T20,,20,RN ten Doeschate,Sharjah Cricket Stadium
apl0003,Sharjah,Afghanistan Premier League,2018-10-06,male,T20,,20,BCJ Cutting,Sharjah Cricket Stadium
apl0004,Sharjah,Afghanistan Premier League,2018-10-07,male,T20,,20,Gulbadin Naib,Sharjah Cricket Stadium
apl0005,Sharjah,Afghanistan Premier League,2018-10-07,male,T20,,20,BCJ Cutting,Sharjah Cricket Stadium
apl0006,Sharjah,Afghanistan Premier League,2018-10-09,male,T20,,20,Hazratullah,Sharjah Cricket Stadium
apl0007,Sharjah,Afghanistan Premier League,2018-10-10,male,T20,,20,CS Delport,Sharjah Cricket Stadium
apl0008,Sharjah,Afghanistan Premier League,2018-10-11,male,T20,,20,Mirwais Ashraf,Sharjah Cricket Stadium
apl0009,Sharjah,Afghanistan Premier League,2018-10-11,male,T20,,20,Shahidullah,Sharjah Cricket Stadium
apl0010,Sharjah,Afghanistan Premier League,2018-10-12,male,T20,,20,Rahmat Shah,Sharjah Cricket Stadium
apl0011,Sharjah,Afghanistan Premier League,2018-10-12,male,T20,,20,I Udana,Sharjah Cricket Stadium
apl0012,Sharjah,Afghanistan Premier League,2018-10-13,male,T20,,20,Karim Janat,Sharjah Cricket Stadium
apl0013,Sharjah,Afghanistan Premier League,2018-10-13,male,T20,,20,RN ten Doeschate,Sharjah Cricket Stadium
apl0014,Sharjah,Afghanistan Premier League,2018-10-14,male,T20,,20,Mohammad Shahzad,Sharjah Cricket Stadium
apl0015,Sharjah,Afghanistan Premier League,2018-10-14,male,T20,,20,CH Gayle,Sharjah Cricket Stadium
apl0016,Sharjah,Afghanistan Premier League,2018-10-16,male,T20,,20,Rashid Khan,Sharjah Cricket Stadium
apl0017,Sharjah,Afghanistan Premier League,2018-10-17,male,T20,,20,Asghar Stanikzai,Sharjah Cricket Stadium
apl0018,Sharjah,Afghanistan Premier League,2018-10-17,male,T20,,20,ADS Fletcher,Sharjah Cricket Stadium
apl0019,Sharjah,Afghanistan Premier League,2018-10-18,male,T20,,20,Mohammad Shahzad,Sharjah Cricket Stadium
apl0020,Sharjah,Afghanistan Premier League,2018-10-18,male,T20,,20,CH Gayle,Sharjah Cricket Stadium
apl0021,Sharjah,Afghanistan Premier League,2018-10-19,male,T20,,20,Mohammad Nabi,Sharjah Cricket Stadium
apl0022,Sharjah,Afghanistan Premier League,2018-10-20,male,T20,,20,Rashid Khan,Sharjah Cricket Stadium
apl0023,Sharjah,Afghanistan Premier League,2018-10-21,male,T20,,20,Qais Ahmad,Sharjah Cricket Stadium
