key,inning_no,batting_team,delivery_no,batter,bowler,non_striker,runs_batter,runs_extras,runs_non_boundary,runs_total,wicket_fielder,wicket_kind,wicket_player_out,extras_type,extras_run,over,ball
apl0001,1,Paktia Panthers,0.1,Mohammad Shahzad,WD Parnell,Ihsanullah,0,0,0,0,,,,,,0,1
apl0001,1,Paktia Panthers,0.2,Mohammad Shahzad,WD Parnell,Ihsanullah,0,1,0,1,,,,wides,1.0,0,2
apl0001,1,Paktia Panthers,0.3,Mohammad Shahzad,WD Parnell,Ihsanullah,0,0,0,0,,,,,,0,2
apl0001,1,Paktia Panthers,0.4,Mohammad Shahzad,WD Parnell,Ihsanullah,0,0,0,0,,,,,,0,3
apl0001,1,Paktia Panthers,0.5,Mohammad Shahzad,WD Parnell,Ihsanullah,0,0,0,0,,,,,,0,4
apl0001,1,Paktia Panthers,0.6,Mohammad Shahzad,WD Parnell,Ihsanullah,0,0,0,0,,,,,,0,5
apl0001,1,Paktia Panthers,0.7,Mohammad Shahzad,WD Parnell,Ihsanullah,0,1,0,1,,,,wides,1.0,0,6
apl0001,1,Paktia Panthers,0.8,Mohammad Shahzad,WD Parnell,Ihsanullah,0,0,0,0,,,,,,0,6
apl0001,1,Paktia Panthers,1.1,Ihsanullah,Ali Khan,Mohammad Shahzad,1,0,0,1,,,,,,1,1
apl0001,1,Paktia Panthers,1.2,Mohammad Shahzad,Ali Khan,Ihsanullah,4,0,0,4,,,,,,1,2
apl0001,1,Paktia Panthers,1.3,Mohammad Shahzad,Ali Khan,Ihsanullah,4,0,0,4,,,,,,1,3
apl0001,1,Paktia Panthers,1.4,Mohammad Shahzad,Ali Khan,Ihsanullah,0,0,0,0,,,,,,1,4
apl0001,1,Paktia Panthers,1.5,Mohammad Shahzad,Ali Khan,Ihsanullah,0,0,0,0,,,,,,1,5
apl0001,1,Paktia Panthers,1.6,Mohammad Shahzad,Ali Khan,Ihsanullah,4,0,0,4,,,,,,1,6
apl0001,1,Paktia Panthers,2.1,Ihsanullah,WD Parnell,Mohammad Shahzad,1,0,0,1,,,,,,2,1
apl0001,1,Paktia Panthers,2.2,Mohammad Shahzad,WD Parnell,Ihsanullah,6,0,0,6,,,,,,2,2
apl0001,1,Paktia Panthers,2.3,Mohammad Shahzad,WD Parnell,Ihsanullah,0,0,0,0,,,,,,2,3
apl0001,1,Paktia Panthers,2.4,Mohammad Shahzad,WD Parnell,Ihsanullah,0,0,0,0,,,,,,2,4
apl0001,1,Paktia Panthers,2.5,Mohammad Shahzad,WD Parnell,Ihsanullah,0,0,0,0,,,,,,2,5
apl0001,1,Paktia Panthers,2.6,Mohammad Shahzad,WD Parnell,Ihsanullah,1,0,0,1,,,,,,2,6
apl0001,1,Paktia Panthers,3.1,Mohammad Shahzad,Zahir Shehzad,Ihsanullah,1,0,0,1,,,,,,3,1
apl0001,1,Paktia Panthers,3.2,Ihsanullah,Zahir Shehzad,Mohammad Shahzad,0,0,0,0,,,,,,3,2
apl0001,1,Paktia Panthers,3.3,Ihsanullah,Zahir Shehzad,Mohammad Shahzad,1,0,0,1,,,,,,3,3
apl0001,1,Paktia Panthers,3.4,Mohammad Shahzad,Zahir Shehzad,Ihsanullah,4,0,0,4,,,,,,3,4
apl0001,1,Paktia Panthers,3.5,Mohammad Shahzad,Zahir Shehzad,Ihsanullah,0,0,0,0,,,,,,3,5
apl0001,1,Paktia Panthers,3.6,Mohammad Shahzad,Zahir Shehzad,Ihsanullah,1,0,0,1,,,,,,3,6
apl0001,1,Paktia Panthers,4.1,Mohammad Shahzad,Ali Khan,Ihsanullah,4,0,0,4,,,,,,4,1
apl0001,1,Paktia Panthers,4.2,Mohammad Shahzad,Ali Khan,Ihsanullah,1,0,0,1,,,,,,4,2
apl0001,1,Paktia Panthers,4.3,Ihsanullah,Ali Khan,Mohammad Shahzad,4,0,0,4,,,,,,4,3
apl0001,1,Paktia Panthers,4.4,Ihsanullah,Ali Khan,Mohammad Shahzad,0,0,0,0,,,,,,4,4
apl0001,1,Paktia Panthers,4.5,Ihsanullah,Ali Khan,Mohammad Shahzad,4,0,0,4,,,,,,4,5
apl0001,1,Paktia Panthers,4.6,Ihsanullah,Ali Khan,Mohammad Shahzad,4,0,0,4,,,,,,4,6
apl0001,1,Paktia Panthers,5.1,Mohammad Shahzad,Zahir Shehzad,Ihsanullah,0,0,0,0,,,,,,5,1
apl0001,1,Paktia Panthers,5.2,Mohammad Shahzad,Zahir Shehzad,Ihsanullah,0,0,0,0,,,,,,5,2
apl0001,1,Paktia Panthers,5.3,Mohammad Shahzad,Zahir Shehzad,Ihsanullah,4,0,0,4,,,,,,5,3
apl0001,1,Paktia Panthers,5.4,Mohammad Shahzad,Zahir Shehzad,Ihsanullah,0,0,0,0,,,,,,5,4
apl0001,1,Paktia Panthers,5.5,Mohammad Shahzad,Zahir Shehzad,Ihsanullah,1,0,0,1,,,,,,5,5
apl0001,1,Paktia Panthers,5.6,Ihsanullah,Zahir Shehzad,Mohammad Shahzad,1,0,0,1,,,,,,5,6
apl0001,1,Paktia Panthers,6.1,Ihsanullah,Fareed Ahmad,Mohammad Shahzad,1,0,0,1,,,,,,6,1
apl0001,1,Paktia Panthers,6.2,Mohammad Shahzad,Fareed Ahmad,Ihsanullah,1,0,0,1,,,,,,6,2
apl0001,1,Paktia Panthers,6.3,Ihsanullah,Fareed Ahmad,Mohammad Shahzad,6,0,0,6,,,,,,6,3
apl0001,1,Paktia Panthers,6.4,Ihsanullah,Fareed Ahmad,Mohammad Shahzad,1,0,0,1,,,,,,6,4
apl0001,1,Paktia Panthers,6.5,Mohammad Shahzad,Fareed Ahmad,Ihsanullah,4,0,0,4,,,,,,6,5
apl0001,1,Paktia Panthers,6.6,Mohammad Shahzad,Fareed Ahmad,Ihsanullah,0,0,0,0,,,,,,6,6
