key,by_innings,by_type,by_margin,bowl_out,eliminator,method,result,winner
apl0001,,wickets,3,,,,,Kabul Zwanan
apl0002,,wickets,8,,,,,Balkh Legends
apl0003,,wickets,6,,,,,Nangarhar Leopards
apl0004,,runs,13,,,,,Balkh Legends
apl0005,,runs,21,,,,,Paktia Panthers
apl0006,,wickets,7,,,,,Kabul Zwanan
apl0007,,runs,37,,,,,Paktia Panthers
apl0008,,runs,25,,,,,Balkh Legends
apl0009,,runs,2,,,,,Kabul Zwanan
apl0010,,runs,15,,,,,Nangarhar Leopards
apl0011,,runs,9,,,,,Paktia Panthers
apl0012,,runs,26,,,,,Kandahar Knights
apl0013,,runs,89,,,,,Balkh Legends
apl0014,,wickets,7,,,,,Paktia Panthers
apl0015,,runs,21,,,,,Balkh Legends
apl0016,,wickets,4,,,,,Kabul Zwanan
apl0017,,wickets,4,,,,,Kandahar Knights
apl0018,,wickets,6,,,,,Nangarhar Leopards
apl0019,,wickets,6,,,,,Paktia Panthers
apl0020,,wickets,6,,,,,Balkh Legends
apl0021,,runs,171,,,,,Balkh Legends
apl0022,,runs,90,,,,,Kabul Zwanan
apl0023,,wickets,4,,,,,Balkh Legends
