key,toss_winner,toss_decision,decision,winner
apl0001,,,field,Kabul Zwanan
apl0002,,,field,Balkh Legends
apl0003,,,bat,Kandahar Knights
apl0004,,,field,Kandahar Knights
apl0005,,,bat,Paktia Panthers
apl0006,,,field,Kabul Zwanan
apl0007,,,field,Balkh Legends
apl0008,,,field,Nangarhar Leopards
apl0009,,,field,Kandahar Knights
apl0010,,,field,Kabul Zwanan
apl0011,,,bat,Paktia Panthers
apl0012,,,bat,Kandahar Knights
apl0013,,,bat,Balkh Legends
apl0014,,,bat,Nangarhar Leopards
apl0015,,,bat,Balkh Legends
apl0016,,,field,Kabul Zwanan
apl0017,,,bat,Paktia Panthers
apl0018,,,bat,Balkh Legends
apl0019,,,bat,Kabul Zwanan
apl0020,,,field,Balkh Legends
apl0021,,,bat,Balkh Legends
apl0022,,,bat,Kabul Zwanan
apl0023,,,bat,Kabul Zwanan
