key,umpire
apl0001,Bismillah Shinwari
apl0001,Izatullah Safi
apl0002,Bismillah Shinwari
apl0002,Izatullah Safi
apl0003,Ahmed Shah Pakteen
apl0003,Farooq Khan
apl0004,Ahmed Shah Pakteen
apl0004,Izatullah Safi
apl0005,Bismillah Shinwari
apl0005,Farooq Khan
apl0006,Ahmed Shah Pakteen
apl0006,AK Chaudhary
apl0007,AK Chaudhary
apl0007,Bismillah Shinwari
apl0008,AK Chaudhary
apl0008,Bismillah Shinwari
apl0009,Ahmed Shah Durrani
apl0009,Ahmed Shah Pakteen
apl0010,AK Chaudhary
apl0010,Izatullah Safi
apl0011,AK Chaudhary
apl0011,Bismillah Shinwari
apl0012,Ahmed Shah Durrani
apl0012,AK Chaudhary
apl0013,Ahmed Shah Pakteen
apl0013,Bismillah Shinwari
apl0014,AK Chaudhary
apl0014,Bismillah Shinwari
apl0015,Ahmed Shah Pakteen
apl0015,AK Chaudhary
apl0016,Ahmed Shah Pakteen
apl0016,AK Chaudhary
apl0017,AK Chaudhary
apl0017,Izatullah Safi
apl0018,Ahmed Shah Pakteen
apl0018,Bismillah Shinwari
apl0019,AK Chaudhary
apl0019,Bismillah Shinwari
apl0020,Ahmed Shah Durrani
apl0020,Ahmed Shah Pakteen
apl0021,Ahmed Shah Pakteen
apl0021,AK Chaudhary
apl0022,AK Chaudhary
apl0022,Bismillah Shinwari
apl0023,Ahmed Shah Pakteen
apl0023,AK Chaudhary
