key,date
bbl0001,2011-12-16
bbl0002,2011-12-17
bbl0003,2011-12-18
bbl0004,2011-12-18
bbl0005,2011-12-20
bbl0006,2011-12-21
bbl0007,2011-12-22
bbl0008,2011-12-23
bbl0009,2011-12-27
bbl0010,2011-12-28
bbl0011,2011-12-29
bbl0012,2011-12-30
bbl0013,2012-01-01
bbl0014,2012-01-02
bbl0015,2012-01-04
bbl0016,2012-01-08
bbl0017,2012-01-08
bbl0018,2012-01-09
bbl0019,2012-01-10
bbl0020,2012-01-12
bbl0021,2012-01-17
bbl0022,2012-01-18
bbl0023,2012-01-18
bbl0024,2012-01-19
bbl0025,2012-01-21
bbl0026,2012-01-22
bbl0027,2012-01-28
bbl0028,2012-12-07
bbl0029,2012-12-08
bbl0030,2012-12-09
bbl0031,2012-12-09
bbl0032,2012-12-12
bbl0033,2012-12-13
bbl0034,2012-12-14
bbl0035,2012-12-15
bbl0036,2012-12-16
bbl0037,2012-12-18
bbl0038,2012-12-19
bbl0039,2012-12-20
bbl0040,2012-12-22
bbl0041,2012-12-23
bbl0042,2012-12-26
bbl0043,2012-12-27
bbl0044,2012-12-28
bbl0045,2012-12-29
bbl0046,2012-12-30
bbl0047,2013-01-02
bbl0048,2013-01-04
bbl0049,2013-01-06
bbl0050,2013-01-07
bbl0051,2013-01-08
bbl0052,2013-01-10
bbl0053,2013-01-19
bbl0054,2013-02-04
bbl0055,2013-02-05
bbl0056,2013-12-20
bbl0057,2013-12-21
bbl0058,2013-12-22
bbl0059,2013-12-22
bbl0060,2013-12-26
bbl0061,2013-12-27
bbl0062,2013-12-28
bbl0063,2013-12-29
bbl0064,2013-12-30
bbl0065,2014-01-01
bbl0066,2014-01-01
bbl0067,2014-01-02
bbl0068,2014-01-03
bbl0069,2014-01-04
bbl0070,2014-01-05
bbl0071,2014-01-07
bbl0072,2014-01-08
bbl0073,2014-01-09
bbl0074,2014-01-10
bbl0075,2014-01-11
bbl0076,2014-01-11
bbl0077,2014-01-14
bbl0078,2014-01-15
bbl0079,2014-01-16
bbl0080,2014-01-18
bbl0081,2014-01-18
bbl0082,2014-01-21
bbl0083,2014-01-22
bbl0084,2014-01-23
bbl0085,2014-01-25
bbl0086,2014-01-27
bbl0087,2014-02-04
bbl0088,2014-02-05
bbl0089,2014-02-07
bbl0090,2014-12-18
bbl0091,2014-12-19
bbl0092,2014-12-20
bbl0093,2014-12-21
bbl0094,2014-12-22
bbl0095,2014-12-23
bbl0096,2014-12-26
bbl0097,2014-12-27
bbl0098,2014-12-28
bbl0099,2014-12-29
bbl0100,2014-12-30
bbl0101,2014-12-31
bbl0102,2015-01-01
bbl0103,2015-01-02
bbl0104,2015-01-03
bbl0105,2015-01-04
bbl0106,2015-01-05
bbl0107,2015-01-06
bbl0108,2015-01-07
bbl0109,2015-01-08
bbl0110,2015-01-10
bbl0111,2015-01-11
bbl0112,2015-01-11
bbl0113,2015-01-12
bbl0114,2015-01-13
bbl0115,2015-01-14
bbl0116,2015-01-15
bbl0117,2015-01-17
bbl0118,2015-01-19
bbl0119,2015-01-21
bbl0120,2015-01-22
bbl0121,2015-01-24
bbl0122,2015-01-25
bbl0123,2015-01-28
bbl0124,2015-12-18
bbl0125,2015-12-19
bbl0126,2015-12-20
bbl0127,2015-12-21
bbl0128,2015-12-22
bbl0129,2015-12-23
bbl0130,2015-12-26
bbl0131,2015-12-27
bbl0132,2015-12-28
bbl0133,2015-12-29
bbl0134,2015-12-30
bbl0135,2015-12-31
bbl0136,2016-01-01
bbl0137,2016-01-02
bbl0138,2016-01-02
bbl0139,2016-01-03
bbl0140,2016-01-04
bbl0141,2016-01-05
bbl0142,2016-01-06
bbl0143,2016-01-07
bbl0144,2016-01-08
bbl0145,2016-01-09
bbl0146,2016-01-10
bbl0147,2016-01-10
bbl0148,2016-01-11
bbl0149,2016-01-13
bbl0150,2016-01-14
bbl0151,2016-01-16
bbl0152,2016-01-18
bbl0153,2016-01-21
bbl0154,2016-01-22
bbl0155,2016-01-24
