key,city,competition,date,gender,match_type,neutral_venue,overs,player_of_match,venue
bbl0001,,Big Bash League,2011-12-16,male,T20,,20,BJ Haddin,Sydney Cricket Ground
bbl0002,,Big Bash League,2011-12-17,male,T20,,20,DA Warner,Melbourne Cricket Ground
bbl0003,Perth,Big Bash League,2011-12-18,male,T20,,20,BW Hilfenhaus,Western Australia Cricket Association Ground
bbl0004,,Big Bash League,2011-12-18,male,T20,,20,M Klinger,Adelaide Oval
bbl0005,Brisbane,Big Bash League,2011-12-20,male,T20,,20,RJ Quiney,"Brisbane Cricket Ground, Woolloongabba"
bbl0006,Hobart,Big Bash League,2011-12-21,male,T20,,20,TR Birt,Bellerive Oval
bbl0007,Melbourne,Big Bash League,2011-12-22,male,T20,,20,SE Marsh,Docklands Stadium
bbl0008,Sydney,Big Bash League,2011-12-23,male,T20,,20,CH Gayle,Stadium Australia
bbl0009,,Big Bash League,2011-12-27,male,T20,,20,DJ Bravo,Sydney Cricket Ground
bbl0010,,Big Bash League,2011-12-28,male,T20,,20,XJ Doherty,Adelaide Oval
bbl0011,Perth,Big Bash League,2011-12-29,male,T20,,20,MJ North,Western Australia Cricket Association Ground
bbl0012,Sydney,Big Bash League,2011-12-30,male,T20,,20,Shahid Afridi,Stadium Australia
bbl0013,Hobart,Big Bash League,2012-01-01,male,T20,,20,Naved-ul-Hasan,Bellerive Oval
bbl0014,Melbourne,Big Bash League,2012-01-02,male,T20,,20,AB McDonald,Docklands Stadium
bbl0015,,Big Bash League,2012-01-04,male,T20,,20,HH Gibbs,Melbourne Cricket Ground
bbl0016,Perth,Big Bash League,2012-01-08,male,T20,,20,GB Hogg,Western Australia Cricket Association Ground
bbl0017,Sydney,Big Bash League,2012-01-08,male,T20,,20,MA Starc,Stadium Australia
bbl0018,Hobart,Big Bash League,2012-01-09,male,T20,,20,LJ Wright,Bellerive Oval
bbl0019,,Big Bash League,2012-01-10,male,T20,,20,SNJ O'Keefe,Adelaide Oval
bbl0020,Melbourne,Big Bash League,2012-01-12,male,T20,,20,DL Vettori,Docklands Stadium
bbl0021,Brisbane,Big Bash League,2012-01-17,male,T20,,20,DT Christian,"Brisbane Cricket Ground, Woolloongabba"
bbl0022,,Big Bash League,2012-01-18,male,T20,,20,MA Starc,Sydney Cricket Ground
bbl0023,Hobart,Big Bash League,2012-01-18,male,T20,,20,OA Shah,Bellerive Oval
bbl0024,,Big Bash League,2012-01-19,male,T20,,20,CJ McKay,Melbourne Cricket Ground
bbl0025,Perth,Big Bash League,2012-01-21,male,T20,,20,MR Marsh,Western Australia Cricket Association Ground
bbl0026,Hobart,Big Bash League,2012-01-22,male,T20,,20,NJ Maddinson,Bellerive Oval
bbl0027,Perth,Big Bash League,2012-01-28,male,T20,,20,MC Henriques,Western Australia Cricket Association Ground
bbl0028,Melbourne,Big Bash League,2012-12-07,male,T20,,20,AJ Finch,Docklands Stadium
bbl0029,,Big Bash League,2012-12-08,male,T20,,20,BJ Haddin,Sydney Cricket Ground
bbl0030,Perth,Big Bash League,2012-12-09,male,T20,,20,PJ Hughes,Western Australia Cricket Association Ground
bbl0031,Brisbane,Big Bash League,2012-12-09,male,T20,,20,TR Birt,"Brisbane Cricket Ground, Woolloongabba"
bbl0032,Perth,Big Bash League,2012-12-12,male,T20,,20,SL Malinga,Western Australia Cricket Association Ground
bbl0033,,Big Bash League,2012-12-13,male,T20,,20,LA Pomersbach,Adelaide Oval
bbl0034,Sydney,Big Bash League,2012-12-14,male,T20,,20,AW O'Brien,Stadium Australia
bbl0035,,Big Bash League,2012-12-15,male,T20,,20,CJ McKay,Melbourne Cricket Ground
bbl0036,,Big Bash League,2012-12-16,male,T20,,20,MA Beer,Sydney Cricket Ground
bbl0037,Brisbane,Big Bash League,2012-12-18,male,T20,,20,NM Coulter-Nile,"Brisbane Cricket Ground, Woolloongabba"
bbl0038,Melbourne,Big Bash League,2012-12-19,male,T20,,20,MN Samuels,Docklands Stadium
bbl0039,Sydney,Big Bash League,2012-12-20,male,T20,,20,KW Richardson,Stadium Australia
bbl0040,Melbourne,Big Bash League,2012-12-22,male,T20,,20,BCJ Cutting,Docklands Stadium
bbl0041,,Big Bash League,2012-12-23,male,T20,,20,TP Ludeman,Adelaide Oval
bbl0042,,Big Bash League,2012-12-26,male,T20,,20,RT Ponting,Sydney Cricket Ground
bbl0043,,Big Bash League,2012-12-27,male,T20,,20,BJ Hodge,Adelaide Oval
bbl0044,Sydney,Big Bash League,2012-12-28,male,T20,,20,DT Christian,Stadium Australia
bbl0045,Perth,Big Bash League,2012-12-29,male,T20,,20,SE Marsh,Western Australia Cricket Association Ground
bbl0046,Sydney,Big Bash League,2012-12-30,male,T20,,20,DP Hughes,Stadium Australia
bbl0047,Melbourne,Big Bash League,2013-01-02,male,T20,,20,M Muralitharan,Docklands Stadium
bbl0048,Perth,Big Bash League,2013-01-04,male,T20,,20,JP Behrendorff,Western Australia Cricket Association Ground
bbl0049,,Big Bash League,2013-01-06,male,T20,,20,AJ Finch,Melbourne Cricket Ground
bbl0050,Brisbane,Big Bash League,2013-01-07,male,T20,,20,MJ Lumb,"Brisbane Cricket Ground, Woolloongabba"
bbl0051,,Big Bash League,2013-01-08,male,T20,,20,CH Gayle,Melbourne Cricket Ground
bbl0052,,Big Bash League,2013-01-10,male,T20,,20,SE Marsh,Adelaide Oval
bbl0053,Perth,Big Bash League,2013-01-19,male,T20,,20,NM Hauritz,Western Australia Cricket Association Ground
bbl0054,Melbourne,Big Bash League,2013-02-04,male,T20,,20,LA Pomersbach,Docklands Stadium
bbl0055,Perth,Big Bash League,2013-02-05,male,T20,,20,SE Marsh,Western Australia Cricket Association Ground
bbl0056,,Big Bash League,2013-12-20,male,T20,,20,LJ Wright,Melbourne Cricket Ground
bbl0057,,Big Bash League,2013-12-21,male,T20,,20,NJ Maddinson,Sydney Cricket Ground
bbl0058,Brisbane,Big Bash League,2013-12-22,male,T20,,20,CA Lynn,"Brisbane Cricket Ground, Woolloongabba"
bbl0059,Hobart,Big Bash League,2013-12-22,male,T20,,20,,Bellerive Oval
bbl0060,Perth,Big Bash League,2013-12-26,male,T20,,20,Yasir Arafat,Western Australia Cricket Association Ground
bbl0061,Sydney,Big Bash League,2013-12-27,male,T20,,20,MEK Hussey,Stadium Australia
bbl0062,Brisbane,Big Bash League,2013-12-28,male,T20,,20,BR Dunk,"Brisbane Cricket Ground, Woolloongabba"
bbl0063,,Big Bash League,2013-12-29,male,T20,,20,GJ Maxwell,Sydney Cricket Ground
bbl0064,Melbourne,Big Bash League,2013-12-30,male,T20,,20,AJ Finch,Docklands Stadium
bbl0065,Sydney,Big Bash League,2014-01-01,male,T20,,20,BJ Hodge,Stadium Australia
bbl0066,Hobart,Big Bash League,2014-01-01,male,T20,,20,JL Pattinson,Bellerive Oval
bbl0067,Brisbane,Big Bash League,2014-01-02,male,T20,,20,B Lee,"Brisbane Cricket Ground, Woolloongabba"
bbl0068,Perth,Big Bash League,2014-01-03,male,T20,,20,SM Katich,Western Australia Cricket Association Ground
bbl0069,Melbourne,Big Bash League,2014-01-04,male,T20,,20,CL White,Docklands Stadium
bbl0070,,Big Bash League,2014-01-05,male,T20,,20,MJ Lumb,Adelaide Oval
bbl0071,Perth,Big Bash League,2014-01-07,male,T20,,20,NM Coulter-Nile,Western Australia Cricket Association Ground
bbl0072,Sydney,Big Bash League,2014-01-08,male,T20,,20,CA Lynn,Stadium Australia
bbl0073,,Big Bash League,2014-01-09,male,T20,,20,JP Faulkner,Melbourne Cricket Ground
bbl0074,,Big Bash League,2014-01-10,male,T20,,20,Yasir Arafat,Sydney Cricket Ground
bbl0075,Brisbane,Big Bash League,2014-01-11,male,T20,,20,LJ Wright,"Brisbane Cricket Ground, Woolloongabba"
bbl0076,Hobart,Big Bash League,2014-01-11,male,T20,,20,BR Dunk,Bellerive Oval
bbl0077,Melbourne,Big Bash League,2014-01-14,male,T20,,20,GS Sandhu,Docklands Stadium
bbl0078,,Big Bash League,2014-01-15,male,T20,,20,SPD Smith,Sydney Cricket Ground
bbl0079,Perth,Big Bash League,2014-01-16,male,T20,,20,CJ Simmons,Western Australia Cricket Association Ground
bbl0080,Melbourne,Big Bash League,2014-01-18,male,T20,,20,MC Henriques,Docklands Stadium
bbl0081,,Big Bash League,2014-01-18,male,T20,,20,DL Vettori,Adelaide Oval
bbl0082,,Big Bash League,2014-01-21,male,T20,,20,LJ Wright,Melbourne Cricket Ground
bbl0083,,Big Bash League,2014-01-22,male,T20,,20,DJ Bravo,Adelaide Oval
bbl0084,Hobart,Big Bash League,2014-01-23,male,T20,,20,BR Dunk,Bellerive Oval
bbl0085,Sydney,Big Bash League,2014-01-25,male,T20,,20,NM Lyon,Stadium Australia
bbl0086,,Big Bash League,2014-01-27,male,T20,,20,JW Hastings,Melbourne Cricket Ground
bbl0087,,Big Bash League,2014-02-04,male,T20,,20,CJ Boyce,Melbourne Cricket Ground
bbl0088,,Big Bash League,2014-02-05,male,T20,,20,CJ Simmons,Sydney Cricket Ground
bbl0089,Perth,Big Bash League,2014-02-07,male,T20,,20,GB Hogg,Western Australia Cricket Association Ground
bbl0090,,Big Bash League,2014-12-18,male,T20,,20,TP Ludeman,Adelaide Oval
bbl0091,,Big Bash League,2014-12-19,male,T20,,20,NJ Maddinson,Sydney Cricket Ground
bbl0092,,Big Bash League,2014-12-20,male,T20,,20,DJG Sammy,Melbourne Cricket Ground
bbl0093,Sydney,Big Bash League,2014-12-21,male,T20,,20,JH Kallis,Stadium Australia
bbl0094,Perth,Big Bash League,2014-12-22,male,T20,,20,JP Behrendorff,Western Australia Cricket Association Ground
bbl0095,Hobart,Big Bash League,2014-12-23,male,T20,,20,MC Henriques,Bellerive Oval
bbl0096,Perth,Big Bash League,2014-12-26,male,T20,,20,M Klinger,Western Australia Cricket Association Ground
bbl0097,Sydney,Big Bash League,2014-12-27,male,T20,,20,AC Blizzard,Stadium Australia
bbl0098,Brisbane,Big Bash League,2014-12-28,male,T20,,20,RM Duffield,"Brisbane Cricket Ground, Woolloongabba"
bbl0099,,Big Bash League,2014-12-29,male,T20,,20,AJ Tye,Sydney Cricket Ground
bbl0100,Melbourne,Big Bash League,2014-12-30,male,T20,,20,JL Pattinson,Docklands Stadium
bbl0101,,Big Bash League,2014-12-31,male,T20,,20,TP Ludeman,Adelaide Oval
bbl0102,Perth,Big Bash League,2015-01-01,male,T20,,20,JH Kallis,Western Australia Cricket Association Ground
bbl0103,Hobart,Big Bash League,2015-01-02,male,T20,,20,TD Paine,Bellerive Oval
bbl0104,Melbourne,Big Bash League,2015-01-03,male,T20,,20,MA Beer,Docklands Stadium
bbl0105,Brisbane,Big Bash League,2015-01-04,male,T20,,20,TM Head,"Brisbane Cricket Ground, Woolloongabba"
bbl0106,,Big Bash League,2015-01-05,male,T20,,20,JP Faulkner,Melbourne Cricket Ground
bbl0107,,Big Bash League,2015-01-06,male,T20,,20,GB Hogg,Adelaide Oval
bbl0108,Hobart,Big Bash League,2015-01-07,male,T20,,20,BA Stokes,Bellerive Oval
bbl0109,Perth,Big Bash League,2015-01-08,male,T20,,20,MA Carberry,Western Australia Cricket Association Ground
bbl0110,,Big Bash League,2015-01-10,male,T20,,20,GJ Maxwell,Melbourne Cricket Ground
