key,data_version,created,revision
bbl0001,0.91,2017-04-24,1
bbl0002,0.91,2017-04-23,2
bbl0003,0.91,2017-04-23,2
bbl0004,0.91,2017-04-23,1
bbl0005,0.91,2017-04-23,1
bbl0006,0.91,2017-04-24,1
bbl0007,0.91,2017-04-23,1
bbl0008,0.91,2017-04-23,2
bbl0009,0.91,2017-04-24,1
bbl0010,0.91,2017-04-24,1
bbl0011,0.91,2017-04-23,2
bbl0012,0.91,2017-04-24,2
bbl0013,0.91,2017-04-23,2
bbl0014,0.91,2017-04-23,1
bbl0015,0.91,2017-04-28,1
bbl0016,0.91,2017-04-28,2
bbl0017,0.91,2017-04-23,2
bbl0018,0.91,2017-04-23,1
bbl0019,0.91,2017-04-23,1
bbl0020,0.91,2017-04-23,1
bbl0021,0.91,2017-04-23,2
bbl0022,0.91,2017-04-29,1
bbl0023,0.91,2017-04-29,1
bbl0024,0.91,2017-04-23,1
bbl0025,0.91,2017-04-28,2
bbl0026,0.91,2017-04-29,1
bbl0027,0.91,2017-04-29,2
bbl0028,0.91,2017-04-21,1
bbl0029,0.91,2017-04-21,1
bbl0030,0.91,2017-04-21,2
bbl0031,0.91,2017-04-21,1
bbl0032,0.91,2017-04-21,2
bbl0033,0.91,2017-04-21,1
bbl0034,0.91,2017-04-21,2
bbl0035,0.91,2017-04-21,1
bbl0036,0.91,2017-04-21,2
bbl0037,0.91,2017-04-21,1
bbl0038,0.91,2017-04-21,1
bbl0039,0.91,2017-04-21,2
bbl0040,0.91,2017-04-21,1
bbl0041,0.91,2017-04-22,1
bbl0042,0.91,2017-04-21,1
bbl0043,0.91,2017-04-22,1
bbl0044,0.91,2017-04-22,2
bbl0045,0.91,2017-04-22,2
bbl0046,0.91,2017-04-22,2
bbl0047,0.91,2017-04-21,1
bbl0048,0.91,2017-04-22,3
bbl0049,0.91,2017-04-22,1
bbl0050,0.91,2017-04-22,1
bbl0051,0.91,2017-04-22,1
bbl0052,0.91,2017-04-22,1
bbl0053,0.91,2017-04-22,1
bbl0054,0.91,2017-04-22,1
bbl0055,0.91,2017-04-22,1
bbl0056,0.91,2017-04-20,1
bbl0057,0.91,2017-04-20,1
bbl0058,0.91,2017-04-20,1
bbl0059,0.91,2017-04-20,1
bbl0060,0.91,2017-04-20,1
bbl0061,0.91,2017-04-20,1
bbl0062,0.91,2017-04-20,1
bbl0063,0.91,2017-04-20,1
bbl0064,0.91,2017-04-20,1
bbl0065,0.91,2017-04-20,2
bbl0066,0.91,2017-04-20,1
bbl0067,0.91,2017-04-20,1
bbl0068,0.91,2017-04-20,1
bbl0069,0.91,2017-04-20,1
bbl0070,0.91,2017-04-20,1
bbl0071,0.91,2017-04-20,1
bbl0072,0.91,2017-04-20,1
bbl0073,0.91,2017-04-20,1
bbl0074,0.91,2017-04-20,1
bbl0075,0.91,2017-04-20,1
bbl0076,0.91,2017-04-20,1
bbl0077,0.91,2017-04-20,1
bbl0078,0.91,2017-04-20,1
bbl0079,0.91,2017-04-20,1
bbl0080,0.91,2017-04-20,1
bbl0081,0.91,2017-04-20,1
bbl0082,0.91,2017-04-20,1
bbl0083,0.91,2017-04-20,1
bbl0084,0.91,2017-04-20,1
bbl0085,0.91,2017-04-20,1
bbl0086,0.91,2017-04-20,1
bbl0087,0.91,2017-04-20,1
bbl0088,0.91,2017-04-20,1
bbl0089,0.91,2017-04-20,1
bbl0090,0.91,2017-04-19,1
bbl0091,0.91,2017-04-19,1
bbl0092,0.91,2017-04-19,1
bbl0093,0.91,2017-04-19,1
bbl0094,0.91,2017-04-19,1
bbl0095,0.91,2017-04-19,1
bbl0096,0.91,2017-04-19,1
bbl0097,0.91,2017-04-19,1
bbl0098,0.91,2017-04-19,1
bbl0099,0.91,2017-04-19,1
bbl0100,0.91,2017-04-19,1
bbl0101,0.91,2017-04-19,1
bbl0102,0.91,2017-04-19,1
bbl0103,0.91,2017-04-19,1
