key,by_innings,by_type,by_margin,bowl_out,eliminator,method,result,winner
bbl0001,,wickets,7.0,,,,,Sydney Sixers
bbl0002,,wickets,6.0,,,,,Sydney Thunder
bbl0003,,runs,31.0,,,,,Hobart Hurricanes
bbl0004,,runs,67.0,,,,,Adelaide Strikers
bbl0005,,runs,8.0,,,,,Melbourne Stars
bbl0006,,runs,42.0,,,,,Hobart Hurricanes
bbl0007,,wickets,8.0,,,,,Perth Scorchers
bbl0008,,wickets,6.0,,,,,Sydney Thunder
bbl0009,,runs,2.0,,,,,Sydney Sixers
bbl0010,,runs,14.0,,,,,Hobart Hurricanes
bbl0011,,runs,10.0,,,,,Perth Scorchers
bbl0012,,runs,6.0,,,,,Melbourne Renegades
bbl0013,,wickets,5.0,,,,,Hobart Hurricanes
bbl0014,,wickets,8.0,,,,,Melbourne Renegades
bbl0015,,runs,8.0,,,,,Perth Scorchers
bbl0016,,runs,42.0,,,,,Perth Scorchers
bbl0017,,runs,17.0,,,D/L,,Sydney Sixers
bbl0018,,runs,19.0,,,,,Melbourne Stars
bbl0019,,runs,64.0,,,,,Sydney Sixers
bbl0020,,runs,12.0,,,,,Brisbane Heat
bbl0021,,runs,91.0,,,,,Brisbane Heat
bbl0022,,runs,1.0,,,,,Sydney Sixers
bbl0023,,wickets,7.0,,,,,Hobart Hurricanes
bbl0024,,wickets,6.0,,,,,Melbourne Stars
bbl0025,,runs,11.0,,,,,Perth Scorchers
bbl0026,,runs,7.0,,,,,Sydney Sixers
bbl0027,,wickets,7.0,,,,,Sydney Sixers
bbl0028,,wickets,8.0,,,,,Melbourne Renegades
bbl0029,,wickets,7.0,,,,,Sydney Sixers
bbl0030,,wickets,6.0,,,,,Adelaide Strikers
bbl0031,,wickets,8.0,,,,,Hobart Hurricanes
bbl0032,,runs,24.0,,,D/L,,Melbourne Stars
bbl0033,,wickets,3.0,,,,,Brisbane Heat
bbl0034,,wickets,5.0,,,,,Melbourne Renegades
bbl0035,,wickets,4.0,,,,,Melbourne Stars
bbl0036,,wickets,7.0,,,,,Perth Scorchers
bbl0037,,wickets,9.0,,,D/L,,Perth Scorchers
bbl0038,,wickets,7.0,,,,,Melbourne Renegades
bbl0039,,runs,51.0,,,,,Adelaide Strikers
bbl0040,,wickets,6.0,,,,,Melbourne Renegades
