key,player_of_match
bbl0001,BJ Haddin
bbl0002,DA Warner
bbl0003,BW Hilfenhaus
bbl0004,M Klinger
bbl0005,RJ Quiney
bbl0006,TR Birt
bbl0007,SE Marsh
bbl0008,CH Gayle
bbl0009,DJ Bravo
bbl0010,XJ Doherty
bbl0011,MJ North
bbl0012,Shahid Afridi
bbl0013,Naved-ul-Hasan
bbl0014,AB McDonald
bbl0015,HH Gibbs
bbl0016,GB Hogg
bbl0017,MA Starc
bbl0018,LJ Wright
bbl0019,SNJ O'Keefe
bbl0020,DL Vettori
bbl0021,DT Christian
bbl0022,MA Starc
bbl0023,OA Shah
bbl0024,CJ McKay
bbl0025,MR Marsh
bbl0026,NJ Maddinson
bbl0027,MC Henriques
bbl0028,AJ Finch
bbl0029,BJ Haddin
bbl0030,PJ Hughes
bbl0031,TR Birt
bbl0032,SL Malinga
bbl0033,LA Pomersbach
bbl0034,AW O'Brien
bbl0035,CJ McKay
bbl0036,MA Beer
bbl0037,NM Coulter-Nile
bbl0038,MN Samuels
bbl0039,KW Richardson
bbl0040,BCJ Cutting
bbl0041,TP Ludeman
bbl0042,RT Ponting
bbl0043,BJ Hodge
bbl0044,DT Christian
bbl0045,SE Marsh
bbl0046,DP Hughes
bbl0047,M Muralitharan
bbl0048,JP Behrendorff
bbl0049,AJ Finch
bbl0050,MJ Lumb
bbl0051,CH Gayle
bbl0052,SE Marsh
bbl0053,NM Hauritz
bbl0054,LA Pomersbach
bbl0055,SE Marsh
bbl0056,LJ Wright
bbl0057,NJ Maddinson
bbl0058,CA Lynn
bbl0060,Yasir Arafat
bbl0061,MEK Hussey
bbl0062,BR Dunk
bbl0063,GJ Maxwell
bbl0064,AJ Finch
bbl0065,BJ Hodge
bbl0066,JL Pattinson
bbl0067,B Lee
bbl0068,SM Katich
bbl0069,CL White
bbl0070,MJ Lumb
bbl0071,NM Coulter-Nile
bbl0072,CA Lynn
bbl0073,JP Faulkner
bbl0074,Yasir Arafat
bbl0075,LJ Wright
bbl0076,BR Dunk
bbl0077,GS Sandhu
bbl0078,SPD Smith
bbl0079,CJ Simmons
bbl0080,MC Henriques
bbl0081,DL Vettori
bbl0082,LJ Wright
bbl0083,DJ Bravo
bbl0084,BR Dunk
bbl0085,NM Lyon
bbl0086,JW Hastings
bbl0087,CJ Boyce
bbl0088,CJ Simmons
bbl0089,GB Hogg
bbl0090,TP Ludeman
bbl0091,NJ Maddinson
bbl0092,DJG Sammy
bbl0093,JH Kallis
bbl0094,JP Behrendorff
bbl0095,MC Henriques
bbl0096,M Klinger
bbl0097,AC Blizzard
bbl0098,RM Duffield
bbl0099,AJ Tye
bbl0100,JL Pattinson
bbl0101,TP Ludeman
bbl0102,JH Kallis
bbl0103,TD Paine
bbl0104,MA Beer
bbl0105,TM Head
bbl0106,JP Faulkner
bbl0107,GB Hogg
bbl0108,BA Stokes
bbl0109,MA Carberry
bbl0110,GJ Maxwell
bbl0111,DE Bollinger
bbl0112,JP Behrendorff
bbl0114,Shakib Al Hasan
bbl0115,J Botha
bbl0116,CA Lynn
bbl0117,KP Pietersen
bbl0118,TM Head
bbl0119,PSP Handscomb
bbl0120,JC Silk
bbl0121,NJ Maddinson
bbl0122,AJ Tye
bbl0123,SE Marsh
bbl0124,AI Ross
bbl0125,AJ Finch
bbl0126,BJ Haddin
bbl0127,AU Rashid
bbl0128,TD Paine
bbl0129,MJ Lumb
bbl0130,DJ Willey
bbl0131,GJ Maxwell
bbl0132,JH Kallis
bbl0133,CA Lynn
bbl0134,M Klinger
bbl0135,TM Head
bbl0136,SW Tait
bbl0137,DJ Willey
bbl0138,LJ Wright
bbl0139,CA Lynn
bbl0140,CP Tremain
bbl0141,TM Head
bbl0142,GJ Maxwell
bbl0143,CT Bancroft
bbl0144,DPMD Jayawardene
bbl0145,MP Stoinis
bbl0146,JA Burns
bbl0147,MA Carberry
bbl0148,CL White
bbl0149,AU Rashid
bbl0150,S Badree
bbl0151,SR Watson
bbl0152,TM Head
bbl0153,UT Khawaja
bbl0154,KP Pietersen
bbl0155,UT Khawaja
bbl0156,MC Henriques
bbl0157,BB McCullum
bbl0158,AJ Finch
bbl0159,AJ Turner
bbl0160,DJM Short
bbl0161,RJ Quiney
bbl0162,J Botha
bbl0163,CA Lynn
bbl0164,M Klinger
bbl0165,CA Lynn
bbl0166,SA Abbott
bbl0167,MR Marsh
bbl0168,GB Hogg
bbl0169,DT Christian
bbl0170,DP Hughes
bbl0171,EJG Morgan
bbl0172,CA Lynn
bbl0173,BR Dunk
bbl0174,A Zampa
bbl0175,SR Watson
bbl0176,BJ Haddin
bbl0177,BW Hilfenhaus
bbl0178,M Klinger
bbl0179,BR McDermott
bbl0180,MA Beer
bbl0181,Fawad Ahmed
bbl0182,MS Harris
bbl0183,MJ Swepson
bbl0184,IS Sodhi
