key,toss_winner,toss_decision,decision,winner
bbl0001,,,bat,Brisbane Heat
bbl0002,,,field,Sydney Thunder
bbl0003,,,bat,Hobart Hurricanes
bbl0004,,,field,Melbourne Renegades
bbl0005,,,bat,Melbourne Stars
bbl0006,,,bat,Hobart Hurricanes
bbl0007,,,bat,Melbourne Renegades
bbl0008,,,bat,Adelaide Strikers
bbl0009,,,bat,Sydney Sixers
bbl0010,,,bat,Hobart Hurricanes
bbl0011,,,bat,Perth Scorchers
bbl0012,,,bat,Melbourne Renegades
bbl0013,,,bat,Sydney Thunder
bbl0014,,,bat,Sydney Sixers
bbl0015,,,bat,Perth Scorchers
bbl0016,,,bat,Perth Scorchers
bbl0017,,,bat,Sydney Sixers
bbl0018,,,bat,Melbourne Stars
bbl0019,,,bat,Sydney Sixers
bbl0020,,,bat,Brisbane Heat
bbl0021,,,field,Sydney Thunder
bbl0022,,,bat,Sydney Sixers
bbl0023,,,bat,Melbourne Renegades
bbl0024,,,bat,Adelaide Strikers
bbl0025,,,bat,Perth Scorchers
bbl0026,,,bat,Sydney Sixers
bbl0027,,,bat,Perth Scorchers
bbl0028,,,bat,Melbourne Stars
bbl0029,,,field,Sydney Sixers
bbl0030,,,bat,Perth Scorchers
bbl0031,,,bat,Brisbane Heat
bbl0032,,,field,Melbourne Stars
bbl0033,,,field,Brisbane Heat
bbl0034,,,field,Melbourne Renegades
bbl0035,,,field,Melbourne Stars
bbl0036,,,field,Perth Scorchers
bbl0037,,,field,Perth Scorchers
bbl0038,,,field,Melbourne Renegades
bbl0039,,,field,Sydney Thunder
bbl0040,,,bat,Brisbane Heat
bbl0041,,,bat,Sydney Sixers
bbl0042,,,field,Hobart Hurricanes
bbl0043,,,bat,Melbourne Stars
bbl0044,,,bat,Sydney Thunder
bbl0045,,,field,Melbourne Renegades
bbl0046,,,bat,Sydney Thunder
bbl0047,,,field,Adelaide Strikers
bbl0048,,,bat,Sydney Thunder
bbl0049,,,bat,Melbourne Stars
bbl0050,,,bat,Brisbane Heat
