key,date
bpl0001,2012-02-11
bpl0002,2012-02-12
bpl0003,2012-02-14
bpl0004,2012-02-14
bpl0005,2012-02-16
bpl0006,2012-02-18
bpl0007,2012-02-18
bpl0008,2012-02-19
bpl0009,2012-02-19
bpl0010,2012-02-20
bpl0011,2012-02-22
bpl0012,2012-02-24
bpl0013,2012-02-24
bpl0014,2012-02-25
bpl0015,2012-02-26
bpl0016,2012-02-27
bpl0017,2012-02-29
bpl0018,2013-01-18
bpl0019,2013-01-18
bpl0020,2013-01-19
bpl0021,2013-01-20
bpl0022,2013-01-20
bpl0023,2013-01-22
bpl0024,2013-01-23
bpl0025,2013-01-23
bpl0026,2013-01-24
bpl0027,2013-01-24
bpl0028,2013-01-25
bpl0029,2013-01-25
bpl0030,2013-01-28
bpl0031,2013-01-29
bpl0032,2013-01-31
bpl0033,2013-01-31
bpl0034,2013-02-01
bpl0035,2013-02-02
bpl0036,2013-02-02
bpl0037,2013-02-04
bpl0038,2013-02-04
bpl0039,2013-02-05
bpl0040,2013-02-07
bpl0041,2013-02-07
bpl0042,2013-02-08
bpl0043,2013-02-09
bpl0044,2013-02-09
bpl0045,2013-02-11
bpl0046,2013-02-11
bpl0047,2013-02-12
bpl0048,2013-02-12
bpl0049,2013-02-13
bpl0050,2013-02-13
bpl0051,2013-02-14
bpl0052,2013-02-14
bpl0053,2013-02-15
bpl0054,2013-02-18
bpl0055,2013-02-19
bpl0056,2015-11-22
bpl0057,2015-11-23
bpl0058,2015-11-24
bpl0059,2015-11-24
bpl0060,2015-11-25
bpl0061,2015-11-25
bpl0062,2015-11-26
bpl0063,2015-11-26
bpl0064,2015-11-27
bpl0065,2015-11-27
bpl0066,2015-11-30
bpl0067,2015-11-30
bpl0068,2015-12-01
bpl0069,2015-12-01
bpl0070,2015-12-02
bpl0071,2015-12-02
bpl0072,2015-12-03
bpl0073,2015-12-06
bpl0074,2015-12-06
bpl0075,2015-12-07
bpl0076,2015-12-07
bpl0077,2015-12-08
bpl0078,2015-12-08
bpl0079,2015-12-09
bpl0080,2015-12-09
bpl0081,2015-12-10
bpl0082,2015-12-10
bpl0083,2015-12-12
bpl0084,2015-12-12
bpl0085,2015-12-13
bpl0086,2015-12-15
bpl0087,2016-11-08
bpl0088,2016-11-08
bpl0089,2016-11-09
bpl0090,2016-11-09
bpl0091,2016-11-10
bpl0092,2016-11-11
bpl0093,2016-11-11
bpl0094,2016-11-12
bpl0095,2016-11-12
bpl0096,2016-11-13
bpl0097,2016-11-13
bpl0098,2016-11-13
bpl0099,2016-11-13
bpl0100,2016-11-17
bpl0101,2016-11-17
bpl0102,2016-11-18
bpl0103,2016-11-18
bpl0104,2016-11-19
bpl0105,2016-11-19
bpl0106,2016-11-20
bpl0107,2016-11-21
bpl0108,2016-11-21
bpl0109,2016-11-22
bpl0110,2016-11-22
bpl0111,2016-11-25
bpl0112,2016-11-25
bpl0113,2016-11-26
bpl0114,2016-11-26
bpl0115,2016-11-27
bpl0116,2016-11-27
bpl0117,2016-11-28
bpl0118,2016-11-29
bpl0119,2016-11-29
bpl0120,2016-11-30
bpl0121,2016-11-30
bpl0122,2016-12-01
bpl0123,2016-12-02
bpl0124,2016-12-03
bpl0125,2016-12-03
bpl0126,2016-12-04
bpl0127,2016-12-04
bpl0128,2016-12-06
bpl0129,2016-12-06
bpl0130,2016-12-07
bpl0131,2016-12-09
bpl0132,2017-11-04
bpl0133,2017-11-04
bpl0134,2017-11-05
bpl0135,2017-11-05
bpl0136,2017-11-07
bpl0137,2017-11-07
bpl0138,2017-11-08
bpl0139,2017-11-08
bpl0140,2017-11-11
bpl0141,2017-11-11
bpl0142,2017-11-12
bpl0143,2017-11-12
bpl0144,2017-11-14
bpl0145,2017-11-14
bpl0146,2017-11-17
bpl0147,2017-11-17
bpl0148,2017-11-18
bpl0149,2017-11-18
bpl0150,2017-11-20
bpl0151,2017-11-20
bpl0152,2017-11-21
bpl0153,2017-11-21
bpl0154,2017-11-24
bpl0155,2017-11-24
bpl0156,2017-11-25
bpl0157,2017-11-25
bpl0158,2017-11-27
bpl0159,2017-11-27
bpl0160,2017-11-28
bpl0161,2017-11-28
bpl0162,2017-11-29
bpl0163,2017-11-29
bpl0164,2017-12-02
bpl0165,2017-12-02
bpl0166,2017-12-03
bpl0167,2017-12-03
bpl0168,2017-12-05
bpl0169,2017-12-05
bpl0170,2017-12-06
bpl0171,2017-12-06
bpl0172,2017-12-08
bpl0173,2017-12-08
bpl0174,2017-12-10
bpl0174,2017-12-11
bpl0175,2017-12-12
bpl0176,2019-01-05
bpl0177,2019-01-05
bpl0178,2019-01-06
bpl0179,2019-01-06
bpl0180,2019-01-08
bpl0181,2019-01-08
bpl0182,2019-01-09
bpl0183,2019-01-09
bpl0184,2019-01-11
bpl0185,2019-01-11
bpl0186,2019-01-12
bpl0187,2019-01-12
bpl0188,2019-01-13
bpl0189,2019-01-15
bpl0190,2019-01-15
bpl0191,2019-01-16
bpl0192,2019-01-16
bpl0193,2019-01-18
bpl0194,2019-01-18
bpl0195,2019-01-19
bpl0196,2019-01-19
bpl0197,2019-01-21
bpl0198,2019-01-21
bpl0199,2019-01-22
bpl0200,2019-01-22
bpl0201,2019-01-23
bpl0202,2019-01-23
bpl0203,2019-01-25
bpl0204,2019-01-25
bpl0205,2019-01-26
bpl0206,2019-01-26
bpl0207,2019-01-28
bpl0208,2019-01-28
bpl0209,2019-01-29
bpl0210,2019-01-29
bpl0211,2019-01-30
bpl0212,2019-01-30
bpl0213,2019-02-01
bpl0214,2019-02-01
bpl0215,2019-02-02
bpl0216,2019-02-02
bpl0217,2019-02-04
bpl0218,2019-02-04
bpl0219,2019-02-06
bpl0220,2019-02-08
bpl0221,2019-12-11
bpl0222,2019-12-11
bpl0223,2019-12-12
bpl0224,2019-12-12
bpl0225,2019-12-13
bpl0226,2019-12-13
bpl0227,2019-12-14
bpl0228,2019-12-14
bpl0229,2019-12-17
bpl0230,2019-12-17
bpl0231,2019-12-18
bpl0232,2019-12-18
bpl0233,2019-12-20
bpl0234,2019-12-20
bpl0235,2019-12-21
bpl0236,2019-12-21
bpl0237,2019-12-23
bpl0238,2019-12-23
bpl0239,2019-12-24
bpl0240,2019-12-24
bpl0241,2019-12-27
bpl0242,2019-12-27
bpl0243,2019-12-28
bpl0244,2019-12-28
bpl0245,2019-12-30
bpl0246,2019-12-30
bpl0247,2019-12-31
bpl0248,2019-12-31
bpl0249,2020-01-02
bpl0250,2020-01-02
bpl0251,2020-01-03
bpl0252,2020-01-03
bpl0253,2020-01-04
bpl0254,2020-01-04
bpl0255,2020-01-07
bpl0256,2020-01-07
bpl0257,2020-01-08
bpl0258,2020-01-08
bpl0259,2020-01-10
bpl0260,2020-01-10
bpl0261,2020-01-11
bpl0262,2020-01-11
bpl0263,2020-01-13
bpl0264,2020-01-13
bpl0265,2020-01-15
bpl0266,2020-01-17
bpl0267,2022-01-21
bpl0268,2022-01-21
bpl0269,2022-01-22
bpl0270,2022-01-22
bpl0271,2022-01-24
bpl0272,2022-01-24
bpl0273,2022-01-25
bpl0274,2022-01-25
bpl0275,2022-01-28
bpl0276,2022-01-28
bpl0277,2022-01-29
bpl0278,2022-01-29
bpl0279,2022-01-31
bpl0280,2022-01-31
bpl0281,2022-02-01
