key,city,competition,date,gender,match_type,neutral_venue,overs,player_of_match,venue
bpl0001,Dhaka,Bangladesh Premier League,2012-02-11,male,T20,,20,Ahmed Shehzad,"Shere Bangla National Stadium, Mirpur"
bpl0002,Dhaka,Bangladesh Premier League,2012-02-12,male,T20,,20,Nasir Jamshed,"Shere Bangla National Stadium, Mirpur"
bpl0003,Dhaka,Bangladesh Premier League,2012-02-14,male,T20,,20,Azhar Mahmood,"Shere Bangla National Stadium, Mirpur"
bpl0004,Dhaka,Bangladesh Premier League,2012-02-14,male,T20,,20,MN Samuels,"Shere Bangla National Stadium, Mirpur"
bpl0005,Dhaka,Bangladesh Premier League,2012-02-16,male,T20,,20,Nasir Jamshed,"Shere Bangla National Stadium, Mirpur"
bpl0006,Chattogram,Bangladesh Premier League,2012-02-18,male,T20,,20,Saqlain Sajib,"Zahur Ahmed Chowdhury Stadium, Chittagong"
bpl0007,Chattogram,Bangladesh Premier League,2012-02-18,male,T20,,20,AD Russell,"Zahur Ahmed Chowdhury Stadium, Chittagong"
bpl0008,Chattogram,Bangladesh Premier League,2012-02-19,male,T20,,20,BJ Hodge,"Zahur Ahmed Chowdhury Stadium, Chittagong"
bpl0009,Chattogram,Bangladesh Premier League,2012-02-19,male,T20,,20,S Chanderpaul,"Zahur Ahmed Chowdhury Stadium, Chittagong"
bpl0010,Chattogram,Bangladesh Premier League,2012-02-20,male,T20,,20,Junaid Siddique,"Zahur Ahmed Chowdhury Stadium, Chittagong"
bpl0011,Chattogram,Bangladesh Premier League,2012-02-22,male,T20,,20,Mominul Haque,"Zahur Ahmed Chowdhury Stadium, Chittagong"
bpl0012,Dhaka,Bangladesh Premier League,2012-02-24,male,T20,,20,Sohail Tanvir,"Shere Bangla National Stadium, Mirpur"
bpl0013,Dhaka,Bangladesh Premier League,2012-02-24,male,T20,,20,DJ Bravo,"Shere Bangla National Stadium, Mirpur"
bpl0014,Dhaka,Bangladesh Premier League,2012-02-25,male,T20,,20,PD Trego,"Shere Bangla National Stadium, Mirpur"
bpl0015,Dhaka,Bangladesh Premier League,2012-02-26,male,T20,,20,SM Ervine,"Shere Bangla National Stadium, Mirpur"
bpl0016,Dhaka,Bangladesh Premier League,2012-02-27,male,T20,,20,Mohammad Sami,"Shere Bangla National Stadium, Mirpur"
bpl0017,Dhaka,Bangladesh Premier League,2012-02-29,male,T20,,20,Imran Nazir,"Shere Bangla National Stadium, Mirpur"
bpl0018,Dhaka,Bangladesh Premier League,2013-01-18,male,T20,,20,PR Stirling,"Shere Bangla National Stadium, Mirpur"
bpl0019,Dhaka,Bangladesh Premier League,2013-01-18,male,T20,,20,OA Shah,"Shere Bangla National Stadium, Mirpur"
bpl0020,Dhaka,Bangladesh Premier League,2013-01-19,male,T20,,20,SM Ervine,"Shere Bangla National Stadium, Mirpur"
bpl0021,Dhaka,Bangladesh Premier League,2013-01-20,male,T20,,20,E Chigumbura,"Shere Bangla National Stadium, Mirpur"
bpl0022,Dhaka,Bangladesh Premier League,2013-01-20,male,T20,,20,BJ Hodge,"Shere Bangla National Stadium, Mirpur"
bpl0023,Khulna,Bangladesh Premier League,2013-01-22,male,T20,,20,Shakib Al Hasan,"Sheikh Abu Naser Stadium, Khulna"
bpl0024,Khulna,Bangladesh Premier League,2013-01-23,male,T20,,20,H Masakadza,"Sheikh Abu Naser Stadium, Khulna"
bpl0025,Khulna,Bangladesh Premier League,2013-01-23,male,T20,,20,Shamsur Rahman,"Sheikh Abu Naser Stadium, Khulna"
bpl0026,Khulna,Bangladesh Premier League,2013-01-24,male,T20,,20,Shahriar Nafees,"Sheikh Abu Naser Stadium, Khulna"
bpl0027,Khulna,Bangladesh Premier League,2013-01-24,male,T20,,20,RS Bopara,"Sheikh Abu Naser Stadium, Khulna"
bpl0028,Khulna,Bangladesh Premier League,2013-01-25,male,T20,,20,DJ Harris,"Sheikh Abu Naser Stadium, Khulna"
bpl0029,Khulna,Bangladesh Premier League,2013-01-25,male,T20,,20,Mushfiqur Rahim,"Sheikh Abu Naser Stadium, Khulna"
bpl0030,Chattogram,Bangladesh Premier League,2013-01-28,male,T20,,20,CK Coventry,"MA Aziz Stadium, Chittagong"
bpl0031,Chattogram,Bangladesh Premier League,2013-01-29,male,T20,,20,FH Edwards,"MA Aziz Stadium, Chittagong"
bpl0032,Chattogram,Bangladesh Premier League,2013-01-31,male,T20,,20,Azhar Mahmood,"MA Aziz Stadium, Chittagong"
bpl0033,Chattogram,Bangladesh Premier League,2013-01-31,male,T20,,20,Nazmul Hossain Milon,"MA Aziz Stadium, Chittagong"
bpl0034,Chattogram,Bangladesh Premier League,2013-02-01,male,T20,,20,AC Thomas,"MA Aziz Stadium, Chittagong"
bpl0035,Chattogram,Bangladesh Premier League,2013-02-02,male,T20,,20,Naeem Islam,"MA Aziz Stadium, Chittagong"
bpl0036,Chattogram,Bangladesh Premier League,2013-02-02,male,T20,,20,Jahurul Islam,"MA Aziz Stadium, Chittagong"
bpl0037,Dhaka,Bangladesh Premier League,2013-02-04,male,T20,,20,Azhar Mahmood,"Shere Bangla National Stadium, Mirpur"
bpl0038,Dhaka,Bangladesh Premier League,2013-02-04,male,T20,,20,Tamim Iqbal,"Shere Bangla National Stadium, Mirpur"
bpl0039,Dhaka,Bangladesh Premier League,2013-02-05,male,T20,,20,Anamul Haque,"Shere Bangla National Stadium, Mirpur"
bpl0040,Dhaka,Bangladesh Premier League,2013-02-07,male,T20,,20,Shamsur Rahman,"Shere Bangla National Stadium, Mirpur"
bpl0041,Dhaka,Bangladesh Premier League,2013-02-07,male,T20,,20,RN ten Doeschate,"Shere Bangla National Stadium, Mirpur"
bpl0042,Dhaka,Bangladesh Premier League,2013-02-08,male,T20,,20,Shahriar Nafees,"Shere Bangla National Stadium, Mirpur"
bpl0043,Dhaka,Bangladesh Premier League,2013-02-09,male,T20,,20,Shakib Al Hasan,"Shere Bangla National Stadium, Mirpur"
bpl0044,Dhaka,Bangladesh Premier League,2013-02-09,male,T20,,20,DP Hyatt,"Shere Bangla National Stadium, Mirpur"
