key,data_version,created,revision
bpl0001,0.92,2021-11-05,2
bpl0002,0.92,2021-11-05,1
bpl0003,0.92,2021-11-05,1
bpl0004,0.92,2021-11-05,1
bpl0005,0.92,2021-11-05,1
bpl0006,0.92,2021-11-05,2
bpl0007,0.92,2021-11-05,2
bpl0008,0.92,2021-11-05,1
bpl0009,0.92,2021-11-05,2
bpl0010,0.92,2021-11-05,1
bpl0011,0.92,2021-11-05,3
bpl0012,0.92,2021-11-05,2
bpl0013,0.92,2021-11-05,2
bpl0014,0.92,2021-11-05,2
bpl0015,0.92,2021-11-05,1
bpl0016,0.92,2021-11-05,1
bpl0017,0.92,2021-11-05,2
bpl0018,0.92,2021-11-04,2
bpl0019,0.92,2021-11-04,2
bpl0020,0.92,2021-11-04,2
bpl0021,0.92,2021-11-04,2
bpl0022,0.92,2021-11-04,2
bpl0023,0.92,2021-11-04,1
bpl0024,0.92,2021-11-04,1
bpl0025,0.92,2021-11-04,2
bpl0026,0.92,2021-11-04,2
bpl0027,0.92,2021-11-04,2
bpl0028,0.92,2021-11-04,2
bpl0029,0.92,2021-11-04,1
bpl0030,0.92,2021-11-04,2
bpl0031,0.92,2021-11-04,2
bpl0032,0.92,2021-11-04,2
bpl0033,0.92,2021-11-04,2
bpl0034,0.92,2021-11-04,2
bpl0035,0.92,2021-11-04,2
bpl0036,0.92,2021-11-04,2
bpl0037,0.92,2021-11-04,1
bpl0038,0.92,2021-11-04,2
bpl0039,0.92,2021-11-04,2
bpl0040,0.92,2021-11-04,1
bpl0041,0.92,2021-11-04,2
bpl0042,0.92,2021-11-04,1
bpl0043,0.92,2021-11-04,1
bpl0044,0.92,2021-11-04,1
bpl0045,0.92,2021-11-04,2
bpl0046,0.92,2021-11-04,1
bpl0047,0.92,2021-11-04,2
bpl0048,0.92,2021-11-04,1
bpl0049,0.92,2021-11-04,2
bpl0050,0.92,2021-11-04,2
bpl0051,0.92,2021-11-04,2
bpl0052,0.92,2021-11-04,2
bpl0053,0.92,2021-11-04,2
bpl0054,0.92,2021-11-04,2
bpl0055,0.92,2021-11-04,2
bpl0056,0.92,2021-11-03,2
bpl0057,0.92,2021-11-03,2
bpl0058,0.92,2021-11-03,2
bpl0059,0.92,2021-11-03,1
bpl0060,0.92,2021-11-03,2
bpl0061,0.92,2021-11-03,1
bpl0062,0.92,2021-11-03,1
bpl0063,0.92,2021-11-03,2
bpl0064,0.92,2021-11-03,2
bpl0065,0.92,2021-11-03,2
bpl0066,0.92,2021-11-03,2
bpl0067,0.92,2021-11-03,2
bpl0068,0.92,2021-11-03,1
bpl0069,0.92,2021-11-03,2
bpl0070,0.92,2021-11-03,2
bpl0071,0.92,2021-11-03,2
bpl0072,0.92,2021-11-03,1
bpl0073,0.92,2021-11-03,2
bpl0074,0.92,2021-11-03,1
bpl0075,0.92,2021-11-03,1
bpl0076,0.92,2021-11-03,1
bpl0077,0.92,2021-11-03,1
bpl0078,0.92,2021-11-03,2
bpl0079,0.92,2021-11-03,2
bpl0080,0.92,2021-11-03,2
bpl0081,0.92,2021-11-03,1
bpl0082,0.92,2021-11-03,2
bpl0083,0.92,2021-11-03,1
bpl0084,0.92,2021-11-03,1
bpl0085,0.92,2021-11-03,2
bpl0086,0.92,2021-11-03,2
bpl0087,0.92,2021-11-02,2
bpl0088,0.92,2021-11-02,1
bpl0089,0.92,2021-11-02,2
bpl0090,0.92,2021-11-02,2
bpl0091,0.92,2021-11-02,2
bpl0092,0.92,2021-11-02,2
bpl0093,0.92,2021-11-02,2
bpl0094,0.92,2021-11-02,1
bpl0095,0.92,2021-11-02,2
bpl0096,0.92,2021-11-02,2
bpl0097,0.92,2021-11-02,2
bpl0098,0.92,2021-11-02,1
bpl0099,0.92,2021-11-02,1
bpl0100,0.92,2021-11-02,2
bpl0101,0.92,2021-11-02,2
bpl0102,0.92,2021-11-02,2
bpl0103,0.92,2021-11-02,1
bpl0104,0.92,2021-11-02,2
bpl0105,0.92,2021-11-02,2
bpl0106,0.92,2021-11-02,2
bpl0107,0.92,2021-11-02,2
bpl0108,0.92,2021-11-02,1
bpl0109,0.92,2021-11-02,2
bpl0110,0.92,2021-11-02,2
bpl0111,0.92,2021-11-02,2
bpl0112,0.92,2021-11-02,2
bpl0113,0.92,2021-11-02,2
bpl0114,0.92,2021-11-02,1
bpl0115,0.92,2021-11-02,2
bpl0116,0.92,2021-11-02,2
bpl0117,0.92,2021-11-02,1
bpl0118,0.92,2021-11-02,2
bpl0119,0.92,2021-11-02,2
