key,by_innings,by_type,by_margin,bowl_out,eliminator,method,result,winner
bpl0001,,runs,22,,,,,Barisal Burners
bpl0002,,wickets,6,,,,,Chittagong Kings
bpl0003,,runs,21,,,,,Dhaka Gladiators
bpl0004,,runs,16,,,,,Duronto Rajshahi
bpl0005,,wickets,8,,,,,Chittagong Kings
bpl0006,,runs,9,,,,,Duronto Rajshahi
bpl0007,,runs,2,,,,,Khulna Royal Bengals
bpl0008,,wickets,9,,,,,Barisal Burners
bpl0009,,wickets,7,,,,,Khulna Royal Bengals
bpl0010,,wickets,9,,,,,Duronto Rajshahi
bpl0011,,wickets,4,,,,,Barisal Burners
bpl0012,,wickets,9,,,,,Sylhet Royals
bpl0013,,runs,13,,,,,Chittagong Kings
bpl0014,,runs,35,,,,,Sylhet Royals
bpl0015,,wickets,8,,,,,Duronto Rajshahi
bpl0016,,wickets,3,,,,,Duronto Rajshahi
bpl0017,,wickets,8,,,,,Dhaka Gladiators
bpl0018,,runs,33,,,,,Sylhet Royals
bpl0019,,runs,62,,,,,Dhaka Gladiators
bpl0020,,runs,2,,,,,Duronto Rajshahi
bpl0021,,wickets,4,,,,,Sylhet Royals
bpl0022,,wickets,8,,,,,Barisal Burners
bpl0023,,runs,13,,,,,Dhaka Gladiators
bpl0024,,wickets,6,,,,,Sylhet Royals
bpl0025,,runs,7,,,,,Rangpur Riders
bpl0026,,runs,68,,,,,Khulna Royal Bengals
bpl0027,,runs,21,,,,,Chittagong Kings
bpl0028,,runs,9,,,,,Khulna Royal Bengals
bpl0029,,wickets,7,,,,,Sylhet Royals
bpl0030,,runs,4,,,,,Duronto Rajshahi
bpl0031,,runs,33,,,,,Rangpur Riders
bpl0032,,runs,6,,,,,Barisal Burners
bpl0033,,wickets,5,,,,,Sylhet Royals
bpl0034,,runs,13,,,,,Dhaka Gladiators
bpl0035,,runs,54,,,,,Chittagong Kings
bpl0036,,wickets,4,,,,,Duronto Rajshahi
bpl0037,,wickets,7,,,,,Barisal Burners
bpl0038,,wickets,7,,,,,Duronto Rajshahi
bpl0039,,runs,88,,,,,Dhaka Gladiators
bpl0040,,wickets,6,,,,,Sylhet Royals
bpl0041,,runs,89,,,,,Chittagong Kings
bpl0042,,wickets,7,,,,,Khulna Royal Bengals
bpl0043,,wickets,8,,,,,Dhaka Gladiators
bpl0044,,wickets,5,,,,,Rangpur Riders
bpl0045,,runs,19,,,,,Rangpur Riders
bpl0046,,wickets,6,,,,,Dhaka Gladiators
bpl0047,,wickets,7,,,,,Barisal Burners
bpl0048,,runs,61,,,,,Sylhet Royals
bpl0049,,wickets,1,,,,,Sylhet Royals
bpl0050,,runs,33,,,,,Chittagong Kings
bpl0051,,runs,29,,,,,Dhaka Gladiators
bpl0052,,runs,26,,,,,Barisal Burners
bpl0053,,runs,4,,,,,Dhaka Gladiators
bpl0054,,wickets,3,,,,,Chittagong Kings
bpl0055,,runs,43,,,,,Dhaka Gladiators
bpl0056,,wickets,6,,,,,Dhaka Dynamites
bpl0057,,runs,13,,,,,Barisal Bulls
bpl0058,,runs,1,,,,,Barisal Bulls
bpl0059,,wickets,7,,,,,Comilla Victorians
bpl0060,,wickets,8,,,,,Comilla Victorians
bpl0061,,runs,69,,,,,Rangpur Riders
bpl0062,,wickets,6,,,,,Dhaka Dynamites
bpl0063,,runs,6,,,,,Rangpur Riders
bpl0064,,runs,34,,,,,Dhaka Dynamites
bpl0065,,wickets,9,,,,,Comilla Victorians
bpl0066,,wickets,4,,,,,Sylhet Super Stars
bpl0067,,runs,33,,,,,Barisal Bulls
bpl0068,,wickets,9,,,,,Barisal Bulls
bpl0069,,wickets,9,,,,,Rangpur Riders
bpl0070,,wickets,10,,,,,Chittagong Vikings
bpl0071,,runs,10,,,,,Comilla Victorians
bpl0072,,wickets,6,,,D/L,,Barisal Bulls
bpl0073,,wickets,6,,,,,Rangpur Riders
bpl0074,,wickets,9,,,,,Sylhet Super Stars
bpl0075,,wickets,8,,,,,Rangpur Riders
bpl0076,,wickets,7,,,,,Comilla Victorians
bpl0077,,runs,21,,,,,Rangpur Riders
bpl0078,,runs,45,,,,,Dhaka Dynamites
bpl0079,,wickets,8,,,,,Barisal Bulls
bpl0080,,wickets,6,,,,,Sylhet Super Stars
bpl0081,,wickets,2,,,,,Barisal Bulls
bpl0082,,runs,71,,,,,Comilla Victorians
bpl0083,,runs,18,,,,,Barisal Bulls
bpl0084,,runs,72,,,,,Comilla Victorians
bpl0085,,wickets,5,,,,,Barisal Bulls
bpl0086,,wickets,3,,,,,Comilla Victorians
bpl0087,,runs,29,,,,,Chittagong Vikings
bpl0088,,wickets,8,,,,,Dhaka Dynamites
bpl0089,,wickets,9,,,,,Rangpur Riders
bpl0090,,runs,3,,,,,Khulna Titans
bpl0091,,wickets,9,,,,,Rangpur Riders
bpl0092,,wickets,6,,,,,Rajshahi Kings
bpl0093,,wickets,6,,,,,Barisal Bulls
bpl0094,,runs,78,,,,,Dhaka Dynamites
bpl0095,,runs,4,,,,,Khulna Titans
bpl0096,,runs,13,,,,,Khulna Titans
bpl0097,,runs,4,,,,,Barisal Bulls
bpl0098,,runs,33,,,,,Dhaka Dynamites
bpl0099,,wickets,7,,,,,Barisal Bulls
bpl0100,,runs,12,,,,,Rangpur Riders
bpl0101,,runs,19,,,,,Dhaka Dynamites
bpl0102,,wickets,9,,,,,Rangpur Riders
bpl0103,,runs,19,,,,,Chittagong Vikings
bpl0104,,runs,32,,,,,Comilla Victorians
bpl0105,,runs,9,,,,,Khulna Titans
bpl0106,,runs,22,,,,,Khulna Titans
bpl0107,,wickets,6,,,,,Chittagong Vikings
bpl0108,,wickets,3,,,,,Rajshahi Kings
bpl0109,,runs,78,,,,,Chittagong Vikings
bpl0110,,wickets,7,,,,,Rangpur Riders
bpl0111,,wickets,6,,,,,Khulna Titans
bpl0112,,runs,12,,,,,Rajshahi Kings
bpl0113,,runs,9,,,,,Rajshahi Kings
bpl0114,,runs,32,,,,,Dhaka Dynamites
bpl0115,,wickets,9,,,,,Chittagong Vikings
bpl0116,,wickets,4,,,,,Dhaka Dynamites
bpl0117,,runs,49,,,,,Rajshahi Kings
bpl0118,,wickets,5,,,,,Chittagong Vikings
bpl0119,,wickets,8,,,,,Comilla Victorians
bpl0120,,runs,42,,,,,Dhaka Dynamites
bpl0121,,wickets,8,,,,,Comilla Victorians
bpl0122,,runs,17,,,,,Barisal Bulls
bpl0123,,wickets,6,,,,,Dhaka Dynamites
bpl0124,,wickets,6,,,,,Rajshahi Kings
bpl0125,,runs,29,,,,,Rangpur Riders
bpl0126,,wickets,6,,,,,Khulna Titans
bpl0127,,runs,8,,,,,Comilla Victorians
bpl0128,,runs,54,,,,,Dhaka Dynamites
bpl0129,,wickets,3,,,,,Rajshahi Kings
bpl0130,,wickets,7,,,,,Rajshahi Kings
bpl0131,,runs,56,,,,,Dhaka Dynamites
bpl0132,,wickets,6,,,,,Rangpur Riders
bpl0133,,wickets,9,,,,,Sylhet Sixers
bpl0134,,runs,65,,,,,Dhaka Dynamites
bpl0135,,wickets,4,,,,,Sylhet Sixers
bpl0136,,runs,33,,,,,Sylhet Sixers
bpl0137,,wickets,8,,,,,Comilla Victorians
bpl0138,,wickets,6,,,,,Khulna Titans
bpl0139,,runs,11,,,,,Chittagong Vikings
bpl0140,,wickets,8,,,,,Dhaka Dynamites
bpl0141,,wickets,8,,,,,Rajshahi Kings
bpl0142,,wickets,9,,,,,Comilla Victorians
bpl0143,,runs,18,,,,,Khulna Titans
bpl0144,,wickets,6,,,,,Comilla Victorians
bpl0145,,wickets,4,,,,,Dhaka Dynamites
bpl0146,,wickets,5,,,,,Khulna Titans
bpl0147,,wickets,7,,,,,Rajshahi Kings
bpl0148,,runs,14,,,,,Comilla Victorians
bpl0149,,runs,68,,,,,Dhaka Dynamites
bpl0150,,runs,7,,,,,Rangpur Riders
bpl0151,,wickets,4,,,,,Comilla Victorians
bpl0152,,runs,3,,,,,Rangpur Riders
bpl0153,,wickets,2,,,,,Khulna Titans
bpl0154,,runs,40,,,,,Chittagong Vikings
bpl0155,,runs,9,,,,,Khulna Titans
bpl0156,,wickets,3,,,,,Rangpur Riders
bpl0157,,runs,30,,,,,Rajshahi Kings
bpl0158,,runs,68,,,,,Khulna Titans
bpl0159,,wickets,7,,,,,Dhaka Dynamites
bpl0160,,wickets,9,,,,,Comilla Victorians
bpl0161,,wickets,4,,,,,Rangpur Riders
bpl0162,,runs,12,,,,,Comilla Victorians
bpl0163,,runs,33,,,,,Rajshahi Kings
bpl0164,,runs,99,,,,,Dhaka Dynamites
bpl0165,,wickets,4,,,,,Comilla Victorians
bpl0166,,runs,19,,,,,Rangpur Riders
bpl0167,,wickets,10,,,,,Sylhet Sixers
bpl0168,,runs,45,,,,,Chittagong Vikings
bpl0169,,runs,14,,,,,Khulna Titans
bpl0170,,runs,25,,,,,Comilla Victorians
bpl0171,,runs,43,,,,,Dhaka Dynamites
bpl0172,,runs,95,,,,,Dhaka Dynamites
bpl0173,,wickets,8,,,,,Rangpur Riders
bpl0174,,runs,36,,,,,Rangpur Riders
bpl0175,,runs,57,,,,,Rangpur Riders
bpl0176,,runs,83,,,,,Dhaka Dynamites
bpl0177,,wickets,3,,,,,Chittagong Vikings
bpl0178,,runs,8,,,,,Rangpur Riders
bpl0179,,wickets,4,,,,,Comilla Victorians
bpl0180,,wickets,9,,,,,Rangpur Riders
bpl0181,,runs,105,,,,,Dhaka Dynamites
bpl0182,,wickets,7,,,,,Rajshahi Kings
bpl0183,,runs,5,,,,,Sylhet Sixers
bpl0184,,wickets,5,,,,,Comilla Victorians
bpl0185,,runs,2,,,,,Dhaka Dynamites
bpl0186,,runs,32,,,,,Dhaka Dynamites
bpl0187,,,,,Chittagong Vikings,,tie,
bpl0188,,wickets,4,,,,,Chittagong Vikings
bpl0189,,wickets,8,,,,,Comilla Victorians
bpl0190,,runs,25,,,,,Khulna Titans
bpl0191,,runs,27,,,,,Sylhet Sixers
bpl0192,,runs,20,,,,,Rajshahi Kings
bpl0193,,wickets,3,,,,,Comilla Victorians
bpl0194,,wickets,6,,,,,Dhaka Dynamites
bpl0195,,runs,26,,,,,Chittagong Vikings
bpl0196,,wickets,4,,,,,Rangpur Riders
bpl0197,,wickets,3,,,,,Chittagong Vikings
bpl0198,,runs,38,,,,,Rajshahi Kings
bpl0199,,runs,7,,,,,Comilla Victorians
bpl0200,,wickets,6,,,,,Rangpur Riders
bpl0201,,runs,21,,,,,Khulna Titans
bpl0202,,wickets,6,,,,,Chittagong Vikings
bpl0203,,runs,72,,,,,Rangpur Riders
bpl0204,,runs,76,,,,,Sylhet Sixers
bpl0205,,runs,7,,,,,Rajshahi Kings
bpl0206,,runs,58,,,,,Sylhet Sixers
bpl0207,,wickets,8,,,,,Rangpur Riders
bpl0208,,runs,80,,,,,Comilla Victorians
bpl0209,,wickets,6,,,,,Rangpur Riders
bpl0210,,wickets,7,,,D/L,,Comilla Victorians
bpl0211,,wickets,5,,,,,Rajshahi Kings
bpl0212,,runs,11,,,,,Chittagong Vikings
bpl0213,,runs,29,,,,,Sylhet Sixers
bpl0214,,runs,1,,,,,Comilla Victorians
bpl0215,,wickets,6,,,,,Dhaka Dynamites
bpl0216,,wickets,9,,,,,Rangpur Riders
bpl0217,,wickets,8,,,,,Comilla Victorians
bpl0218,,wickets,6,,,,,Dhaka Dynamites
bpl0219,,wickets,5,,,,,Dhaka Dynamites
bpl0220,,runs,17,,,,,Comilla Victorians
bpl0221,,runs,105,,,,,Cumilla Warriors
bpl0222,,wickets,5,,,,,Chattogram Challengers
bpl0223,,wickets,8,,,,,Khulna Tigers
bpl0224,,wickets,9,,,,,Rajshahi Royals
bpl0225,,runs,20,,,,,Dhaka Platoon
bpl0226,,wickets,8,,,,,Rajshahi Royals
bpl0227,,runs,24,,,,,Dhaka Platoon
bpl0228,,wickets,6,,,,,Chattogram Challengers
bpl0229,,wickets,4,,,,,Chattogram Challengers
bpl0230,,wickets,5,,,,,Khulna Tigers
bpl0231,,runs,16,,,,,Chattogram Challengers
bpl0232,,wickets,6,,,,,Cumilla Warriors
bpl0233,,runs,16,,,,,Chattogram Challengers
bpl0234,,wickets,8,,,,,Khulna Tigers
bpl0235,,wickets,6,,,,,Rangpur Rangers
bpl0236,,runs,80,,,,,Sylhet Thunder
bpl0237,,wickets,7,,,,,Rajshahi Royals
bpl0238,,wickets,5,,,,,Dhaka Platoon
bpl0239,,wickets,7,,,,,Rajshahi Royals
bpl0240,,wickets,8,,,,,Dhaka Platoon
bpl0241,,runs,52,,,,,Khulna Tigers
bpl0242,,wickets,6,,,,,Chattogram Challengers
bpl0243,,wickets,8,,,,,Khulna Tigers
bpl0244,,runs,15,,,,,Rajshahi Royals
bpl0245,,runs,74,,,,,Dhaka Platoon
bpl0246,,wickets,7,,,,,Rangpur Rangers
bpl0247,,runs,47,,,,,Rangpur Rangers
bpl0248,,wickets,2,,,,,Cumilla Warriors
bpl0249,,,,,Cumilla Warriors,,tie,
bpl0250,,runs,30,,,,,Rajshahi Royals
bpl0251,,runs,38,,,,,Rangpur Rangers
bpl0252,,runs,12,,,,,Dhaka Platoon
bpl0253,,wickets,6,,,,,Rajshahi Royals
bpl0254,,wickets,6,,,,,Chattogram Challengers
bpl0255,,wickets,7,,,,,Chattogram Challengers
bpl0256,,wickets,5,,,,,Cumilla Warriors
bpl0257,,runs,61,,,,,Dhaka Platoon
bpl0258,,runs,34,,,,,Khulna Tigers
bpl0259,,runs,92,,,,,Khulna Tigers
bpl0260,,runs,11,,,,,Rangpur Rangers
bpl0261,,wickets,8,,,,,Khulna Tigers
bpl0262,,wickets,8,,,,,Rajshahi Royals
bpl0263,,runs,27,,,,,Khulna Tigers
bpl0264,,wickets,7,,,,,Chattogram Challengers
bpl0265,,wickets,2,,,,,Rajshahi Royals
bpl0266,,runs,21,,,,,Rajshahi Royals
bpl0267,,wickets,5,,,,,Khulna Tigers
bpl0268,,wickets,4,,,,,Fortune Barishal
bpl0269,,runs,30,,,,,Chattogram Challengers
bpl0270,,wickets,2,,,,,Comilla Victorians
bpl0271,,runs,25,,,,,Chattogram Challengers
bpl0272,,wickets,4,,,,,Minister Group Dhaka
bpl0273,,runs,63,,,,,Comilla Victorians
bpl0274,,wickets,7,,,,,Sylhet Sunrisers
bpl0275,,wickets,9,,,,,Minister Group Dhaka
bpl0276,,wickets,6,,,,,Khulna Tigers
bpl0277,,runs,16,,,,,Chattogram Challengers
bpl0278,,runs,17,,,,,Fortune Barishal
bpl0279,,runs,6,,,,,Fortune Barishal
bpl0280,,runs,52,,,,,Comilla Victorians
bpl0281,,runs,14,,,,,Fortune Barishal
bpl0282,,runs,50,,,,,Minister Group Dhaka
bpl0283,,wickets,9,,,D/L,,Comilla Victorians
bpl0284,,wickets,9,,,,,Khulna Tigers
bpl0285,,runs,15,,,,,Khulna Tigers
bpl0286,,runs,32,,,,,Fortune Barishal
bpl0287,,runs,12,,,,,Fortune Barishal
bpl0288,,runs,3,,,,,Chattogram Challengers
bpl0289,,wickets,4,,,,,Comilla Victorians
bpl0290,,wickets,5,,,,,Minister Group Dhaka
bpl0291,,wickets,8,,,,,Fortune Barishal
bpl0292,,runs,65,,,,,Comilla Victorians
bpl0293,,wickets,9,,,,,Khulna Tigers
bpl0294,,wickets,4,,,,,Chattogram Challengers
bpl0295,,runs,10,,,,,Fortune Barishal
bpl0296,,runs,7,,,,,Chattogram Challengers
bpl0297,,wickets,7,,,,,Comilla Victorians
bpl0298,,runs,1,,,,,Comilla Victorians
