key,team
bpl0001,Barisal Burners
bpl0001,Duronto Rajshahi
bpl0002,Khulna Royal Bengals
bpl0002,Chittagong Kings
bpl0003,Dhaka Gladiators
bpl0003,Barisal Burners
bpl0004,Duronto Rajshahi
bpl0004,Sylhet Royals
bpl0005,Barisal Burners
bpl0005,Chittagong Kings
bpl0006,Duronto Rajshahi
bpl0006,Chittagong Kings
bpl0007,Khulna Royal Bengals
bpl0007,Sylhet Royals
bpl0008,Sylhet Royals
bpl0008,Barisal Burners
bpl0009,Dhaka Gladiators
bpl0009,Khulna Royal Bengals
bpl0010,Barisal Burners
bpl0010,Duronto Rajshahi
bpl0011,Khulna Royal Bengals
bpl0011,Barisal Burners
bpl0012,Duronto Rajshahi
bpl0012,Sylhet Royals
bpl0013,Chittagong Kings
bpl0013,Dhaka Gladiators
bpl0014,Sylhet Royals
bpl0014,Chittagong Kings
bpl0015,Khulna Royal Bengals
bpl0015,Duronto Rajshahi
bpl0016,Dhaka Gladiators
bpl0016,Duronto Rajshahi
bpl0017,Barisal Burners
bpl0017,Dhaka Gladiators
bpl0018,Sylhet Royals
bpl0018,Barisal Burners
bpl0019,Dhaka Gladiators
bpl0019,Khulna Royal Bengals
bpl0020,Duronto Rajshahi
bpl0020,Chittagong Kings
bpl0021,Duronto Rajshahi
bpl0021,Sylhet Royals
bpl0022,Khulna Royal Bengals
bpl0022,Barisal Burners
bpl0023,Dhaka Gladiators
bpl0023,Duronto Rajshahi
bpl0024,Khulna Royal Bengals
bpl0024,Sylhet Royals
bpl0025,Rangpur Riders
bpl0025,Barisal Burners
bpl0026,Khulna Royal Bengals
bpl0026,Duronto Rajshahi
bpl0027,Chittagong Kings
bpl0027,Barisal Burners
bpl0028,Khulna Royal Bengals
bpl0028,Rangpur Riders
bpl0029,Dhaka Gladiators
bpl0029,Sylhet Royals
bpl0030,Duronto Rajshahi
bpl0030,Barisal Burners
bpl0031,Rangpur Riders
bpl0031,Khulna Royal Bengals
bpl0032,Barisal Burners
bpl0032,Chittagong Kings
bpl0033,Rangpur Riders
bpl0033,Sylhet Royals
bpl0034,Dhaka Gladiators
bpl0034,Duronto Rajshahi
bpl0035,Chittagong Kings
bpl0035,Dhaka Gladiators
bpl0036,Barisal Burners
bpl0036,Duronto Rajshahi
bpl0037,Khulna Royal Bengals
bpl0037,Barisal Burners
bpl0038,Rangpur Riders
bpl0038,Duronto Rajshahi
bpl0039,Dhaka Gladiators
bpl0039,Rangpur Riders
bpl0040,Rangpur Riders
bpl0040,Sylhet Royals
bpl0041,Chittagong Kings
