key,toss_winner,toss_decision,decision,winner
bpl0001,,,bat,Barisal Burners
bpl0002,,,bat,Khulna Royal Bengals
bpl0003,,,field,Barisal Burners
bpl0004,,,bat,Duronto Rajshahi
bpl0005,,,field,Chittagong Kings
bpl0006,,,bat,Duronto Rajshahi
bpl0007,,,field,Sylhet Royals
bpl0008,,,bat,Sylhet Royals
bpl0009,,,bat,Dhaka Gladiators
bpl0010,,,bat,Barisal Burners
bpl0011,,,bat,Khulna Royal Bengals
bpl0012,,,field,Sylhet Royals
bpl0013,,,field,Dhaka Gladiators
bpl0014,,,field,Chittagong Kings
bpl0015,,,bat,Khulna Royal Bengals
bpl0016,,,bat,Dhaka Gladiators
bpl0017,,,field,Dhaka Gladiators
bpl0018,,,field,Barisal Burners
bpl0019,,,bat,Dhaka Gladiators
bpl0020,,,bat,Duronto Rajshahi
bpl0021,,,bat,Duronto Rajshahi
bpl0022,,,bat,Khulna Royal Bengals
bpl0023,,,bat,Dhaka Gladiators
bpl0024,,,bat,Khulna Royal Bengals
bpl0025,,,bat,Rangpur Riders
bpl0026,,,field,Duronto Rajshahi
bpl0027,,,field,Barisal Burners
bpl0028,,,bat,Khulna Royal Bengals
bpl0029,,,bat,Dhaka Gladiators
bpl0030,,,bat,Duronto Rajshahi
bpl0031,,,bat,Rangpur Riders
bpl0032,,,bat,Barisal Burners
bpl0033,,,field,Sylhet Royals
bpl0034,,,bat,Dhaka Gladiators
bpl0035,,,field,Dhaka Gladiators
bpl0036,,,bat,Barisal Burners
bpl0037,,,field,Barisal Burners
bpl0038,,,bat,Rangpur Riders
bpl0039,,,field,Rangpur Riders
bpl0040,,,field,Sylhet Royals
bpl0041,,,field,Khulna Royal Bengals
bpl0042,,,bat,Duronto Rajshahi
bpl0043,,,bat,Barisal Burners
bpl0044,,,field,Rangpur Riders
bpl0045,,,field,Duronto Rajshahi
bpl0046,,,bat,Khulna Royal Bengals
bpl0047,,,bat,Dhaka Gladiators
bpl0048,,,field,Khulna Royal Bengals
bpl0049,,,field,Sylhet Royals
bpl0050,,,field,Duronto Rajshahi
bpl0051,,,field,Chittagong Kings
bpl0052,,,bat,Barisal Burners
bpl0053,,,field,Sylhet Royals
bpl0054,,,field,Chittagong Kings
bpl0055,,,field,Chittagong Kings
bpl0056,,,bat,Comilla Victorians
bpl0057,,,field,Rangpur Riders
bpl0058,,,bat,Barisal Bulls
bpl0059,,,field,Comilla Victorians
bpl0060,,,bat,Barisal Bulls
bpl0061,,,bat,Rangpur Riders
bpl0062,,,bat,Chittagong Vikings
bpl0063,,,bat,Rangpur Riders
bpl0064,,,bat,Dhaka Dynamites
bpl0065,,,field,Comilla Victorians
bpl0066,,,field,Sylhet Super Stars
bpl0067,,,field,Chittagong Vikings
bpl0068,,,field,Barisal Bulls
bpl0069,,,bat,Chittagong Vikings
bpl0070,,,field,Chittagong Vikings
bpl0071,,,field,Dhaka Dynamites
bpl0072,,,field,Barisal Bulls
bpl0073,,,bat,Dhaka Dynamites
bpl0074,,,field,Sylhet Super Stars
bpl0075,,,field,Rangpur Riders
bpl0076,,,field,Comilla Victorians
bpl0077,,,field,Comilla Victorians
bpl0078,,,field,Chittagong Vikings
bpl0079,,,field,Barisal Bulls
bpl0080,,,field,Sylhet Super Stars
bpl0081,,,field,Barisal Bulls
bpl0082,,,field,Sylhet Super Stars
bpl0083,,,field,Dhaka Dynamites
bpl0084,,,field,Rangpur Riders
bpl0085,,,bat,Rangpur Riders
bpl0086,,,field,Comilla Victorians
bpl0087,,,field,Comilla Victorians
bpl0088,,,field,Dhaka Dynamites
bpl0089,,,field,Rangpur Riders
bpl0090,,,bat,Khulna Titans
bpl0091,,,field,Rangpur Riders
bpl0092,,,field,Rajshahi Kings
bpl0093,,,bat,Comilla Victorians
bpl0094,,,field,Rangpur Riders
bpl0095,,,field,Chittagong Vikings
bpl0096,,,field,Comilla Victorians
bpl0097,,,field,Rajshahi Kings
bpl0098,,,field,Comilla Victorians
bpl0099,,,field,Barisal Bulls
bpl0100,,,field,Barisal Bulls
bpl0101,,,field,Chittagong Vikings
bpl0102,,,field,Rangpur Riders
bpl0103,,,field,Rajshahi Kings
bpl0104,,,field,Rajshahi Kings
bpl0105,,,bat,Khulna Titans
bpl0106,,,field,Barisal Bulls
bpl0107,,,bat,Comilla Victorians
bpl0108,,,bat,Dhaka Dynamites
bpl0109,,,bat,Chittagong Vikings
