key,date
cpl0001,2013-07-30
cpl0002,2013-07-31
cpl0003,2013-08-01
cpl0004,2013-08-02
cpl0005,2013-08-03
cpl0006,2013-08-04
cpl0007,2013-08-04
cpl0008,2013-08-06
cpl0009,2013-08-07
cpl0010,2013-08-09
cpl0011,2013-08-10
cpl0012,2013-08-11
cpl0013,2013-08-11
cpl0014,2013-08-13
cpl0015,2013-08-15
cpl0016,2013-08-15
cpl0017,2013-08-17
cpl0018,2013-08-17
cpl0019,2013-08-17
cpl0020,2013-08-18
cpl0021,2013-08-22
cpl0022,2013-08-23
cpl0023,2013-08-24
cpl0024,2014-07-11
cpl0025,2014-07-12
cpl0026,2014-07-17
cpl0027,2014-07-19
cpl0028,2014-07-19
cpl0029,2014-07-20
cpl0030,2014-07-20
cpl0031,2014-07-23
cpl0032,2014-07-24
cpl0033,2014-07-26
cpl0034,2014-07-26
cpl0035,2014-07-27
cpl0036,2014-07-31
cpl0037,2014-07-31
cpl0038,2014-08-02
cpl0039,2014-08-02
cpl0040,2014-08-03
cpl0041,2014-08-03
cpl0042,2014-08-07
cpl0043,2014-08-07
cpl0044,2014-08-09
cpl0045,2014-08-09
cpl0046,2014-08-10
cpl0047,2014-08-10
cpl0048,2014-08-13
cpl0049,2014-08-14
cpl0050,2014-08-16
cpl0051,2015-06-20
cpl0052,2015-06-21
cpl0053,2015-06-23
cpl0054,2015-06-24
cpl0055,2015-06-25
cpl0056,2015-06-26
cpl0057,2015-06-27
cpl0058,2015-06-28
cpl0059,2015-06-30
cpl0060,2015-07-01
cpl0061,2015-07-03
cpl0062,2015-07-03
cpl0063,2015-07-04
cpl0064,2015-07-04
cpl0065,2015-07-06
cpl0066,2015-07-07
cpl0067,2015-07-08
cpl0068,2015-07-09
cpl0069,2015-07-10
cpl0070,2015-07-11
cpl0071,2015-07-11
cpl0072,2015-07-12
cpl0073,2015-07-14
cpl0074,2015-07-16
cpl0075,2015-07-17
cpl0076,2015-07-18
cpl0077,2015-07-18
cpl0078,2015-07-19
cpl0079,2015-07-21
cpl0080,2015-07-23
cpl0081,2015-07-25
cpl0082,2015-07-26
cpl0083,2016-06-29
cpl0084,2016-06-30
cpl0085,2016-07-01
cpl0086,2016-07-02
cpl0087,2016-07-02
cpl0088,2016-07-03
cpl0089,2016-07-04
cpl0090,2016-07-10
cpl0091,2016-07-11
cpl0092,2016-07-13
cpl0093,2016-07-15
cpl0094,2016-07-16
cpl0095,2016-07-16
cpl0096,2016-07-17
cpl0097,2016-07-18
cpl0098,2016-07-20
cpl0099,2016-07-21
cpl0100,2016-07-24
cpl0101,2016-07-26
cpl0102,2016-07-28
cpl0103,2016-07-29
cpl0104,2016-07-30
cpl0105,2016-07-30
cpl0106,2016-07-31
cpl0107,2016-07-31
cpl0108,2016-08-04
cpl0109,2016-08-05
cpl0110,2016-08-07
cpl0111,2017-08-04
cpl0112,2017-08-05
cpl0113,2017-08-05
cpl0114,2017-08-06
cpl0115,2017-08-06
cpl0116,2017-08-07
cpl0117,2017-08-09
cpl0118,2017-08-10
cpl0119,2017-08-11
cpl0120,2017-08-12
cpl0121,2017-08-12
cpl0122,2017-08-13
cpl0123,2017-08-14
cpl0124,2017-08-15
cpl0125,2017-08-17
cpl0126,2017-08-18
cpl0127,2017-08-19
cpl0128,2017-08-19
cpl0129,2017-08-20
cpl0130,2017-08-21
cpl0131,2017-08-22
cpl0132,2017-08-23
cpl0133,2017-08-25
cpl0134,2017-08-26
cpl0135,2017-08-29
cpl0136,2017-08-30
cpl0137,2017-08-31
cpl0138,2017-09-01
cpl0139,2017-09-02
cpl0140,2017-09-03
