key,city,competition,date,gender,match_type,neutral_venue,overs,player_of_match,venue
cpl0001,Barbados,Caribbean Premier League,2013-07-30,male,T20,,20,Shoaib Malik,"Kensington Oval, Bridgetown"
cpl0002,Guyana,Caribbean Premier League,2013-07-31,male,T20,,20,K Santokie,Providence Stadium
cpl0003,Barbados,Caribbean Premier League,2013-08-01,male,T20,,20,Shakib Al Hasan,"Kensington Oval, Bridgetown"
cpl0004,Guyana,Caribbean Premier League,2013-08-02,male,T20,,20,LMP Simmons,Providence Stadium
cpl0005,Barbados,Caribbean Premier League,2013-08-03,male,T20,,20,Shakib Al Hasan,"Kensington Oval, Bridgetown"
cpl0006,Guyana,Caribbean Premier League,2013-08-04,male,T20,,20,Misbah-ul-Haq,Providence Stadium
cpl0007,Guyana,Caribbean Premier League,2013-08-04,male,T20,,20,VD Philander,Providence Stadium
cpl0008,St Lucia,Caribbean Premier League,2013-08-06,male,T20,,20,MN Samuels,"Daren Sammy National Cricket Stadium, Gros Islet"
cpl0009,Trinidad,Caribbean Premier League,2013-08-07,male,T20,,20,DP Hyatt,"Queen's Park Oval, Port of Spain"
cpl0010,Trinidad,Caribbean Premier League,2013-08-09,male,T20,,20,KJ O'Brien,"Queen's Park Oval, Port of Spain"
cpl0011,St Lucia,Caribbean Premier League,2013-08-10,male,T20,,20,AD Russell,"Daren Sammy National Cricket Stadium, Gros Islet"
cpl0012,Trinidad,Caribbean Premier League,2013-08-11,male,T20,,20,DJ Bravo,"Queen's Park Oval, Port of Spain"
cpl0013,Trinidad,Caribbean Premier League,2013-08-11,male,T20,,20,MJ Guptill,"Queen's Park Oval, Port of Spain"
cpl0014,Antigua,Caribbean Premier League,2013-08-13,male,T20,,20,SS Cottrell,"Sir Vivian Richards Stadium, North Sound"
cpl0015,Antigua,Caribbean Premier League,2013-08-15,male,T20,,20,ADS Fletcher,"Sir Vivian Richards Stadium, North Sound"
cpl0016,Jamaica,Caribbean Premier League,2013-08-15,male,T20,,20,SP Narine,"Sabina Park, Kingston"
cpl0017,Jamaica,Caribbean Premier League,2013-08-17,male,T20,,20,S Badree,"Sabina Park, Kingston"
cpl0018,Antigua,Caribbean Premier League,2013-08-17,male,T20,,20,Mohammad Hafeez,"Sir Vivian Richards Stadium, North Sound"
cpl0019,Jamaica,Caribbean Premier League,2013-08-17,male,T20,,20,M Muralitharan,"Sabina Park, Kingston"
cpl0020,Jamaica,Caribbean Premier League,2013-08-18,male,T20,,20,CH Gayle,"Sabina Park, Kingston"
cpl0021,Trinidad,Caribbean Premier League,2013-08-22,male,T20,,20,TM Dilshan,"Queen's Park Oval, Port of Spain"
cpl0022,Trinidad,Caribbean Premier League,2013-08-23,male,T20,,20,KC Sangakkara,"Queen's Park Oval, Port of Spain"
cpl0023,Trinidad,Caribbean Premier League,2013-08-24,male,T20,,20,CH Gayle,"Queen's Park Oval, Port of Spain"
cpl0024,Grenada,Caribbean Premier League,2014-07-11,male,T20,,20,D Ramdin,"National Cricket Stadium, St George's"
cpl0025,Grenada,Caribbean Premier League,2014-07-12,male,T20,,20,LRPL Taylor,"National Cricket Stadium, St George's"
cpl0026,Antigua,Caribbean Premier League,2014-07-17,male,T20,,20,DL Vettori,"Sir Vivian Richards Stadium, North Sound"
cpl0027,Guyana,Caribbean Premier League,2014-07-19,male,T20,,20,K Santokie,Providence Stadium
cpl0028,Antigua,Caribbean Premier League,2014-07-19,male,T20,,20,Shoaib Malik,"Sir Vivian Richards Stadium, North Sound"
cpl0029,Guyana,Caribbean Premier League,2014-07-20,male,T20,,20,CAK Walton,Providence Stadium
cpl0030,Antigua,Caribbean Premier League,2014-07-20,male,T20,,20,KJ O'Brien,"Sir Vivian Richards Stadium, North Sound"
cpl0031,Barbados,Caribbean Premier League,2014-07-23,male,T20,,20,DR Smith,"Kensington Oval, Bridgetown"
cpl0032,Trinidad,Caribbean Premier League,2014-07-24,male,T20,,20,DM Bravo,"Queen's Park Oval, Port of Spain"
cpl0033,Barbados,Caribbean Premier League,2014-07-26,male,T20,,20,DR Smith,"Kensington Oval, Bridgetown"
cpl0034,Trinidad,Caribbean Premier League,2014-07-26,male,T20,,20,KJ O'Brien,"Queen's Park Oval, Port of Spain"
cpl0035,Trinidad,Caribbean Premier League,2014-07-27,male,T20,,20,E Lewis,"Queen's Park Oval, Port of Spain"
cpl0036,St Lucia,Caribbean Premier League,2014-07-31,male,T20,,20,JO Holder,"Daren Sammy National Cricket Stadium, Gros Islet"
cpl0037,Jamaica,Caribbean Premier League,2014-07-31,male,T20,,20,JE Taylor,"Sabina Park, Kingston"
cpl0038,St Lucia,Caribbean Premier League,2014-08-02,male,T20,,20,ST Gabriel,"Daren Sammy National Cricket Stadium, Gros Islet"
cpl0039,Jamaica,Caribbean Premier League,2014-08-02,male,T20,,20,AD Russell,"Sabina Park, Kingston"
cpl0040,St Lucia,Caribbean Premier League,2014-08-03,male,T20,,20,Sohail Tanvir,"Daren Sammy National Cricket Stadium, Gros Islet"
cpl0041,Jamaica,Caribbean Premier League,2014-08-03,male,T20,,20,JE Taylor,"Sabina Park, Kingston"
cpl0042,St Kitts,Caribbean Premier League,2014-08-07,male,T20,,20,JO Holder,"Warner Park, Basseterre"
cpl0043,St Kitts,Caribbean Premier League,2014-08-07,male,T20,,20,MJ Guptill,"Warner Park, Basseterre"
cpl0044,St Kitts,Caribbean Premier League,2014-08-09,male,T20,,20,B Laughlin,"Warner Park, Basseterre"
cpl0045,St Kitts,Caribbean Premier League,2014-08-09,male,T20,,20,M Matthew,"Warner Park, Basseterre"
cpl0046,St Kitts,Caribbean Premier League,2014-08-10,male,T20,,20,KA Pollard,"Warner Park, Basseterre"
cpl0047,St Kitts,Caribbean Premier League,2014-08-10,male,T20,,20,LMP Simmons,"Warner Park, Basseterre"
cpl0048,St Kitts,Caribbean Premier League,2014-08-13,male,T20,,20,AD Russell,"Warner Park, Basseterre"
cpl0049,St Kitts,Caribbean Premier League,2014-08-14,male,T20,,20,LMP Simmons,"Warner Park, Basseterre"
cpl0050,St Kitts,Caribbean Premier League,2014-08-16,male,T20,,20,Shoaib Malik,"Warner Park, Basseterre"
cpl0051,Barbados,Caribbean Premier League,2015-06-20,male,T20,,20,KA Pollard,"Kensington Oval, Bridgetown"
cpl0052,St Lucia,Caribbean Premier League,2015-06-21,male,T20,,20,,"Daren Sammy National Cricket Stadium, Gros Islet"
cpl0053,Barbados,Caribbean Premier League,2015-06-23,male,T20,,20,RJ Peterson,"Kensington Oval, Bridgetown"
cpl0054,St Lucia,Caribbean Premier League,2015-06-24,male,T20,,20,ST Gabriel,"Daren Sammy National Cricket Stadium, Gros Islet"
cpl0055,Barbados,Caribbean Premier League,2015-06-25,male,T20,,20,JO Holder,"Kensington Oval, Bridgetown"
cpl0056,St Lucia,Caribbean Premier League,2015-06-26,male,T20,,20,J Charles,"Daren Sammy National Cricket Stadium, Gros Islet"
cpl0057,Barbados,Caribbean Premier League,2015-06-27,male,T20,,20,KA Pollard,"Kensington Oval, Bridgetown"
cpl0058,St Lucia,Caribbean Premier League,2015-06-28,male,T20,,20,CH Gayle,"Daren Sammy National Cricket Stadium, Gros Islet"
cpl0059,St Kitts,Caribbean Premier League,2015-06-30,male,T20,,20,CH Gayle,"Warner Park, Basseterre"
cpl0060,St Kitts,Caribbean Premier League,2015-07-01,male,T20,,20,Shoaib Malik,"Warner Park, Basseterre"
cpl0061,St Kitts,Caribbean Premier League,2015-07-03,male,T20,,20,ADS Fletcher,"Warner Park, Basseterre"
cpl0062,St Kitts,Caribbean Premier League,2015-07-03,male,T20,,20,D Ramdin,"Warner Park, Basseterre"
cpl0063,St Kitts,Caribbean Premier League,2015-07-04,male,T20,,20,DJ Bravo,"Warner Park, Basseterre"
cpl0064,St Kitts,Caribbean Premier League,2015-07-04,male,T20,,20,E Lewis,"Warner Park, Basseterre"
cpl0065,St Kitts,Caribbean Premier League,2015-07-06,male,T20,,20,T Shamsi,"Warner Park, Basseterre"
cpl0066,Jamaica,Caribbean Premier League,2015-07-07,male,T20,,20,CAK Walton,"Sabina Park, Kingston"
cpl0067,St Kitts,Caribbean Premier League,2015-07-08,male,T20,,20,BJ Hodge,"Warner Park, Basseterre"
cpl0068,Jamaica,Caribbean Premier League,2015-07-09,male,T20,,20,CH Gayle,"Sabina Park, Kingston"
cpl0069,St Kitts,Caribbean Premier League,2015-07-10,male,T20,,20,SO Dowrich,"Warner Park, Basseterre"
cpl0070,Jamaica,Caribbean Premier League,2015-07-11,male,T20,,20,KA Pollard,"Sabina Park, Kingston"
cpl0071,St Kitts,Caribbean Premier League,2015-07-11,male,T20,,20,DJ Bravo,"Warner Park, Basseterre"
cpl0072,Jamaica,Caribbean Premier League,2015-07-12,male,T20,,20,BJ Hodge,"Sabina Park, Kingston"
cpl0073,Trinidad,Caribbean Premier League,2015-07-14,male,T20,,20,J Charles,"Queen's Park Oval, Port of Spain"
cpl0074,Trinidad,Caribbean Premier League,2015-07-16,male,T20,,20,DM Bravo,"Queen's Park Oval, Port of Spain"
cpl0075,Guyana,Caribbean Premier League,2015-07-17,male,T20,,20,SP Narine,Providence Stadium
cpl0076,Guyana,Caribbean Premier League,2015-07-18,male,T20,,20,RR Emrit,Providence Stadium
cpl0077,Trinidad,Caribbean Premier League,2015-07-18,male,T20,,20,DM Bravo,"Queen's Park Oval, Port of Spain"
cpl0078,Trinidad,Caribbean Premier League,2015-07-19,male,T20,,20,DJ Bravo,"Queen's Park Oval, Port of Spain"
cpl0079,Guyana,Caribbean Premier League,2015-07-21,male,T20,,20,LMP Simmons,Providence Stadium
cpl0080,Trinidad,Caribbean Premier League,2015-07-23,male,T20,,20,DM Bravo,"Queen's Park Oval, Port of Spain"
cpl0081,Trinidad,Caribbean Premier League,2015-07-25,male,T20,,20,Kamran Akmal,"Queen's Park Oval, Port of Spain"
cpl0082,Trinidad,Caribbean Premier League,2015-07-26,male,T20,,20,Kamran Akmal,"Queen's Park Oval, Port of Spain"
cpl0083,Trinidad,Caribbean Premier League,2016-06-29,male,T20,,20,J Charles,"Queen's Park Oval, Port of Spain"
cpl0084,St Kitts,Caribbean Premier League,2016-06-30,male,T20,,20,DR Smith,"Warner Park, Basseterre"
cpl0085,Trinidad,Caribbean Premier League,2016-07-01,male,T20,,20,HM Amla,"Queen's Park Oval, Port of Spain"
cpl0086,St Kitts,Caribbean Premier League,2016-07-02,male,T20,,20,KOK Williams,"Warner Park, Basseterre"
cpl0087,Trinidad,Caribbean Premier League,2016-07-02,male,T20,,20,C Munro,"Queen's Park Oval, Port of Spain"
cpl0088,St Kitts,Caribbean Premier League,2016-07-03,male,T20,,20,E Lewis,"Warner Park, Basseterre"
cpl0089,Trinidad,Caribbean Premier League,2016-07-04,male,T20,,20,CH Gayle,"Queen's Park Oval, Port of Spain"
cpl0090,Guyana,Caribbean Premier League,2016-07-10,male,T20,,20,HM Amla,Providence Stadium
cpl0091,Barbados,Caribbean Premier League,2016-07-11,male,T20,,20,,"Kensington Oval, Bridgetown"
cpl0092,Barbados,Caribbean Premier League,2016-07-13,male,T20,,20,AB de Villiers,"Kensington Oval, Bridgetown"
cpl0093,Jamaica,Caribbean Premier League,2016-07-15,male,T20,,20,Shakib Al Hasan,"Sabina Park, Kingston"
cpl0094,Jamaica,Caribbean Premier League,2016-07-16,male,T20,,20,KC Sangakkara,"Sabina Park, Kingston"
cpl0095,Barbados,Caribbean Premier League,2016-07-16,male,T20,,20,C Munro,"Kensington Oval, Bridgetown"
cpl0096,Barbados,Caribbean Premier League,2016-07-17,male,T20,,20,N Pooran,"Kensington Oval, Bridgetown"
cpl0097,Jamaica,Caribbean Premier League,2016-07-18,male,T20,,20,AD Russell,"Sabina Park, Kingston"
cpl0098,Jamaica,Caribbean Premier League,2016-07-20,male,T20,,20,CAK Walton,"Sabina Park, Kingston"
cpl0099,St Lucia,Caribbean Premier League,2016-07-21,male,T20,,20,DJG Sammy,"Daren Sammy National Cricket Stadium, Gros Islet"
cpl0100,St Lucia,Caribbean Premier League,2016-07-24,male,T20,,20,J Charles,"Daren Sammy National Cricket Stadium, Gros Islet"
cpl0101,St Lucia,Caribbean Premier League,2016-07-26,male,T20,,20,Umar Akmal,"Daren Sammy National Cricket Stadium, Gros Islet"
cpl0102,Lauderhill,Caribbean Premier League,2016-07-28,male,T20,,20,DR Smith,Central Broward Regional Park Stadium Turf Ground
cpl0103,Lauderhill,Caribbean Premier League,2016-07-29,male,T20,,20,E Lewis,Central Broward Regional Park Stadium Turf Ground
cpl0104,Lauderhill,Caribbean Premier League,2016-07-30,male,T20,,20,JN Mohammed,Central Broward Regional Park Stadium Turf Ground
cpl0105,Lauderhill,Caribbean Premier League,2016-07-30,male,T20,,20,ADS Fletcher,Central Broward Regional Park Stadium Turf Ground
cpl0106,Lauderhill,Caribbean Premier League,2016-07-31,male,T20,,20,SR Watson,Central Broward Regional Park Stadium Turf Ground
cpl0107,Lauderhill,Caribbean Premier League,2016-07-31,male,T20,,20,DJ Bravo,Central Broward Regional Park Stadium Turf Ground
cpl0108,St Kitts,Caribbean Premier League,2016-08-04,male,T20,,20,BB McCullum,"Warner Park, Basseterre"
cpl0109,St Kitts,Caribbean Premier League,2016-08-05,male,T20,,20,AD Russell,"Warner Park, Basseterre"
cpl0110,St Kitts,Caribbean Premier League,2016-08-07,male,T20,,20,Imad Wasim,"Warner Park, Basseterre"
cpl0111,St Lucia,Caribbean Premier League,2017-08-04,male,T20,,20,Shadab Khan,"Daren Sammy National Cricket Stadium, Gros Islet"
cpl0112,Lauderhill,Caribbean Premier League,2017-08-05,male,T20,,20,AJ Hosein,Central Broward Regional Park Stadium Turf Ground
cpl0113,Lauderhill,Caribbean Premier League,2017-08-05,male,T20,,20,Hasan Ali,Central Broward Regional Park Stadium Turf Ground
cpl0114,Lauderhill,Caribbean Premier League,2017-08-06,male,T20,,20,AM McCarthy,Central Broward Regional Park Stadium Turf Ground
cpl0115,Lauderhill,Caribbean Premier League,2017-08-06,male,T20,,20,CH Gayle,Central Broward Regional Park Stadium Turf Ground
cpl0116,Trinidad,Caribbean Premier League,2017-08-07,male,T20,,20,Shadab Khan,"Queen's Park Oval, Port of Spain"
cpl0117,Trinidad,Caribbean Premier League,2017-08-09,male,T20,,20,KOK Williams,"Queen's Park Oval, Port of Spain"
cpl0118,St Lucia,Caribbean Premier League,2017-08-10,male,T20,,20,KA Pollard,"Daren Sammy National Cricket Stadium, Gros Islet"
cpl0119,Trinidad,Caribbean Premier League,2017-08-11,male,T20,,20,C Munro,"Queen's Park Oval, Port of Spain"
cpl0120,Trinidad,Caribbean Premier League,2017-08-12,male,T20,,20,SP Narine,"Queen's Park Oval, Port of Spain"
cpl0121,St Lucia,Caribbean Premier League,2017-08-12,male,T20,,20,E Lewis,"Daren Sammy National Cricket Stadium, Gros Islet"
cpl0122,St Lucia,Caribbean Premier League,2017-08-13,male,T20,,20,Rashid Khan,"Daren Sammy National Cricket Stadium, Gros Islet"
cpl0123,Trinidad,Caribbean Premier League,2017-08-14,male,T20,,20,D Ramdin,"Queen's Park Oval, Port of Spain"
cpl0124,St Lucia,Caribbean Premier League,2017-08-15,male,T20,,20,AM McCarthy,"Daren Sammy National Cricket Stadium, Gros Islet"
cpl0125,Guyana,Caribbean Premier League,2017-08-17,male,T20,,20,KOK Williams,Providence Stadium
cpl0126,St Kitts,Caribbean Premier League,2017-08-18,male,T20,,20,KA Pollard,"Warner Park, Basseterre"
cpl0127,St Kitts,Caribbean Premier League,2017-08-19,male,T20,,20,,"Warner Park, Basseterre"
cpl0128,Guyana,Caribbean Premier League,2017-08-19,male,T20,,20,BB McCullum,Providence Stadium
cpl0129,Guyana,Caribbean Premier League,2017-08-20,male,T20,,20,CAK Walton,Providence Stadium
cpl0130,St Kitts,Caribbean Premier League,2017-08-21,male,T20,,20,E Lewis,"Warner Park, Basseterre"
cpl0131,Guyana,Caribbean Premier League,2017-08-22,male,T20,,20,Sohail Tanvir,Providence Stadium
cpl0132,St Kitts,Caribbean Premier League,2017-08-23,male,T20,,20,DM Bravo,"Warner Park, Basseterre"
cpl0133,Jamaica,Caribbean Premier League,2017-08-25,male,T20,,20,KC Sangakkara,"Sabina Park, Kingston"
cpl0134,Jamaica,Caribbean Premier League,2017-08-26,male,T20,,20,BB McCullum,"Sabina Park, Kingston"
cpl0135,Barbados,Caribbean Premier League,2017-08-29,male,T20,,20,Sohail Tanvir,"Kensington Oval, Bridgetown"
cpl0136,Jamaica,Caribbean Premier League,2017-08-30,male,T20,,20,O Thomas,"Sabina Park, Kingston"
cpl0137,Barbados,Caribbean Premier League,2017-08-31,male,T20,,20,DR Smith,"Kensington Oval, Bridgetown"
cpl0138,Jamaica,Caribbean Premier League,2017-09-01,male,T20,,20,CAK Walton,"Sabina Park, Kingston"
cpl0139,Barbados,Caribbean Premier League,2017-09-02,male,T20,,20,WD Parnell,"Kensington Oval, Bridgetown"
cpl0140,Barbados,Caribbean Premier League,2017-09-03,male,T20,,20,E Lewis,"Kensington Oval, Bridgetown"
cpl0141,Trinidad,Caribbean Premier League,2017-09-05,male,T20,,20,CH Gayle,"Brian Lara Stadium, Tarouba"
cpl0142,Trinidad,Caribbean Premier League,2017-09-06,male,T20,,20,L Ronchi,"Brian Lara Stadium, Tarouba"
cpl0143,Trinidad,Caribbean Premier League,2017-09-07,male,T20,,20,C Munro,"Brian Lara Stadium, Tarouba"
cpl0144,Trinidad,Caribbean Premier League,2017-09-09,male,T20,,20,KK Cooper,"Brian Lara Stadium, Tarouba"
cpl0145,Trinidad,Caribbean Premier League,2018-08-08,male,T20,,20,C Munro,"Queen's Park Oval, Port of Spain"
cpl0146,Guyana,Caribbean Premier League,2018-08-09,male,T20,,20,SO Hetmyer,Providence Stadium
cpl0147,Trinidad,Caribbean Premier League,2018-08-10,male,T20,,20,AD Russell,"Queen's Park Oval, Port of Spain"
cpl0148,Trinidad,Caribbean Premier League,2018-08-11,male,T20,,20,DC Thomas,"Queen's Park Oval, Port of Spain"
cpl0149,Guyana,Caribbean Premier League,2018-08-11,male,T20,,20,RR Emrit,Providence Stadium
cpl0150,Guyana,Caribbean Premier League,2018-08-12,male,T20,,20,RA Reifer,Providence Stadium
cpl0151,Jamaica,Caribbean Premier League,2018-08-14,male,T20,,20,A Zampa,"Sabina Park, Kingston"
cpl0152,Jamaica,Caribbean Premier League,2018-08-15,male,T20,,20,K Lewis,"Sabina Park, Kingston"
cpl0153,St Lucia,Caribbean Premier League,2018-08-16,male,T20,,20,DM Bravo,"Daren Sammy National Cricket Stadium, Gros Islet"
cpl0154,St Lucia,Caribbean Premier League,2018-08-17,male,T20,,20,KA Pollard,"Daren Sammy National Cricket Stadium, Gros Islet"
cpl0155,Lauderhill,Caribbean Premier League,2018-08-18,male,T20,,20,SO Hetmyer,Central Broward Regional Park Stadium Turf Ground
cpl0156,Lauderhill,Caribbean Premier League,2018-08-19,male,T20,,20,K Pierre,Central Broward Regional Park Stadium Turf Ground
cpl0157,St Lucia,Caribbean Premier League,2018-08-21,male,T20,,20,SS Cottrell,"Daren Sammy National Cricket Stadium, Gros Islet"
cpl0158,Lauderhill,Caribbean Premier League,2018-08-22,male,T20,,20,SPD Smith,Central Broward Regional Park Stadium Turf Ground
cpl0159,St Lucia,Caribbean Premier League,2018-08-24,male,T20,,20,ADS Fletcher,"Daren Sammy National Cricket Stadium, Gros Islet"
cpl0160,St Lucia,Caribbean Premier League,2018-08-25,male,T20,,20,R Powell,"Daren Sammy National Cricket Stadium, Gros Islet"
cpl0161,Barbados,Caribbean Premier League,2018-08-25,male,T20,,20,Mohammad Irfan,"Kensington Oval, Bridgetown"
cpl0162,Barbados,Caribbean Premier League,2018-08-26,male,T20,,20,BB McCullum,"Kensington Oval, Bridgetown"
cpl0163,St Kitts,Caribbean Premier League,2018-08-28,male,T20,,20,Sohail Tanvir,"Warner Park, Basseterre"
cpl0164,Barbados,Caribbean Premier League,2018-08-29,male,T20,,20,J Charles,"Kensington Oval, Bridgetown"
cpl0165,Barbados,Caribbean Premier League,2018-08-31,male,T20,,20,L Ronchi,"Kensington Oval, Bridgetown"
cpl0166,St Kitts,Caribbean Premier League,2018-09-01,male,T20,,20,C Munro,"Warner Park, Basseterre"
cpl0167,St Kitts,Caribbean Premier League,2018-09-02,male,T20,,20,HE van der Dussen,"Warner Park, Basseterre"
cpl0168,Barbados,Caribbean Premier League,2018-09-02,male,T20,,20,C Lamont,"Kensington Oval, Bridgetown"
cpl0169,St Kitts,Caribbean Premier League,2018-09-04,male,T20,,20,FA Allen,"Warner Park, Basseterre"
cpl0170,Trinidad,Caribbean Premier League,2018-09-05,male,T20,,20,C Munro,"Queen's Park Oval, Port of Spain"
cpl0171,Trinidad,Caribbean Premier League,2018-09-07,male,T20,,20,Fawad Ahmed,"Queen's Park Oval, Port of Spain"
cpl0172,Guyana,Caribbean Premier League,2018-09-08,male,T20,,20,R Powell,Providence Stadium
cpl0173,Guyana,Caribbean Premier League,2018-09-09,male,T20,,20,SE Rutherford,Providence Stadium
cpl0174,Guyana,Caribbean Premier League,2018-09-11,male,T20,,20,SO Hetmyer,Providence Stadium
cpl0175,Guyana,Caribbean Premier League,2018-09-12,male,T20,,20,AP Devcich,Providence Stadium
cpl0176,Trinidad,Caribbean Premier League,2018-09-14,male,T20,,20,Fawad Ahmed,"Brian Lara Stadium, Tarouba"
cpl0177,Trinidad,Caribbean Premier League,2018-09-16,male,T20,,20,K Pierre,"Brian Lara Stadium, Tarouba"
cpl0178,Trinidad,Caribbean Premier League,2019-09-04,male,T20,,20,JDS Neesham,"Queen's Park Oval, Port of Spain"
cpl0179,Guyana,Caribbean Premier League,2019-09-05,male,T20,,20,CJ Green,Providence Stadium
cpl0180,Trinidad,Caribbean Premier League,2019-09-06,male,T20,,20,SP Narine,"Queen's Park Oval, Port of Spain"
cpl0181,Guyana,Caribbean Premier League,2019-09-07,male,T20,,20,SO Hetmyer,Providence Stadium
cpl0182,Guyana,Caribbean Premier League,2019-09-08,male,T20,,20,N Pooran,Providence Stadium
cpl0183,Trinidad,Caribbean Premier League,2019-09-08,male,T20,,20,LMP Simmons,"Queen's Park Oval, Port of Spain"
cpl0184,St Kitts,Caribbean Premier League,2019-09-10,male,T20,,20,E Lewis,"Warner Park, Basseterre"
cpl0185,St Kitts,Caribbean Premier League,2019-09-11,male,T20,,20,S Lamichhane,"Warner Park, Basseterre"
cpl0186,Jamaica,Caribbean Premier League,2019-09-12,male,T20,,20,RRS Cornwall,"Sabina Park, Kingston"
cpl0187,Jamaica,Caribbean Premier League,2019-09-13,male,T20,,20,C Munro,"Sabina Park, Kingston"
cpl0188,St Kitts,Caribbean Premier League,2019-09-14,male,T20,,20,Qais Ahmad,"Warner Park, Basseterre"
