key,data_version,created,revision
cpl0001,0.91,2020-08-26,1
cpl0002,0.91,2020-08-26,1
cpl0003,0.91,2020-08-26,1
cpl0004,0.91,2020-08-26,1
cpl0005,0.91,2020-08-26,1
cpl0006,0.91,2020-08-26,1
cpl0007,0.91,2020-08-26,1
cpl0008,0.91,2020-08-26,1
cpl0009,0.91,2020-08-26,1
cpl0010,0.91,2020-08-26,1
cpl0011,0.91,2020-08-26,1
cpl0012,0.91,2020-08-26,1
cpl0013,0.91,2020-08-26,1
cpl0014,0.91,2020-08-26,1
cpl0015,0.91,2020-08-26,1
cpl0016,0.91,2020-08-26,1
cpl0017,0.91,2020-08-26,1
cpl0018,0.91,2020-08-26,1
cpl0019,0.91,2020-08-26,1
cpl0020,0.91,2020-08-26,1
cpl0021,0.91,2020-08-26,1
cpl0022,0.91,2020-08-26,1
cpl0023,0.91,2020-08-26,1
cpl0024,0.91,2020-08-22,1
cpl0025,0.91,2020-08-22,1
cpl0026,0.91,2020-08-22,1
cpl0027,0.91,2020-08-22,1
cpl0028,0.91,2020-08-22,1
cpl0029,0.91,2020-08-22,1
cpl0030,0.91,2020-08-22,1
cpl0031,0.91,2020-08-22,1
cpl0032,0.91,2020-08-22,1
cpl0033,0.91,2020-08-22,1
cpl0034,0.91,2020-08-22,1
cpl0035,0.91,2020-08-22,1
cpl0036,0.91,2020-08-22,1
cpl0037,0.91,2020-08-22,1
cpl0038,0.91,2020-08-22,1
cpl0039,0.91,2020-08-22,1
cpl0040,0.91,2020-08-22,1
cpl0041,0.91,2020-08-22,1
cpl0042,0.91,2020-08-22,1
cpl0043,0.91,2020-08-22,1
cpl0044,0.91,2020-08-22,1
cpl0045,0.91,2020-08-22,1
cpl0046,0.91,2020-08-22,1
cpl0047,0.91,2020-08-22,1
cpl0048,0.91,2020-08-22,1
cpl0049,0.91,2020-08-22,1
cpl0050,0.91,2020-08-22,1
cpl0051,0.91,2020-08-22,1
cpl0052,0.91,2020-08-22,1
cpl0053,0.91,2020-08-22,1
cpl0054,0.91,2020-08-22,1
