key,player_of_match
cpl0001,Shoaib Malik
cpl0002,K Santokie
cpl0003,Shakib Al Hasan
cpl0004,LMP Simmons
cpl0005,Shakib Al Hasan
cpl0006,Misbah-ul-Haq
cpl0007,VD Philander
cpl0008,MN Samuels
cpl0009,DP Hyatt
cpl0010,KJ O'Brien
cpl0011,AD Russell
cpl0012,DJ Bravo
cpl0013,MJ Guptill
cpl0014,SS Cottrell
cpl0015,ADS Fletcher
cpl0016,SP Narine
cpl0017,S Badree
cpl0018,Mohammad Hafeez
cpl0019,M Muralitharan
cpl0020,CH Gayle
cpl0021,TM Dilshan
cpl0022,KC Sangakkara
cpl0023,CH Gayle
cpl0024,D Ramdin
cpl0025,LRPL Taylor
cpl0026,DL Vettori
cpl0027,K Santokie
cpl0028,Shoaib Malik
cpl0029,CAK Walton
cpl0030,KJ O'Brien
cpl0031,DR Smith
cpl0032,DM Bravo
cpl0033,DR Smith
cpl0034,KJ O'Brien
cpl0035,E Lewis
cpl0036,JO Holder
cpl0037,JE Taylor
cpl0038,ST Gabriel
cpl0039,AD Russell
cpl0040,Sohail Tanvir
cpl0041,JE Taylor
cpl0042,JO Holder
cpl0043,MJ Guptill
cpl0044,B Laughlin
cpl0045,M Matthew
cpl0046,KA Pollard
cpl0047,LMP Simmons
cpl0048,AD Russell
cpl0049,LMP Simmons
cpl0050,Shoaib Malik
cpl0051,KA Pollard
cpl0053,RJ Peterson
cpl0054,ST Gabriel
cpl0055,JO Holder
cpl0056,J Charles
cpl0057,KA Pollard
cpl0058,CH Gayle
cpl0059,CH Gayle
cpl0060,Shoaib Malik
cpl0061,ADS Fletcher
cpl0062,D Ramdin
cpl0063,DJ Bravo
cpl0064,E Lewis
cpl0065,T Shamsi
cpl0066,CAK Walton
cpl0067,BJ Hodge
cpl0068,CH Gayle
cpl0069,SO Dowrich
cpl0070,KA Pollard
cpl0071,DJ Bravo
cpl0072,BJ Hodge
cpl0073,J Charles
cpl0074,DM Bravo
cpl0075,SP Narine
cpl0076,RR Emrit
cpl0077,DM Bravo
cpl0078,DJ Bravo
cpl0079,LMP Simmons
cpl0080,DM Bravo
cpl0081,Kamran Akmal
cpl0082,Kamran Akmal
cpl0083,J Charles
cpl0084,DR Smith
cpl0085,HM Amla
cpl0086,KOK Williams
cpl0087,C Munro
cpl0088,E Lewis
cpl0089,CH Gayle
cpl0090,HM Amla
cpl0092,AB de Villiers
cpl0093,Shakib Al Hasan
cpl0094,KC Sangakkara
cpl0095,C Munro
cpl0096,N Pooran
cpl0097,AD Russell
cpl0098,CAK Walton
cpl0099,DJG Sammy
cpl0100,J Charles
