key,team
cpl0001,Barbados Tridents
cpl0001,St Lucia Zouks
cpl0002,Guyana Amazon Warriors
cpl0002,Trinidad & Tobago Red Steel
cpl0003,Barbados Tridents
cpl0003,Antigua Hawksbills
cpl0004,Jamaica Tallawahs
cpl0004,Guyana Amazon Warriors
cpl0005,Trinidad & Tobago Red Steel
cpl0005,Barbados Tridents
cpl0006,Guyana Amazon Warriors
cpl0006,St Lucia Zouks
cpl0007,Antigua Hawksbills
cpl0007,Jamaica Tallawahs
cpl0008,Antigua Hawksbills
cpl0008,St Lucia Zouks
cpl0009,Jamaica Tallawahs
cpl0009,Trinidad & Tobago Red Steel
cpl0010,Trinidad & Tobago Red Steel
cpl0010,Guyana Amazon Warriors
cpl0011,St Lucia Zouks
cpl0011,Jamaica Tallawahs
cpl0012,Trinidad & Tobago Red Steel
cpl0012,Antigua Hawksbills
cpl0013,Guyana Amazon Warriors
cpl0013,Barbados Tridents
cpl0014,Barbados Tridents
cpl0014,Antigua Hawksbills
cpl0015,St Lucia Zouks
cpl0015,Antigua Hawksbills
cpl0016,Guyana Amazon Warriors
cpl0016,Jamaica Tallawahs
cpl0017,St Lucia Zouks
cpl0017,Trinidad & Tobago Red Steel
cpl0018,Antigua Hawksbills
cpl0018,Guyana Amazon Warriors
cpl0019,Barbados Tridents
cpl0019,Jamaica Tallawahs
cpl0020,Trinidad & Tobago Red Steel
cpl0020,Jamaica Tallawahs
cpl0021,Trinidad & Tobago Red Steel
cpl0021,Guyana Amazon Warriors
cpl0022,Barbados Tridents
cpl0022,Jamaica Tallawahs
cpl0023,Guyana Amazon Warriors
cpl0023,Jamaica Tallawahs
cpl0024,Antigua Hawksbills
cpl0024,Guyana Amazon Warriors
cpl0025,Barbados Tridents
cpl0025,Trinidad & Tobago Red Steel
cpl0026,Antigua Hawksbills
cpl0026,Jamaica Tallawahs
cpl0027,St Lucia Zouks
cpl0027,Guyana Amazon Warriors
cpl0028,Antigua Hawksbills
cpl0028,Barbados Tridents
cpl0029,Jamaica Tallawahs
cpl0029,Guyana Amazon Warriors
cpl0030,Antigua Hawksbills
cpl0030,Trinidad & Tobago Red Steel
cpl0031,Barbados Tridents
cpl0031,St Lucia Zouks
cpl0032,Guyana Amazon Warriors
cpl0032,Trinidad & Tobago Red Steel
cpl0033,Guyana Amazon Warriors
cpl0033,Barbados Tridents
cpl0034,Trinidad & Tobago Red Steel
cpl0034,Jamaica Tallawahs
cpl0035,St Lucia Zouks
cpl0035,Trinidad & Tobago Red Steel
cpl0036,St Lucia Zouks
cpl0036,Barbados Tridents
cpl0037,Antigua Hawksbills
cpl0037,Jamaica Tallawahs
cpl0038,St Lucia Zouks
cpl0038,Trinidad & Tobago Red Steel
cpl0039,Guyana Amazon Warriors
cpl0039,Jamaica Tallawahs
cpl0040,Antigua Hawksbills
cpl0040,St Lucia Zouks
cpl0041,Jamaica Tallawahs
cpl0041,Barbados Tridents
cpl0042,Barbados Tridents
cpl0042,Trinidad & Tobago Red Steel
cpl0043,Guyana Amazon Warriors
cpl0043,Antigua Hawksbills
cpl0044,Trinidad & Tobago Red Steel
cpl0044,Antigua Hawksbills
cpl0045,Jamaica Tallawahs
cpl0045,St Lucia Zouks
cpl0046,Barbados Tridents
cpl0046,Jamaica Tallawahs
cpl0047,St Lucia Zouks
cpl0047,Guyana Amazon Warriors
cpl0048,Trinidad & Tobago Red Steel
cpl0048,Jamaica Tallawahs
