key,toss_winner,toss_decision,decision,winner
cpl0001,,,bat,Barbados Tridents
cpl0002,,,field,Trinidad & Tobago Red Steel
cpl0003,,,bat,Barbados Tridents
cpl0004,,,field,Guyana Amazon Warriors
cpl0005,,,bat,Trinidad & Tobago Red Steel
cpl0006,,,field,St Lucia Zouks
cpl0007,,,bat,Antigua Hawksbills
cpl0008,,,field,St Lucia Zouks
cpl0009,,,field,Trinidad & Tobago Red Steel
cpl0010,,,bat,Trinidad & Tobago Red Steel
cpl0011,,,bat,St Lucia Zouks
cpl0012,,,bat,Trinidad & Tobago Red Steel
cpl0013,,,bat,Guyana Amazon Warriors
cpl0014,,,bat,Barbados Tridents
cpl0015,,,bat,St Lucia Zouks
cpl0016,,,field,Jamaica Tallawahs
cpl0017,,,field,Trinidad & Tobago Red Steel
cpl0018,,,bat,Antigua Hawksbills
cpl0019,,,field,Jamaica Tallawahs
cpl0020,,,field,Jamaica Tallawahs
cpl0021,,,field,Guyana Amazon Warriors
cpl0022,,,field,Jamaica Tallawahs
cpl0023,,,field,Jamaica Tallawahs
cpl0024,,,field,Guyana Amazon Warriors
cpl0025,,,field,Trinidad & Tobago Red Steel
cpl0026,,,bat,Antigua Hawksbills
cpl0027,,,field,Guyana Amazon Warriors
cpl0028,,,field,Barbados Tridents
cpl0029,,,field,Guyana Amazon Warriors
cpl0030,,,field,Trinidad & Tobago Red Steel
cpl0031,,,field,St Lucia Zouks
cpl0032,,,field,Trinidad & Tobago Red Steel
cpl0033,,,field,Barbados Tridents
cpl0034,,,field,Jamaica Tallawahs
cpl0035,,,bat,St Lucia Zouks
cpl0036,,,bat,St Lucia Zouks
cpl0037,,,field,Jamaica Tallawahs
cpl0038,,,field,Trinidad & Tobago Red Steel
cpl0039,,,field,Jamaica Tallawahs
cpl0040,,,field,St Lucia Zouks
cpl0041,,,field,Barbados Tridents
cpl0042,,,field,Trinidad & Tobago Red Steel
cpl0043,,,field,Antigua Hawksbills
cpl0044,,,field,Antigua Hawksbills
cpl0045,,,field,St Lucia Zouks
cpl0046,,,bat,Barbados Tridents
cpl0047,,,field,Guyana Amazon Warriors
cpl0048,,,field,Jamaica Tallawahs
cpl0049,,,field,Guyana Amazon Warriors
cpl0050,,,field,Guyana Amazon Warriors
cpl0051,,,bat,Barbados Tridents
cpl0052,,,field,Trinidad & Tobago Red Steel
cpl0053,,,bat,Barbados Tridents
cpl0054,,,bat,St Kitts and Nevis Patriots
cpl0055,,,bat,Trinidad & Tobago Red Steel
cpl0056,,,field,Guyana Amazon Warriors
cpl0057,,,field,Barbados Tridents
cpl0058,,,field,Jamaica Tallawahs
cpl0059,,,bat,St Kitts and Nevis Patriots
cpl0060,,,bat,Barbados Tridents
cpl0061,,,bat,St Lucia Zouks
cpl0062,,,bat,St Kitts and Nevis Patriots
cpl0063,,,bat,Guyana Amazon Warriors
cpl0064,,,field,Jamaica Tallawahs
cpl0065,,,bat,Barbados Tridents
cpl0066,,,field,Jamaica Tallawahs
cpl0067,,,bat,St Kitts and Nevis Patriots
cpl0068,,,field,Trinidad & Tobago Red Steel
cpl0069,,,field,St Lucia Zouks
cpl0070,,,bat,Barbados Tridents
cpl0071,,,bat,St Kitts and Nevis Patriots
cpl0072,,,field,Jamaica Tallawahs
cpl0073,,,field,St Lucia Zouks
cpl0074,,,bat,Trinidad & Tobago Red Steel
cpl0075,,,field,Guyana Amazon Warriors
cpl0076,,,bat,Barbados Tridents
cpl0077,,,bat,Trinidad & Tobago Red Steel
cpl0078,,,bat,Trinidad & Tobago Red Steel
cpl0079,,,bat,Trinidad & Tobago Red Steel
cpl0080,,,bat,Trinidad & Tobago Red Steel
cpl0081,,,bat,Guyana Amazon Warriors
