key,umpire
cpl0001,BF Bowden
cpl0001,GO Brathwaite
cpl0002,JS Wilson
cpl0002,PJ Nero
cpl0003,LS Reifer
cpl0003,BF Bowden
cpl0004,JS Wilson
cpl0004,PJ Nero
cpl0005,BF Bowden
cpl0005,GO Brathwaite
cpl0006,JS Wilson
cpl0006,PJ Nero
cpl0007,N Duguid
cpl0007,C Alfred
cpl0008,N Duguid
cpl0008,GO Brathwaite
cpl0009,PA Gustard
cpl0009,PJ Nero
cpl0010,JS Wilson
cpl0010,PJ Nero
cpl0011,N Duguid
cpl0011,GO Brathwaite
cpl0012,PA Gustard
cpl0012,PJ Nero
cpl0013,JS Wilson
cpl0013,Danesh Ramdhanie
cpl0014,BF Bowden
cpl0014,JS Wilson
cpl0015,BF Bowden
cpl0015,CM Tuckett
cpl0016,PA Gustard
cpl0016,PJ Nero
cpl0017,PA Gustard
cpl0017,Verdayne Smith
cpl0018,JS Wilson
cpl0018,CM Tuckett
cpl0019,Christopher Taylor
cpl0019,GO Brathwaite
cpl0020,PA Gustard
cpl0020,GO Brathwaite
cpl0021,BF Bowden
cpl0021,JS Wilson
cpl0022,N Duguid
cpl0022,JS Wilson
cpl0023,N Duguid
cpl0023,BF Bowden
cpl0024,N Duguid
cpl0024,PJ Nero
cpl0025,PA Gustard
cpl0025,PJ Nero
cpl0026,JS Wilson
cpl0026,GO Brathwaite
cpl0027,PA Gustard
cpl0027,PJ Nero
cpl0028,LS Reifer
cpl0028,JS Wilson
cpl0029,PA Gustard
cpl0029,PJ Nero
cpl0030,LS Reifer
cpl0030,GO Brathwaite
cpl0031,JS Wilson
cpl0031,GO Brathwaite
cpl0032,N Duguid
cpl0032,PJ Nero
cpl0033,LS Reifer
cpl0033,GO Brathwaite
cpl0034,PA Gustard
cpl0034,PJ Nero
cpl0035,N Duguid
cpl0035,PA Gustard
cpl0036,JS Wilson
cpl0036,GO Brathwaite
cpl0037,N Duguid
cpl0037,PJ Nero
cpl0038,JS Wilson
cpl0038,GO Brathwaite
cpl0039,PA Gustard
cpl0039,PJ Nero
cpl0040,LS Reifer
cpl0040,GO Brathwaite
cpl0041,N Duguid
cpl0041,PA Gustard
cpl0042,JS Wilson
cpl0042,GO Brathwaite
cpl0043,N Duguid
cpl0043,PJ Nero
cpl0044,LS Reifer
cpl0044,JS Wilson
cpl0045,PA Gustard
cpl0045,PJ Nero
cpl0046,LS Reifer
cpl0046,GO Brathwaite
cpl0047,N Duguid
cpl0047,PA Gustard
cpl0048,JS Wilson
cpl0048,GO Brathwaite
cpl0049,LS Reifer
cpl0049,JS Wilson
cpl0050,JS Wilson
cpl0050,GO Brathwaite
cpl0051,N Duguid
cpl0051,PJ Nero
cpl0052,PA Gustard
cpl0052,JS Wilson
cpl0053,N Duguid
cpl0053,MD Martell
cpl0054,PA Gustard
cpl0054,JD Ward
cpl0055,PJ Nero
cpl0055,MD Martell
cpl0056,JD Ward
cpl0056,JS Wilson
cpl0057,N Duguid
cpl0057,PJ Nero
cpl0058,PA Gustard
cpl0058,JS Wilson
cpl0059,N Duguid
cpl0059,MD Martell
cpl0060,PA Gustard
cpl0060,JD Ward
cpl0061,PJ Nero
cpl0061,MD Martell
cpl0062,JD Ward
cpl0062,JS Wilson
cpl0063,N Duguid
cpl0063,PJ Nero
cpl0064,PA Gustard
cpl0064,JS Wilson
cpl0065,N Duguid
cpl0065,MD Martell
cpl0066,PA Gustard
cpl0066,JD Ward
cpl0067,PJ Nero
