winner,by.wickets,key,by.runs,method,result,eliminator
Sydney Sixers,7.0,bbl00001,,,,
Sydney Thunder,6.0,bbl00002,,,,
Hobart Hurricanes,,bbl00003,31.0,,,
Adelaide Strikers,,bbl00004,67.0,,,
Melbourne Stars,,bbl00005,8.0,,,
Hobart Hurricanes,,bbl00006,42.0,,,
Perth Scorchers,8.0,bbl00007,,,,
Sydney Thunder,6.0,bbl00008,,,,
Sydney Sixers,,bbl00009,2.0,,,
Hobart Hurricanes,,bbl00010,14.0,,,
Perth Scorchers,,bbl00011,10.0,,,
Melbourne Renegades,,bbl00012,6.0,,,
Hobart Hurricanes,5.0,bbl00013,,,,
Melbourne Renegades,8.0,bbl00014,,,,
Perth Scorchers,,bbl00015,8.0,,,
Sydney Sixers,,bbl00016,17.0,D/L,,
Perth Scorchers,,bbl00017,42.0,,,
Melbourne Stars,,bbl00018,19.0,,,
Sydney Sixers,,bbl00019,64.0,,,
Brisbane Heat,,bbl00020,12.0,,,
Brisbane Heat,,bbl00021,91.0,,,
Hobart Hurricanes,7.0,bbl00022,,,,
Sydney Sixers,,bbl00023,1.0,,,
Melbourne Stars,6.0,bbl00024,,,,
Perth Scorchers,,bbl00025,11.0,,,
Sydney Sixers,,bbl00026,7.0,,,
Sydney Sixers,7.0,bbl00027,,,,
Melbourne Renegades,8.0,bbl00028,,,,
Sydney Sixers,7.0,bbl00029,,,,
Hobart Hurricanes,8.0,bbl00030,,,,
Adelaide Strikers,6.0,bbl00031,,,,
Melbourne Stars,,bbl00032,24.0,D/L,,
Brisbane Heat,3.0,bbl00033,,,,
Melbourne Renegades,5.0,bbl00034,,,,
Melbourne Stars,4.0,bbl00035,,,,
Perth Scorchers,7.0,bbl00036,,,,
Perth Scorchers,9.0,bbl00037,,D/L,,
Melbourne Renegades,7.0,bbl00038,,,,
Adelaide Strikers,,bbl00039,51.0,,,
Melbourne Renegades,6.0,bbl00040,,,,
Adelaide Strikers,9.0,bbl00041,,,,
Hobart Hurricanes,7.0,bbl00042,,,,
Melbourne Stars,,bbl00043,8.0,,,
Brisbane Heat,5.0,bbl00044,,,,
Perth Scorchers,,bbl00045,51.0,,,
Sydney Sixers,4.0,bbl00046,,,,
Melbourne Renegades,,bbl00047,48.0,,,
Perth Scorchers,9.0,bbl00048,,,,
Melbourne Renegades,9.0,bbl00049,,,,
Sydney Sixers,5.0,bbl00050,,,,
Melbourne Stars,,bbl00051,13.0,,,
Perth Scorchers,,bbl00052,98.0,,,
Brisbane Heat,,bbl00053,15.0,,,
Perth Scorchers,8.0,bbl00054,,D/L,,
Brisbane Heat,,bbl00055,34.0,,,
Melbourne Stars,,bbl00056,76.0,,,
Sydney Sixers,6.0,bbl00057,,,,
,,bbl00058,,,no result,
Brisbane Heat,3.0,bbl00059,,,,
Perth Scorchers,,bbl00060,6.0,,,
Adelaide Strikers,,bbl00061,6.0,,,
Hobart Hurricanes,3.0,bbl00062,,,,
Melbourne Stars,,bbl00063,77.0,,,
Melbourne Renegades,,bbl00064,57.0,,,
Melbourne Renegades,,bbl00065,51.0,,,
Melbourne Stars,7.0,bbl00066,,,,
Sydney Sixers,,bbl00067,4.0,,,
Perth Scorchers,6.0,bbl00068,,,,
Melbourne Stars,9.0,bbl00069,,,,
Sydney Sixers,6.0,bbl00070,,,,
Perth Scorchers,,bbl00071,6.0,,,
Brisbane Heat,,bbl00072,48.0,,,
Melbourne Stars,8.0,bbl00073,,,,
,,bbl00074,,,tie,Perth Scorchers
Hobart Hurricanes,,bbl00075,73.0,,,
Melbourne Stars,3.0,bbl00076,,,,
Sydney Thunder,9.0,bbl00077,,,,
Sydney Sixers,,bbl00078,7.0,,,
Perth Scorchers,,bbl00079,5.0,,,
Brisbane Heat,,bbl00080,32.0,,,
Sydney Sixers,,bbl00081,2.0,,,
Melbourne Stars,5.0,bbl00082,,,,
Melbourne Renegades,,bbl00083,1.0,,,
Hobart Hurricanes,,bbl00084,40.0,,,
Sydney Sixers,8.0,bbl00085,,,,
Melbourne Stars,,bbl00086,20.0,,,
Hobart Hurricanes,7.0,bbl00087,,,,
Perth Scorchers,,bbl00088,5.0,D/L,,
Perth Scorchers,,bbl00089,39.0,,,
Adelaide Strikers,8.0,bbl00090,,,,
Sydney Sixers,8.0,bbl00091,,,,
Hobart Hurricanes,,bbl00092,52.0,,,
Sydney Thunder,,bbl00093,56.0,,,
Adelaide Strikers,1.0,bbl00094,,,,
Sydney Sixers,7.0,bbl00095,,,,
Perth Scorchers,,bbl00096,35.0,,,
Sydney Sixers,,bbl00097,16.0,,,
Brisbane Heat,,bbl00098,1.0,,,
Perth Scorchers,,bbl00099,36.0,,,
Melbourne Renegades,8.0,bbl00100,,,,
Adelaide Strikers,8.0,bbl00101,,,,
Sydney Thunder,,bbl00102,20.0,,,
Hobart Hurricanes,6.0,bbl00103,,,,
Melbourne Stars,,bbl00104,112.0,,,
Adelaide Strikers,5.0,bbl00105,,,,
,,bbl00106,,,tie,Melbourne Stars
Perth Scorchers,,bbl00107,18.0,,,
Melbourne Renegades,,bbl00108,37.0,,,
Perth Scorchers,8.0,bbl00109,,,,
