team_1,team_2,key
Sydney Sixers,Brisbane Heat,bbl00001
Melbourne Stars,Sydney Thunder,bbl00002
Perth Scorchers,Hobart Hurricanes,bbl00003
Adelaide Strikers,Melbourne Renegades,bbl00004
Brisbane Heat,Melbourne Stars,bbl00005
Hobart Hurricanes,Sydney Sixers,bbl00006
Melbourne Renegades,Perth Scorchers,bbl00007
Sydney Thunder,Adelaide Strikers,bbl00008
Sydney Sixers,Melbourne Stars,bbl00009
Adelaide Strikers,Hobart Hurricanes,bbl00010
Perth Scorchers,Brisbane Heat,bbl00011
Sydney Thunder,Melbourne Renegades,bbl00012
Hobart Hurricanes,Sydney Thunder,bbl00013
Melbourne Renegades,Sydney Sixers,bbl00014
Melbourne Stars,Perth Scorchers,bbl00015
Sydney Thunder,Sydney Sixers,bbl00016
Perth Scorchers,Adelaide Strikers,bbl00017
Hobart Hurricanes,Melbourne Stars,bbl00018
Adelaide Strikers,Sydney Sixers,bbl00019
Melbourne Renegades,Brisbane Heat,bbl00020
Brisbane Heat,Sydney Thunder,bbl00021
Hobart Hurricanes,Melbourne Renegades,bbl00022
Sydney Sixers,Perth Scorchers,bbl00023
Melbourne Stars,Adelaide Strikers,bbl00024
Perth Scorchers,Melbourne Stars,bbl00025
Hobart Hurricanes,Sydney Sixers,bbl00026
Perth Scorchers,Sydney Sixers,bbl00027
Melbourne Renegades,Melbourne Stars,bbl00028
Sydney Sixers,Sydney Thunder,bbl00029
Brisbane Heat,Hobart Hurricanes,bbl00030
Perth Scorchers,Adelaide Strikers,bbl00031
Perth Scorchers,Melbourne Stars,bbl00032
Adelaide Strikers,Brisbane Heat,bbl00033
Sydney Thunder,Melbourne Renegades,bbl00034
Melbourne Stars,Hobart Hurricanes,bbl00035
Sydney Sixers,Perth Scorchers,bbl00036
Brisbane Heat,Perth Scorchers,bbl00037
Melbourne Renegades,Hobart Hurricanes,bbl00038
Sydney Thunder,Adelaide Strikers,bbl00039
Melbourne Renegades,Brisbane Heat,bbl00040
Adelaide Strikers,Sydney Sixers,bbl00041
Sydney Sixers,Hobart Hurricanes,bbl00042
Adelaide Strikers,Melbourne Stars,bbl00043
Sydney Thunder,Brisbane Heat,bbl00044
Perth Scorchers,Melbourne Renegades,bbl00045
Sydney Thunder,Sydney Sixers,bbl00046
Melbourne Renegades,Adelaide Strikers,bbl00047
Perth Scorchers,Sydney Thunder,bbl00048
Melbourne Stars,Melbourne Renegades,bbl00049
Brisbane Heat,Sydney Sixers,bbl00050
Melbourne Stars,Sydney Thunder,bbl00051
Adelaide Strikers,Perth Scorchers,bbl00052
Melbourne Renegades,Brisbane Heat,bbl00053
Perth Scorchers,Melbourne Stars,bbl00054
Perth Scorchers,Brisbane Heat,bbl00055
Melbourne Stars,Melbourne Renegades,bbl00056
Sydney Sixers,Sydney Thunder,bbl00057
Hobart Hurricanes,Adelaide Strikers,bbl00058
Brisbane Heat,Perth Scorchers,bbl00059
Perth Scorchers,Melbourne Renegades,bbl00060
Sydney Thunder,Adelaide Strikers,bbl00061
Brisbane Heat,Hobart Hurricanes,bbl00062
Sydney Sixers,Melbourne Stars,bbl00063
Melbourne Renegades,Brisbane Heat,bbl00064
Hobart Hurricanes,Melbourne Renegades,bbl00065
Sydney Thunder,Melbourne Stars,bbl00066
Brisbane Heat,Sydney Sixers,bbl00067
Perth Scorchers,Sydney Thunder,bbl00068
Melbourne Renegades,Melbourne Stars,bbl00069
Adelaide Strikers,Sydney Sixers,bbl00070
Perth Scorchers,Hobart Hurricanes,bbl00071
Sydney Thunder,Brisbane Heat,bbl00072
Melbourne Stars,Adelaide Strikers,bbl00073
Sydney Sixers,Perth Scorchers,bbl00074
Hobart Hurricanes,Sydney Thunder,bbl00075
Brisbane Heat,Melbourne Stars,bbl00076
Melbourne Renegades,Sydney Thunder,bbl00077
Sydney Sixers,Hobart Hurricanes,bbl00078
Perth Scorchers,Adelaide Strikers,bbl00079
Adelaide Strikers,Brisbane Heat,bbl00080
Melbourne Renegades,Sydney Sixers,bbl00081
Melbourne Stars,Hobart Hurricanes,bbl00082
Adelaide Strikers,Melbourne Renegades,bbl00083
Hobart Hurricanes,Brisbane Heat,bbl00084
Sydney Thunder,Sydney Sixers,bbl00085
Melbourne Stars,Perth Scorchers,bbl00086
Melbourne Stars,Hobart Hurricanes,bbl00087
Sydney Sixers,Perth Scorchers,bbl00088
Perth Scorchers,Hobart Hurricanes,bbl00089
Adelaide Strikers,Melbourne Stars,bbl00090
Sydney Sixers,Melbourne Renegades,bbl00091
Melbourne Stars,Hobart Hurricanes,bbl00092
Sydney Thunder,Brisbane Heat,bbl00093
Perth Scorchers,Adelaide Strikers,bbl00094
Hobart Hurricanes,Sydney Sixers,bbl00095
Perth Scorchers,Melbourne Renegades,bbl00096
Sydney Thunder,Sydney Sixers,bbl00097
Brisbane Heat,Melbourne Stars,bbl00098
Sydney Sixers,Perth Scorchers,bbl00099
Melbourne Renegades,Sydney Thunder,bbl00100
Adelaide Strikers,Hobart Hurricanes,bbl00101
Perth Scorchers,Sydney Thunder,bbl00102
Hobart Hurricanes,Brisbane Heat,bbl00103
Melbourne Renegades,Melbourne Stars,bbl00104
Brisbane Heat,Adelaide Strikers,bbl00105
Melbourne Stars,Sydney Sixers,bbl00106
Adelaide Strikers,Perth Scorchers,bbl00107
Hobart Hurricanes,Melbourne Renegades,bbl00108
Perth Scorchers,Brisbane Heat,bbl00109
Melbourne Stars,Melbourne Renegades,bbl00110
Hobart Hurricanes,Perth Scorchers,bbl00111
Brisbane Heat,Sydney Sixers,bbl00112
Adelaide Strikers,Sydney Thunder,bbl00113
Melbourne Renegades,Brisbane Heat,bbl00114
Sydney Sixers,Adelaide Strikers,bbl00115
Brisbane Heat,Hobart Hurricanes,bbl00116
Sydney Thunder,Melbourne Stars,bbl00117
Melbourne Renegades,Adelaide Strikers,bbl00118
Melbourne Stars,Perth Scorchers,bbl00119
Sydney Sixers,Sydney Thunder,bbl00120
Adelaide Strikers,Sydney Sixers,bbl00121
Perth Scorchers,Melbourne Stars,bbl00122
Perth Scorchers,Sydney Sixers,bbl00123
Adelaide Strikers,Melbourne Stars,bbl00124
Brisbane Heat,Melbourne Renegades,bbl00125
Sydney Sixers,Hobart Hurricanes,bbl00126
Perth Scorchers,Adelaide Strikers,bbl00127
Hobart Hurricanes,Brisbane Heat,bbl00128
Melbourne Renegades,Sydney Sixers,bbl00129
Perth Scorchers,Brisbane Heat,bbl00130
Sydney Sixers,Melbourne Stars,bbl00131
Sydney Thunder,Adelaide Strikers,bbl00132
Brisbane Heat,Hobart Hurricanes,bbl00133
Melbourne Renegades,Perth Scorchers,bbl00134
Adelaide Strikers,Sydney Sixers,bbl00135
Hobart Hurricanes,Sydney Thunder,bbl00136
Melbourne Stars,Melbourne Renegades,bbl00137
Perth Scorchers,Sydney Sixers,bbl00138
Brisbane Heat,Sydney Thunder,bbl00139
Hobart Hurricanes,Melbourne Renegades,bbl00140
Adelaide Strikers,Perth Scorchers,bbl00141
Melbourne Stars,Hobart Hurricanes,bbl00142
Sydney Thunder,Perth Scorchers,bbl00143
Brisbane Heat,Adelaide Strikers,bbl00144
Melbourne Renegades,Melbourne Stars,bbl00145
Hobart Hurricanes,Perth Scorchers,bbl00146
Sydney Sixers,Brisbane Heat,bbl00147
Sydney Thunder,Melbourne Renegades,bbl00148
Adelaide Strikers,Hobart Hurricanes,bbl00149
Melbourne Stars,Brisbane Heat,bbl00150
Sydney Sixers,Sydney Thunder,bbl00151
Melbourne Renegades,Adelaide Strikers,bbl00152
Adelaide Strikers,Sydney Thunder,bbl00153
Melbourne Stars,Perth Scorchers,bbl00154
Melbourne Stars,Sydney Thunder,bbl00155
Sydney Thunder,Sydney Sixers,bbl00156
Adelaide Strikers,Brisbane Heat,bbl00157
Melbourne Renegades,Sydney Thunder,bbl00158
Perth Scorchers,Adelaide Strikers,bbl00159
Sydney Sixers,Hobart Hurricanes,bbl00160
Hobart Hurricanes,Melbourne Stars,bbl00161
Sydney Sixers,Perth Scorchers,bbl00162
Sydney Thunder,Brisbane Heat,bbl00163
Melbourne Renegades,Perth Scorchers,bbl00164
Brisbane Heat,Hobart Hurricanes,bbl00165
Adelaide Strikers,Sydney Sixers,bbl00166
Melbourne Stars,Melbourne Renegades,bbl00167
Perth Scorchers,Sydney Thunder,bbl00168
Hobart Hurricanes,Adelaide Strikers,bbl00169
Brisbane Heat,Sydney Sixers,bbl00170
Sydney Thunder,Melbourne Stars,bbl00171
Perth Scorchers,Brisbane Heat,bbl00172
Adelaide Strikers,Hobart Hurricanes,bbl00173
Melbourne Renegades,Melbourne Stars,bbl00174
Hobart Hurricanes,Sydney Thunder,bbl00175
Sydney Sixers,Melbourne Renegades,bbl00176
Melbourne Stars,Adelaide Strikers,bbl00177
Brisbane Heat,Perth Scorchers,bbl00178
Melbourne Renegades,Hobart Hurricanes,bbl00179
Sydney Sixers,Sydney Thunder,bbl00180
Perth Scorchers,Melbourne Stars,bbl00181
Adelaide Strikers,Melbourne Renegades,bbl00182
Melbourne Stars,Brisbane Heat,bbl00183
Sydney Thunder,Adelaide Strikers,bbl00184
Brisbane Heat,Melbourne Renegades,bbl00185
Hobart Hurricanes,Perth Scorchers,bbl00186
Melbourne Stars,Sydney Sixers,bbl00187
Perth Scorchers,Melbourne Stars,bbl00188
