decision,winner,key
bat,Brisbane Heat,bbl00001
field,Sydney Thunder,bbl00002
bat,Hobart Hurricanes,bbl00003
field,Melbourne Renegades,bbl00004
bat,Melbourne Stars,bbl00005
bat,Hobart Hurricanes,bbl00006
bat,Melbourne Renegades,bbl00007
bat,Adelaide Strikers,bbl00008
bat,Sydney Sixers,bbl00009
bat,Hobart Hurricanes,bbl00010
bat,Perth Scorchers,bbl00011
bat,Melbourne Renegades,bbl00012
bat,Sydney Thunder,bbl00013
bat,Sydney Sixers,bbl00014
bat,Perth Scorchers,bbl00015
bat,Sydney Sixers,bbl00016
bat,Perth Scorchers,bbl00017
bat,Melbourne Stars,bbl00018
bat,Sydney Sixers,bbl00019
bat,Brisbane Heat,bbl00020
field,Sydney Thunder,bbl00021
bat,Melbourne Renegades,bbl00022
bat,Sydney Sixers,bbl00023
bat,Adelaide Strikers,bbl00024
bat,Perth Scorchers,bbl00025
bat,Sydney Sixers,bbl00026
bat,Perth Scorchers,bbl00027
bat,Melbourne Stars,bbl00028
field,Sydney Sixers,bbl00029
bat,Brisbane Heat,bbl00030
bat,Perth Scorchers,bbl00031
field,Melbourne Stars,bbl00032
field,Brisbane Heat,bbl00033
field,Melbourne Renegades,bbl00034
field,Melbourne Stars,bbl00035
field,Perth Scorchers,bbl00036
field,Perth Scorchers,bbl00037
field,Melbourne Renegades,bbl00038
field,Sydney Thunder,bbl00039
bat,Brisbane Heat,bbl00040
bat,Sydney Sixers,bbl00041
field,Hobart Hurricanes,bbl00042
bat,Melbourne Stars,bbl00043
bat,Sydney Thunder,bbl00044
field,Melbourne Renegades,bbl00045
bat,Sydney Thunder,bbl00046
field,Adelaide Strikers,bbl00047
bat,Sydney Thunder,bbl00048
bat,Melbourne Stars,bbl00049
bat,Brisbane Heat,bbl00050
bat,Melbourne Stars,bbl00051
bat,Perth Scorchers,bbl00052
bat,Brisbane Heat,bbl00053
field,Perth Scorchers,bbl00054
bat,Brisbane Heat,bbl00055
field,Melbourne Renegades,bbl00056
field,Sydney Sixers,bbl00057
field,Hobart Hurricanes,bbl00058
bat,Perth Scorchers,bbl00059
bat,Perth Scorchers,bbl00060
field,Sydney Thunder,bbl00061
bat,Brisbane Heat,bbl00062
field,Sydney Sixers,bbl00063
bat,Melbourne Renegades,bbl00064
bat,Melbourne Renegades,bbl00065
bat,Sydney Thunder,bbl00066
field,Brisbane Heat,bbl00067
bat,Sydney Thunder,bbl00068
bat,Melbourne Renegades,bbl00069
bat,Adelaide Strikers,bbl00070
bat,Perth Scorchers,bbl00071
bat,Brisbane Heat,bbl00072
bat,Adelaide Strikers,bbl00073
bat,Perth Scorchers,bbl00074
bat,Hobart Hurricanes,bbl00075
bat,Brisbane Heat,bbl00076
bat,Melbourne Renegades,bbl00077
bat,Sydney Sixers,bbl00078
bat,Perth Scorchers,bbl00079
bat,Brisbane Heat,bbl00080
field,Melbourne Renegades,bbl00081
