name,match_number,key,stage
Bangladesh Premier League,4.0,bpl00001,nan
Bangladesh Premier League,5.0,bpl00002,nan
Bangladesh Premier League,10.0,bpl00003,nan
Bangladesh Premier League,9.0,bpl00004,nan
Bangladesh Premier League,13.0,bpl00005,nan
Bangladesh Premier League,15.0,bpl00006,nan
Bangladesh Premier League,16.0,bpl00007,nan
Bangladesh Premier League,17.0,bpl00008,nan
Bangladesh Premier League,18.0,bpl00009,nan
Bangladesh Premier League,19.0,bpl00010,nan
Bangladesh Premier League,22.0,bpl00011,nan
Bangladesh Premier League,23.0,bpl00012,nan
Bangladesh Premier League,24.0,bpl00013,nan
Bangladesh Premier League,26.0,bpl00014,nan
Bangladesh Premier League,27.0,bpl00015,nan
Bangladesh Premier League,29.0,bpl00016,nan
Bangladesh Premier League,,bpl00017,Final
Bangladesh Premier League,2.0,bpl00018,nan
Bangladesh Premier League,1.0,bpl00019,nan
Bangladesh Premier League,3.0,bpl00020,nan
Bangladesh Premier League,5.0,bpl00021,nan
Bangladesh Premier League,6.0,bpl00022,nan
Bangladesh Premier League,8.0,bpl00023,nan
Bangladesh Premier League,9.0,bpl00024,nan
Bangladesh Premier League,10.0,bpl00025,nan
Bangladesh Premier League,11.0,bpl00026,nan
Bangladesh Premier League,12.0,bpl00027,nan
Bangladesh Premier League,13.0,bpl00028,nan
Bangladesh Premier League,14.0,bpl00029,nan
Bangladesh Premier League,16.0,bpl00030,nan
Bangladesh Premier League,18.0,bpl00031,nan
Bangladesh Premier League,20.0,bpl00032,nan
Bangladesh Premier League,19.0,bpl00033,nan
Bangladesh Premier League,21.0,bpl00034,nan
Bangladesh Premier League,23.0,bpl00035,nan
Bangladesh Premier League,24.0,bpl00036,nan
Bangladesh Premier League,25.0,bpl00037,nan
Bangladesh Premier League,26.0,bpl00038,nan
Bangladesh Premier League,28.0,bpl00039,nan
Bangladesh Premier League,29.0,bpl00040,nan
Bangladesh Premier League,30.0,bpl00041,nan
Bangladesh Premier League,31.0,bpl00042,nan
Bangladesh Premier League,34.0,bpl00043,nan
Bangladesh Premier League,33.0,bpl00044,nan
Bangladesh Premier League,36.0,bpl00045,nan
