balls_per_over,city,date,gender,match_type,overs,player_of_match,season,team_type,venue,key,missing
6,Dhaka,2012-02-11,male,T20,20,Ahmed Shehzad,2011/12,club,"Shere Bangla National Stadium, Mirpur",bpl00001,
6,Dhaka,2012-02-12,male,T20,20,Nasir Jamshed,2011/12,club,"Shere Bangla National Stadium, Mirpur",bpl00002,
6,Dhaka,2012-02-14,male,T20,20,Azhar Mahmood,2011/12,club,"Shere Bangla National Stadium, Mirpur",bpl00003,
6,Dhaka,2012-02-14,male,T20,20,MN Samuels,2011/12,club,"Shere Bangla National Stadium, Mirpur",bpl00004,
6,Dhaka,2012-02-16,male,T20,20,Nasir Jamshed,2011/12,club,"Shere Bangla National Stadium, Mirpur",bpl00005,
6,Chattogram,2012-02-18,male,T20,20,AD Russell,2011/12,club,"Zahur Ahmed Chowdhury Stadium, Chittagong",bpl00006,
6,Chattogram,2012-02-18,male,T20,20,Saqlain Sajib,2011/12,club,"Zahur Ahmed Chowdhury Stadium, Chittagong",bpl00007,
6,Chattogram,2012-02-19,male,T20,20,S Chanderpaul,2011/12,club,"Zahur Ahmed Chowdhury Stadium, Chittagong",bpl00008,
6,Chattogram,2012-02-19,male,T20,20,BJ Hodge,2011/12,club,"Zahur Ahmed Chowdhury Stadium, Chittagong",bpl00009,
6,Chattogram,2012-02-20,male,T20,20,Junaid Siddique,2011/12,club,"Zahur Ahmed Chowdhury Stadium, Chittagong",bpl00010,
6,Chattogram,2012-02-22,male,T20,20,Mominul Haque,2011/12,club,"Zahur Ahmed Chowdhury Stadium, Chittagong",bpl00011,
6,Dhaka,2012-02-24,male,T20,20,DJ Bravo,2011/12,club,"Shere Bangla National Stadium, Mirpur",bpl00012,
6,Dhaka,2012-02-24,male,T20,20,Sohail Tanvir,2011/12,club,"Shere Bangla National Stadium, Mirpur",bpl00013,
6,Dhaka,2012-02-25,male,T20,20,PD Trego,2011/12,club,"Shere Bangla National Stadium, Mirpur",bpl00014,
6,Dhaka,2012-02-26,male,T20,20,SM Ervine,2011/12,club,"Shere Bangla National Stadium, Mirpur",bpl00015,
6,Dhaka,2012-02-27,male,T20,20,Mohammad Sami,2011/12,club,"Shere Bangla National Stadium, Mirpur",bpl00016,
6,Dhaka,2012-02-29,male,T20,20,Imran Nazir,2011/12,club,"Shere Bangla National Stadium, Mirpur",bpl00017,
6,Dhaka,2013-01-18,male,T20,20,PR Stirling,2012/13,club,"Shere Bangla National Stadium, Mirpur",bpl00018,
6,Dhaka,2013-01-18,male,T20,20,OA Shah,2012/13,club,"Shere Bangla National Stadium, Mirpur",bpl00019,
6,Dhaka,2013-01-19,male,T20,20,SM Ervine,2012/13,club,"Shere Bangla National Stadium, Mirpur",bpl00020,
6,Dhaka,2013-01-20,male,T20,20,BJ Hodge,2012/13,club,"Shere Bangla National Stadium, Mirpur",bpl00021,
6,Dhaka,2013-01-20,male,T20,20,E Chigumbura,2012/13,club,"Shere Bangla National Stadium, Mirpur",bpl00022,
6,Khulna,2013-01-22,male,T20,20,Shakib Al Hasan,2012/13,club,"Sheikh Abu Naser Stadium, Khulna",bpl00023,
6,Khulna,2013-01-23,male,T20,20,Shamsur Rahman,2012/13,club,"Sheikh Abu Naser Stadium, Khulna",bpl00024,
6,Khulna,2013-01-23,male,T20,20,H Masakadza,2012/13,club,"Sheikh Abu Naser Stadium, Khulna",bpl00025,
6,Khulna,2013-01-24,male,T20,20,RS Bopara,2012/13,club,"Sheikh Abu Naser Stadium, Khulna",bpl00026,
6,Khulna,2013-01-24,male,T20,20,Shahriar Nafees,2012/13,club,"Sheikh Abu Naser Stadium, Khulna",bpl00027,
6,Khulna,2013-01-25,male,T20,20,DJ Harris,2012/13,club,"Sheikh Abu Naser Stadium, Khulna",bpl00028,
