team,name,key,batting_position
Barisal Burners,Ahmed Shehzad,bpl00001,1.0
Barisal Burners,CH Gayle,bpl00001,2.0
Barisal Burners,Shahriar Nafees,bpl00001,3.0
Barisal Burners,BJ Hodge,bpl00001,4.0
Barisal Burners,Nazmul Islam,bpl00001,
Barisal Burners,Mohammad Mithun,bpl00001,
Barisal Burners,SM Harwood,bpl00001,
Barisal Burners,Suhrawadi Shuvo,bpl00001,
Barisal Burners,Mominul Haque,bpl00001,
Barisal Burners,Yasir Arafat,bpl00001,
Barisal Burners,Farhad Hossain,bpl00001,
Duronto Rajshahi,Mizanur Rahman,bpl00001,1.0
Duronto Rajshahi,Junaid Siddique,bpl00001,2.0
Duronto Rajshahi,MN Samuels,bpl00001,3.0
Duronto Rajshahi,Mushfiqur Rahim,bpl00001,4.0
Duronto Rajshahi,Abdul Razzaq,bpl00001,5.0
Duronto Rajshahi,Fawad Alam,bpl00001,6.0
Duronto Rajshahi,Sabbir Rahman,bpl00001,7.0
Duronto Rajshahi,SM Ervine,bpl00001,8.0
Duronto Rajshahi,Mohammad Sami,bpl00001,9.0
Duronto Rajshahi,Syed Rasel,bpl00001,10.0
Duronto Rajshahi,Saqlain Sajib,bpl00001,11.0
Khulna Royal Bengals,S Chanderpaul,bpl00002,1.0
Khulna Royal Bengals,HH Gibbs,bpl00002,2.0
Khulna Royal Bengals,DR Smith,bpl00002,3.0
Khulna Royal Bengals,AD Russell,bpl00002,4.0
Khulna Royal Bengals,Shakib Al Hasan,bpl00002,5.0
Khulna Royal Bengals,Nasir Hossain,bpl00002,
Khulna Royal Bengals,Shafiul Islam,bpl00002,
Khulna Royal Bengals,Abdur Razzak,bpl00002,
Khulna Royal Bengals,Saghir Hossain,bpl00002,
Khulna Royal Bengals,Nazmul Hossain Milon,bpl00002,
Khulna Royal Bengals,AR Adams,bpl00002,
Chittagong Kings,Nasir Jamshed,bpl00002,1.0
Chittagong Kings,Jahurul Islam,bpl00002,2.0
Chittagong Kings,JJ Roy,bpl00002,3.0
Chittagong Kings,Mahmudullah,bpl00002,4.0
Chittagong Kings,DJ Bravo,bpl00002,5.0
Chittagong Kings,Faisal Hossain,bpl00002,6.0
Chittagong Kings,KK Cooper,bpl00002,
Chittagong Kings,Ziaur Rahman,bpl00002,
Chittagong Kings,Arafat Sunny,bpl00002,
Chittagong Kings,Enamul Haque jnr,bpl00002,
Chittagong Kings,M Muralitharan,bpl00002,
Dhaka Gladiators,Imran Nazir,bpl00003,1.0
Dhaka Gladiators,Anamul Haque,bpl00003,2.0
Dhaka Gladiators,Mohammad Ashraful,bpl00003,3.0
Dhaka Gladiators,Azhar Mahmood,bpl00003,4.0
Dhaka Gladiators,KA Pollard,bpl00003,5.0
Dhaka Gladiators,DI Stevens,bpl00003,6.0
Dhaka Gladiators,Aftab Ahmed,bpl00003,7.0
Dhaka Gladiators,Naved-ul-Hasan,bpl00003,
Dhaka Gladiators,Mosharraf Hossain,bpl00003,
Dhaka Gladiators,Elias Sunny,bpl00003,
Dhaka Gladiators,Mashrafe Mortaza,bpl00003,
Barisal Burners,Ahmed Shehzad,bpl00003,1.0
Barisal Burners,CH Gayle,bpl00003,2.0
Barisal Burners,Mominul Haque,bpl00003,3.0
Barisal Burners,BJ Hodge,bpl00003,4.0
Barisal Burners,Mohammad Mithun,bpl00003,5.0
Barisal Burners,Kabir Ali,bpl00003,6.0
Barisal Burners,Shahriar Nafees,bpl00003,
Barisal Burners,Suhrawadi Shuvo,bpl00003,
Barisal Burners,Nazmul Islam,bpl00003,
Barisal Burners,Yasir Arafat,bpl00003,
Barisal Burners,Alauddin Babu,bpl00003,
Duronto Rajshahi,Mizanur Rahman,bpl00004,1.0
Duronto Rajshahi,Junaid Siddique,bpl00004,2.0
Duronto Rajshahi,MN Samuels,bpl00004,3.0
Duronto Rajshahi,Mushfiqur Rahim,bpl00004,4.0
Duronto Rajshahi,Abdul Razzaq,bpl00004,5.0
Duronto Rajshahi,Sabbir Rahman,bpl00004,6.0
Duronto Rajshahi,Qaisar Abbas,bpl00004,7.0
Duronto Rajshahi,Mohammad Sami,bpl00004,8.0
Duronto Rajshahi,Fawad Alam,bpl00004,9.0
Duronto Rajshahi,Syed Rasel,bpl00004,10.0
Duronto Rajshahi,Saqlain Sajib,bpl00004,
Sylhet Royals,Kamran Akmal,bpl00004,1.0
Sylhet Royals,Imrul Kayes,bpl00004,2.0
Sylhet Royals,PD Trego,bpl00004,3.0
Sylhet Royals,Alok Kapali,bpl00004,4.0
Sylhet Royals,Sohail Tanvir,bpl00004,5.0
Sylhet Royals,Naeem Islam,bpl00004,6.0
Sylhet Royals,Nabil Samad,bpl00004,
Sylhet Royals,Shuvagata Hom,bpl00004,
Sylhet Royals,Faisal Iqbal,bpl00004,
