name,match_number,key,stage
Caribbean Premier League,1.0,cpl00001,nan
Caribbean Premier League,2.0,cpl00002,nan
Caribbean Premier League,3.0,cpl00003,nan
Caribbean Premier League,4.0,cpl00004,nan
Caribbean Premier League,5.0,cpl00005,nan
Caribbean Premier League,7.0,cpl00006,nan
Caribbean Premier League,6.0,cpl00007,nan
Caribbean Premier League,8.0,cpl00008,nan
Caribbean Premier League,9.0,cpl00009,nan
Caribbean Premier League,11.0,cpl00010,nan
Caribbean Premier League,12.0,cpl00011,nan
Caribbean Premier League,14.0,cpl00012,nan
Caribbean Premier League,13.0,cpl00013,nan
Caribbean Premier League,15.0,cpl00014,nan
Caribbean Premier League,16.0,cpl00015,nan
Caribbean Premier League,17.0,cpl00016,nan
Caribbean Premier League,19.0,cpl00017,nan
Caribbean Premier League,20.0,cpl00018,nan
Caribbean Premier League,18.0,cpl00019,nan
Caribbean Premier League,21.0,cpl00020,nan
Caribbean Premier League,,cpl00021,Semi Final
Caribbean Premier League,,cpl00022,Semi Final
Caribbean Premier League,,cpl00023,Final
Caribbean Premier League,1.0,cpl00024,nan
Caribbean Premier League,2.0,cpl00025,nan
Caribbean Premier League,4.0,cpl00026,nan
Caribbean Premier League,7.0,cpl00027,nan
Caribbean Premier League,6.0,cpl00028,nan
Caribbean Premier League,9.0,cpl00029,nan
Caribbean Premier League,8.0,cpl00030,nan
Caribbean Premier League,10.0,cpl00031,nan
Caribbean Premier League,11.0,cpl00032,nan
Caribbean Premier League,13.0,cpl00033,nan
Caribbean Premier League,14.0,cpl00034,nan
Caribbean Premier League,15.0,cpl00035,nan
Caribbean Premier League,16.0,cpl00036,nan
Caribbean Premier League,17.0,cpl00037,nan
Caribbean Premier League,18.0,cpl00038,nan
Caribbean Premier League,19.0,cpl00039,nan
Caribbean Premier League,20.0,cpl00040,nan
Caribbean Premier League,21.0,cpl00041,nan
Caribbean Premier League,22.0,cpl00042,nan
Caribbean Premier League,23.0,cpl00043,nan
Caribbean Premier League,25.0,cpl00044,nan
Caribbean Premier League,24.0,cpl00045,nan
Caribbean Premier League,26.0,cpl00046,nan
Caribbean Premier League,27.0,cpl00047,nan
Caribbean Premier League,,cpl00048,Semi Final
Caribbean Premier League,,cpl00049,Semi Final
Caribbean Premier League,,cpl00050,Final
Caribbean Premier League,1.0,cpl00051,nan
Caribbean Premier League,2.0,cpl00052,nan
Caribbean Premier League,3.0,cpl00053,nan
Caribbean Premier League,4.0,cpl00054,nan
Caribbean Premier League,5.0,cpl00055,nan
Caribbean Premier League,6.0,cpl00056,nan
Caribbean Premier League,7.0,cpl00057,nan
Caribbean Premier League,8.0,cpl00058,nan
Caribbean Premier League,9.0,cpl00059,nan
Caribbean Premier League,10.0,cpl00060,nan
Caribbean Premier League,11.0,cpl00061,nan
Caribbean Premier League,12.0,cpl00062,nan
Caribbean Premier League,13.0,cpl00063,nan
Caribbean Premier League,14.0,cpl00064,nan
Caribbean Premier League,15.0,cpl00065,nan
Caribbean Premier League,16.0,cpl00066,nan
Caribbean Premier League,17.0,cpl00067,nan
Caribbean Premier League,18.0,cpl00068,nan
Caribbean Premier League,19.0,cpl00069,nan
Caribbean Premier League,20.0,cpl00070,nan
Caribbean Premier League,21.0,cpl00071,nan
Caribbean Premier League,22.0,cpl00072,nan
Caribbean Premier League,23.0,cpl00073,nan
Caribbean Premier League,25.0,cpl00074,nan
Caribbean Premier League,26.0,cpl00075,nan
Caribbean Premier League,27.0,cpl00076,nan
Caribbean Premier League,28.0,cpl00077,nan
Caribbean Premier League,29.0,cpl00078,nan
Caribbean Premier League,30.0,cpl00079,nan
Caribbean Premier League,,cpl00080,Semi Final
Caribbean Premier League,,cpl00081,Semi Final
Caribbean Premier League,,cpl00082,Final
Caribbean Premier League,1.0,cpl00083,nan
Caribbean Premier League,2.0,cpl00084,nan
Caribbean Premier League,3.0,cpl00085,nan
Caribbean Premier League,4.0,cpl00086,nan
Caribbean Premier League,5.0,cpl00087,nan
Caribbean Premier League,6.0,cpl00088,nan
Caribbean Premier League,7.0,cpl00089,nan
Caribbean Premier League,11.0,cpl00090,nan
Caribbean Premier League,12.0,cpl00091,nan
Caribbean Premier League,14.0,cpl00092,nan
Caribbean Premier League,15.0,cpl00093,nan
Caribbean Premier League,17.0,cpl00094,nan
Caribbean Premier League,16.0,cpl00095,nan
Caribbean Premier League,18.0,cpl00096,nan
Caribbean Premier League,19.0,cpl00097,nan
Caribbean Premier League,20.0,cpl00098,nan
Caribbean Premier League,21.0,cpl00099,nan
Caribbean Premier League,23.0,cpl00100,nan
Caribbean Premier League,24.0,cpl00101,nan
Caribbean Premier League,25.0,cpl00102,nan
Caribbean Premier League,26.0,cpl00103,nan
Caribbean Premier League,27.0,cpl00104,nan
Caribbean Premier League,28.0,cpl00105,nan
Caribbean Premier League,29.0,cpl00106,nan
Caribbean Premier League,30.0,cpl00107,nan
Caribbean Premier League,,cpl00108,Qualifier 1
Caribbean Premier League,,cpl00109,Eliminator
Caribbean Premier League,,cpl00110,Qualifier 2
Caribbean Premier League,,cpl00111,Final
Caribbean Premier League,1.0,cpl00112,nan
Caribbean Premier League,3.0,cpl00113,nan
Caribbean Premier League,2.0,cpl00114,nan
Caribbean Premier League,4.0,cpl00115,nan
Caribbean Premier League,5.0,cpl00116,nan
Caribbean Premier League,6.0,cpl00117,nan
Caribbean Premier League,7.0,cpl00118,nan
Caribbean Premier League,8.0,cpl00119,nan
Caribbean Premier League,9.0,cpl00120,nan
Caribbean Premier League,10.0,cpl00121,nan
Caribbean Premier League,11.0,cpl00122,nan
Caribbean Premier League,12.0,cpl00123,nan
Caribbean Premier League,13.0,cpl00124,nan
Caribbean Premier League,14.0,cpl00125,nan
Caribbean Premier League,15.0,cpl00126,nan
Caribbean Premier League,16.0,cpl00127,nan
Caribbean Premier League,17.0,cpl00128,nan
Caribbean Premier League,18.0,cpl00129,nan
Caribbean Premier League,19.0,cpl00130,nan
Caribbean Premier League,20.0,cpl00131,nan
Caribbean Premier League,21.0,cpl00132,nan
Caribbean Premier League,22.0,cpl00133,nan
Caribbean Premier League,23.0,cpl00134,nan
Caribbean Premier League,24.0,cpl00135,nan
Caribbean Premier League,25.0,cpl00136,nan
Caribbean Premier League,26.0,cpl00137,nan
Caribbean Premier League,27.0,cpl00138,nan
Caribbean Premier League,28.0,cpl00139,nan
Caribbean Premier League,29.0,cpl00140,nan
Caribbean Premier League,30.0,cpl00141,nan
Caribbean Premier League,,cpl00142,Qualifier 1
Caribbean Premier League,,cpl00143,Eliminator
Caribbean Premier League,,cpl00144,Qualifier 2
Caribbean Premier League,,cpl00145,Final
Caribbean Premier League,1.0,cpl00146,nan
Caribbean Premier League,2.0,cpl00147,nan
Caribbean Premier League,3.0,cpl00148,nan
Caribbean Premier League,4.0,cpl00149,nan
Caribbean Premier League,5.0,cpl00150,nan
Caribbean Premier League,6.0,cpl00151,nan
Caribbean Premier League,7.0,cpl00152,nan
Caribbean Premier League,8.0,cpl00153,nan
Caribbean Premier League,9.0,cpl00154,nan
Caribbean Premier League,10.0,cpl00155,nan
Caribbean Premier League,11.0,cpl00156,nan
Caribbean Premier League,12.0,cpl00157,nan
Caribbean Premier League,13.0,cpl00158,nan
Caribbean Premier League,14.0,cpl00159,nan
