balls_per_over,city,date,gender,match_type,overs,player_of_match,season,team_type,venue,key
6,Barbados,2013-07-30,male,T20,20,Shoaib Malik,2013,club,"Kensington Oval, Bridgetown",cpl00001
6,Guyana,2013-07-31,male,T20,20,K Santokie,2013,club,Providence Stadium,cpl00002
6,Barbados,2013-08-01,male,T20,20,Shakib Al Hasan,2013,club,"Kensington Oval, Bridgetown",cpl00003
6,Guyana,2013-08-02,male,T20,20,LMP Simmons,2013,club,Providence Stadium,cpl00004
6,Barbados,2013-08-03,male,T20,20,Shakib Al Hasan,2013,club,"Kensington Oval, Bridgetown",cpl00005
6,Guyana,2013-08-04,male,T20,20,Misbah-ul-Haq,2013,club,Providence Stadium,cpl00006
6,Guyana,2013-08-04,male,T20,20,VD Philander,2013,club,Providence Stadium,cpl00007
6,St Lucia,2013-08-06,male,T20,20,MN Samuels,2013,club,"Daren Sammy National Cricket Stadium, Gros Islet",cpl00008
6,Trinidad,2013-08-07,male,T20,20,DP Hyatt,2013,club,"Queen's Park Oval, Port of Spain",cpl00009
6,Trinidad,2013-08-09,male,T20,20,KJ O'Brien,2013,club,"Queen's Park Oval, Port of Spain",cpl00010
6,St Lucia,2013-08-10,male,T20,20,AD Russell,2013,club,"Daren Sammy National Cricket Stadium, Gros Islet",cpl00011
6,Trinidad,2013-08-11,male,T20,20,DJ Bravo,2013,club,"Queen's Park Oval, Port of Spain",cpl00012
6,Trinidad,2013-08-11,male,T20,20,MJ Guptill,2013,club,"Queen's Park Oval, Port of Spain",cpl00013
6,Antigua,2013-08-13,male,T20,20,SS Cottrell,2013,club,"Sir Vivian Richards Stadium, North Sound",cpl00014
6,Jamaica,2013-08-15,male,T20,20,SP Narine,2013,club,"Sabina Park, Kingston",cpl00015
6,Antigua,2013-08-15,male,T20,20,ADS Fletcher,2013,club,"Sir Vivian Richards Stadium, North Sound",cpl00016
6,Jamaica,2013-08-17,male,T20,20,M Muralitharan,2013,club,"Sabina Park, Kingston",cpl00017
6,Antigua,2013-08-17,male,T20,20,Mohammad Hafeez,2013,club,"Sir Vivian Richards Stadium, North Sound",cpl00018
6,Jamaica,2013-08-17,male,T20,20,S Badree,2013,club,"Sabina Park, Kingston",cpl00019
6,Jamaica,2013-08-18,male,T20,20,CH Gayle,2013,club,"Sabina Park, Kingston",cpl00020
6,Trinidad,2013-08-22,male,T20,20,TM Dilshan,2013,club,"Queen's Park Oval, Port of Spain",cpl00021
6,Trinidad,2013-08-23,male,T20,20,KC Sangakkara,2013,club,"Queen's Park Oval, Port of Spain",cpl00022
6,Trinidad,2013-08-24,male,T20,20,CH Gayle,2013,club,"Queen's Park Oval, Port of Spain",cpl00023
6,Grenada,2014-07-11,male,T20,20,D Ramdin,2014,club,"National Cricket Stadium, St George's",cpl00024
6,Grenada,2014-07-12,male,T20,20,LRPL Taylor,2014,club,"National Cricket Stadium, St George's",cpl00025
6,Antigua,2014-07-17,male,T20,20,DL Vettori,2014,club,"Sir Vivian Richards Stadium, North Sound",cpl00026
6,Guyana,2014-07-19,male,T20,20,K Santokie,2014,club,Providence Stadium,cpl00027
6,Antigua,2014-07-19,male,T20,20,Shoaib Malik,2014,club,"Sir Vivian Richards Stadium, North Sound",cpl00028
6,Guyana,2014-07-20,male,T20,20,CAK Walton,2014,club,Providence Stadium,cpl00029
6,Antigua,2014-07-20,male,T20,20,KJ O'Brien,2014,club,"Sir Vivian Richards Stadium, North Sound",cpl00030
6,Barbados,2014-07-23,male,T20,20,DR Smith,2014,club,"Kensington Oval, Bridgetown",cpl00031
6,Trinidad,2014-07-24,male,T20,20,DM Bravo,2014,club,"Queen's Park Oval, Port of Spain",cpl00032
6,Trinidad,2014-07-26,male,T20,20,KJ O'Brien,2014,club,"Queen's Park Oval, Port of Spain",cpl00033
6,Barbados,2014-07-26,male,T20,20,DR Smith,2014,club,"Kensington Oval, Bridgetown",cpl00034
6,Trinidad,2014-07-27,male,T20,20,E Lewis,2014,club,"Queen's Park Oval, Port of Spain",cpl00035
6,Jamaica,2014-07-31,male,T20,20,JE Taylor,2014,club,"Sabina Park, Kingston",cpl00036
6,St Lucia,2014-07-31,male,T20,20,JO Holder,2014,club,"Daren Sammy National Cricket Stadium, Gros Islet",cpl00037
6,Jamaica,2014-08-02,male,T20,20,AD Russell,2014,club,"Sabina Park, Kingston",cpl00038
6,St Lucia,2014-08-02,male,T20,20,ST Gabriel,2014,club,"Daren Sammy National Cricket Stadium, Gros Islet",cpl00039
6,Jamaica,2014-08-03,male,T20,20,JE Taylor,2014,club,"Sabina Park, Kingston",cpl00040
6,St Lucia,2014-08-03,male,T20,20,Sohail Tanvir,2014,club,"Daren Sammy National Cricket Stadium, Gros Islet",cpl00041
6,St Kitts,2014-08-07,male,T20,20,MJ Guptill,2014,club,"Warner Park, Basseterre",cpl00042
6,St Kitts,2014-08-07,male,T20,20,JO Holder,2014,club,"Warner Park, Basseterre",cpl00043
6,St Kitts,2014-08-09,male,T20,20,B Laughlin,2014,club,"Warner Park, Basseterre",cpl00044
6,St Kitts,2014-08-09,male,T20,20,M Matthew,2014,club,"Warner Park, Basseterre",cpl00045
6,St Kitts,2014-08-10,male,T20,20,LMP Simmons,2014,club,"Warner Park, Basseterre",cpl00046
6,St Kitts,2014-08-10,male,T20,20,KA Pollard,2014,club,"Warner Park, Basseterre",cpl00047
6,St Kitts,2014-08-13,male,T20,20,AD Russell,2014,club,"Warner Park, Basseterre",cpl00048
6,St Kitts,2014-08-14,male,T20,20,LMP Simmons,2014,club,"Warner Park, Basseterre",cpl00049
6,St Kitts,2014-08-16,male,T20,20,Shoaib Malik,2014,club,"Warner Park, Basseterre",cpl00050
6,Barbados,2015-06-20,male,T20,20,KA Pollard,2015,club,"Kensington Oval, Bridgetown",cpl00051
6,St Lucia,2015-06-21,male,T20,20,,2015,club,"Daren Sammy National Cricket Stadium, Gros Islet",cpl00052
6,Barbados,2015-06-23,male,T20,20,RJ Peterson,2015,club,"Kensington Oval, Bridgetown",cpl00053
6,St Lucia,2015-06-24,male,T20,20,ST Gabriel,2015,club,"Daren Sammy National Cricket Stadium, Gros Islet",cpl00054
6,Barbados,2015-06-25,male,T20,20,JO Holder,2015,club,"Kensington Oval, Bridgetown",cpl00055
6,St Lucia,2015-06-26,male,T20,20,J Charles,2015,club,"Daren Sammy National Cricket Stadium, Gros Islet",cpl00056
6,Barbados,2015-06-27,male,T20,20,KA Pollard,2015,club,"Kensington Oval, Bridgetown",cpl00057
6,St Lucia,2015-06-28,male,T20,20,CH Gayle,2015,club,"Daren Sammy National Cricket Stadium, Gros Islet",cpl00058
6,St Kitts,2015-06-30,male,T20,20,CH Gayle,2015,club,"Warner Park, Basseterre",cpl00059
6,St Kitts,2015-07-01,male,T20,20,Shoaib Malik,2015,club,"Warner Park, Basseterre",cpl00060
6,St Kitts,2015-07-03,male,T20,20,D Ramdin,2015,club,"Warner Park, Basseterre",cpl00061
6,St Kitts,2015-07-03,male,T20,20,ADS Fletcher,2015,club,"Warner Park, Basseterre",cpl00062
6,St Kitts,2015-07-04,male,T20,20,E Lewis,2015,club,"Warner Park, Basseterre",cpl00063
6,St Kitts,2015-07-04,male,T20,20,DJ Bravo,2015,club,"Warner Park, Basseterre",cpl00064
6,St Kitts,2015-07-06,male,T20,20,T Shamsi,2015,club,"Warner Park, Basseterre",cpl00065
6,Jamaica,2015-07-07,male,T20,20,CAK Walton,2015,club,"Sabina Park, Kingston",cpl00066
6,St Kitts,2015-07-08,male,T20,20,BJ Hodge,2015,club,"Warner Park, Basseterre",cpl00067
6,Jamaica,2015-07-09,male,T20,20,CH Gayle,2015,club,"Sabina Park, Kingston",cpl00068
6,St Kitts,2015-07-10,male,T20,20,SO Dowrich,2015,club,"Warner Park, Basseterre",cpl00069
6,St Kitts,2015-07-11,male,T20,20,DJ Bravo,2015,club,"Warner Park, Basseterre",cpl00070
6,Jamaica,2015-07-11,male,T20,20,KA Pollard,2015,club,"Sabina Park, Kingston",cpl00071
6,Jamaica,2015-07-12,male,T20,20,BJ Hodge,2015,club,"Sabina Park, Kingston",cpl00072
6,Trinidad,2015-07-14,male,T20,20,J Charles,2015,club,"Queen's Park Oval, Port of Spain",cpl00073
6,Trinidad,2015-07-16,male,T20,20,DM Bravo,2015,club,"Queen's Park Oval, Port of Spain",cpl00074
6,Guyana,2015-07-17,male,T20,20,SP Narine,2015,club,Providence Stadium,cpl00075
6,Trinidad,2015-07-18,male,T20,20,DM Bravo,2015,club,"Queen's Park Oval, Port of Spain",cpl00076
6,Guyana,2015-07-18,male,T20,20,RR Emrit,2015,club,Providence Stadium,cpl00077
6,Trinidad,2015-07-19,male,T20,20,DJ Bravo,2015,club,"Queen's Park Oval, Port of Spain",cpl00078
6,Guyana,2015-07-21,male,T20,20,LMP Simmons,2015,club,Providence Stadium,cpl00079
6,Trinidad,2015-07-23,male,T20,20,DM Bravo,2015,club,"Queen's Park Oval, Port of Spain",cpl00080
6,Trinidad,2015-07-25,male,T20,20,Kamran Akmal,2015,club,"Queen's Park Oval, Port of Spain",cpl00081
6,Trinidad,2015-07-26,male,T20,20,Kamran Akmal,2015,club,"Queen's Park Oval, Port of Spain",cpl00082
6,Trinidad,2016-06-29,male,T20,20,J Charles,2016,club,"Queen's Park Oval, Port of Spain",cpl00083
6,St Kitts,2016-06-30,male,T20,20,DR Smith,2016,club,"Warner Park, Basseterre",cpl00084
6,Trinidad,2016-07-01,male,T20,20,HM Amla,2016,club,"Queen's Park Oval, Port of Spain",cpl00085
6,St Kitts,2016-07-02,male,T20,20,KOK Williams,2016,club,"Warner Park, Basseterre",cpl00086
6,Trinidad,2016-07-02,male,T20,20,C Munro,2016,club,"Queen's Park Oval, Port of Spain",cpl00087
6,St Kitts,2016-07-03,male,T20,20,E Lewis,2016,club,"Warner Park, Basseterre",cpl00088
6,Trinidad,2016-07-04,male,T20,20,CH Gayle,2016,club,"Queen's Park Oval, Port of Spain",cpl00089
6,Guyana,2016-07-10,male,T20,20,HM Amla,2016,club,Providence Stadium,cpl00090
6,Barbados,2016-07-11,male,T20,20,,2016,club,"Kensington Oval, Bridgetown",cpl00091
6,Barbados,2016-07-13,male,T20,20,AB de Villiers,2016,club,"Kensington Oval, Bridgetown",cpl00092
6,Jamaica,2016-07-15,male,T20,20,Shakib Al Hasan,2016,club,"Sabina Park, Kingston",cpl00093
6,Jamaica,2016-07-16,male,T20,20,KC Sangakkara,2016,club,"Sabina Park, Kingston",cpl00094
6,Barbados,2016-07-16,male,T20,20,C Munro,2016,club,"Kensington Oval, Bridgetown",cpl00095
6,Barbados,2016-07-17,male,T20,20,N Pooran,2016,club,"Kensington Oval, Bridgetown",cpl00096
6,Jamaica,2016-07-18,male,T20,20,AD Russell,2016,club,"Sabina Park, Kingston",cpl00097
6,Jamaica,2016-07-20,male,T20,20,CAK Walton,2016,club,"Sabina Park, Kingston",cpl00098
6,St Lucia,2016-07-21,male,T20,20,DJG Sammy,2016,club,"Daren Sammy National Cricket Stadium, Gros Islet",cpl00099
6,St Lucia,2016-07-24,male,T20,20,J Charles,2016,club,"Daren Sammy National Cricket Stadium, Gros Islet",cpl00100
6,St Lucia,2016-07-26,male,T20,20,Umar Akmal,2016,club,"Daren Sammy National Cricket Stadium, Gros Islet",cpl00101
6,Lauderhill,2016-07-28,male,T20,20,DR Smith,2016,club,Central Broward Regional Park Stadium Turf Ground,cpl00102
6,Lauderhill,2016-07-29,male,T20,20,E Lewis,2016,club,Central Broward Regional Park Stadium Turf Ground,cpl00103
6,Lauderhill,2016-07-30,male,T20,20,ADS Fletcher,2016,club,Central Broward Regional Park Stadium Turf Ground,cpl00104
6,Lauderhill,2016-07-30,male,T20,20,JN Mohammed,2016,club,Central Broward Regional Park Stadium Turf Ground,cpl00105
6,Lauderhill,2016-07-31,male,T20,20,DJ Bravo,2016,club,Central Broward Regional Park Stadium Turf Ground,cpl00106
6,Lauderhill,2016-07-31,male,T20,20,SR Watson,2016,club,Central Broward Regional Park Stadium Turf Ground,cpl00107
6,,2016-08-03,male,T20,20,Sohail Tanvir,2016,club,"Warner Park, Basseterre",cpl00108
6,St Kitts,2016-08-04,male,T20,20,BB McCullum,2016,club,"Warner Park, Basseterre",cpl00109
6,St Kitts,2016-08-05,male,T20,20,AD Russell,2016,club,"Warner Park, Basseterre",cpl00110
6,St Kitts,2016-08-07,male,T20,20,Imad Wasim,2016,club,"Warner Park, Basseterre",cpl00111
6,St Lucia,2017-08-04,male,T20,20,Shadab Khan,2017,club,"Daren Sammy National Cricket Stadium, Gros Islet",cpl00112
6,Lauderhill,2017-08-05,male,T20,20,AJ Hosein,2017,club,Central Broward Regional Park Stadium Turf Ground,cpl00113
6,Lauderhill,2017-08-05,male,T20,20,Hasan Ali,2017,club,Central Broward Regional Park Stadium Turf Ground,cpl00114
6,Lauderhill,2017-08-06,male,T20,20,CH Gayle,2017,club,Central Broward Regional Park Stadium Turf Ground,cpl00115
6,Lauderhill,2017-08-06,male,T20,20,AM McCarthy,2017,club,Central Broward Regional Park Stadium Turf Ground,cpl00116
6,Trinidad,2017-08-07,male,T20,20,Shadab Khan,2017,club,"Queen's Park Oval, Port of Spain",cpl00117
6,Trinidad,2017-08-09,male,T20,20,KOK Williams,2017,club,"Queen's Park Oval, Port of Spain",cpl00118
6,St Lucia,2017-08-10,male,T20,20,KA Pollard,2017,club,"Daren Sammy National Cricket Stadium, Gros Islet",cpl00119
6,Trinidad,2017-08-11,male,T20,20,C Munro,2017,club,"Queen's Park Oval, Port of Spain",cpl00120
6,St Lucia,2017-08-12,male,T20,20,E Lewis,2017,club,"Daren Sammy National Cricket Stadium, Gros Islet",cpl00121
6,Trinidad,2017-08-12,male,T20,20,SP Narine,2017,club,"Queen's Park Oval, Port of Spain",cpl00122
6,St Lucia,2017-08-13,male,T20,20,Rashid Khan,2017,club,"Daren Sammy National Cricket Stadium, Gros Islet",cpl00123
6,Trinidad,2017-08-14,male,T20,20,D Ramdin,2017,club,"Queen's Park Oval, Port of Spain",cpl00124
6,St Lucia,2017-08-15,male,T20,20,AM McCarthy,2017,club,"Daren Sammy National Cricket Stadium, Gros Islet",cpl00125
6,Guyana,2017-08-17,male,T20,20,KOK Williams,2017,club,Providence Stadium,cpl00126
6,St Kitts,2017-08-18,male,T20,20,KA Pollard,2017,club,"Warner Park, Basseterre",cpl00127
6,Guyana,2017-08-19,male,T20,20,BB McCullum,2017,club,Providence Stadium,cpl00128
6,St Kitts,2017-08-19,male,T20,20,,2017,club,"Warner Park, Basseterre",cpl00129
6,Guyana,2017-08-20,male,T20,20,CAK Walton,2017,club,Providence Stadium,cpl00130
6,St Kitts,2017-08-21,male,T20,20,E Lewis,2017,club,"Warner Park, Basseterre",cpl00131
6,Guyana,2017-08-22,male,T20,20,Sohail Tanvir,2017,club,Providence Stadium,cpl00132
6,St Kitts,2017-08-23,male,T20,20,DM Bravo,2017,club,"Warner Park, Basseterre",cpl00133
6,Jamaica,2017-08-25,male,T20,20,KC Sangakkara,2017,club,"Sabina Park, Kingston",cpl00134
6,Jamaica,2017-08-26,male,T20,20,BB McCullum,2017,club,"Sabina Park, Kingston",cpl00135
6,Barbados,2017-08-29,male,T20,20,Sohail Tanvir,2017,club,"Kensington Oval, Bridgetown",cpl00136
6,Jamaica,2017-08-30,male,T20,20,O Thomas,2017,club,"Sabina Park, Kingston",cpl00137
6,Barbados,2017-08-31,male,T20,20,DR Smith,2017,club,"Kensington Oval, Bridgetown",cpl00138
6,Jamaica,2017-09-01,male,T20,20,CAK Walton,2017,club,"Sabina Park, Kingston",cpl00139
6,Barbados,2017-09-02,male,T20,20,WD Parnell,2017,club,"Kensington Oval, Bridgetown",cpl00140
6,Barbados,2017-09-03,male,T20,20,E Lewis,2017,club,"Kensington Oval, Bridgetown",cpl00141
6,Trinidad,2017-09-05,male,T20,20,CH Gayle,2017,club,"Brian Lara Stadium, Tarouba",cpl00142
6,Trinidad,2017-09-06,male,T20,20,L Ronchi,2017,club,"Brian Lara Stadium, Tarouba",cpl00143
6,Trinidad,2017-09-07,male,T20,20,C Munro,2017,club,"Brian Lara Stadium, Tarouba",cpl00144
6,Trinidad,2017-09-09,male,T20,20,KK Cooper,2017,club,"Brian Lara Stadium, Tarouba",cpl00145
6,Trinidad,2018-08-08,male,T20,20,C Munro,2018,club,"Queen's Park Oval, Port of Spain",cpl00146
6,Guyana,2018-08-09,male,T20,20,SO Hetmyer,2018,club,Providence Stadium,cpl00147
6,Trinidad,2018-08-10,male,T20,20,AD Russell,2018,club,"Queen's Park Oval, Port of Spain",cpl00148
6,Guyana,2018-08-11,male,T20,20,RR Emrit,2018,club,Providence Stadium,cpl00149
6,Trinidad,2018-08-11,male,T20,20,DC Thomas,2018,club,"Queen's Park Oval, Port of Spain",cpl00150
6,Guyana,2018-08-12,male,T20,20,RA Reifer,2018,club,Providence Stadium,cpl00151
6,Jamaica,2018-08-14,male,T20,20,A Zampa,2018,club,"Sabina Park, Kingston",cpl00152
6,Jamaica,2018-08-15,male,T20,20,K Lewis,2018,club,"Sabina Park, Kingston",cpl00153
6,St Lucia,2018-08-16,male,T20,20,DM Bravo,2018,club,"Daren Sammy National Cricket Stadium, Gros Islet",cpl00154
6,St Lucia,2018-08-17,male,T20,20,KA Pollard,2018,club,"Daren Sammy National Cricket Stadium, Gros Islet",cpl00155
6,Lauderhill,2018-08-18,male,T20,20,SO Hetmyer,2018,club,Central Broward Regional Park Stadium Turf Ground,cpl00156
6,Lauderhill,2018-08-19,male,T20,20,K Pierre,2018,club,Central Broward Regional Park Stadium Turf Ground,cpl00157
6,St Lucia,2018-08-21,male,T20,20,SS Cottrell,2018,club,"Daren Sammy National Cricket Stadium, Gros Islet",cpl00158
6,Lauderhill,2018-08-22,male,T20,20,SPD Smith,2018,club,Central Broward Regional Park Stadium Turf Ground,cpl00159
6,St Lucia,2018-08-24,male,T20,20,ADS Fletcher,2018,club,"Daren Sammy National Cricket Stadium, Gros Islet",cpl00160
6,St Lucia,2018-08-25,male,T20,20,R Powell,2018,club,"Daren Sammy National Cricket Stadium, Gros Islet",cpl00161
6,Barbados,2018-08-25,male,T20,20,Mohammad Irfan,2018,club,"Kensington Oval, Bridgetown",cpl00162
6,Barbados,2018-08-26,male,T20,20,BB McCullum,2018,club,"Kensington Oval, Bridgetown",cpl00163
6,St Kitts,2018-08-28,male,T20,20,Sohail Tanvir,2018,club,"Warner Park, Basseterre",cpl00164
6,Barbados,2018-08-29,male,T20,20,J Charles,2018,club,"Kensington Oval, Bridgetown",cpl00165
6,Barbados,2018-08-31,male,T20,20,L Ronchi,2018,club,"Kensington Oval, Bridgetown",cpl00166
6,St Kitts,2018-09-01,male,T20,20,C Munro,2018,club,"Warner Park, Basseterre",cpl00167
6,Barbados,2018-09-02,male,T20,20,C Lamont,2018,club,"Kensington Oval, Bridgetown",cpl00168
