type,name,key
match_referees,MJ Procter,cpl00001
reserve_umpires,KA Sisnett,cpl00001
tv_umpires,LS Reifer,cpl00001
umpires,BF Bowden,cpl00001
umpires,GO Brathwaite,cpl00001
match_referees,HPL Bruce,cpl00002
reserve_umpires,Guyanand Sukdeo,cpl00002
tv_umpires,C Alfred,cpl00002
umpires,JS Wilson,cpl00002
umpires,PJ Nero,cpl00002
match_referees,MJ Procter,cpl00003
reserve_umpires,KA Sisnett,cpl00003
tv_umpires,GO Brathwaite,cpl00003
umpires,LS Reifer,cpl00003
umpires,BF Bowden,cpl00003
match_referees,HPL Bruce,cpl00004
reserve_umpires,Guyanand Sukdeo,cpl00004
tv_umpires,C Alfred,cpl00004
umpires,JS Wilson,cpl00004
umpires,PJ Nero,cpl00004
match_referees,MJ Procter,cpl00005
reserve_umpires,S Leacock,cpl00005
tv_umpires,LS Reifer,cpl00005
umpires,BF Bowden,cpl00005
umpires,GO Brathwaite,cpl00005
match_referees,HPL Bruce,cpl00006
reserve_umpires,Guyanand Sukdeo,cpl00006
tv_umpires,N Duguid,cpl00006
umpires,JS Wilson,cpl00006
umpires,PJ Nero,cpl00006
match_referees,HPL Bruce,cpl00007
reserve_umpires,Guyanand Sukdeo,cpl00007
tv_umpires,PJ Nero,cpl00007
umpires,N Duguid,cpl00007
umpires,C Alfred,cpl00007
match_referees,MJ Procter,cpl00008
reserve_umpires,FX Maurice,cpl00008
tv_umpires,BF Bowden,cpl00008
umpires,N Duguid,cpl00008
umpires,GO Brathwaite,cpl00008
match_referees,HPL Bruce,cpl00009
reserve_umpires,A Sanawar,cpl00009
tv_umpires,JS Wilson,cpl00009
umpires,PA Gustard,cpl00009
umpires,PJ Nero,cpl00009
match_referees,HPL Bruce,cpl00010
reserve_umpires,A Sanawar,cpl00010
tv_umpires,PA Gustard,cpl00010
umpires,JS Wilson,cpl00010
umpires,PJ Nero,cpl00010
match_referees,MJ Procter,cpl00011
reserve_umpires,FX Maurice,cpl00011
tv_umpires,BF Bowden,cpl00011
umpires,N Duguid,cpl00011
umpires,GO Brathwaite,cpl00011
match_referees,HPL Bruce,cpl00012
reserve_umpires,A Sanawar,cpl00012
tv_umpires,JS Wilson,cpl00012
umpires,PA Gustard,cpl00012
umpires,PJ Nero,cpl00012
match_referees,HPL Bruce,cpl00013
reserve_umpires,PA Gustard,cpl00013
