winner,by.runs,key,by.wickets,method,result,eliminator
Barbados Tridents,17.0,cpl00001,,,,
Guyana Amazon Warriors,19.0,cpl00002,,,,
Barbados Tridents,12.0,cpl00003,,,,
Guyana Amazon Warriors,,cpl00004,8.0,,,
Barbados Tridents,,cpl00005,4.0,,,
St Lucia Zouks,,cpl00006,5.0,,,
Jamaica Tallawahs,,cpl00007,7.0,,,
Antigua Hawksbills,33.0,cpl00008,,,,
Jamaica Tallawahs,5.0,cpl00009,,,,
Trinidad & Tobago Red Steel,3.0,cpl00010,,,,
Jamaica Tallawahs,,cpl00011,6.0,,,
Trinidad & Tobago Red Steel,1.0,cpl00012,,D/L,,
Guyana Amazon Warriors,27.0,cpl00013,,,,
Antigua Hawksbills,,cpl00014,5.0,,,
Guyana Amazon Warriors,5.0,cpl00015,,,,
St Lucia Zouks,17.0,cpl00016,,D/L,,
Jamaica Tallawahs,,cpl00017,6.0,,,
Guyana Amazon Warriors,,cpl00018,5.0,,,
Trinidad & Tobago Red Steel,,cpl00019,6.0,,,
Jamaica Tallawahs,,cpl00020,3.0,,,
Guyana Amazon Warriors,,cpl00021,7.0,,,
Jamaica Tallawahs,,cpl00022,7.0,,,
Jamaica Tallawahs,,cpl00023,7.0,,,
Guyana Amazon Warriors,,cpl00024,2.0,,,
Trinidad & Tobago Red Steel,,cpl00025,7.0,,,
Jamaica Tallawahs,,cpl00026,8.0,,,
Guyana Amazon Warriors,,cpl00027,9.0,,,
Barbados Tridents,,cpl00028,5.0,,,
Jamaica Tallawahs,4.0,cpl00029,,,,
Trinidad & Tobago Red Steel,,cpl00030,9.0,,,
Barbados Tridents,29.0,cpl00031,,,,
Trinidad & Tobago Red Steel,,cpl00032,4.0,,,
Trinidad & Tobago Red Steel,13.0,cpl00033,,,,
Guyana Amazon Warriors,7.0,cpl00034,,,,
Trinidad & Tobago Red Steel,,cpl00035,9.0,,,
Jamaica Tallawahs,,cpl00036,7.0,D/L,,
Barbados Tridents,,cpl00037,3.0,,,
Jamaica Tallawahs,,cpl00038,6.0,,,
Trinidad & Tobago Red Steel,,cpl00039,8.0,,,
Jamaica Tallawahs,19.0,cpl00040,,,,
St Lucia Zouks,,cpl00041,5.0,D/L,,
Guyana Amazon Warriors,19.0,cpl00042,,,,
Barbados Tridents,69.0,cpl00043,,,,
Antigua Hawksbills,,cpl00044,5.0,,,
St Lucia Zouks,,cpl00045,7.0,,,
Guyana Amazon Warriors,,cpl00046,8.0,,,
Barbados Tridents,88.0,cpl00047,,,,
Jamaica Tallawahs,,cpl00048,4.0,,,
Guyana Amazon Warriors,,cpl00049,10.0,,,
Barbados Tridents,8.0,cpl00050,,D/L,,
Barbados Tridents,49.0,cpl00051,,,,
,,cpl00052,,,no result,
Barbados Tridents,16.0,cpl00053,,,,
St Lucia Zouks,,cpl00054,7.0,,,
Barbados Tridents,,cpl00055,8.0,,,
St Lucia Zouks,2.0,cpl00056,,D/L,,
St Kitts and Nevis Patriots,1.0,cpl00057,,,,
Jamaica Tallawahs,,cpl00058,10.0,,,
Jamaica Tallawahs,,cpl00059,7.0,,,
Barbados Tridents,15.0,cpl00060,,,,
Guyana Amazon Warriors,,cpl00061,7.0,,,
St Lucia Zouks,30.0,cpl00062,,,,
St Kitts and Nevis Patriots,119.0,cpl00063,,,,
Trinidad & Tobago Red Steel,,cpl00064,3.0,,,
St Kitts and Nevis Patriots,,cpl00065,8.0,,,
Jamaica Tallawahs,,cpl00066,9.0,,,
Guyana Amazon Warriors,23.0,cpl00067,,D/L,,
Jamaica Tallawahs,50.0,cpl00068,,,,
St Kitts and Nevis Patriots,26.0,cpl00069,,,,
Trinidad & Tobago Red Steel,,cpl00070,6.0,,,
Barbados Tridents,17.0,cpl00071,,,,
Guyana Amazon Warriors,84.0,cpl00072,,,,
St Lucia Zouks,,cpl00073,4.0,,,
Trinidad & Tobago Red Steel,72.0,cpl00074,,,,
Guyana Amazon Warriors,,cpl00075,3.0,,,
Trinidad & Tobago Red Steel,18.0,cpl00076,,D/L,,
Barbados Tridents,14.0,cpl00077,,,,
Trinidad & Tobago Red Steel,7.0,cpl00078,,,,
Guyana Amazon Warriors,,cpl00079,7.0,,,
Trinidad & Tobago Red Steel,27.0,cpl00080,,,,
Trinidad & Tobago Red Steel,,cpl00081,6.0,,,
Trinidad & Tobago Red Steel,20.0,cpl00082,,,,
St Lucia Zouks,,cpl00083,6.0,,,
Guyana Amazon Warriors,,cpl00084,4.0,,,
Trinbago Knight Riders,11.0,cpl00085,,,,
Jamaica Tallawahs,5.0,cpl00086,,,,
Guyana Amazon Warriors,,cpl00087,6.0,,,
St Kitts and Nevis Patriots,58.0,cpl00088,,,,
Jamaica Tallawahs,,cpl00089,7.0,,,
Trinbago Knight Riders,7.0,cpl00090,,,,
,,cpl00091,,,no result,
Barbados Tridents,25.0,cpl00092,,,,
Jamaica Tallawahs,,cpl00093,5.0,,,
Jamaica Tallawahs,108.0,cpl00094,,,,
Trinbago Knight Riders,,cpl00095,7.0,,,
Barbados Tridents,25.0,cpl00096,,,,
Jamaica Tallawahs,19.0,cpl00097,,,,
Jamaica Tallawahs,36.0,cpl00098,,D/L,,
St Lucia Zouks,35.0,cpl00099,,,,
St Lucia Zouks,,cpl00100,9.0,,,
Trinbago Knight Riders,,cpl00101,3.0,,,
Guyana Amazon Warriors,,cpl00102,6.0,,,
St Kitts and Nevis Patriots,34.0,cpl00103,,,,
St Lucia Zouks,63.0,cpl00104,,,,
Guyana Amazon Warriors,,cpl00105,6.0,,,
Trinbago Knight Riders,,cpl00106,8.0,,,
St Lucia Zouks,17.0,cpl00107,,,,
Guyana Amazon Warriors,,cpl00108,4.0,,,
Trinbago Knight Riders,,cpl00109,5.0,,,
Jamaica Tallawahs,19.0,cpl00110,,D/L,,
Jamaica Tallawahs,,cpl00111,9.0,,,
Trinbago Knight Riders,,cpl00112,9.0,,,
Barbados Tridents,12.0,cpl00113,,,,
St Kitts and Nevis Patriots,,cpl00114,4.0,,,
St Kitts and Nevis Patriots,4.0,cpl00115,,,,
Jamaica Tallawahs,12.0,cpl00116,,,,
Trinbago Knight Riders,,cpl00117,4.0,,,
Jamaica Tallawahs,,cpl00118,4.0,,,
Barbados Tridents,21.0,cpl00119,,D/L,,
Trinbago Knight Riders,,cpl00120,7.0,,,
St Kitts and Nevis Patriots,33.0,cpl00121,,,,
Trinbago Knight Riders,,cpl00122,2.0,,,
Guyana Amazon Warriors,,cpl00123,6.0,,,
Trinbago Knight Riders,,cpl00124,4.0,,,
Jamaica Tallawahs,,cpl00125,5.0,,,
Jamaica Tallawahs,2.0,cpl00126,,,,
St Kitts and Nevis Patriots,17.0,cpl00127,,D/L,,
Trinbago Knight Riders,,cpl00128,7.0,,,
,,cpl00129,,,no result,
Guyana Amazon Warriors,,cpl00130,4.0,,,
St Kitts and Nevis Patriots,37.0,cpl00131,,,,
Guyana Amazon Warriors,,cpl00132,7.0,,,
Trinbago Knight Riders,,cpl00133,8.0,D/L,,
Jamaica Tallawahs,,cpl00134,6.0,,,
Trinbago Knight Riders,36.0,cpl00135,,,,
Guyana Amazon Warriors,99.0,cpl00136,,,,
Jamaica Tallawahs,41.0,cpl00137,,,,
