team,name,key,batting_position
Barbados Tridents,DR Smith,cpl00001,1.0
Barbados Tridents,JL Carter,cpl00001,2.0
Barbados Tridents,Shoaib Malik,cpl00001,3.0
Barbados Tridents,Shakib Al Hasan,cpl00001,4.0
Barbados Tridents,Umar Akmal,cpl00001,5.0
Barbados Tridents,KA Pollard,cpl00001,6.0
Barbados Tridents,KR Mayers,cpl00001,7.0
Barbados Tridents,AR Nurse,cpl00001,
Barbados Tridents,RR Emrit,cpl00001,
Barbados Tridents,JO Holder,cpl00001,
Barbados Tridents,ST Gabriel,cpl00001,
St Lucia Zouks,Tamim Iqbal,cpl00001,1.0
St Lucia Zouks,ADS Fletcher,cpl00001,2.0
St Lucia Zouks,HH Gibbs,cpl00001,3.0
St Lucia Zouks,DS Smith,cpl00001,4.0
St Lucia Zouks,Misbah-ul-Haq,cpl00001,5.0
St Lucia Zouks,JA Morkel,cpl00001,6.0
St Lucia Zouks,DJG Sammy,cpl00001,7.0
St Lucia Zouks,S Shillingford,cpl00001,8.0
St Lucia Zouks,GE Mathurin,cpl00001,9.0
St Lucia Zouks,TL Best,cpl00001,10.0
St Lucia Zouks,NT Pascal,cpl00001,11.0
Guyana Amazon Warriors,LMP Simmons,cpl00002,1.0
Guyana Amazon Warriors,MJ Guptill,cpl00002,2.0
Guyana Amazon Warriors,Mohammad Hafeez,cpl00002,3.0
Guyana Amazon Warriors,JEC Franklin,cpl00002,4.0
Guyana Amazon Warriors,CD Barnwell,cpl00002,5.0
Guyana Amazon Warriors,N Deonarine,cpl00002,6.0
Guyana Amazon Warriors,RR Sarwan,cpl00002,7.0
Guyana Amazon Warriors,D Ramdin,cpl00002,
Guyana Amazon Warriors,SP Narine,cpl00002,
Guyana Amazon Warriors,K Santokie,cpl00002,
Guyana Amazon Warriors,V Permaul,cpl00002,
Trinidad & Tobago Red Steel,DJ Jacobs,cpl00002,1.0
Trinidad & Tobago Red Steel,JC Guillen,cpl00002,2.0
Trinidad & Tobago Red Steel,DM Bravo,cpl00002,3.0
Trinidad & Tobago Red Steel,LRPL Taylor,cpl00002,4.0
Trinidad & Tobago Red Steel,N Pooran,cpl00002,5.0
Trinidad & Tobago Red Steel,DJ Bravo,cpl00002,6.0
Trinidad & Tobago Red Steel,KJ O'Brien,cpl00002,7.0
Trinidad & Tobago Red Steel,KK Cooper,cpl00002,8.0
Trinidad & Tobago Red Steel,S Badree,cpl00002,9.0
Trinidad & Tobago Red Steel,SJ Benn,cpl00002,10.0
Trinidad & Tobago Red Steel,ML Cummins,cpl00002,11.0
Barbados Tridents,DR Smith,cpl00003,1.0
Barbados Tridents,JL Carter,cpl00003,2.0
Barbados Tridents,Shoaib Malik,cpl00003,3.0
Barbados Tridents,Shakib Al Hasan,cpl00003,4.0
Barbados Tridents,Umar Akmal,cpl00003,5.0
Barbados Tridents,KA Pollard,cpl00003,6.0
Barbados Tridents,KR Mayers,cpl00003,7.0
Barbados Tridents,AR Nurse,cpl00003,8.0
Barbados Tridents,RR Emrit,cpl00003,9.0
Barbados Tridents,JO Holder,cpl00003,10.0
Barbados Tridents,ST Gabriel,cpl00003,
Antigua Hawksbills,J Charles,cpl00003,1.0
Antigua Hawksbills,DC Thomas,cpl00003,2.0
Antigua Hawksbills,RT Ponting,cpl00003,3.0
Antigua Hawksbills,MN Samuels,cpl00003,4.0
Antigua Hawksbills,BJ Rohrer,cpl00003,5.0
Antigua Hawksbills,JM Kemp,cpl00003,6.0
Antigua Hawksbills,KOA Powell,cpl00003,7.0
Antigua Hawksbills,D Mohammed,cpl00003,8.0
Antigua Hawksbills,KAJ Roach,cpl00003,9.0
Antigua Hawksbills,GC Tonge,cpl00003,10.0
Antigua Hawksbills,SS Cottrell,cpl00003,
