decision,winner,key
bat,Barbados Tridents,cpl00001
field,Trinidad & Tobago Red Steel,cpl00002
bat,Barbados Tridents,cpl00003
field,Guyana Amazon Warriors,cpl00004
bat,Trinidad & Tobago Red Steel,cpl00005
field,St Lucia Zouks,cpl00006
bat,Antigua Hawksbills,cpl00007
field,St Lucia Zouks,cpl00008
field,Trinidad & Tobago Red Steel,cpl00009
bat,Trinidad & Tobago Red Steel,cpl00010
bat,St Lucia Zouks,cpl00011
bat,Trinidad & Tobago Red Steel,cpl00012
bat,Guyana Amazon Warriors,cpl00013
bat,Barbados Tridents,cpl00014
field,Jamaica Tallawahs,cpl00015
bat,St Lucia Zouks,cpl00016
field,Jamaica Tallawahs,cpl00017
bat,Antigua Hawksbills,cpl00018
field,Trinidad & Tobago Red Steel,cpl00019
field,Jamaica Tallawahs,cpl00020
field,Guyana Amazon Warriors,cpl00021
field,Jamaica Tallawahs,cpl00022
field,Jamaica Tallawahs,cpl00023
field,Guyana Amazon Warriors,cpl00024
field,Trinidad & Tobago Red Steel,cpl00025
bat,Antigua Hawksbills,cpl00026
field,Guyana Amazon Warriors,cpl00027
field,Barbados Tridents,cpl00028
field,Guyana Amazon Warriors,cpl00029
field,Trinidad & Tobago Red Steel,cpl00030
field,St Lucia Zouks,cpl00031
field,Trinidad & Tobago Red Steel,cpl00032
field,Jamaica Tallawahs,cpl00033
field,Barbados Tridents,cpl00034
bat,St Lucia Zouks,cpl00035
field,Jamaica Tallawahs,cpl00036
bat,St Lucia Zouks,cpl00037
field,Jamaica Tallawahs,cpl00038
field,Trinidad & Tobago Red Steel,cpl00039
field,Barbados Tridents,cpl00040
field,St Lucia Zouks,cpl00041
field,Antigua Hawksbills,cpl00042
field,Trinidad & Tobago Red Steel,cpl00043
field,Antigua Hawksbills,cpl00044
field,St Lucia Zouks,cpl00045
field,Guyana Amazon Warriors,cpl00046
bat,Barbados Tridents,cpl00047
field,Jamaica Tallawahs,cpl00048
field,Guyana Amazon Warriors,cpl00049
field,Guyana Amazon Warriors,cpl00050
bat,Barbados Tridents,cpl00051
field,Trinidad & Tobago Red Steel,cpl00052
bat,Barbados Tridents,cpl00053
bat,St Kitts and Nevis Patriots,cpl00054
bat,Trinidad & Tobago Red Steel,cpl00055
field,Guyana Amazon Warriors,cpl00056
field,Barbados Tridents,cpl00057
field,Jamaica Tallawahs,cpl00058
bat,St Kitts and Nevis Patriots,cpl00059
bat,Barbados Tridents,cpl00060
bat,St Kitts and Nevis Patriots,cpl00061
bat,St Lucia Zouks,cpl00062
field,Jamaica Tallawahs,cpl00063
bat,Guyana Amazon Warriors,cpl00064
bat,Barbados Tridents,cpl00065
field,Jamaica Tallawahs,cpl00066
bat,St Kitts and Nevis Patriots,cpl00067
field,Trinidad & Tobago Red Steel,cpl00068
field,St Lucia Zouks,cpl00069
bat,St Kitts and Nevis Patriots,cpl00070
bat,Barbados Tridents,cpl00071
field,Jamaica Tallawahs,cpl00072
field,St Lucia Zouks,cpl00073
bat,Trinidad & Tobago Red Steel,cpl00074
field,Guyana Amazon Warriors,cpl00075
bat,Trinidad & Tobago Red Steel,cpl00076
bat,Barbados Tridents,cpl00077
bat,Trinidad & Tobago Red Steel,cpl00078
bat,Trinidad & Tobago Red Steel,cpl00079
bat,Trinidad & Tobago Red Steel,cpl00080
bat,Guyana Amazon Warriors,cpl00081
bat,Trinidad & Tobago Red Steel,cpl00082
field,St Lucia Zouks,cpl00083
field,Guyana Amazon Warriors,cpl00084
field,Barbados Tridents,cpl00085
field,St Kitts and Nevis Patriots,cpl00086
field,Guyana Amazon Warriors,cpl00087
field,St Lucia Zouks,cpl00088
field,Jamaica Tallawahs,cpl00089
field,Guyana Amazon Warriors,cpl00090
field,Barbados Tridents,cpl00091
field,St Kitts and Nevis Patriots,cpl00092
field,Jamaica Tallawahs,cpl00093
field,St Kitts and Nevis Patriots,cpl00094
field,Trinbago Knight Riders,cpl00095
field,St Lucia Zouks,cpl00096
field,Trinbago Knight Riders,cpl00097
field,Barbados Tridents,cpl00098
field,St Kitts and Nevis Patriots,cpl00099
