name,match_number,key,stage
International League T20,1.0,ilt00001,nan
International League T20,2.0,ilt00002,nan
International League T20,4.0,ilt00003,nan
International League T20,3.0,ilt00004,nan
International League T20,5.0,ilt00005,nan
International League T20,6.0,ilt00006,nan
International League T20,7.0,ilt00007,nan
International League T20,8.0,ilt00008,nan
International League T20,9.0,ilt00009,nan
International League T20,10.0,ilt00010,nan
International League T20,11.0,ilt00011,nan
International League T20,13.0,ilt00012,nan
International League T20,12.0,ilt00013,nan
International League T20,14.0,ilt00014,nan
International League T20,15.0,ilt00015,nan
International League T20,17.0,ilt00016,nan
International League T20,19.0,ilt00017,nan
International League T20,20.0,ilt00018,nan
International League T20,21.0,ilt00019,nan
International League T20,22.0,ilt00020,nan
International League T20,23.0,ilt00021,nan
International League T20,24.0,ilt00022,nan
International League T20,25.0,ilt00023,nan
International League T20,26.0,ilt00024,nan
International League T20,27.0,ilt00025,nan
International League T20,28.0,ilt00026,nan
International League T20,29.0,ilt00027,nan
International League T20,30.0,ilt00028,nan
International League T20,,ilt00029,Qualifier 1
International League T20,,ilt00030,Eliminator
International League T20,,ilt00031,Qualifier 2
International League T20,,ilt00032,Final
International League T20,1.0,ilt00033,nan
International League T20,2.0,ilt00034,nan
International League T20,3.0,ilt00035,nan
International League T20,4.0,ilt00036,nan
International League T20,5.0,ilt00037,nan
International League T20,6.0,ilt00038,nan
International League T20,7.0,ilt00039,nan
International League T20,8.0,ilt00040,nan
International League T20,9.0,ilt00041,nan
International League T20,10.0,ilt00042,nan
International League T20,11.0,ilt00043,nan
International League T20,12.0,ilt00044,nan
International League T20,13.0,ilt00045,nan
International League T20,14.0,ilt00046,nan
International League T20,15.0,ilt00047,nan
International League T20,16.0,ilt00048,nan
International League T20,17.0,ilt00049,nan
International League T20,18.0,ilt00050,nan
International League T20,20.0,ilt00051,nan
International League T20,19.0,ilt00052,nan
International League T20,21.0,ilt00053,nan
International League T20,22.0,ilt00054,nan
International League T20,23.0,ilt00055,nan
International League T20,24.0,ilt00056,nan
International League T20,25.0,ilt00057,nan
International League T20,26.0,ilt00058,nan
International League T20,27.0,ilt00059,nan
International League T20,28.0,ilt00060,nan
International League T20,29.0,ilt00061,nan
International League T20,30.0,ilt00062,nan
International League T20,,ilt00063,Eliminator
International League T20,,ilt00064,Qualifier 1
International League T20,,ilt00065,Qualifier 2
International League T20,,ilt00066,Final
International League T20,1.0,ilt00067,nan
International League T20,2.0,ilt00068,nan
International League T20,3.0,ilt00069,nan
International League T20,4.0,ilt00070,nan
International League T20,5.0,ilt00071,nan
International League T20,6.0,ilt00072,nan
International League T20,7.0,ilt00073,nan
International League T20,8.0,ilt00074,nan
International League T20,9.0,ilt00075,nan
International League T20,10.0,ilt00076,nan
International League T20,11.0,ilt00077,nan
International League T20,12.0,ilt00078,nan
