balls_per_over,city,date,gender,match_type,overs,player_of_match,season,team_type,venue,key
6,Dubai,2023-01-13,male,T20,20,R Powell,2022/23,club,Dubai International Cricket Stadium,ilt00001
6,Abu Dhabi,2023-01-14,male,T20,20,Waseem Muhammad,2022/23,club,"Zayed Cricket Stadium, Abu Dhabi",ilt00002
6,Dubai,2023-01-15,male,T20,20,AD Hales,2022/23,club,Dubai International Cricket Stadium,ilt00003
6,Abu Dhabi,2023-01-15,male,T20,20,SM Sharma,2022/23,club,"Zayed Cricket Stadium, Abu Dhabi",ilt00004
6,Dubai,2023-01-16,male,T20,20,JM Vince,2022/23,club,Dubai International Cricket Stadium,ilt00005
6,Sharjah,2023-01-17,male,T20,20,DJ Bravo,2022/23,club,Sharjah Cricket Stadium,ilt00006
6,Dubai,2023-01-18,male,T20,20,PWH de Silva,2022/23,club,Dubai International Cricket Stadium,ilt00007
6,Sharjah,2023-01-19,male,T20,20,JM Vince,2022/23,club,Sharjah Cricket Stadium,ilt00008
6,Abu Dhabi,2023-01-20,male,T20,20,AD Hales,2022/23,club,"Zayed Cricket Stadium, Abu Dhabi",ilt00009
6,Dubai,2023-01-21,male,T20,20,T Kohler-Cadmore,2022/23,club,Dubai International Cricket Stadium,ilt00010
6,Abu Dhabi,2023-01-21,male,T20,20,Najibullah Zadran,2022/23,club,"Zayed Cricket Stadium, Abu Dhabi",ilt00011
6,Dubai,2023-01-22,male,T20,20,SO Hetmyer,2022/23,club,Dubai International Cricket Stadium,ilt00012
6,Abu Dhabi,2023-01-22,male,T20,20,R Powell,2022/23,club,"Zayed Cricket Stadium, Abu Dhabi",ilt00013
6,Dubai,2023-01-23,male,T20,20,Naveen-ul-Haq,2022/23,club,Dubai International Cricket Stadium,ilt00014
6,Abu Dhabi,2023-01-24,male,T20,20,SE Rutherford,2022/23,club,"Zayed Cricket Stadium, Abu Dhabi",ilt00015
6,Sharjah,2023-01-26,male,T20,20,,2022/23,club,Sharjah Cricket Stadium,ilt00016
6,Dubai,2023-01-28,male,T20,20,Rahmanullah Gurbaz,2022/23,club,Dubai International Cricket Stadium,ilt00017
6,Dubai,2023-01-28,male,T20,20,A Zampa,2022/23,club,Dubai International Cricket Stadium,ilt00018
6,Sharjah,2023-01-29,male,T20,20,Waseem Muhammad,2022/23,club,Sharjah Cricket Stadium,ilt00019
6,Abu Dhabi,2023-01-30,male,T20,20,A Zampa,2022/23,club,"Zayed Cricket Stadium, Abu Dhabi",ilt00020
6,Sharjah,2023-01-31,male,T20,20,PWH de Silva,2022/23,club,Sharjah Cricket Stadium,ilt00021
6,Abu Dhabi,2023-02-01,male,T20,20,CJ Jordan,2022/23,club,"Zayed Cricket Stadium, Abu Dhabi",ilt00022
6,Dubai,2023-02-02,male,T20,20,SE Rutherford,2022/23,club,Dubai International Cricket Stadium,ilt00023
6,Abu Dhabi,2023-02-03,male,T20,20,KA Pollard,2022/23,club,"Zayed Cricket Stadium, Abu Dhabi",ilt00024
