batter,bowler,non_striker,runs_batter,runs_extras,runs_total,over,delivery_no,batting_team,inning_no,wickets_kind,wickets_player_out,review_by,review_umpire,review_batter,review_decision,bowling_team,key,review_umpires_call,replacements_role,review_type,replacements_match,runs_non_boundary,extras_type
RV Uthappa,R Rampaul,JE Root,0,0,0,0,1,Dubai Capitals,1,,,,,,,Abu Dhabi Knight Riders,ilt00001,,,,,,
RV Uthappa,R Rampaul,JE Root,0,0,0,0,2,Dubai Capitals,1,,,,,,,Abu Dhabi Knight Riders,ilt00001,,,,,,
RV Uthappa,R Rampaul,JE Root,1,0,1,0,3,Dubai Capitals,1,,,,,,,Abu Dhabi Knight Riders,ilt00001,,,,,,
JE Root,R Rampaul,RV Uthappa,1,0,1,0,4,Dubai Capitals,1,,,,,,,Abu Dhabi Knight Riders,ilt00001,,,,,,
RV Uthappa,R Rampaul,JE Root,0,0,0,0,5,Dubai Capitals,1,,,,,,,Abu Dhabi Knight Riders,ilt00001,,,,,,
RV Uthappa,R Rampaul,JE Root,0,0,0,0,6,Dubai Capitals,1,,,,,,,Abu Dhabi Knight Riders,ilt00001,,,,,,
JE Root,AJ Hosein,RV Uthappa,0,0,0,1,1,Dubai Capitals,1,,,,,,,Abu Dhabi Knight Riders,ilt00001,,,,,,
JE Root,AJ Hosein,RV Uthappa,4,0,4,1,2,Dubai Capitals,1,,,,,,,Abu Dhabi Knight Riders,ilt00001,,,,,,
JE Root,AJ Hosein,RV Uthappa,1,0,1,1,3,Dubai Capitals,1,,,,,,,Abu Dhabi Knight Riders,ilt00001,,,,,,
RV Uthappa,AJ Hosein,JE Root,0,0,0,1,4,Dubai Capitals,1,,,,,,,Abu Dhabi Knight Riders,ilt00001,,,,,,
RV Uthappa,AJ Hosein,JE Root,0,0,0,1,5,Dubai Capitals,1,,,,,,,Abu Dhabi Knight Riders,ilt00001,,,,,,
RV Uthappa,AJ Hosein,JE Root,0,0,0,1,6,Dubai Capitals,1,,,,,,,Abu Dhabi Knight Riders,ilt00001,,,,,,
JE Root,R Rampaul,RV Uthappa,0,0,0,2,1,Dubai Capitals,1,,,,,,,Abu Dhabi Knight Riders,ilt00001,,,,,,
JE Root,R Rampaul,RV Uthappa,0,0,0,2,2,Dubai Capitals,1,,,,,,,Abu Dhabi Knight Riders,ilt00001,,,,,,
JE Root,R Rampaul,RV Uthappa,1,0,1,2,3,Dubai Capitals,1,,,,,,,Abu Dhabi Knight Riders,ilt00001,,,,,,
