team_1,team_2,key
Dubai Capitals,Abu Dhabi Knight Riders,ilt00001
MI Emirates,Sharjah Warriors,ilt00002
Sharjah Warriors,Desert Vipers,ilt00003
Abu Dhabi Knight Riders,Gulf Giants,ilt00004
Dubai Capitals,Gulf Giants,ilt00005
Sharjah Warriors,MI Emirates,ilt00006
Abu Dhabi Knight Riders,Desert Vipers,ilt00007
Gulf Giants,Dubai Capitals,ilt00008
Desert Vipers,Abu Dhabi Knight Riders,ilt00009
Dubai Capitals,Sharjah Warriors,ilt00010
Abu Dhabi Knight Riders,MI Emirates,ilt00011
Dubai Capitals,MI Emirates,ilt00012
Desert Vipers,Gulf Giants,ilt00013
Sharjah Warriors,Gulf Giants,ilt00014
MI Emirates,Desert Vipers,ilt00015
Dubai Capitals,Sharjah Warriors,ilt00016
Abu Dhabi Knight Riders,Sharjah Warriors,ilt00017
Desert Vipers,Dubai Capitals,ilt00018
MI Emirates,Desert Vipers,ilt00019
Abu Dhabi Knight Riders,Dubai Capitals,ilt00020
Desert Vipers,Sharjah Warriors,ilt00021
MI Emirates,Gulf Giants,ilt00022
Desert Vipers,Dubai Capitals,ilt00023
MI Emirates,Abu Dhabi Knight Riders,ilt00024
Gulf Giants,Desert Vipers,ilt00025
Sharjah Warriors,Abu Dhabi Knight Riders,ilt00026
MI Emirates,Dubai Capitals,ilt00027
Sharjah Warriors,Gulf Giants,ilt00028
Desert Vipers,Gulf Giants,ilt00029
Dubai Capitals,MI Emirates,ilt00030
MI Emirates,Gulf Giants,ilt00031
Desert Vipers,Gulf Giants,ilt00032
Gulf Giants,Sharjah Warriors,ilt00033
MI Emirates,Dubai Capitals,ilt00034
Desert Vipers,Abu Dhabi Knight Riders,ilt00035
MI Emirates,Gulf Giants,ilt00036
Dubai Capitals,Sharjah Warriors,ilt00037
Abu Dhabi Knight Riders,MI Emirates,ilt00038
Gulf Giants,Desert Vipers,ilt00039
Abu Dhabi Knight Riders,Dubai Capitals,ilt00040
MI Emirates,Sharjah Warriors,ilt00041
Desert Vipers,Abu Dhabi Knight Riders,ilt00042
Dubai Capitals,Gulf Giants,ilt00043
Abu Dhabi Knight Riders,MI Emirates,ilt00044
Sharjah Warriors,Desert Vipers,ilt00045
Dubai Capitals,Sharjah Warriors,ilt00046
MI Emirates,Desert Vipers,ilt00047
Gulf Giants,Abu Dhabi Knight Riders,ilt00048
Desert Vipers,Dubai Capitals,ilt00049
Sharjah Warriors,MI Emirates,ilt00050
Abu Dhabi Knight Riders,Dubai Capitals,ilt00051
Gulf Giants,Desert Vipers,ilt00052
MI Emirates,Desert Vipers,ilt00053
Gulf Giants,Sharjah Warriors,ilt00054
Sharjah Warriors,Abu Dhabi Knight Riders,ilt00055
Gulf Giants,Dubai Capitals,ilt00056
Abu Dhabi Knight Riders,Sharjah Warriors,ilt00057
Gulf Giants,MI Emirates,ilt00058
Desert Vipers,Dubai Capitals,ilt00059
Gulf Giants,Abu Dhabi Knight Riders,ilt00060
Dubai Capitals,MI Emirates,ilt00061
Sharjah Warriors,Desert Vipers,ilt00062
Dubai Capitals,Abu Dhabi Knight Riders,ilt00063
MI Emirates,Gulf Giants,ilt00064
Gulf Giants,Dubai Capitals,ilt00065
MI Emirates,Dubai Capitals,ilt00066
Dubai Capitals,MI Emirates,ilt00067
Abu Dhabi Knight Riders,Desert Vipers,ilt00068
Gulf Giants,Sharjah Warriorz,ilt00069
MI Emirates,Dubai Capitals,ilt00070
Gulf Giants,Desert Vipers,ilt00071
Abu Dhabi Knight Riders,Sharjah Warriorz,ilt00072
MI Emirates,Desert Vipers,ilt00073
Dubai Capitals,Sharjah Warriorz,ilt00074
Desert Vipers,Abu Dhabi Knight Riders,ilt00075
Dubai Capitals,Gulf Giants,ilt00076
Sharjah Warriorz,MI Emirates,ilt00077
Abu Dhabi Knight Riders,Gulf Giants,ilt00078
