match_number,name,key,stage
1.0,Indian Premier League,ipl00001,nan
2.0,Indian Premier League,ipl00002,nan
3.0,Indian Premier League,ipl00003,nan
5.0,Indian Premier League,ipl00004,nan
4.0,Indian Premier League,ipl00005,nan
6.0,Indian Premier League,ipl00006,nan
7.0,Indian Premier League,ipl00007,nan
8.0,Indian Premier League,ipl00008,nan
9.0,Indian Premier League,ipl00009,nan
10.0,Indian Premier League,ipl00010,nan
11.0,Indian Premier League,ipl00011,nan
12.0,Indian Premier League,ipl00012,nan
14.0,Indian Premier League,ipl00013,nan
13.0,Indian Premier League,ipl00014,nan
15.0,Indian Premier League,ipl00015,nan
16.0,Indian Premier League,ipl00016,nan
17.0,Indian Premier League,ipl00017,nan
19.0,Indian Premier League,ipl00018,nan
18.0,Indian Premier League,ipl00019,nan
20.0,Indian Premier League,ipl00020,nan
22.0,Indian Premier League,ipl00021,nan
21.0,Indian Premier League,ipl00022,nan
24.0,Indian Premier League,ipl00023,nan
23.0,Indian Premier League,ipl00024,nan
25.0,Indian Premier League,ipl00025,nan
26.0,Indian Premier League,ipl00026,nan
27.0,Indian Premier League,ipl00027,nan
28.0,Indian Premier League,ipl00028,nan
29.0,Indian Premier League,ipl00029,nan
30.0,Indian Premier League,ipl00030,nan
31.0,Indian Premier League,ipl00031,nan
32.0,Indian Premier League,ipl00032,nan
33.0,Indian Premier League,ipl00033,nan
34.0,Indian Premier League,ipl00034,nan
35.0,Indian Premier League,ipl00035,nan
36.0,Indian Premier League,ipl00036,nan
37.0,Indian Premier League,ipl00037,nan
38.0,Indian Premier League,ipl00038,nan
39.0,Indian Premier League,ipl00039,nan
40.0,Indian Premier League,ipl00040,nan
42.0,Indian Premier League,ipl00041,nan
41.0,Indian Premier League,ipl00042,nan
43.0,Indian Premier League,ipl00043,nan
44.0,Indian Premier League,ipl00044,nan
45.0,Indian Premier League,ipl00045,nan
46.0,Indian Premier League,ipl00046,nan
48.0,Indian Premier League,ipl00047,nan
50.0,Indian Premier League,ipl00048,nan
49.0,Indian Premier League,ipl00049,nan
51.0,Indian Premier League,ipl00050,nan
52.0,Indian Premier League,ipl00051,nan
53.0,Indian Premier League,ipl00052,nan
54.0,Indian Premier League,ipl00053,nan
55.0,Indian Premier League,ipl00054,nan
56.0,Indian Premier League,ipl00055,nan
,Indian Premier League,ipl00056,Semi Final
,Indian Premier League,ipl00057,Semi Final
,Indian Premier League,ipl00058,Final
1.0,Indian Premier League,ipl00059,nan
2.0,Indian Premier League,ipl00060,nan
3.0,Indian Premier League,ipl00061,nan
4.0,Indian Premier League,ipl00062,nan
5.0,Indian Premier League,ipl00063,nan
6.0,Indian Premier League,ipl00064,nan
8.0,Indian Premier League,ipl00065,nan
9.0,Indian Premier League,ipl00066,nan
10.0,Indian Premier League,ipl00067,nan
11.0,Indian Premier League,ipl00068,nan
12.0,Indian Premier League,ipl00069,nan
14.0,Indian Premier League,ipl00070,nan
15.0,Indian Premier League,ipl00071,nan
17.0,Indian Premier League,ipl00072,nan
16.0,Indian Premier League,ipl00073,nan
18.0,Indian Premier League,ipl00074,nan
20.0,Indian Premier League,ipl00075,nan
19.0,Indian Premier League,ipl00076,nan
22.0,Indian Premier League,ipl00077,nan
21.0,Indian Premier League,ipl00078,nan
23.0,Indian Premier League,ipl00079,nan
24.0,Indian Premier League,ipl00080,nan
25.0,Indian Premier League,ipl00081,nan
26.0,Indian Premier League,ipl00082,nan
27.0,Indian Premier League,ipl00083,nan
28.0,Indian Premier League,ipl00084,nan
29.0,Indian Premier League,ipl00085,nan
30.0,Indian Premier League,ipl00086,nan
31.0,Indian Premier League,ipl00087,nan
32.0,Indian Premier League,ipl00088,nan
34.0,Indian Premier League,ipl00089,nan
33.0,Indian Premier League,ipl00090,nan
35.0,Indian Premier League,ipl00091,nan
36.0,Indian Premier League,ipl00092,nan
37.0,Indian Premier League,ipl00093,nan
38.0,Indian Premier League,ipl00094,nan
39.0,Indian Premier League,ipl00095,nan
40.0,Indian Premier League,ipl00096,nan
41.0,Indian Premier League,ipl00097,nan
42.0,Indian Premier League,ipl00098,nan
43.0,Indian Premier League,ipl00099,nan
44.0,Indian Premier League,ipl00100,nan
45.0,Indian Premier League,ipl00101,nan
46.0,Indian Premier League,ipl00102,nan
47.0,Indian Premier League,ipl00103,nan
48.0,Indian Premier League,ipl00104,nan
50.0,Indian Premier League,ipl00105,nan
49.0,Indian Premier League,ipl00106,nan
51.0,Indian Premier League,ipl00107,nan
52.0,Indian Premier League,ipl00108,nan
53.0,Indian Premier League,ipl00109,nan
54.0,Indian Premier League,ipl00110,nan
55.0,Indian Premier League,ipl00111,nan
56.0,Indian Premier League,ipl00112,nan
,Indian Premier League,ipl00113,Semi Final
,Indian Premier League,ipl00114,Semi Final
,Indian Premier League,ipl00115,Final
1.0,Indian Premier League,ipl00116,nan
2.0,Indian Premier League,ipl00117,nan
3.0,Indian Premier League,ipl00118,nan
4.0,Indian Premier League,ipl00119,nan
5.0,Indian Premier League,ipl00120,nan
6.0,Indian Premier League,ipl00121,nan
8.0,Indian Premier League,ipl00122,nan
7.0,Indian Premier League,ipl00123,nan
9.0,Indian Premier League,ipl00124,nan
10.0,Indian Premier League,ipl00125,nan
11.0,Indian Premier League,ipl00126,nan
12.0,Indian Premier League,ipl00127,nan
13.0,Indian Premier League,ipl00128,nan
14.0,Indian Premier League,ipl00129,nan
15.0,Indian Premier League,ipl00130,nan
16.0,Indian Premier League,ipl00131,nan
17.0,Indian Premier League,ipl00132,nan
18.0,Indian Premier League,ipl00133,nan
19.0,Indian Premier League,ipl00134,nan
21.0,Indian Premier League,ipl00135,nan
20.0,Indian Premier League,ipl00136,nan
22.0,Indian Premier League,ipl00137,nan
23.0,Indian Premier League,ipl00138,nan
25.0,Indian Premier League,ipl00139,nan
24.0,Indian Premier League,ipl00140,nan
26.0,Indian Premier League,ipl00141,nan
27.0,Indian Premier League,ipl00142,nan
28.0,Indian Premier League,ipl00143,nan
29.0,Indian Premier League,ipl00144,nan
30.0,Indian Premier League,ipl00145,nan
31.0,Indian Premier League,ipl00146,nan
32.0,Indian Premier League,ipl00147,nan
33.0,Indian Premier League,ipl00148,nan
34.0,Indian Premier League,ipl00149,nan
35.0,Indian Premier League,ipl00150,nan
36.0,Indian Premier League,ipl00151,nan
37.0,Indian Premier League,ipl00152,nan
38.0,Indian Premier League,ipl00153,nan
39.0,Indian Premier League,ipl00154,nan
40.0,Indian Premier League,ipl00155,nan
41.0,Indian Premier League,ipl00156,nan
42.0,Indian Premier League,ipl00157,nan
43.0,Indian Premier League,ipl00158,nan
45.0,Indian Premier League,ipl00159,nan
44.0,Indian Premier League,ipl00160,nan
46.0,Indian Premier League,ipl00161,nan
47.0,Indian Premier League,ipl00162,nan
48.0,Indian Premier League,ipl00163,nan
49.0,Indian Premier League,ipl00164,nan
50.0,Indian Premier League,ipl00165,nan
51.0,Indian Premier League,ipl00166,nan
52.0,Indian Premier League,ipl00167,nan
53.0,Indian Premier League,ipl00168,nan
54.0,Indian Premier League,ipl00169,nan
55.0,Indian Premier League,ipl00170,nan
56.0,Indian Premier League,ipl00171,nan
,Indian Premier League,ipl00172,Semi Final
,Indian Premier League,ipl00173,Semi Final
,Indian Premier League,ipl00174,3rd Place Play-Off
,Indian Premier League,ipl00175,Final
1.0,Indian Premier League,ipl00176,nan
2.0,Indian Premier League,ipl00177,nan
3.0,Indian Premier League,ipl00178,nan
4.0,Indian Premier League,ipl00179,nan
5.0,Indian Premier League,ipl00180,nan
6.0,Indian Premier League,ipl00181,nan
7.0,Indian Premier League,ipl00182,nan
8.0,Indian Premier League,ipl00183,nan
9.0,Indian Premier League,ipl00184,nan
10.0,Indian Premier League,ipl00185,nan
11.0,Indian Premier League,ipl00186,nan
12.0,Indian Premier League,ipl00187,nan
13.0,Indian Premier League,ipl00188,nan
14.0,Indian Premier League,ipl00189,nan
15.0,Indian Premier League,ipl00190,nan
17.0,Indian Premier League,ipl00191,nan
16.0,Indian Premier League,ipl00192,nan
18.0,Indian Premier League,ipl00193,nan
19.0,Indian Premier League,ipl00194,nan
21.0,Indian Premier League,ipl00195,nan
22.0,Indian Premier League,ipl00196,nan
23.0,Indian Premier League,ipl00197,nan
25.0,Indian Premier League,ipl00198,nan
24.0,Indian Premier League,ipl00199,nan
26.0,Indian Premier League,ipl00200,nan
27.0,Indian Premier League,ipl00201,nan
28.0,Indian Premier League,ipl00202,nan
29.0,Indian Premier League,ipl00203,nan
30.0,Indian Premier League,ipl00204,nan
31.0,Indian Premier League,ipl00205,nan
32.0,Indian Premier League,ipl00206,nan
33.0,Indian Premier League,ipl00207,nan
35.0,Indian Premier League,ipl00208,nan
34.0,Indian Premier League,ipl00209,nan
37.0,Indian Premier League,ipl00210,nan
36.0,Indian Premier League,ipl00211,nan
39.0,Indian Premier League,ipl00212,nan
38.0,Indian Premier League,ipl00213,nan
40.0,Indian Premier League,ipl00214,nan
41.0,Indian Premier League,ipl00215,nan
42.0,Indian Premier League,ipl00216,nan
43.0,Indian Premier League,ipl00217,nan
44.0,Indian Premier League,ipl00218,nan
45.0,Indian Premier League,ipl00219,nan
46.0,Indian Premier League,ipl00220,nan
47.0,Indian Premier League,ipl00221,nan
48.0,Indian Premier League,ipl00222,nan
49.0,Indian Premier League,ipl00223,nan
50.0,Indian Premier League,ipl00224,nan
51.0,Indian Premier League,ipl00225,nan
52.0,Indian Premier League,ipl00226,nan
54.0,Indian Premier League,ipl00227,nan
53.0,Indian Premier League,ipl00228,nan
55.0,Indian Premier League,ipl00229,nan
56.0,Indian Premier League,ipl00230,nan
57.0,Indian Premier League,ipl00231,nan
58.0,Indian Premier League,ipl00232,nan
59.0,Indian Premier League,ipl00233,nan
60.0,Indian Premier League,ipl00234,nan
61.0,Indian Premier League,ipl00235,nan
