balls_per_over,city,date,gender,match_type,overs,player_of_match,season,team_type,venue,key
6,Bangalore,2008-04-18,male,T20,20,BB McCullum,2007/08,club,M Chinnaswamy Stadium,ipl00001
6,Chandigarh,2008-04-19,male,T20,20,MEK Hussey,2007/08,club,"Punjab Cricket Association Stadium, Mohali",ipl00002
6,Delhi,2008-04-19,male,T20,20,MF Maharoof,2007/08,club,Feroz Shah Kotla,ipl00003
6,Mumbai,2008-04-20,male,T20,20,MV Boucher,2007/08,club,Wankhede Stadium,ipl00004
6,Kolkata,2008-04-20,male,T20,20,DJ Hussey,2007/08,club,Eden Gardens,ipl00005
6,Jaipur,2008-04-21,male,T20,20,SR Watson,2007/08,club,Sawai Mansingh Stadium,ipl00006
6,Hyderabad,2008-04-22,male,T20,20,V Sehwag,2007/08,club,"Rajiv Gandhi International Stadium, Uppal",ipl00007
6,Chennai,2008-04-23,male,T20,20,ML Hayden,2007/08,club,"MA Chidambaram Stadium, Chepauk",ipl00008
6,Hyderabad,2008-04-24,male,T20,20,YK Pathan,2007/08,club,"Rajiv Gandhi International Stadium, Uppal",ipl00009
6,Chandigarh,2008-04-25,male,T20,20,KC Sangakkara,2007/08,club,"Punjab Cricket Association Stadium, Mohali",ipl00010
6,Bangalore,2008-04-26,male,T20,20,SR Watson,2007/08,club,M Chinnaswamy Stadium,ipl00011
6,Chennai,2008-04-26,male,T20,20,JDP Oram,2007/08,club,"MA Chidambaram Stadium, Chepauk",ipl00012
6,Mumbai,2008-04-27,male,T20,20,AC Gilchrist,2007/08,club,Dr DY Patil Sports Academy,ipl00013
6,Chandigarh,2008-04-27,male,T20,20,SM Katich,2007/08,club,"Punjab Cricket Association Stadium, Mohali",ipl00014
6,Bangalore,2008-04-28,male,T20,20,MS Dhoni,2007/08,club,M Chinnaswamy Stadium,ipl00015
6,Kolkata,2008-04-29,male,T20,20,ST Jayasuriya,2007/08,club,Eden Gardens,ipl00016
6,Delhi,2008-04-30,male,T20,20,GD McGrath,2007/08,club,Feroz Shah Kotla,ipl00017
6,Hyderabad,2008-05-01,male,T20,20,SE Marsh,2007/08,club,"Rajiv Gandhi International Stadium, Uppal",ipl00018
6,Jaipur,2008-05-01,male,T20,20,SA Asnodkar,2007/08,club,Sawai Mansingh Stadium,ipl00019
6,Chennai,2008-05-02,male,T20,20,V Sehwag,2007/08,club,"MA Chidambaram Stadium, Chepauk",ipl00020
6,Chandigarh,2008-05-03,male,T20,20,IK Pathan,2007/08,club,"Punjab Cricket Association Stadium, Mohali",ipl00021
6,Bangalore,2008-05-03,male,T20,20,P Kumar,2007/08,club,M Chinnaswamy Stadium,ipl00022
6,Mumbai,2008-05-04,male,T20,20,SM Pollock,2007/08,club,Dr DY Patil Sports Academy,ipl00023
6,Jaipur,2008-05-04,male,T20,20,Sohail Tanvir,2007/08,club,Sawai Mansingh Stadium,ipl00024
6,Bangalore,2008-05-05,male,T20,20,S Sreesanth,2007/08,club,M Chinnaswamy Stadium,ipl00025
6,Chennai,2008-05-06,male,T20,20,AC Gilchrist,2007/08,club,"MA Chidambaram Stadium, Chepauk",ipl00026
6,Mumbai,2008-05-07,male,T20,20,A Nehra,2007/08,club,Dr DY Patil Sports Academy,ipl00027
6,Kolkata,2008-05-08,male,T20,20,SC Ganguly,2007/08,club,Eden Gardens,ipl00028
6,Delhi,2008-05-08,male,T20,20,MS Dhoni,2007/08,club,Feroz Shah Kotla,ipl00029
6,Jaipur,2008-05-09,male,T20,20,YK Pathan,2007/08,club,Sawai Mansingh Stadium,ipl00030
6,Chennai,2008-05-10,male,T20,20,L Balaji,2007/08,club,"MA Chidambaram Stadium, Chepauk",ipl00031
6,Hyderabad,2008-05-11,male,T20,20,SC Ganguly,2007/08,club,"Rajiv Gandhi International Stadium, Uppal",ipl00032
6,Jaipur,2008-05-11,male,T20,20,SR Watson,2007/08,club,Sawai Mansingh Stadium,ipl00033
6,Chandigarh,2008-05-12,male,T20,20,SE Marsh,2007/08,club,"Punjab Cricket Association Stadium, Mohali",ipl00034
6,Kolkata,2008-05-13,male,T20,20,Shoaib Akhtar,2007/08,club,Eden Gardens,ipl00035
6,Mumbai,2008-05-14,male,T20,20,ST Jayasuriya,2007/08,club,Wankhede Stadium,ipl00036
6,Delhi,2008-05-15,male,T20,20,A Mishra,2007/08,club,Feroz Shah Kotla,ipl00037
6,Mumbai,2008-05-16,male,T20,20,SM Pollock,2007/08,club,Wankhede Stadium,ipl00038
6,Jaipur,2008-05-17,male,T20,20,GC Smith,2007/08,club,Sawai Mansingh Stadium,ipl00039
6,Delhi,2008-05-17,male,T20,20,DPMD Jayawardene,2007/08,club,Feroz Shah Kotla,ipl00040
6,Hyderabad,2008-05-18,male,T20,20,DJ Bravo,2007/08,club,"Rajiv Gandhi International Stadium, Uppal",ipl00041
6,Kolkata,2008-05-18,male,T20,20,M Ntini,2007/08,club,Eden Gardens,ipl00042
6,Bangalore,2008-05-19,male,T20,20,SP Goswami,2007/08,club,M Chinnaswamy Stadium,ipl00043
6,Kolkata,2008-05-20,male,T20,20,YK Pathan,2007/08,club,Eden Gardens,ipl00044
6,Mumbai,2008-05-21,male,T20,20,SE Marsh,2007/08,club,Wankhede Stadium,ipl00045
6,Chennai,2008-05-21,male,T20,20,A Kumble,2007/08,club,"MA Chidambaram Stadium, Chepauk",ipl00046
6,Chandigarh,2008-05-23,male,T20,20,SE Marsh,2007/08,club,"Punjab Cricket Association Stadium, Mohali",ipl00047
6,Delhi,2008-05-24,male,T20,20,KD Karthik,2007/08,club,Feroz Shah Kotla,ipl00048
6,Chennai,2008-05-24,male,T20,20,JA Morkel,2007/08,club,"MA Chidambaram Stadium, Chepauk",ipl00049
6,Hyderabad,2008-05-25,male,T20,20,R Vinay Kumar,2007/08,club,"Rajiv Gandhi International Stadium, Uppal",ipl00050
6,Kolkata,2008-05-25,male,T20,20,Umar Gul,2007/08,club,Eden Gardens,ipl00051
6,Jaipur,2008-05-26,male,T20,20,Sohail Tanvir,2007/08,club,Sawai Mansingh Stadium,ipl00052
6,Hyderabad,2008-05-27,male,T20,20,SK Raina,2007/08,club,"Rajiv Gandhi International Stadium, Uppal",ipl00053
6,Bangalore,2008-05-28,male,T20,20,CRD Fernando,2007/08,club,M Chinnaswamy Stadium,ipl00054
6,Chandigarh,2008-05-28,male,T20,20,SE Marsh,2007/08,club,"Punjab Cricket Association Stadium, Mohali",ipl00055
6,Mumbai,2008-05-30,male,T20,20,SR Watson,2007/08,club,Wankhede Stadium,ipl00056
6,Mumbai,2008-05-31,male,T20,20,M Ntini,2007/08,club,Wankhede Stadium,ipl00057
6,Mumbai,2008-06-01,male,T20,20,YK Pathan,2007/08,club,Dr DY Patil Sports Academy,ipl00058
6,Cape Town,2009-04-18,male,T20,20,SR Tendulkar,2009,club,Newlands,ipl00059
6,Cape Town,2009-04-18,male,T20,20,R Dravid,2009,club,Newlands,ipl00060
6,Cape Town,2009-04-19,male,T20,20,DL Vettori,2009,club,Newlands,ipl00061
6,Cape Town,2009-04-19,male,T20,20,RP Singh,2009,club,Newlands,ipl00062
6,Port Elizabeth,2009-04-20,male,T20,20,M Muralitharan,2009,club,St George's Park,ipl00063
6,Durban,2009-04-21,male,T20,20,CH Gayle,2009,club,Kingsmead,ipl00064
6,Cape Town,2009-04-22,male,T20,20,AC Gilchrist,2009,club,Newlands,ipl00065
6,Durban,2009-04-23,male,T20,20,AB de Villiers,2009,club,Kingsmead,ipl00066
6,Cape Town,2009-04-23,male,T20,20,YK Pathan,2009,club,Newlands,ipl00067
