winner,by.runs,key,by.wickets,method,eliminator,result
Kolkata Knight Riders,140.0,ipl00001,,,,
Chennai Super Kings,33.0,ipl00002,,,,
Delhi Daredevils,,ipl00003,9.0,,,
Royal Challengers Bangalore,,ipl00004,5.0,,,
Kolkata Knight Riders,,ipl00005,5.0,,,
Rajasthan Royals,,ipl00006,6.0,,,
Delhi Daredevils,,ipl00007,9.0,,,
Chennai Super Kings,6.0,ipl00008,,,,
Rajasthan Royals,,ipl00009,3.0,,,
Kings XI Punjab,66.0,ipl00010,,,,
Rajasthan Royals,,ipl00011,7.0,,,
Chennai Super Kings,,ipl00012,9.0,,,
Deccan Chargers,,ipl00013,10.0,,,
Kings XI Punjab,,ipl00014,4.0,,,
Chennai Super Kings,13.0,ipl00015,,,,
Mumbai Indians,,ipl00016,7.0,,,
Delhi Daredevils,10.0,ipl00017,,,,
Kings XI Punjab,,ipl00018,7.0,,,
Rajasthan Royals,45.0,ipl00019,,,,
Delhi Daredevils,,ipl00020,8.0,,,
Kings XI Punjab,9.0,ipl00021,,,,
Royal Challengers Bangalore,3.0,ipl00022,,,,
Mumbai Indians,29.0,ipl00023,,,,
Rajasthan Royals,,ipl00024,8.0,,,
Kings XI Punjab,,ipl00025,6.0,,,
Deccan Chargers,,ipl00026,7.0,,,
Mumbai Indians,,ipl00027,7.0,,,
Kolkata Knight Riders,5.0,ipl00028,,,,
Chennai Super Kings,,ipl00029,4.0,,,
Rajasthan Royals,,ipl00030,8.0,,,
Chennai Super Kings,18.0,ipl00031,,,,
Kolkata Knight Riders,23.0,ipl00032,,,,
Rajasthan Royals,,ipl00033,3.0,,,
Kings XI Punjab,,ipl00034,9.0,,,
Kolkata Knight Riders,23.0,ipl00035,,,,
Mumbai Indians,,ipl00036,9.0,,,
Delhi Daredevils,12.0,ipl00037,,,,
Mumbai Indians,,ipl00038,8.0,,,
Rajasthan Royals,65.0,ipl00039,,,,
Kings XI Punjab,6.0,ipl00040,,D/L,,
Mumbai Indians,25.0,ipl00041,,,,
Chennai Super Kings,3.0,ipl00042,,D/L,,
Delhi Daredevils,,ipl00043,5.0,,,
Rajasthan Royals,,ipl00044,6.0,,,
Kings XI Punjab,1.0,ipl00045,,,,
Royal Challengers Bangalore,14.0,ipl00046,,,,
Kings XI Punjab,,ipl00047,6.0,,,
Delhi Daredevils,,ipl00048,5.0,,,
Rajasthan Royals,10.0,ipl00049,,,,
Royal Challengers Bangalore,,ipl00050,5.0,,,
Kolkata Knight Riders,,ipl00051,3.0,,,
Rajasthan Royals,,ipl00052,5.0,,,
Chennai Super Kings,,ipl00053,7.0,,,
Mumbai Indians,,ipl00054,9.0,,,
Kings XI Punjab,41.0,ipl00055,,,,
Rajasthan Royals,105.0,ipl00056,,,,
Chennai Super Kings,,ipl00057,9.0,,,
Rajasthan Royals,,ipl00058,3.0,,,
Mumbai Indians,19.0,ipl00059,,,,
Royal Challengers Bangalore,75.0,ipl00060,,,,
Delhi Daredevils,,ipl00061,10.0,D/L,,
Deccan Chargers,,ipl00062,8.0,,,
Chennai Super Kings,92.0,ipl00063,,,,
Kolkata Knight Riders,11.0,ipl00064,,D/L,,
Deccan Chargers,24.0,ipl00065,,,,
Delhi Daredevils,9.0,ipl00066,,,,
,,ipl00067,,,Rajasthan Royals,tie
Kings XI Punjab,,ipl00068,7.0,,,
Deccan Chargers,12.0,ipl00069,,,,
Kings XI Punjab,27.0,ipl00070,,,,
Delhi Daredevils,,ipl00071,6.0,,,
Deccan Chargers,,ipl00072,6.0,,,
Mumbai Indians,92.0,ipl00073,,,,
Rajasthan Royals,,ipl00074,5.0,,,
Royal Challengers Bangalore,,ipl00075,5.0,,,
Kings XI Punjab,3.0,ipl00076,,,,
Chennai Super Kings,38.0,ipl00077,,,,
Delhi Daredevils,,ipl00078,6.0,,,
Royal Challengers Bangalore,8.0,ipl00079,,,,
Mumbai Indians,9.0,ipl00080,,,,
Rajasthan Royals,,ipl00081,3.0,,,
Chennai Super Kings,18.0,ipl00082,,,,
Royal Challengers Bangalore,,ipl00083,9.0,,,
Kings XI Punjab,,ipl00084,6.0,,,
Chennai Super Kings,78.0,ipl00085,,,,
Rajasthan Royals,78.0,ipl00086,,,,
