team,name,key,batting_position
Royal Challengers Bangalore,R Dravid,ipl00001,1.0
Royal Challengers Bangalore,W Jaffer,ipl00001,2.0
Royal Challengers Bangalore,V Kohli,ipl00001,3.0
Royal Challengers Bangalore,JH Kallis,ipl00001,4.0
Royal Challengers Bangalore,CL White,ipl00001,5.0
Royal Challengers Bangalore,MV Boucher,ipl00001,6.0
Royal Challengers Bangalore,B Akhil,ipl00001,7.0
Royal Challengers Bangalore,AA Noffke,ipl00001,8.0
Royal Challengers Bangalore,P Kumar,ipl00001,9.0
Royal Challengers Bangalore,Z Khan,ipl00001,10.0
Royal Challengers Bangalore,SB Joshi,ipl00001,11.0
Kolkata Knight Riders,SC Ganguly,ipl00001,1.0
Kolkata Knight Riders,BB McCullum,ipl00001,2.0
Kolkata Knight Riders,RT Ponting,ipl00001,3.0
Kolkata Knight Riders,DJ Hussey,ipl00001,4.0
Kolkata Knight Riders,Mohammad Hafeez,ipl00001,5.0
Kolkata Knight Riders,LR Shukla,ipl00001,
Kolkata Knight Riders,WP Saha,ipl00001,
Kolkata Knight Riders,AB Agarkar,ipl00001,
Kolkata Knight Riders,AB Dinda,ipl00001,
Kolkata Knight Riders,M Kartik,ipl00001,
Kolkata Knight Riders,I Sharma,ipl00001,
Kings XI Punjab,K Goel,ipl00002,1.0
Kings XI Punjab,JR Hopes,ipl00002,2.0
Kings XI Punjab,KC Sangakkara,ipl00002,3.0
Kings XI Punjab,Yuvraj Singh,ipl00002,4.0
Kings XI Punjab,SM Katich,ipl00002,5.0
Kings XI Punjab,IK Pathan,ipl00002,6.0
Kings XI Punjab,P Dharmani,ipl00002,
Kings XI Punjab,B Lee,ipl00002,
Kings XI Punjab,PP Chawla,ipl00002,
Kings XI Punjab,WA Mota,ipl00002,
Kings XI Punjab,S Sreesanth,ipl00002,
Chennai Super Kings,PA Patel,ipl00002,1.0
Chennai Super Kings,ML Hayden,ipl00002,2.0
Chennai Super Kings,MEK Hussey,ipl00002,3.0
Chennai Super Kings,MS Dhoni,ipl00002,4.0
Chennai Super Kings,SK Raina,ipl00002,5.0
Chennai Super Kings,JDP Oram,ipl00002,6.0
Chennai Super Kings,S Badrinath,ipl00002,7.0
Chennai Super Kings,Joginder Sharma,ipl00002,
Chennai Super Kings,P Amarnath,ipl00002,
Chennai Super Kings,MS Gony,ipl00002,
Chennai Super Kings,M Muralitharan,ipl00002,
Delhi Daredevils,G Gambhir,ipl00003,1.0
Delhi Daredevils,V Sehwag,ipl00003,2.0
Delhi Daredevils,S Dhawan,ipl00003,3.0
Delhi Daredevils,MK Tiwary,ipl00003,
Delhi Daredevils,KD Karthik,ipl00003,
Delhi Daredevils,R Bhatia,ipl00003,
Delhi Daredevils,M Manhas,ipl00003,
Delhi Daredevils,DL Vettori,ipl00003,
Delhi Daredevils,MF Maharoof,ipl00003,
Delhi Daredevils,B Geeves,ipl00003,
Delhi Daredevils,GD McGrath,ipl00003,
Rajasthan Royals,T Kohli,ipl00003,1.0
Rajasthan Royals,YK Pathan,ipl00003,2.0
Rajasthan Royals,SR Watson,ipl00003,3.0
Rajasthan Royals,M Kaif,ipl00003,4.0
Rajasthan Royals,DS Lehmann,ipl00003,5.0
Rajasthan Royals,RA Jadeja,ipl00003,6.0
Rajasthan Royals,M Rawat,ipl00003,7.0
Rajasthan Royals,D Salunkhe,ipl00003,8.0
Rajasthan Royals,SK Warne,ipl00003,9.0
Rajasthan Royals,SK Trivedi,ipl00003,10.0
Rajasthan Royals,MM Patel,ipl00003,
Mumbai Indians,L Ronchi,ipl00004,1.0
Mumbai Indians,ST Jayasuriya,ipl00004,2.0
Mumbai Indians,DJ Thornely,ipl00004,3.0
Mumbai Indians,RV Uthappa,ipl00004,4.0
Mumbai Indians,PR Shah,ipl00004,5.0
Mumbai Indians,AM Nayar,ipl00004,6.0
Mumbai Indians,SM Pollock,ipl00004,7.0
Mumbai Indians,Harbhajan Singh,ipl00004,8.0
Mumbai Indians,MA Khote,ipl00004,
Mumbai Indians,A Nehra,ipl00004,
Mumbai Indians,DS Kulkarni,ipl00004,
Royal Challengers Bangalore,S Chanderpaul,ipl00004,1.0
Royal Challengers Bangalore,R Dravid,ipl00004,2.0
Royal Challengers Bangalore,LRPL Taylor,ipl00004,3.0
Royal Challengers Bangalore,JH Kallis,ipl00004,4.0
Royal Challengers Bangalore,V Kohli,ipl00004,5.0
Royal Challengers Bangalore,MV Boucher,ipl00004,6.0
Royal Challengers Bangalore,B Akhil,ipl00004,7.0
Royal Challengers Bangalore,P Kumar,ipl00004,
Royal Challengers Bangalore,Z Khan,ipl00004,
Royal Challengers Bangalore,SB Joshi,ipl00004,
Royal Challengers Bangalore,R Vinay Kumar,ipl00004,
Kolkata Knight Riders,WP Saha,ipl00005,1.0
Kolkata Knight Riders,BB McCullum,ipl00005,2.0
Kolkata Knight Riders,RT Ponting,ipl00005,3.0
Kolkata Knight Riders,SC Ganguly,ipl00005,4.0
Kolkata Knight Riders,DJ Hussey,ipl00005,5.0
Kolkata Knight Riders,Mohammad Hafeez,ipl00005,6.0
Kolkata Knight Riders,LR Shukla,ipl00005,7.0
Kolkata Knight Riders,AB Agarkar,ipl00005,
Kolkata Knight Riders,AB Dinda,ipl00005,
Kolkata Knight Riders,M Kartik,ipl00005,
Kolkata Knight Riders,I Sharma,ipl00005,
Deccan Chargers,AC Gilchrist,ipl00005,1.0
Deccan Chargers,Y Venugopal Rao,ipl00005,2.0
Deccan Chargers,VVS Laxman,ipl00005,3.0
Deccan Chargers,A Symonds,ipl00005,4.0
Deccan Chargers,RG Sharma,ipl00005,5.0
Deccan Chargers,SB Styris,ipl00005,6.0
Deccan Chargers,AS Yadav,ipl00005,7.0
Deccan Chargers,SB Bangar,ipl00005,8.0
Deccan Chargers,WPUJC Vaas,ipl00005,9.0
Deccan Chargers,RP Singh,ipl00005,10.0
Deccan Chargers,PP Ojha,ipl00005,11.0
Rajasthan Royals,M Kaif,ipl00006,1.0
Rajasthan Royals,Kamran Akmal,ipl00006,2.0
Rajasthan Royals,YK Pathan,ipl00006,3.0
Rajasthan Royals,SR Watson,ipl00006,4.0
Rajasthan Royals,DS Lehmann,ipl00006,5.0
Rajasthan Royals,RA Jadeja,ipl00006,6.0
Rajasthan Royals,Pankaj Singh,ipl00006,
Rajasthan Royals,D Salunkhe,ipl00006,
Rajasthan Royals,SK Warne,ipl00006,
Rajasthan Royals,SK Trivedi,ipl00006,
Rajasthan Royals,MM Patel,ipl00006,
Kings XI Punjab,K Goel,ipl00006,1.0
Kings XI Punjab,JR Hopes,ipl00006,2.0
Kings XI Punjab,KC Sangakkara,ipl00006,3.0
Kings XI Punjab,DPMD Jayawardene,ipl00006,4.0
Kings XI Punjab,Yuvraj Singh,ipl00006,5.0
Kings XI Punjab,IK Pathan,ipl00006,6.0
Kings XI Punjab,S Sohal,ipl00006,7.0
Kings XI Punjab,B Lee,ipl00006,8.0
Kings XI Punjab,PP Chawla,ipl00006,9.0
Kings XI Punjab,WA Mota,ipl00006,10.0
Kings XI Punjab,S Sreesanth,ipl00006,
Deccan Chargers,AC Gilchrist,ipl00007,1.0
Deccan Chargers,Y Venugopal Rao,ipl00007,2.0
Deccan Chargers,VVS Laxman,ipl00007,3.0
Deccan Chargers,A Symonds,ipl00007,4.0
Deccan Chargers,RG Sharma,ipl00007,5.0
Deccan Chargers,Shahid Afridi,ipl00007,6.0
Deccan Chargers,SB Bangar,ipl00007,7.0
Deccan Chargers,AS Yadav,ipl00007,8.0
Deccan Chargers,WPUJC Vaas,ipl00007,9.0
Deccan Chargers,RP Singh,ipl00007,10.0
Deccan Chargers,PP Ojha,ipl00007,
Delhi Daredevils,G Gambhir,ipl00007,1.0
Delhi Daredevils,V Sehwag,ipl00007,2.0
Delhi Daredevils,S Dhawan,ipl00007,3.0
Delhi Daredevils,Shoaib Malik,ipl00007,
Delhi Daredevils,KD Karthik,ipl00007,
Delhi Daredevils,MK Tiwary,ipl00007,
Delhi Daredevils,R Bhatia,ipl00007,
Delhi Daredevils,MF Maharoof,ipl00007,
Delhi Daredevils,Mohammad Asif,ipl00007,
Delhi Daredevils,VY Mahesh,ipl00007,
Delhi Daredevils,GD McGrath,ipl00007,
Chennai Super Kings,PA Patel,ipl00008,1.0
Chennai Super Kings,ML Hayden,ipl00008,2.0
Chennai Super Kings,MEK Hussey,ipl00008,3.0
Chennai Super Kings,SK Raina,ipl00008,4.0
Chennai Super Kings,MS Dhoni,ipl00008,5.0
Chennai Super Kings,JDP Oram,ipl00008,6.0
Chennai Super Kings,S Badrinath,ipl00008,7.0
Chennai Super Kings,Joginder Sharma,ipl00008,
Chennai Super Kings,P Amarnath,ipl00008,
Chennai Super Kings,MS Gony,ipl00008,
Chennai Super Kings,M Muralitharan,ipl00008,
Mumbai Indians,L Ronchi,ipl00008,1.0
Mumbai Indians,ST Jayasuriya,ipl00008,2.0
Mumbai Indians,RV Uthappa,ipl00008,3.0
Mumbai Indians,SM Pollock,ipl00008,4.0
Mumbai Indians,DJ Bravo,ipl00008,5.0
Mumbai Indians,AM Nayar,ipl00008,6.0
Mumbai Indians,MA Khote,ipl00008,7.0
Mumbai Indians,Harbhajan Singh,ipl00008,8.0
Mumbai Indians,A Nehra,ipl00008,9.0
Mumbai Indians,VS Yeligati,ipl00008,
Mumbai Indians,DS Kulkarni,ipl00008,
Deccan Chargers,AC Gilchrist,ipl00009,1.0
Deccan Chargers,VVS Laxman,ipl00009,2.0
Deccan Chargers,Shahid Afridi,ipl00009,3.0
Deccan Chargers,A Symonds,ipl00009,4.0
Deccan Chargers,RG Sharma,ipl00009,5.0
Deccan Chargers,AS Yadav,ipl00009,6.0
Deccan Chargers,SB Bangar,ipl00009,
Deccan Chargers,WPUJC Vaas,ipl00009,
Deccan Chargers,RP Singh,ipl00009,
Deccan Chargers,PP Ojha,ipl00009,
Deccan Chargers,D Kalyankrishna,ipl00009,
Rajasthan Royals,Kamran Akmal,ipl00009,1.0
Rajasthan Royals,GC Smith,ipl00009,2.0
Rajasthan Royals,YK Pathan,ipl00009,3.0
Rajasthan Royals,SR Watson,ipl00009,4.0
Rajasthan Royals,M Kaif,ipl00009,5.0
Rajasthan Royals,RA Jadeja,ipl00009,6.0
Rajasthan Royals,SK Warne,ipl00009,7.0
Rajasthan Royals,D Salunkhe,ipl00009,8.0
Rajasthan Royals,Pankaj Singh,ipl00009,9.0
Rajasthan Royals,SK Trivedi,ipl00009,
Rajasthan Royals,MM Patel,ipl00009,
Kings XI Punjab,K Goel,ipl00010,1.0
Kings XI Punjab,IK Pathan,ipl00010,2.0
Kings XI Punjab,KC Sangakkara,ipl00010,3.0
Kings XI Punjab,Yuvraj Singh,ipl00010,4.0
Kings XI Punjab,RR Sarwan,ipl00010,5.0
Kings XI Punjab,DPMD Jayawardene,ipl00010,6.0
Kings XI Punjab,S Sohal,ipl00010,7.0
Kings XI Punjab,B Lee,ipl00010,8.0
Kings XI Punjab,PP Chawla,ipl00010,9.0
Kings XI Punjab,S Sreesanth,ipl00010,10.0
Kings XI Punjab,VRV Singh,ipl00010,11.0
Mumbai Indians,L Ronchi,ipl00010,1.0
Mumbai Indians,ST Jayasuriya,ipl00010,2.0
Mumbai Indians,RV Uthappa,ipl00010,3.0
Mumbai Indians,DJ Bravo,ipl00010,4.0
Mumbai Indians,SS Tiwary,ipl00010,5.0
Mumbai Indians,SM Pollock,ipl00010,6.0
Mumbai Indians,AM Nayar,ipl00010,7.0
Mumbai Indians,Harbhajan Singh,ipl00010,8.0
Mumbai Indians,MA Khote,ipl00010,9.0
Mumbai Indians,DS Kulkarni,ipl00010,10.0
Mumbai Indians,A Nehra,ipl00010,11.0
Royal Challengers Bangalore,S Chanderpaul,ipl00011,1.0
Royal Challengers Bangalore,R Dravid,ipl00011,2.0
Royal Challengers Bangalore,LRPL Taylor,ipl00011,3.0
Royal Challengers Bangalore,JH Kallis,ipl00011,4.0
Royal Challengers Bangalore,V Kohli,ipl00011,5.0
Royal Challengers Bangalore,MV Boucher,ipl00011,6.0
Royal Challengers Bangalore,P Kumar,ipl00011,7.0
Royal Challengers Bangalore,SB Joshi,ipl00011,8.0
Royal Challengers Bangalore,Z Khan,ipl00011,9.0
Royal Challengers Bangalore,R Vinay Kumar,ipl00011,10.0
Royal Challengers Bangalore,A Kumble,ipl00011,
Rajasthan Royals,GC Smith,ipl00011,1.0
Rajasthan Royals,M Rawat,ipl00011,2.0
Rajasthan Royals,YK Pathan,ipl00011,3.0
Rajasthan Royals,SR Watson,ipl00011,4.0
Rajasthan Royals,M Kaif,ipl00011,5.0
Rajasthan Royals,RA Jadeja,ipl00011,
Rajasthan Royals,D Salunkhe,ipl00011,
Rajasthan Royals,SK Warne,ipl00011,
Rajasthan Royals,Sohail Tanvir,ipl00011,
Rajasthan Royals,SK Trivedi,ipl00011,
Rajasthan Royals,MM Patel,ipl00011,
Chennai Super Kings,PA Patel,ipl00012,1.0
Chennai Super Kings,ML Hayden,ipl00012,2.0
Chennai Super Kings,MS Dhoni,ipl00012,3.0
Chennai Super Kings,MEK Hussey,ipl00012,
Chennai Super Kings,S Badrinath,ipl00012,
Chennai Super Kings,SK Raina,ipl00012,
Chennai Super Kings,JDP Oram,ipl00012,
Chennai Super Kings,Joginder Sharma,ipl00012,
Chennai Super Kings,P Amarnath,ipl00012,
Chennai Super Kings,MS Gony,ipl00012,
Chennai Super Kings,M Muralitharan,ipl00012,
Kolkata Knight Riders,SC Ganguly,ipl00012,1.0
Kolkata Knight Riders,BB McCullum,ipl00012,2.0
Kolkata Knight Riders,RT Ponting,ipl00012,3.0
Kolkata Knight Riders,WP Saha,ipl00012,4.0
Kolkata Knight Riders,DJ Hussey,ipl00012,5.0
Kolkata Knight Riders,Mohammad Hafeez,ipl00012,6.0
Kolkata Knight Riders,LR Shukla,ipl00012,7.0
Kolkata Knight Riders,AB Agarkar,ipl00012,8.0
Kolkata Knight Riders,M Kartik,ipl00012,9.0
Kolkata Knight Riders,I Sharma,ipl00012,10.0
Kolkata Knight Riders,AB Dinda,ipl00012,11.0
Mumbai Indians,L Ronchi,ipl00013,1.0
Mumbai Indians,ST Jayasuriya,ipl00013,2.0
Mumbai Indians,AM Rahane,ipl00013,3.0
