name,registry_key
A Ashish Reddy,1c2a64cd
A Badoni,872b03f7
A Bengeri,c109497d
A Chandila,99b202b3
A Chopra,e249fdaa
A Choudhary,18e6906e
A Dananjaya,5b16a806
A Deshmukh,6fda55cc
A Flintoff,ddc0828d
A Kamboj,fcc21ace
A Kumble,0c2730df
A Manohar,0890552f
A Mishra,6b19d823
A Mithun,66cf56a5
A Mukund,6165bca6
A Nand Kishore,84424f4f
A Nehra,96fd40ae
A Nel,2503e881
A Nortje,acdc62f5
A Raghuvanshi,d7017798
A Singh,5b040b81
A Symonds,bd77eb62
A Tomar,aa5d8c9e
A Totre,b1d7d7bc
A Uniyal,fdcb08c2
A Zampa,14f96089
AA Bilakhia,bff458c6
AA Chavan,29d72eb2
AA Jhunjhunwala,2815fe50
AA Kazi,16605a1b
AA Kulkarni,2d140b79
AA Noffke,b69e69ed
AB Agarkar,fa463154
AB Barath,d3a3e82d
AB Dinda,66b30f71
AB McDonald,16043342
AB de Villiers,c4487b84
AC Blizzard,1efb8a28
AC Gilchrist,2b6e6dec
AC Thomas,b552a935
AC Voges,864c199e
AD Hales,92aeac25
AD Mascarenhas,3edb58fc
AD Mathews,896d78ad
AD Nath,f10e94c4
AD Russell,bbd41817
AF Milne,350bb1b1
AG Murtaza,ef5da05c
AG Paunikar,3a02626a
AG Wharf,2e0fcc58
AJ Finch,b8d490fd
AJ Hosein,4d7f517e
AJ Pycroft,685d3f80
AJ Turner,ff1e12a0
AJ Tye,7c7d63a2
AK Chaudhary,fdcc6236
AK Markram,6a26221c
AK Mitra,4e11e004
AL Hill,4165ced0
AL Menaria,8291f939
AM Nayar,a45a5e8d
AM Rahane,29e95537
AM Saheba,883e3818
AM Salvi,260fd380
AN Ahmed,2af1b6d2
AN Ghosh,7023d182
AP Dole,dbc50253
AP Majumdar,f4cb4f53
AP Tare,855a210c
AR Bawne,afe3355a
AR Patel,2e171977
AS Joseph,b0946605
AS Pathania,bf6c251d
AS Rajpoot,db31895a
AS Raut,c69a7b5c
AS Roy,e4cdf230
AS Yadav,b9be6507
AT Carey,69d03465
AT Rayudu,70d205c9
AU Rashid,249d60c9
AUK Pathan,3ae3f034
AV Jayaprakash,bde6e9ef
AV Wankhade,5708d0b6
AY Dandekar,2efc430e
Abdul Basith,cc777ffa
Abdul Samad,8e514b4c
Abdur Razzak,888e32bf
Abhijit Bhattacharya,59ec9638
Abhishek Sharma,f29185a1
Abishek Porel,ad3b6e95
