team_1,team_2,key
Royal Challengers Bangalore,Kolkata Knight Riders,ipl00001
Kings XI Punjab,Chennai Super Kings,ipl00002
Delhi Daredevils,Rajasthan Royals,ipl00003
Mumbai Indians,Royal Challengers Bangalore,ipl00004
Kolkata Knight Riders,Deccan Chargers,ipl00005
Rajasthan Royals,Kings XI Punjab,ipl00006
Deccan Chargers,Delhi Daredevils,ipl00007
Chennai Super Kings,Mumbai Indians,ipl00008
Deccan Chargers,Rajasthan Royals,ipl00009
Kings XI Punjab,Mumbai Indians,ipl00010
Royal Challengers Bangalore,Rajasthan Royals,ipl00011
Chennai Super Kings,Kolkata Knight Riders,ipl00012
Mumbai Indians,Deccan Chargers,ipl00013
Kings XI Punjab,Delhi Daredevils,ipl00014
Royal Challengers Bangalore,Chennai Super Kings,ipl00015
Kolkata Knight Riders,Mumbai Indians,ipl00016
Delhi Daredevils,Royal Challengers Bangalore,ipl00017
Deccan Chargers,Kings XI Punjab,ipl00018
Rajasthan Royals,Kolkata Knight Riders,ipl00019
Chennai Super Kings,Delhi Daredevils,ipl00020
Kings XI Punjab,Kolkata Knight Riders,ipl00021
Royal Challengers Bangalore,Deccan Chargers,ipl00022
Mumbai Indians,Delhi Daredevils,ipl00023
Rajasthan Royals,Chennai Super Kings,ipl00024
Royal Challengers Bangalore,Kings XI Punjab,ipl00025
Chennai Super Kings,Deccan Chargers,ipl00026
Mumbai Indians,Rajasthan Royals,ipl00027
Kolkata Knight Riders,Royal Challengers Bangalore,ipl00028
Delhi Daredevils,Chennai Super Kings,ipl00029
Rajasthan Royals,Deccan Chargers,ipl00030
Chennai Super Kings,Kings XI Punjab,ipl00031
Deccan Chargers,Kolkata Knight Riders,ipl00032
Rajasthan Royals,Delhi Daredevils,ipl00033
Kings XI Punjab,Royal Challengers Bangalore,ipl00034
Kolkata Knight Riders,Delhi Daredevils,ipl00035
Mumbai Indians,Chennai Super Kings,ipl00036
Delhi Daredevils,Deccan Chargers,ipl00037
Mumbai Indians,Kolkata Knight Riders,ipl00038
Rajasthan Royals,Royal Challengers Bangalore,ipl00039
Delhi Daredevils,Kings XI Punjab,ipl00040
Deccan Chargers,Mumbai Indians,ipl00041
Kolkata Knight Riders,Chennai Super Kings,ipl00042
Royal Challengers Bangalore,Delhi Daredevils,ipl00043
Kolkata Knight Riders,Rajasthan Royals,ipl00044
Mumbai Indians,Kings XI Punjab,ipl00045
Chennai Super Kings,Royal Challengers Bangalore,ipl00046
Kings XI Punjab,Deccan Chargers,ipl00047
Delhi Daredevils,Mumbai Indians,ipl00048
Chennai Super Kings,Rajasthan Royals,ipl00049
Deccan Chargers,Royal Challengers Bangalore,ipl00050
Kolkata Knight Riders,Kings XI Punjab,ipl00051
Rajasthan Royals,Mumbai Indians,ipl00052
Deccan Chargers,Chennai Super Kings,ipl00053
Royal Challengers Bangalore,Mumbai Indians,ipl00054
Kings XI Punjab,Rajasthan Royals,ipl00055
Delhi Daredevils,Rajasthan Royals,ipl00056
Chennai Super Kings,Kings XI Punjab,ipl00057
Chennai Super Kings,Rajasthan Royals,ipl00058
Chennai Super Kings,Mumbai Indians,ipl00059
Royal Challengers Bangalore,Rajasthan Royals,ipl00060
Delhi Daredevils,Kings XI Punjab,ipl00061
Deccan Chargers,Kolkata Knight Riders,ipl00062
Royal Challengers Bangalore,Chennai Super Kings,ipl00063
Kings XI Punjab,Kolkata Knight Riders,ipl00064
Royal Challengers Bangalore,Deccan Chargers,ipl00065
Chennai Super Kings,Delhi Daredevils,ipl00066
Kolkata Knight Riders,Rajasthan Royals,ipl00067
Royal Challengers Bangalore,Kings XI Punjab,ipl00068
Deccan Chargers,Mumbai Indians,ipl00069
Kings XI Punjab,Rajasthan Royals,ipl00070
Royal Challengers Bangalore,Delhi Daredevils,ipl00071
Chennai Super Kings,Deccan Chargers,ipl00072
Kolkata Knight Riders,Mumbai Indians,ipl00073
Delhi Daredevils,Rajasthan Royals,ipl00074
Royal Challengers Bangalore,Kolkata Knight Riders,ipl00075
Kings XI Punjab,Mumbai Indians,ipl00076
Chennai Super Kings,Rajasthan Royals,ipl00077
Deccan Chargers,Delhi Daredevils,ipl00078
Royal Challengers Bangalore,Kings XI Punjab,ipl00079
Kolkata Knight Riders,Mumbai Indians,ipl00080
Deccan Chargers,Rajasthan Royals,ipl00081
Chennai Super Kings,Delhi Daredevils,ipl00082
Royal Challengers Bangalore,Mumbai Indians,ipl00083
Kings XI Punjab,Kolkata Knight Riders,ipl00084
Chennai Super Kings,Deccan Chargers,ipl00085
Kings XI Punjab,Rajasthan Royals,ipl00086
Delhi Daredevils,Kolkata Knight Riders,ipl00087
Deccan Chargers,Mumbai Indians,ipl00088
Royal Challengers Bangalore,Rajasthan Royals,ipl00089
Chennai Super Kings,Kings XI Punjab,ipl00090
Delhi Daredevils,Mumbai Indians,ipl00091
Deccan Chargers,Kings XI Punjab,ipl00092
Chennai Super Kings,Rajasthan Royals,ipl00093
Delhi Daredevils,Kolkata Knight Riders,ipl00094
Royal Challengers Bangalore,Mumbai Indians,ipl00095
Deccan Chargers,Rajasthan Royals,ipl00096
Royal Challengers Bangalore,Kolkata Knight Riders,ipl00097
Kings XI Punjab,Mumbai Indians,ipl00098
Deccan Chargers,Delhi Daredevils,ipl00099
Royal Challengers Bangalore,Chennai Super Kings,ipl00100
Mumbai Indians,Rajasthan Royals,ipl00101
Delhi Daredevils,Kings XI Punjab,ipl00102
Deccan Chargers,Kolkata Knight Riders,ipl00103
Chennai Super Kings,Mumbai Indians,ipl00104
Delhi Daredevils,Rajasthan Royals,ipl00105
Deccan Chargers,Kings XI Punjab,ipl00106
Chennai Super Kings,Kolkata Knight Riders,ipl00107
Royal Challengers Bangalore,Delhi Daredevils,ipl00108
Kolkata Knight Riders,Rajasthan Royals,ipl00109
Chennai Super Kings,Kings XI Punjab,ipl00110
Delhi Daredevils,Mumbai Indians,ipl00111
Royal Challengers Bangalore,Deccan Chargers,ipl00112
Delhi Daredevils,Deccan Chargers,ipl00113
Royal Challengers Bangalore,Chennai Super Kings,ipl00114
Royal Challengers Bangalore,Deccan Chargers,ipl00115
Deccan Chargers,Kolkata Knight Riders,ipl00116
Mumbai Indians,Rajasthan Royals,ipl00117
Kings XI Punjab,Delhi Daredevils,ipl00118
Kolkata Knight Riders,Royal Challengers Bangalore,ipl00119
Chennai Super Kings,Deccan Chargers,ipl00120
Rajasthan Royals,Delhi Daredevils,ipl00121
Kolkata Knight Riders,Chennai Super Kings,ipl00122
Royal Challengers Bangalore,Kings XI Punjab,ipl00123
Delhi Daredevils,Mumbai Indians,ipl00124
Royal Challengers Bangalore,Rajasthan Royals,ipl00125
Delhi Daredevils,Chennai Super Kings,ipl00126
Deccan Chargers,Kings XI Punjab,ipl00127
Rajasthan Royals,Kolkata Knight Riders,ipl00128
Mumbai Indians,Royal Challengers Bangalore,ipl00129
Deccan Chargers,Delhi Daredevils,ipl00130
Chennai Super Kings,Kings XI Punjab,ipl00131
Mumbai Indians,Kolkata Knight Riders,ipl00132
Royal Challengers Bangalore,Chennai Super Kings,ipl00133
Kings XI Punjab,Rajasthan Royals,ipl00134
Royal Challengers Bangalore,Delhi Daredevils,ipl00135
Chennai Super Kings,Mumbai Indians,ipl00136
Rajasthan Royals,Deccan Chargers,ipl00137
Kings XI Punjab,Kolkata Knight Riders,ipl00138
Rajasthan Royals,Chennai Super Kings,ipl00139
Deccan Chargers,Mumbai Indians,ipl00140
Delhi Daredevils,Kolkata Knight Riders,ipl00141
Mumbai Indians,Kings XI Punjab,ipl00142
Delhi Daredevils,Rajasthan Royals,ipl00143
Chennai Super Kings,Royal Challengers Bangalore,ipl00144
Kolkata Knight Riders,Deccan Chargers,ipl00145
Kings XI Punjab,Royal Challengers Bangalore,ipl00146
Chennai Super Kings,Rajasthan Royals,ipl00147
Mumbai Indians,Deccan Chargers,ipl00148
Kolkata Knight Riders,Kings XI Punjab,ipl00149
Delhi Daredevils,Royal Challengers Bangalore,ipl00150
Deccan Chargers,Rajasthan Royals,ipl00151
Chennai Super Kings,Mumbai Indians,ipl00152
Rajasthan Royals,Kings XI Punjab,ipl00153
Kolkata Knight Riders,Delhi Daredevils,ipl00154
Royal Challengers Bangalore,Deccan Chargers,ipl00155
Kings XI Punjab,Mumbai Indians,ipl00156
Deccan Chargers,Chennai Super Kings,ipl00157
Royal Challengers Bangalore,Kolkata Knight Riders,ipl00158
Delhi Daredevils,Kings XI Punjab,ipl00159
Rajasthan Royals,Mumbai Indians,ipl00160
Deccan Chargers,Royal Challengers Bangalore,ipl00161
Mumbai Indians,Delhi Daredevils,ipl00162
Chennai Super Kings,Kolkata Knight Riders,ipl00163
Rajasthan Royals,Royal Challengers Bangalore,ipl00164
Chennai Super Kings,Delhi Daredevils,ipl00165
Kings XI Punjab,Deccan Chargers,ipl00166
Royal Challengers Bangalore,Mumbai Indians,ipl00167
Kolkata Knight Riders,Rajasthan Royals,ipl00168
Kings XI Punjab,Chennai Super Kings,ipl00169
Delhi Daredevils,Deccan Chargers,ipl00170
Kolkata Knight Riders,Mumbai Indians,ipl00171
Royal Challengers Bangalore,Mumbai Indians,ipl00172
Chennai Super Kings,Deccan Chargers,ipl00173
Royal Challengers Bangalore,Deccan Chargers,ipl00174
Chennai Super Kings,Mumbai Indians,ipl00175
Chennai Super Kings,Kolkata Knight Riders,ipl00176
Deccan Chargers,Rajasthan Royals,ipl00177
Kochi Tuskers Kerala,Royal Challengers Bangalore,ipl00178
Delhi Daredevils,Mumbai Indians,ipl00179
Pune Warriors,Kings XI Punjab,ipl00180
Kolkata Knight Riders,Deccan Chargers,ipl00181
Rajasthan Royals,Delhi Daredevils,ipl00182
Royal Challengers Bangalore,Mumbai Indians,ipl00183
Kings XI Punjab,Chennai Super Kings,ipl00184
Pune Warriors,Kochi Tuskers Kerala,ipl00185
Deccan Chargers,Royal Challengers Bangalore,ipl00186
Mumbai Indians,Kochi Tuskers Kerala,ipl00187
Rajasthan Royals,Kolkata Knight Riders,ipl00188
Deccan Chargers,Kings XI Punjab,ipl00189
Chennai Super Kings,Royal Challengers Bangalore,ipl00190
Kolkata Knight Riders,Rajasthan Royals,ipl00191
Pune Warriors,Delhi Daredevils,ipl00192
Kochi Tuskers Kerala,Chennai Super Kings,ipl00193
Delhi Daredevils,Deccan Chargers,ipl00194
Mumbai Indians,Pune Warriors,ipl00195
Kolkata Knight Riders,Kochi Tuskers Kerala,ipl00196
Kings XI Punjab,Rajasthan Royals,ipl00197
Mumbai Indians,Chennai Super Kings,ipl00198
Kolkata Knight Riders,Royal Challengers Bangalore,ipl00199
Delhi Daredevils,Kings XI Punjab,ipl00200
Rajasthan Royals,Kochi Tuskers Kerala,ipl00201
Deccan Chargers,Mumbai Indians,ipl00202
Chennai Super Kings,Pune Warriors,ipl00203
Delhi Daredevils,Royal Challengers Bangalore,ipl00204
Pune Warriors,Chennai Super Kings,ipl00205
Kochi Tuskers Kerala,Deccan Chargers,ipl00206
Delhi Daredevils,Kolkata Knight Riders,ipl00207
Royal Challengers Bangalore,Pune Warriors,ipl00208
Rajasthan Royals,Mumbai Indians,ipl00209
Kolkata Knight Riders,Kings XI Punjab,ipl00210
Kochi Tuskers Kerala,Delhi Daredevils,ipl00211
Chennai Super Kings,Deccan Chargers,ipl00212
Rajasthan Royals,Pune Warriors,ipl00213
Delhi Daredevils,Kochi Tuskers Kerala,ipl00214
Mumbai Indians,Kings XI Punjab,ipl00215
Deccan Chargers,Kolkata Knight Riders,ipl00216
Chennai Super Kings,Rajasthan Royals,ipl00217
Pune Warriors,Mumbai Indians,ipl00218
Kochi Tuskers Kerala,Kolkata Knight Riders,ipl00219
Deccan Chargers,Delhi Daredevils,ipl00220
Royal Challengers Bangalore,Kings XI Punjab,ipl00221
