decision,winner,key
field,Royal Challengers Bangalore,ipl00001
bat,Chennai Super Kings,ipl00002
bat,Rajasthan Royals,ipl00003
bat,Mumbai Indians,ipl00004
bat,Deccan Chargers,ipl00005
bat,Kings XI Punjab,ipl00006
bat,Deccan Chargers,ipl00007
field,Mumbai Indians,ipl00008
field,Rajasthan Royals,ipl00009
field,Mumbai Indians,ipl00010
bat,Kolkata Knight Riders,ipl00011
field,Rajasthan Royals,ipl00012
field,Deccan Chargers,ipl00013
bat,Delhi Daredevils,ipl00014
bat,Chennai Super Kings,ipl00015
bat,Kolkata Knight Riders,ipl00016
field,Royal Challengers Bangalore,ipl00017
field,Kings XI Punjab,ipl00018
bat,Rajasthan Royals,ipl00019
bat,Chennai Super Kings,ipl00020
bat,Kings XI Punjab,ipl00021
field,Deccan Chargers,ipl00022
bat,Chennai Super Kings,ipl00023
field,Delhi Daredevils,ipl00024
field,Kings XI Punjab,ipl00025
field,Deccan Chargers,ipl00026
field,Mumbai Indians,ipl00027
field,Chennai Super Kings,ipl00028
bat,Kolkata Knight Riders,ipl00029
field,Rajasthan Royals,ipl00030
field,Kings XI Punjab,ipl00031
bat,Kolkata Knight Riders,ipl00032
field,Rajasthan Royals,ipl00033
bat,Royal Challengers Bangalore,ipl00034
bat,Kolkata Knight Riders,ipl00035
field,Mumbai Indians,ipl00036
field,Deccan Chargers,ipl00037
field,Mumbai Indians,ipl00038
field,Royal Challengers Bangalore,ipl00039
bat,Delhi Daredevils,ipl00040
field,Deccan Chargers,ipl00041
bat,Kolkata Knight Riders,ipl00042
field,Delhi Daredevils,ipl00043
field,Rajasthan Royals,ipl00044
field,Mumbai Indians,ipl00045
bat,Royal Challengers Bangalore,ipl00046
field,Kings XI Punjab,ipl00047
field,Delhi Daredevils,ipl00048
bat,Rajasthan Royals,ipl00049
bat,Deccan Chargers,ipl00050
bat,Kings XI Punjab,ipl00051
field,Rajasthan Royals,ipl00052
bat,Deccan Chargers,ipl00053
field,Mumbai Indians,ipl00054
field,Rajasthan Royals,ipl00055
field,Delhi Daredevils,ipl00056
bat,Kings XI Punjab,ipl00057
field,Rajasthan Royals,ipl00058
field,Chennai Super Kings,ipl00059
bat,Royal Challengers Bangalore,ipl00060
field,Delhi Daredevils,ipl00061
bat,Kolkata Knight Riders,ipl00062
bat,Chennai Super Kings,ipl00063
field,Kolkata Knight Riders,ipl00064
bat,Deccan Chargers,ipl00065
bat,Delhi Daredevils,ipl00066
field,Kolkata Knight Riders,ipl00067
bat,Royal Challengers Bangalore,ipl00068
bat,Deccan Chargers,ipl00069
bat,Royal Challengers Bangalore,ipl00070
bat,Kings XI Punjab,ipl00071
bat,Mumbai Indians,ipl00072
field,Deccan Chargers,ipl00073
bat,Delhi Daredevils,ipl00074
bat,Kings XI Punjab,ipl00075
bat,Kolkata Knight Riders,ipl00076
field,Rajasthan Royals,ipl00077
field,Delhi Daredevils,ipl00078
bat,Mumbai Indians,ipl00079
bat,Royal Challengers Bangalore,ipl00080
bat,Deccan Chargers,ipl00081
field,Delhi Daredevils,ipl00082
bat,Kolkata Knight Riders,ipl00083
bat,Mumbai Indians,ipl00084
bat,Chennai Super Kings,ipl00085
field,Kings XI Punjab,ipl00086
bat,Kolkata Knight Riders,ipl00087
bat,Deccan Chargers,ipl00088
bat,Chennai Super Kings,ipl00089
field,Rajasthan Royals,ipl00090
bat,Mumbai Indians,ipl00091
field,Kings XI Punjab,ipl00092
bat,Rajasthan Royals,ipl00093
bat,Mumbai Indians,ipl00094
field,Delhi Daredevils,ipl00095
bat,Deccan Chargers,ipl00096
field,Royal Challengers Bangalore,ipl00097
bat,Kings XI Punjab,ipl00098
field,Deccan Chargers,ipl00099
bat,Chennai Super Kings,ipl00100
bat,Rajasthan Royals,ipl00101
field,Kings XI Punjab,ipl00102
bat,Mumbai Indians,ipl00103
field,Deccan Chargers,ipl00104
bat,Delhi Daredevils,ipl00105
field,Deccan Chargers,ipl00106
bat,Chennai Super Kings,ipl00107
bat,Delhi Daredevils,ipl00108
field,Kolkata Knight Riders,ipl00109
bat,Chennai Super Kings,ipl00110
field,Delhi Daredevils,ipl00111
bat,Royal Challengers Bangalore,ipl00112
field,Deccan Chargers,ipl00113
field,Royal Challengers Bangalore,ipl00114
field,Royal Challengers Bangalore,ipl00115
field,Deccan Chargers,ipl00116
bat,Mumbai Indians,ipl00117
field,Delhi Daredevils,ipl00118
field,Kolkata Knight Riders,ipl00119
bat,Deccan Chargers,ipl00120
field,Delhi Daredevils,ipl00121
bat,Chennai Super Kings,ipl00122
bat,Kings XI Punjab,ipl00123
field,Delhi Daredevils,ipl00124
field,Royal Challengers Bangalore,ipl00125
bat,Delhi Daredevils,ipl00126
field,Kings XI Punjab,ipl00127
bat,Rajasthan Royals,ipl00128
bat,Mumbai Indians,ipl00129
bat,Deccan Chargers,ipl00130
field,Chennai Super Kings,ipl00131
bat,Kolkata Knight Riders,ipl00132
field,Chennai Super Kings,ipl00133
field,Kings XI Punjab,ipl00134
field,Mumbai Indians,ipl00135
field,Royal Challengers Bangalore,ipl00136
bat,Deccan Chargers,ipl00137
bat,Kolkata Knight Riders,ipl00138
field,Deccan Chargers,ipl00139
bat,Rajasthan Royals,ipl00140
bat,Delhi Daredevils,ipl00141
field,Mumbai Indians,ipl00142
bat,Royal Challengers Bangalore,ipl00143
bat,Delhi Daredevils,ipl00144
bat,Kolkata Knight Riders,ipl00145
bat,Kings XI Punjab,ipl00146
bat,Chennai Super Kings,ipl00147
bat,Mumbai Indians,ipl00148
bat,Kolkata Knight Riders,ipl00149
bat,Delhi Daredevils,ipl00150
bat,Rajasthan Royals,ipl00151
bat,Chennai Super Kings,ipl00152
bat,Kings XI Punjab,ipl00153
bat,Kolkata Knight Riders,ipl00154
field,Deccan Chargers,ipl00155
bat,Mumbai Indians,ipl00156
bat,Chennai Super Kings,ipl00157
field,Royal Challengers Bangalore,ipl00158
field,Rajasthan Royals,ipl00159
bat,Delhi Daredevils,ipl00160
field,Royal Challengers Bangalore,ipl00161
bat,Mumbai Indians,ipl00162
bat,Kolkata Knight Riders,ipl00163
bat,Rajasthan Royals,ipl00164
bat,Chennai Super Kings,ipl00165
field,Deccan Chargers,ipl00166
field,Royal Challengers Bangalore,ipl00167
bat,Rajasthan Royals,ipl00168
field,Chennai Super Kings,ipl00169
bat,Deccan Chargers,ipl00170
bat,Mumbai Indians,ipl00171
bat,Mumbai Indians,ipl00172
bat,Chennai Super Kings,ipl00173
bat,Deccan Chargers,ipl00174
bat,Chennai Super Kings,ipl00175
bat,Chennai Super Kings,ipl00176
field,Rajasthan Royals,ipl00177
bat,Kochi Tuskers Kerala,ipl00178
bat,Delhi Daredevils,ipl00179
bat,Kings XI Punjab,ipl00180
bat,Kolkata Knight Riders,ipl00181
bat,Delhi Daredevils,ipl00182
field,Mumbai Indians,ipl00183
field,Kings XI Punjab,ipl00184
bat,Kochi Tuskers Kerala,ipl00185
field,Royal Challengers Bangalore,ipl00186
field,Kolkata Knight Riders,ipl00187
field,Kochi Tuskers Kerala,ipl00188
bat,Chennai Super Kings,ipl00189
field,Kings XI Punjab,ipl00190
field,Kolkata Knight Riders,ipl00191
field,Delhi Daredevils,ipl00192
field,Kochi Tuskers Kerala,ipl00193
bat,Deccan Chargers,ipl00194
bat,Pune Warriors,ipl00195
field,Kolkata Knight Riders,ipl00196
field,Rajasthan Royals,ipl00197
field,Chennai Super Kings,ipl00198
field,Royal Challengers Bangalore,ipl00199
field,Kings XI Punjab,ipl00200
field,Deccan Chargers,ipl00201
field,Rajasthan Royals,ipl00202
field,Pune Warriors,ipl00203
field,Royal Challengers Bangalore,ipl00204
bat,Pune Warriors,ipl00205
field,Kochi Tuskers Kerala,ipl00206
field,Delhi Daredevils,ipl00207
field,Pune Warriors,ipl00208
field,Rajasthan Royals,ipl00209
field,Kolkata Knight Riders,ipl00210
bat,Delhi Daredevils,ipl00211
bat,Chennai Super Kings,ipl00212
field,Rajasthan Royals,ipl00213
field,Kings XI Punjab,ipl00214
field,Kochi Tuskers Kerala,ipl00215
field,Deccan Chargers,ipl00216
bat,Rajasthan Royals,ipl00217
field,Pune Warriors,ipl00218
field,Kolkata Knight Riders,ipl00219
field,Delhi Daredevils,ipl00220
field,Kings XI Punjab,ipl00221
bat,Chennai Super Kings,ipl00222
field,Delhi Daredevils,ipl00223
bat,Kochi Tuskers Kerala,ipl00224
bat,Kings XI Punjab,ipl00225
field,Rajasthan Royals,ipl00226
field,Mumbai Indians,ipl00227
bat,Deccan Chargers,ipl00228
field,Royal Challengers Bangalore,ipl00229
bat,Chennai Super Kings,ipl00230
field,Kings XI Punjab,ipl00231
field,Royal Challengers Bangalore,ipl00232
bat,Deccan Chargers,ipl00233
field,Delhi Daredevils,ipl00234
field,Kochi Tuskers Kerala,ipl00235
field,Deccan Chargers,ipl00236
bat,Kings XI Punjab,ipl00237
bat,Chennai Super Kings,ipl00238
field,Kolkata Knight Riders,ipl00239
bat,Mumbai Indians,ipl00240
bat,Delhi Daredevils,ipl00241
field,Kings XI Punjab,ipl00242
field,Royal Challengers Bangalore,ipl00243
field,Mumbai Indians,ipl00244
field,Chennai Super Kings,ipl00245
field,Mumbai Indians,ipl00246
field,Mumbai Indians,ipl00247
bat,Chennai Super Kings,ipl00248
field,Mumbai Indians,ipl00249
field,Delhi Daredevils,ipl00250
field,Mumbai Indians,ipl00251
field,Kings XI Punjab,ipl00252
field,Delhi Daredevils,ipl00253
field,Deccan Chargers,ipl00254
field,Kolkata Knight Riders,ipl00255
bat,Pune Warriors,ipl00256
bat,Deccan Chargers,ipl00257
field,Delhi Daredevils,ipl00258
field,Royal Challengers Bangalore,ipl00259
field,Rajasthan Royals,ipl00260
bat,Royal Challengers Bangalore,ipl00261
field,Kings XI Punjab,ipl00262
bat,Rajasthan Royals,ipl00263
bat,Chennai Super Kings,ipl00264
field,Kolkata Knight Riders,ipl00265
bat,Rajasthan Royals,ipl00266
field,Delhi Daredevils,ipl00267
bat,Deccan Chargers,ipl00268
bat,Pune Warriors,ipl00269
bat,Kings XI Punjab,ipl00270
bat,Deccan Chargers,ipl00271
field,Pune Warriors,ipl00272
field,Royal Challengers Bangalore,ipl00273
field,Delhi Daredevils,ipl00274
bat,Rajasthan Royals,ipl00275
bat,Mumbai Indians,ipl00276
field,Kolkata Knight Riders,ipl00277
field,Rajasthan Royals,ipl00278
bat,Pune Warriors,ipl00279
bat,Kings XI Punjab,ipl00280
bat,Deccan Chargers,ipl00281
field,Mumbai Indians,ipl00282
bat,Kolkata Knight Riders,ipl00283
bat,Kings XI Punjab,ipl00284
bat,Delhi Daredevils,ipl00285
field,Mumbai Indians,ipl00286
bat,Chennai Super Kings,ipl00287
bat,Deccan Chargers,ipl00288
bat,Rajasthan Royals,ipl00289
field,Kings XI Punjab,ipl00290
bat,Mumbai Indians,ipl00291
bat,Chennai Super Kings,ipl00292
bat,Kolkata Knight Riders,ipl00293
bat,Rajasthan Royals,ipl00294
field,Mumbai Indians,ipl00295
field,Royal Challengers Bangalore,ipl00296
bat,Delhi Daredevils,ipl00297
field,Deccan Chargers,ipl00298
bat,Pune Warriors,ipl00299
field,Royal Challengers Bangalore,ipl00300
bat,Deccan Chargers,ipl00301
field,Chennai Super Kings,ipl00302
field,Pune Warriors,ipl00303
bat,Mumbai Indians,ipl00304
field,Chennai Super Kings,ipl00305
bat,Rajasthan Royals,ipl00306
bat,Deccan Chargers,ipl00307
