name,match_number,key,stage
Lanka Premier League,1.0,lpl00001,nan
Lanka Premier League,2.0,lpl00002,nan
Lanka Premier League,4.0,lpl00003,nan
Lanka Premier League,3.0,lpl00004,nan
Lanka Premier League,6.0,lpl00005,nan
Lanka Premier League,5.0,lpl00006,nan
Lanka Premier League,7.0,lpl00007,nan
Lanka Premier League,8.0,lpl00008,nan
Lanka Premier League,9.0,lpl00009,nan
Lanka Premier League,10.0,lpl00010,nan
Lanka Premier League,11.0,lpl00011,nan
Lanka Premier League,12.0,lpl00012,nan
Lanka Premier League,13.0,lpl00013,nan
Lanka Premier League,14.0,lpl00014,nan
Lanka Premier League,15.0,lpl00015,nan
Lanka Premier League,17.0,lpl00016,nan
Lanka Premier League,16.0,lpl00017,nan
Lanka Premier League,19.0,lpl00018,nan
Lanka Premier League,18.0,lpl00019,nan
Lanka Premier League,20.0,lpl00020,nan
Lanka Premier League,,lpl00021,Semi Final
Lanka Premier League,,lpl00022,Semi Final
Lanka Premier League,,lpl00023,Final
Lanka Premier League,1.0,lpl00024,nan
Lanka Premier League,2.0,lpl00025,nan
Lanka Premier League,3.0,lpl00026,nan
Lanka Premier League,4.0,lpl00027,nan
Lanka Premier League,5.0,lpl00028,nan
Lanka Premier League,6.0,lpl00029,nan
Lanka Premier League,7.0,lpl00030,nan
Lanka Premier League,9.0,lpl00031,nan
Lanka Premier League,8.0,lpl00032,nan
Lanka Premier League,10.0,lpl00033,nan
Lanka Premier League,11.0,lpl00034,nan
Lanka Premier League,12.0,lpl00035,nan
Lanka Premier League,13.0,lpl00036,nan
Lanka Premier League,14.0,lpl00037,nan
Lanka Premier League,15.0,lpl00038,nan
Lanka Premier League,16.0,lpl00039,nan
Lanka Premier League,17.0,lpl00040,nan
Lanka Premier League,18.0,lpl00041,nan
Lanka Premier League,19.0,lpl00042,nan
Lanka Premier League,20.0,lpl00043,nan
Lanka Premier League,,lpl00044,Eliminator
Lanka Premier League,,lpl00045,Qualifier 1
Lanka Premier League,,lpl00046,Qualifier 2
Lanka Premier League,,lpl00047,Final
Lanka Premier League,1.0,lpl00048,nan
Lanka Premier League,2.0,lpl00049,nan
Lanka Premier League,3.0,lpl00050,nan
Lanka Premier League,4.0,lpl00051,nan
Lanka Premier League,5.0,lpl00052,nan
Lanka Premier League,6.0,lpl00053,nan
Lanka Premier League,7.0,lpl00054,nan
Lanka Premier League,8.0,lpl00055,nan
Lanka Premier League,9.0,lpl00056,nan
Lanka Premier League,10.0,lpl00057,nan
Lanka Premier League,11.0,lpl00058,nan
Lanka Premier League,12.0,lpl00059,nan
Lanka Premier League,13.0,lpl00060,nan
Lanka Premier League,14.0,lpl00061,nan
Lanka Premier League,15.0,lpl00062,nan
Lanka Premier League,16.0,lpl00063,nan
Lanka Premier League,17.0,lpl00064,nan
Lanka Premier League,18.0,lpl00065,nan
Lanka Premier League,19.0,lpl00066,nan
Lanka Premier League,20.0,lpl00067,nan
Lanka Premier League,,lpl00068,Qualifier 1
Lanka Premier League,,lpl00069,Eliminator
Lanka Premier League,,lpl00070,Qualifier 2
Lanka Premier League,,lpl00071,Final
Lanka Premier League,1.0,lpl00072,nan
Lanka Premier League,2.0,lpl00073,nan
Lanka Premier League,3.0,lpl00074,nan
Lanka Premier League,5.0,lpl00075,nan
Lanka Premier League,4.0,lpl00076,nan
Lanka Premier League,7.0,lpl00077,nan
Lanka Premier League,6.0,lpl00078,nan
Lanka Premier League,8.0,lpl00079,nan
Lanka Premier League,9.0,lpl00080,nan
Lanka Premier League,10.0,lpl00081,nan
Lanka Premier League,11.0,lpl00082,nan
Lanka Premier League,12.0,lpl00083,nan
Lanka Premier League,13.0,lpl00084,nan
Lanka Premier League,14.0,lpl00085,nan
Lanka Premier League,15.0,lpl00086,nan
Lanka Premier League,16.0,lpl00087,nan
Lanka Premier League,17.0,lpl00088,nan
Lanka Premier League,18.0,lpl00089,nan
Lanka Premier League,19.0,lpl00090,nan
Lanka Premier League,20.0,lpl00091,nan
Lanka Premier League,,lpl00092,Eliminator
Lanka Premier League,,lpl00093,Qualifier 1
Lanka Premier League,,lpl00094,Qualifier 2
Lanka Premier League,,lpl00095,Final
Lanka Premier League,1.0,lpl00096,nan
Lanka Premier League,2.0,lpl00097,nan
Lanka Premier League,3.0,lpl00098,nan
Lanka Premier League,4.0,lpl00099,nan
Lanka Premier League,5.0,lpl00100,nan
Lanka Premier League,6.0,lpl00101,nan
Lanka Premier League,7.0,lpl00102,nan
Lanka Premier League,8.0,lpl00103,nan
Lanka Premier League,9.0,lpl00104,nan
Lanka Premier League,10.0,lpl00105,nan
Lanka Premier League,11.0,lpl00106,nan
Lanka Premier League,12.0,lpl00107,nan
Lanka Premier League,13.0,lpl00108,nan
Lanka Premier League,14.0,lpl00109,nan
Lanka Premier League,15.0,lpl00110,nan
Lanka Premier League,16.0,lpl00111,nan
Lanka Premier League,17.0,lpl00112,nan
Lanka Premier League,18.0,lpl00113,nan
Lanka Premier League,19.0,lpl00114,nan
Lanka Premier League,20.0,lpl00115,nan
Lanka Premier League,,lpl00116,Qualifier 1
Lanka Premier League,,lpl00117,Eliminator
Lanka Premier League,,lpl00118,Qualifier 2
Lanka Premier League,,lpl00119,Final
