balls_per_over,city,date,gender,match_type,overs,player_of_match,season,team_type,venue,key
6,Hambantota,2020-11-26,male,T20,20,LD Chandimal,2020/21,club,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",lpl00001
6,Hambantota,2020-11-27,male,T20,20,WIA Fernando,2020/21,club,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",lpl00002
6,Hambantota,2020-11-28,male,T20,20,AD Russell,2020/21,club,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",lpl00003
6,Hambantota,2020-11-28,male,T20,20,MD Shanaka,2020/21,club,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",lpl00004
6,Hambantota,2020-11-30,male,T20,20,BRM Taylor,2020/21,club,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",lpl00005
6,Hambantota,2020-11-30,male,T20,20,NLTC Perera,2020/21,club,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",lpl00006
6,Hambantota,2020-12-01,male,T20,20,MD Shanaka,2020/21,club,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",lpl00007
6,Hambantota,2020-12-01,male,T20,20,NLTC Perera,2020/21,club,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",lpl00008
6,Hambantota,2020-12-03,male,T20,20,WIA Fernando,2020/21,club,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",lpl00009
6,Hambantota,2020-12-03,male,T20,20,AK Perera,2020/21,club,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",lpl00010
6,Hambantota,2020-12-04,male,T20,20,LD Chandimal,2020/21,club,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",lpl00011
6,Hambantota,2020-12-05,male,T20,20,Anwar Ali,2020/21,club,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",lpl00012
6,Hambantota,2020-12-05,male,T20,20,PVD Chameera,2020/21,club,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",lpl00013
6,Hambantota,2020-12-07,male,T20,20,Mohammad Amir,2020/21,club,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",lpl00014
6,Hambantota,2020-12-07,male,T20,20,,2020/21,club,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",lpl00015
6,Hambantota,2020-12-09,male,T20,20,Samiullah Shenwari,2020/21,club,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",lpl00016
6,Hambantota,2020-12-09,male,T20,20,DAS Gunaratne,2020/21,club,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",lpl00017
6,Hambantota,2020-12-10,male,T20,20,MD Gunathilaka,2020/21,club,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",lpl00018
6,Hambantota,2020-12-10,male,T20,20,LJ Evans,2020/21,club,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",lpl00019
6,Hambantota,2020-12-11,male,T20,20,Qais Ahmad,2020/21,club,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",lpl00020
6,Hambantota,2020-12-13,male,T20,20,D Lakshan,2020/21,club,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",lpl00021
6,Hambantota,2020-12-14,male,T20,20,J Charles,2020/21,club,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",lpl00022
6,Hambantota,2020-12-16,male,T20,20,Shoaib Malik,2020/21,club,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",lpl00023
6,Colombo,2021-12-05,male,T20,20,SR Patel,2021/22,club,"R Premadasa Stadium, Colombo",lpl00024
6,Colombo,2021-12-06,male,T20,20,PD Salt,2021/22,club,"R Premadasa Stadium, Colombo",lpl00025
6,Colombo,2021-12-06,male,T20,20,DM de Silva,2021/22,club,"R Premadasa Stadium, Colombo",lpl00026
6,Colombo,2021-12-07,male,T20,20,M Theekshana,2021/22,club,"R Premadasa Stadium, Colombo",lpl00027
6,Colombo,2021-12-07,male,T20,20,D Lakshan,2021/22,club,"R Premadasa Stadium, Colombo",lpl00028
6,Colombo,2021-12-08,male,T20,20,PD Salt,2021/22,club,"R Premadasa Stadium, Colombo",lpl00029
6,Colombo,2021-12-08,male,T20,20,RAS Lakmal,2021/22,club,"R Premadasa Stadium, Colombo",lpl00030
6,Colombo,2021-12-10,male,T20,20,NLTC Perera,2021/22,club,"R Premadasa Stadium, Colombo",lpl00031
6,Colombo,2021-12-10,male,T20,20,,2021/22,club,"R Premadasa Stadium, Colombo",lpl00032
6,Colombo,2021-12-11,male,T20,20,RS Bopara,2021/22,club,"R Premadasa Stadium, Colombo",lpl00033
6,Colombo,2021-12-11,male,T20,20,KTH Ratnayake,2021/22,club,"R Premadasa Stadium, Colombo",lpl00034
6,Colombo,2021-12-12,male,T20,20,Shoaib Malik,2021/22,club,"R Premadasa Stadium, Colombo",lpl00035
6,Colombo,2021-12-12,male,T20,20,LD Chandimal,2021/22,club,"R Premadasa Stadium, Colombo",lpl00036
6,Colombo,2021-12-13,male,T20,20,PC de Silva,2021/22,club,"R Premadasa Stadium, Colombo",lpl00037
6,Colombo,2021-12-14,male,T20,20,S Prasanna,2021/22,club,"R Premadasa Stadium, Colombo",lpl00038
6,Colombo,2021-12-14,male,T20,20,SR Patel,2021/22,club,"R Premadasa Stadium, Colombo",lpl00039
6,Colombo,2021-12-16,male,T20,20,T Kohler-Cadmore,2021/22,club,"R Premadasa Stadium, Colombo",lpl00040
6,Colombo,2021-12-16,male,T20,20,RS Bopara,2021/22,club,"R Premadasa Stadium, Colombo",lpl00041
6,Colombo,2021-12-17,male,T20,20,PBB Rajapaksa,2021/22,club,"R Premadasa Stadium, Colombo",lpl00042
6,Colombo,2021-12-17,male,T20,20,JDF Vandersay,2021/22,club,"R Premadasa Stadium, Colombo",lpl00043
6,Hambantota,2021-12-19,male,T20,20,J Liyanage,2021/22,club,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",lpl00044
6,Hambantota,2021-12-19,male,T20,20,BKG Mendis,2021/22,club,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",lpl00045
6,Hambantota,2021-12-21,male,T20,20,WIA Fernando,2021/22,club,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",lpl00046
6,Hambantota,2021-12-23,male,T20,20,WIA Fernando,2021/22,club,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",lpl00047
6,Hambantota,2022-12-06,male,T20,20,DN Wellalage,2022/23,club,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",lpl00048
6,Hambantota,2022-12-06,male,T20,20,ADS Fletcher,2022/23,club,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",lpl00049
6,Hambantota,2022-12-07,male,T20,20,S Samarawickrama,2022/23,club,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",lpl00050
6,Hambantota,2022-12-07,male,T20,20,CR Brathwaite,2022/23,club,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",lpl00051
6,Hambantota,2022-12-08,male,T20,20,N Dickwella,2022/23,club,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",lpl00052
6,Kandy,2022-12-10,male,T20,20,C Karunaratne,2022/23,club,Pallekele International Cricket Stadium,lpl00053
6,Kandy,2022-12-11,male,T20,20,LU Igalagamage,2022/23,club,Pallekele International Cricket Stadium,lpl00054
6,Kandy,2022-12-11,male,T20,20,Rahmanullah Gurbaz,2022/23,club,Pallekele International Cricket Stadium,lpl00055
6,Kandy,2022-12-12,male,T20,20,PTM Dabare,2022/23,club,Pallekele International Cricket Stadium,lpl00056
6,Kandy,2022-12-12,male,T20,20,JK Fuller,2022/23,club,Pallekele International Cricket Stadium,lpl00057
6,Kandy,2022-12-13,male,T20,20,PHKD Mendis,2022/23,club,Pallekele International Cricket Stadium,lpl00058
6,Kandy,2022-12-13,male,T20,20,RS Bopara,2022/23,club,Pallekele International Cricket Stadium,lpl00059
6,Kandy,2022-12-14,male,T20,20,FA Allen,2022/23,club,Pallekele International Cricket Stadium,lpl00060
6,Kandy,2022-12-14,male,T20,20,CAK Rajitha,2022/23,club,Pallekele International Cricket Stadium,lpl00061
6,Colombo,2022-12-17,male,T20,20,JM Cox,2022/23,club,"R Premadasa Stadium, Colombo",lpl00062
6,Colombo,2022-12-17,male,T20,20,C Karunaratne,2022/23,club,"R Premadasa Stadium, Colombo",lpl00063
6,Colombo,2022-12-18,male,T20,20,Afif Hossain,2022/23,club,"R Premadasa Stadium, Colombo",lpl00064
6,Colombo,2022-12-18,male,T20,20,O Thomas,2022/23,club,"R Premadasa Stadium, Colombo",lpl00065
6,Colombo,2022-12-19,male,T20,20,Rahmanullah Gurbaz,2022/23,club,"R Premadasa Stadium, Colombo",lpl00066
6,Colombo,2022-12-19,male,T20,20,MW Forde,2022/23,club,"R Premadasa Stadium, Colombo",lpl00067
6,Colombo,2022-12-21,male,T20,20,V Viyaskanth,2022/23,club,"R Premadasa Stadium, Colombo",lpl00068
6,Colombo,2022-12-21,male,T20,20,RS Bopara,2022/23,club,"R Premadasa Stadium, Colombo",lpl00069
6,Colombo,2022-12-22,male,T20,20,CAK Rajitha,2022/23,club,"R Premadasa Stadium, Colombo",lpl00070
6,Colombo,2022-12-23,male,T20,20,WIA Fernando,2022/23,club,"R Premadasa Stadium, Colombo",lpl00071
6,Colombo,2023-07-30,male,T20,20,V Viyaskanth,2023,club,"R Premadasa Stadium, Colombo",lpl00072
6,Colombo,2023-07-31,male,T20,20,MD Shanaka,2023,club,"R Premadasa Stadium, Colombo",lpl00073
6,Colombo,2023-07-31,male,T20,20,Babar Azam,2023,club,"R Premadasa Stadium, Colombo",lpl00074
6,Colombo,2023-08-01,male,T20,20,TL Seifert,2023,club,"R Premadasa Stadium, Colombo",lpl00075
6,Colombo,2023-08-01,male,T20,20,WIA Fernando,2023,club,"R Premadasa Stadium, Colombo",lpl00076
6,Kandy,2023-08-04,male,T20,20,DN Wellalage,2023,club,Pallekele International Cricket Stadium,lpl00077
6,Kandy,2023-08-04,male,T20,20,Mujeeb Ur Rahman,2023,club,Pallekele International Cricket Stadium,lpl00078
6,Kandy,2023-08-05,male,T20,20,BKG Mendis,2023,club,Pallekele International Cricket Stadium,lpl00079
6,Kandy,2023-08-05,male,T20,20,PWH de Silva,2023,club,Pallekele International Cricket Stadium,lpl00080
6,Kandy,2023-08-07,male,T20,20,Babar Azam,2023,club,Pallekele International Cricket Stadium,lpl00081
6,Kandy,2023-08-07,male,T20,20,Hasan Ali,2023,club,Pallekele International Cricket Stadium,lpl00082
6,Kandy,2023-08-08,male,T20,20,PWH de Silva,2023,club,Pallekele International Cricket Stadium,lpl00083
6,Kandy,2023-08-08,male,T20,20,DN Wellalage,2023,club,Pallekele International Cricket Stadium,lpl00084
6,Colombo,2023-08-11,male,T20,20,WIA Fernando,2023,club,"R Premadasa Stadium, Colombo",lpl00085
6,Colombo,2023-08-12,male,T20,20,Mohammad Haris,2023,club,"R Premadasa Stadium, Colombo",lpl00086
6,Colombo,2023-08-12,male,T20,20,BR McDermott,2023,club,"R Premadasa Stadium, Colombo",lpl00087
6,Colombo,2023-08-13,male,T20,20,CAK Rajitha,2023,club,"R Premadasa Stadium, Colombo",lpl00088
6,Colombo,2023-08-13,male,T20,20,P Nissanka,2023,club,"R Premadasa Stadium, Colombo",lpl00089
6,Colombo,2023-08-14,male,T20,20,DM de Silva,2023,club,"R Premadasa Stadium, Colombo",lpl00090
6,Colombo,2023-08-15,male,T20,20,T Shamsi,2023,club,"R Premadasa Stadium, Colombo",lpl00091
6,Colombo,2023-08-17,male,T20,20,PWH de Silva,2023,club,"R Premadasa Stadium, Colombo",lpl00092
6,Colombo,2023-08-17,male,T20,20,BKG Mendis,2023,club,"R Premadasa Stadium, Colombo",lpl00093
6,Colombo,2023-08-19,male,T20,20,PWH de Silva,2023,club,"R Premadasa Stadium, Colombo",lpl00094
6,Colombo,2023-08-20,male,T20,20,AD Mathews,2023,club,"R Premadasa Stadium, Colombo",lpl00095
6,Kandy,2024-07-01,male,T20,20,MD Shanaka,2024,club,Pallekele International Cricket Stadium,lpl00096
6,Kandy,2024-07-02,male,T20,20,AD Hales,2024,club,Pallekele International Cricket Stadium,lpl00097
6,Kandy,2024-07-02,male,T20,20,Shadab Khan,2024,club,Pallekele International Cricket Stadium,lpl00098
6,Kandy,2024-07-03,male,T20,20,WIA Fernando,2024,club,Pallekele International Cricket Stadium,lpl00099
6,Kandy,2024-07-03,male,T20,20,I Udana,2024,club,Pallekele International Cricket Stadium,lpl00100
6,Dambulla,2024-07-05,male,T20,20,Azmatullah Omarzai,2024,club,Rangiri Dambulla International Stadium,lpl00101
6,Dambulla,2024-07-06,male,T20,20,M Pathirana,2024,club,Rangiri Dambulla International Stadium,lpl00102
6,Dambulla,2024-07-06,male,T20,20,P Nissanka,2024,club,Rangiri Dambulla International Stadium,lpl00103
6,Dambulla,2024-07-07,male,T20,20,I Udana,2024,club,Rangiri Dambulla International Stadium,lpl00104
6,Dambulla,2024-07-07,male,T20,20,MDKJ Perera,2024,club,Rangiri Dambulla International Stadium,lpl00105
6,Dambulla,2024-07-09,male,T20,20,LD Chandimal,2024,club,Rangiri Dambulla International Stadium,lpl00106
6,Dambulla,2024-07-09,male,T20,20,C Wickramasinghe,2024,club,Rangiri Dambulla International Stadium,lpl00107
6,Dambulla,2024-07-10,male,T20,20,RR Rossouw,2024,club,Rangiri Dambulla International Stadium,lpl00108
6,Dambulla,2024-07-10,male,T20,20,NGRP Jayasuriya,2024,club,Rangiri Dambulla International Stadium,lpl00109
6,Colombo,2024-07-13,male,T20,20,JP Behrendorff,2024,club,"R Premadasa Stadium, Colombo",lpl00110
6,Colombo,2024-07-14,male,T20,20,M Theekshana,2024,club,"R Premadasa Stadium, Colombo",lpl00111
6,Colombo,2024-07-14,male,T20,20,Shadab Khan,2024,club,"R Premadasa Stadium, Colombo",lpl00112
6,Colombo,2024-07-15,male,T20,20,PWH de Silva,2024,club,"R Premadasa Stadium, Colombo",lpl00113
6,Colombo,2024-07-15,male,T20,20,M Pathirana,2024,club,"R Premadasa Stadium, Colombo",lpl00114
6,Colombo,2024-07-16,male,T20,20,Mohammad Nabi,2024,club,"R Premadasa Stadium, Colombo",lpl00115
6,Colombo,2024-07-18,male,T20,20,D Pretorius,2024,club,"R Premadasa Stadium, Colombo",lpl00116
6,Colombo,2024-07-18,male,T20,20,PHKD Mendis,2024,club,"R Premadasa Stadium, Colombo",lpl00117
6,Colombo,2024-07-20,male,T20,20,BKG Mendis,2024,club,"R Premadasa Stadium, Colombo",lpl00118
6,Colombo,2024-07-21,male,T20,20,RR Rossouw,2024,club,"R Premadasa Stadium, Colombo",lpl00119
