batter,bowler,non_striker,runs_batter,runs_extras,runs_total,over,delivery_no,batting_team,inning_no,wickets_kind,wickets_player_out,review_by,review_umpire,review_batter,review_decision,replacements_role,bowling_team,key,review_umpires_call,runs_non_boundary,replacements_match,review_type,extras_type
Rahmanullah Gurbaz,AD Mathews,MDKJ Perera,0,0,0,0,1,Kandy Tuskers,1,,,,,,,,Colombo Kings,lpl00001,,,,,
Rahmanullah Gurbaz,AD Mathews,MDKJ Perera,0,0,0,0,2,Kandy Tuskers,1,,,,,,,,Colombo Kings,lpl00001,,,,,
Rahmanullah Gurbaz,AD Mathews,MDKJ Perera,1,0,1,0,3,Kandy Tuskers,1,,,,,,,,Colombo Kings,lpl00001,,,,,
MDKJ Perera,AD Mathews,Rahmanullah Gurbaz,1,0,1,0,4,Kandy Tuskers,1,,,,,,,,Colombo Kings,lpl00001,,,,,
Rahmanullah Gurbaz,AD Mathews,MDKJ Perera,1,0,1,0,5,Kandy Tuskers,1,,,,,,,,Colombo Kings,lpl00001,,,,,
MDKJ Perera,AD Mathews,Rahmanullah Gurbaz,4,0,4,0,6,Kandy Tuskers,1,,,,,,,,Colombo Kings,lpl00001,,,,,
Rahmanullah Gurbaz,MS Gony,MDKJ Perera,4,0,4,1,1,Kandy Tuskers,1,,,,,,,,Colombo Kings,lpl00001,,,,,
Rahmanullah Gurbaz,MS Gony,MDKJ Perera,0,0,0,1,2,Kandy Tuskers,1,,,,,,,,Colombo Kings,lpl00001,,,,,
Rahmanullah Gurbaz,MS Gony,MDKJ Perera,0,0,0,1,3,Kandy Tuskers,1,,,,,,,,Colombo Kings,lpl00001,,,,,
Rahmanullah Gurbaz,MS Gony,MDKJ Perera,6,0,6,1,4,Kandy Tuskers,1,,,,,,,,Colombo Kings,lpl00001,,,,,
Rahmanullah Gurbaz,MS Gony,MDKJ Perera,1,0,1,1,5,Kandy Tuskers,1,,,,,,,,Colombo Kings,lpl00001,,,,,
MDKJ Perera,MS Gony,Rahmanullah Gurbaz,1,0,1,1,6,Kandy Tuskers,1,,,,,,,,Colombo Kings,lpl00001,,,,,
MDKJ Perera,AD Mathews,Rahmanullah Gurbaz,1,0,1,2,1,Kandy Tuskers,1,,,,,,,,Colombo Kings,lpl00001,,,,,
Rahmanullah Gurbaz,AD Mathews,MDKJ Perera,0,0,0,2,2,Kandy Tuskers,1,,,,,,,,Colombo Kings,lpl00001,,,,,
Rahmanullah Gurbaz,AD Mathews,MDKJ Perera,4,0,4,2,3,Kandy Tuskers,1,,,,,,,,Colombo Kings,lpl00001,,,,,
Rahmanullah Gurbaz,AD Mathews,MDKJ Perera,6,0,6,2,4,Kandy Tuskers,1,,,,,,,,Colombo Kings,lpl00001,,,,,
Rahmanullah Gurbaz,AD Mathews,MDKJ Perera,4,0,4,2,5,Kandy Tuskers,1,,,,,,,,Colombo Kings,lpl00001,,,,,
Rahmanullah Gurbaz,AD Mathews,MDKJ Perera,4,0,4,2,6,Kandy Tuskers,1,,,,,,,,Colombo Kings,lpl00001,,,,,
MDKJ Perera,PVD Chameera,Rahmanullah Gurbaz,4,0,4,3,1,Kandy Tuskers,1,,,,,,,,Colombo Kings,lpl00001,,,,,
MDKJ Perera,PVD Chameera,Rahmanullah Gurbaz,0,0,0,3,2,Kandy Tuskers,1,,,,,,,,Colombo Kings,lpl00001,,,,,
MDKJ Perera,PVD Chameera,Rahmanullah Gurbaz,4,0,4,3,3,Kandy Tuskers,1,,,,,,,,Colombo Kings,lpl00001,,,,,
MDKJ Perera,PVD Chameera,Rahmanullah Gurbaz,1,0,1,3,4,Kandy Tuskers,1,,,,,,,,Colombo Kings,lpl00001,,,,,
Rahmanullah Gurbaz,PVD Chameera,MDKJ Perera,4,0,4,3,5,Kandy Tuskers,1,,,,,,,,Colombo Kings,lpl00001,,,,,
Rahmanullah Gurbaz,PVD Chameera,MDKJ Perera,1,0,1,3,6,Kandy Tuskers,1,,,,,,,,Colombo Kings,lpl00001,,,,,
Rahmanullah Gurbaz,I Udana,MDKJ Perera,1,0,1,4,1,Kandy Tuskers,1,,,,,,,,Colombo Kings,lpl00001,,,,,
MDKJ Perera,I Udana,Rahmanullah Gurbaz,4,0,4,4,2,Kandy Tuskers,1,,,,,,,,Colombo Kings,lpl00001,,,,,
MDKJ Perera,I Udana,Rahmanullah Gurbaz,0,0,0,4,3,Kandy Tuskers,1,,,,,,,,Colombo Kings,lpl00001,,,,,
MDKJ Perera,I Udana,Rahmanullah Gurbaz,1,0,1,4,4,Kandy Tuskers,1,,,,,,,,Colombo Kings,lpl00001,,,,,
Rahmanullah Gurbaz,I Udana,MDKJ Perera,4,0,4,4,5,Kandy Tuskers,1,,,,,,,,Colombo Kings,lpl00001,,,,,
Rahmanullah Gurbaz,I Udana,MDKJ Perera,0,0,0,4,6,Kandy Tuskers,1,,,,,,,,Colombo Kings,lpl00001,,,,,
MDKJ Perera,Qais Ahmad,Rahmanullah Gurbaz,1,0,1,5,1,Kandy Tuskers,1,,,,,,,,Colombo Kings,lpl00001,,,,,
Rahmanullah Gurbaz,Qais Ahmad,MDKJ Perera,6,0,6,5,2,Kandy Tuskers,1,,,,,,,,Colombo Kings,lpl00001,,,,,
Rahmanullah Gurbaz,Qais Ahmad,MDKJ Perera,6,0,6,5,3,Kandy Tuskers,1,,,,,,,,Colombo Kings,lpl00001,,,,,
Rahmanullah Gurbaz,Qais Ahmad,MDKJ Perera,0,0,0,5,4,Kandy Tuskers,1,caught,Rahmanullah Gurbaz,,,,,,Colombo Kings,lpl00001,,,,,
BKG Mendis,Qais Ahmad,MDKJ Perera,4,0,4,5,5,Kandy Tuskers,1,,,,,,,,Colombo Kings,lpl00001,,,,,
BKG Mendis,Qais Ahmad,MDKJ Perera,0,0,0,5,6,Kandy Tuskers,1,,,,,,,,Colombo Kings,lpl00001,,,,,
MDKJ Perera,PVD Chameera,BKG Mendis,0,0,0,6,1,Kandy Tuskers,1,,,,,,,,Colombo Kings,lpl00001,,,,,
MDKJ Perera,PVD Chameera,BKG Mendis,2,0,2,6,2,Kandy Tuskers,1,,,,,,,,Colombo Kings,lpl00001,,,,,
MDKJ Perera,PVD Chameera,BKG Mendis,0,0,0,6,3,Kandy Tuskers,1,,,,,,,,Colombo Kings,lpl00001,,,,,
MDKJ Perera,PVD Chameera,BKG Mendis,1,0,1,6,4,Kandy Tuskers,1,,,,,,,,Colombo Kings,lpl00001,,,,,
BKG Mendis,PVD Chameera,MDKJ Perera,1,0,1,6,5,Kandy Tuskers,1,,,,,,,,Colombo Kings,lpl00001,,,,,
MDKJ Perera,PVD Chameera,BKG Mendis,0,5,5,6,5,Kandy Tuskers,1,,,,,,,,Colombo Kings,lpl00001,,,,,wides
MDKJ Perera,PVD Chameera,BKG Mendis,6,0,6,6,6,Kandy Tuskers,1,,,,,,,,Colombo Kings,lpl00001,,,,,
BKG Mendis,Qais Ahmad,MDKJ Perera,1,0,1,7,1,Kandy Tuskers,1,,,,,,,,Colombo Kings,lpl00001,,,,,
MDKJ Perera,Qais Ahmad,BKG Mendis,1,0,1,7,2,Kandy Tuskers,1,,,,,,,,Colombo Kings,lpl00001,,,,,
BKG Mendis,Qais Ahmad,MDKJ Perera,1,0,1,7,3,Kandy Tuskers,1,,,,,,,,Colombo Kings,lpl00001,,,,,
MDKJ Perera,Qais Ahmad,BKG Mendis,1,0,1,7,4,Kandy Tuskers,1,,,,,,,,Colombo Kings,lpl00001,,,,,
BKG Mendis,Qais Ahmad,MDKJ Perera,1,0,1,7,5,Kandy Tuskers,1,,,,,,,,Colombo Kings,lpl00001,,,,,
MDKJ Perera,Qais Ahmad,BKG Mendis,1,0,1,7,6,Kandy Tuskers,1,,,,,,,,Colombo Kings,lpl00001,,,,,
MDKJ Perera,I Udana,BKG Mendis,1,0,1,8,1,Kandy Tuskers,1,,,,,,,,Colombo Kings,lpl00001,,,,,
BKG Mendis,I Udana,MDKJ Perera,0,0,0,8,2,Kandy Tuskers,1,,,,,,,,Colombo Kings,lpl00001,,,,,
BKG Mendis,I Udana,MDKJ Perera,1,0,1,8,3,Kandy Tuskers,1,,,,,,,,Colombo Kings,lpl00001,,,,,
MDKJ Perera,I Udana,BKG Mendis,0,0,0,8,4,Kandy Tuskers,1,,,,,,,,Colombo Kings,lpl00001,,,,,
MDKJ Perera,I Udana,BKG Mendis,1,0,1,8,5,Kandy Tuskers,1,,,,,,,,Colombo Kings,lpl00001,,,,,
BKG Mendis,I Udana,MDKJ Perera,0,0,0,8,6,Kandy Tuskers,1,,,,,,,,Colombo Kings,lpl00001,,,,,
MDKJ Perera,Qais Ahmad,BKG Mendis,4,0,4,9,1,Kandy Tuskers,1,,,,,,,,Colombo Kings,lpl00001,,,,,
MDKJ Perera,Qais Ahmad,BKG Mendis,0,1,1,9,2,Kandy Tuskers,1,,,,,,,,Colombo Kings,lpl00001,,,,,legbyes
BKG Mendis,Qais Ahmad,MDKJ Perera,0,0,0,9,3,Kandy Tuskers,1,,,,,,,,Colombo Kings,lpl00001,,,,,
BKG Mendis,Qais Ahmad,MDKJ Perera,0,0,0,9,4,Kandy Tuskers,1,,,,,,,,Colombo Kings,lpl00001,,,,,
BKG Mendis,Qais Ahmad,MDKJ Perera,0,0,0,9,5,Kandy Tuskers,1,,,,,,,,Colombo Kings,lpl00001,,,,,
