result,eliminator,key,winner,by.wickets,by.runs,method
tie,Colombo Kings,lpl00001,,,,
,,lpl00002,Jaffna Stallions,8.0,,
,,lpl00003,Colombo Kings,,34.0,
,,lpl00004,Dambulla Viiking,,4.0,D/L
,,lpl00005,Kandy Tuskers,,25.0,
,,lpl00006,Jaffna Stallions,,66.0,
,,lpl00007,Dambulla Viiking,,28.0,
,,lpl00008,Jaffna Stallions,,54.0,
,,lpl00009,Jaffna Stallions,5.0,,
,,lpl00010,Dambulla Viiking,5.0,,
,,lpl00011,Colombo Kings,6.0,,
,,lpl00012,Dambulla Viiking,,9.0,
,,lpl00013,Colombo Kings,7.0,,
,,lpl00014,Galle Gladiators,8.0,,
no result,,lpl00015,,,,
,,lpl00016,Dambulla Viiking,4.0,,
,,lpl00017,Kandy Tuskers,6.0,,
,,lpl00018,Galle Gladiators,9.0,,
,,lpl00019,Colombo Kings,,6.0,
,,lpl00020,Colombo Kings,6.0,,
,,lpl00021,Galle Gladiators,2.0,,
,,lpl00022,Jaffna Stallions,,37.0,
,,lpl00023,Jaffna Stallions,,53.0,
,,lpl00024,Galle Gladiators,,54.0,
,,lpl00025,Dambulla Giants,,20.0,
,,lpl00026,Colombo Stars,4.0,,
,,lpl00027,Jaffna Kings,8.0,,
,,lpl00028,Galle Gladiators,4.0,,
,,lpl00029,Dambulla Giants,,18.0,
,,lpl00030,Jaffna Kings,,14.0,D/L
,,lpl00031,Jaffna Kings,,93.0,
no result,,lpl00032,,,,
,,lpl00033,Kandy Warriors,5.0,,
,,lpl00034,Dambulla Giants,,1.0,
,,lpl00035,Jaffna Kings,7.0,,D/L
,,lpl00036,Colombo Stars,,41.0,
,,lpl00037,Jaffna Kings,7.0,,
,,lpl00038,Colombo Stars,5.0,,
,,lpl00039,Galle Gladiators,,9.0,
,,lpl00040,Jaffna Kings,,102.0,
,,lpl00041,Kandy Warriors,6.0,,
,,lpl00042,Galle Gladiators,,20.0,
,,lpl00043,Colombo Stars,,58.0,
,,lpl00044,Dambulla Giants,6.0,,
,,lpl00045,Galle Gladiators,,64.0,
,,lpl00046,Jaffna Kings,,23.0,
,,lpl00047,Jaffna Kings,,23.0,
,,lpl00048,Jaffna Kings,,24.0,
,,lpl00049,Kandy Falcons,,109.0,
,,lpl00050,Jaffna Kings,9.0,,
,,lpl00051,Kandy Falcons,5.0,,
,,lpl00052,Colombo Stars,,9.0,
,,lpl00053,Kandy Falcons,3.0,,
,,lpl00054,Galle Gladiators,,25.0,
,,lpl00055,Jaffna Kings,,51.0,
,,lpl00056,Galle Gladiators,,12.0,
,,lpl00057,Jaffna Kings,,6.0,
,,lpl00058,Kandy Falcons,,77.0,
,,lpl00059,Colombo Stars,2.0,,
,,lpl00060,Kandy Falcons,,10.0,
,,lpl00061,Colombo Stars,9.0,,
,,lpl00062,Dambulla Aura,,48.0,
,,lpl00063,Kandy Falcons,9.0,,
,,lpl00064,Jaffna Kings,,16.0,
,,lpl00065,Kandy Falcons,,39.0,
,,lpl00066,Jaffna Kings,8.0,,
,,lpl00067,Dambulla Aura,4.0,,
,,lpl00068,Jaffna Kings,,24.0,D/L
,,lpl00069,Colombo Stars,7.0,,
,,lpl00070,Colombo Stars,6.0,,
,,lpl00071,Jaffna Kings,2.0,,
,,lpl00072,Jaffna Kings,,21.0,
tie,Galle Titans,lpl00073,,,,
,,lpl00074,Colombo Strikers,,27.0,
,,lpl00075,Galle Titans,,83.0,
,,lpl00076,Dambulla Aura,8.0,,
,,lpl00077,Jaffna Kings,8.0,,
,,lpl00078,B-Love Kandy,7.0,,
,,lpl00079,Dambulla Aura,,10.0,
,,lpl00080,B-Love Kandy,8.0,,
,,lpl00081,Colombo Strikers,7.0,,
,,lpl00082,Dambulla Aura,,9.0,
,,lpl00083,B-Love Kandy,,89.0,
,,lpl00084,Jaffna Kings,6.0,,
,,lpl00085,Dambulla Aura,7.0,,
,,lpl00086,B-Love Kandy,,8.0,
,,lpl00087,Dambulla Aura,,50.0,
,,lpl00088,Galle Titans,7.0,,
,,lpl00089,Colombo Strikers,,9.0,
,,lpl00090,Dambulla Aura,,20.0,
,,lpl00091,Galle Titans,8.0,,
,,lpl00092,B-Love Kandy,,61.0,
,,lpl00093,Dambulla Aura,6.0,,
,,lpl00094,B-Love Kandy,,34.0,
,,lpl00095,B-Love Kandy,5.0,,
,,lpl00096,Kandy Falcons,6.0,,
,,lpl00097,Galle Marvels,5.0,,
,,lpl00098,Colombo Strikers,,51.0,
,,lpl00099,Jaffna Kings,4.0,,
,,lpl00100,Galle Marvels,,7.0,
,,lpl00101,Jaffna Kings,5.0,,
,,lpl00102,Colombo Strikers,,2.0,
,,lpl00103,Jaffna Kings,,30.0,
,,lpl00104,Galle Marvels,6.0,,
,,lpl00105,Dambulla Sixers,8.0,,
,,lpl00106,Kandy Falcons,7.0,,
,,lpl00107,Dambulla Sixers,,25.0,
,,lpl00108,Jaffna Kings,7.0,,
,,lpl00109,Galle Marvels,8.0,,
,,lpl00110,Jaffna Kings,4.0,,
tie,Galle Marvels,lpl00111,,,,
,,lpl00112,Colombo Strikers,9.0,,
,,lpl00113,Kandy Falcons,,54.0,
,,lpl00114,Colombo Strikers,7.0,,
,,lpl00115,Dambulla Sixers,,28.0,
,,lpl00116,Galle Marvels,7.0,,
,,lpl00117,Kandy Falcons,2.0,,
,,lpl00118,Jaffna Kings,,1.0,
,,lpl00119,Jaffna Kings,9.0,,
