team,name,key,batting_position
Kandy Tuskers,Rahmanullah Gurbaz,lpl00001,1.0
Kandy Tuskers,MDKJ Perera,lpl00001,2.0
Kandy Tuskers,BKG Mendis,lpl00001,3.0
Kandy Tuskers,DAS Gunaratne,lpl00001,4.0
Kandy Tuskers,S Prasanna,lpl00001,5.0
Kandy Tuskers,IK Pathan,lpl00001,
Kandy Tuskers,N Pradeep,lpl00001,
Kandy Tuskers,Naveen-ul-Haq,lpl00001,
Kandy Tuskers,PHKD Mendis,lpl00001,
Kandy Tuskers,L Embuldeniya,lpl00001,
Kandy Tuskers,K Anjula,lpl00001,
Colombo Kings,LD Chandimal,lpl00001,1.0
Colombo Kings,LJ Evans,lpl00001,2.0
Colombo Kings,ST de Silva,lpl00001,3.0
Colombo Kings,AD Russell,lpl00001,1.0
Colombo Kings,AD Mathews,lpl00001,3.0
Colombo Kings,SMA Priyanjan,lpl00001,6.0
Colombo Kings,I Udana,lpl00001,2.0
Colombo Kings,Qais Ahmad,lpl00001,8.0
Colombo Kings,MS Gony,lpl00001,9.0
Colombo Kings,PVD Chameera,lpl00001,
Colombo Kings,MA Aponso,lpl00001,
Galle Gladiators,MD Gunathilaka,lpl00002,1.0
Galle Gladiators,CAK Walton,lpl00002,2.0
Galle Gladiators,Azam Khan,lpl00002,3.0
Galle Gladiators,PBB Rajapaksa,lpl00002,4.0
Galle Gladiators,TAM Siriwardana,lpl00002,5.0
Galle Gladiators,Shahid Afridi,lpl00002,6.0
Galle Gladiators,GSNFG Jayasuriya,lpl00002,7.0
Galle Gladiators,Mohammad Amir,lpl00002,8.0
Galle Gladiators,A Dananjaya,lpl00002,9.0
Galle Gladiators,M Shiraz,lpl00002,
Galle Gladiators,AM Fernando,lpl00002,
Jaffna Stallions,WIA Fernando,lpl00002,1.0
Jaffna Stallions,M Bhanuka,lpl00002,2.0
Jaffna Stallions,TJ Moores,lpl00002,3.0
Jaffna Stallions,Shoaib Malik,lpl00002,4.0
Jaffna Stallions,NLTC Perera,lpl00002,
