team_1,team_2,key
Kandy Tuskers,Colombo Kings,lpl00001
Galle Gladiators,Jaffna Stallions,lpl00002
Dambulla Viiking,Kandy Tuskers,lpl00003
Colombo Kings,Galle Gladiators,lpl00004
Jaffna Stallions,Dambulla Viiking,lpl00005
Kandy Tuskers,Galle Gladiators,lpl00006
Dambulla Viiking,Colombo Kings,lpl00007
Jaffna Stallions,Kandy Tuskers,lpl00008
Galle Gladiators,Jaffna Stallions,lpl00009
Kandy Tuskers,Dambulla Viiking,lpl00010
Jaffna Stallions,Colombo Kings,lpl00011
Dambulla Viiking,Galle Gladiators,lpl00012
Kandy Tuskers,Colombo Kings,lpl00013
Dambulla Viiking,Jaffna Stallions,lpl00014
Colombo Kings,Galle Gladiators,lpl00015
Jaffna Stallions,Kandy Tuskers,lpl00016
Galle Gladiators,Dambulla Viiking,lpl00017
Colombo Kings,Jaffna Stallions,lpl00018
Kandy Tuskers,Galle Gladiators,lpl00019
Dambulla Viiking,Colombo Kings,lpl00020
Colombo Kings,Galle Gladiators,lpl00021
Jaffna Stallions,Dambulla Viiking,lpl00022
Jaffna Stallions,Galle Gladiators,lpl00023
Galle Gladiators,Jaffna Kings,lpl00024
Dambulla Giants,Kandy Warriors,lpl00025
Galle Gladiators,Colombo Stars,lpl00026
Dambulla Giants,Jaffna Kings,lpl00027
Kandy Warriors,Galle Gladiators,lpl00028
Jaffna Kings,Kandy Warriors,lpl00029
Dambulla Giants,Colombo Stars,lpl00030
Dambulla Giants,Galle Gladiators,lpl00031
Jaffna Kings,Colombo Stars,lpl00032
Galle Gladiators,Kandy Warriors,lpl00033
Dambulla Giants,Colombo Stars,lpl00034
Kandy Warriors,Jaffna Kings,lpl00035
Colombo Stars,Galle Gladiators,lpl00036
Dambulla Giants,Jaffna Kings,lpl00037
Kandy Warriors,Colombo Stars,lpl00038
Galle Gladiators,Dambulla Giants,lpl00039
Jaffna Kings,Colombo Stars,lpl00040
Dambulla Giants,Kandy Warriors,lpl00041
Colombo Stars,Kandy Warriors,lpl00042
Galle Gladiators,Jaffna Kings,lpl00043
Galle Gladiators,Jaffna Kings,lpl00044
Colombo Stars,Dambulla Giants,lpl00045
Jaffna Kings,Dambulla Giants,lpl00046
Jaffna Kings,Galle Gladiators,lpl00047
Jaffna Kings,Galle Gladiators,lpl00048
Kandy Falcons,Colombo Stars,lpl00049
Dambulla Aura,Jaffna Kings,lpl00050
Galle Gladiators,Kandy Falcons,lpl00051
Colombo Stars,Dambulla Aura,lpl00052
Jaffna Kings,Kandy Falcons,lpl00053
Galle Gladiators,Colombo Stars,lpl00054
Jaffna Kings,Dambulla Aura,lpl00055
Galle Gladiators,Kandy Falcons,lpl00056
Jaffna Kings,Colombo Stars,lpl00057
Galle Gladiators,Colombo Stars,lpl00058
Kandy Falcons,Dambulla Aura,lpl00059
Dambulla Aura,Colombo Stars,lpl00060
Kandy Falcons,Jaffna Kings,lpl00061
Dambulla Aura,Galle Gladiators,lpl00062
Colombo Stars,Kandy Falcons,lpl00063
Jaffna Kings,Galle Gladiators,lpl00064
Kandy Falcons,Dambulla Aura,lpl00065
Colombo Stars,Jaffna Kings,lpl00066
Galle Gladiators,Dambulla Aura,lpl00067
Kandy Falcons,Jaffna Kings,lpl00068
Galle Gladiators,Colombo Stars,lpl00069
Kandy Falcons,Colombo Stars,lpl00070
Colombo Stars,Jaffna Kings,lpl00071
Jaffna Kings,Colombo Strikers,lpl00072
Galle Titans,Dambulla Aura,lpl00073
Colombo Strikers,B-Love Kandy,lpl00074
Galle Titans,B-Love Kandy,lpl00075
Jaffna Kings,Dambulla Aura,lpl00076
Dambulla Aura,B-Love Kandy,lpl00077
Galle Titans,Jaffna Kings,lpl00078
Dambulla Aura,Colombo Strikers,lpl00079
Jaffna Kings,B-Love Kandy,lpl00080
Galle Titans,Colombo Strikers,lpl00081
Dambulla Aura,Jaffna Kings,lpl00082
B-Love Kandy,Galle Titans,lpl00083
Colombo Strikers,Jaffna Kings,lpl00084
Galle Titans,Dambulla Aura,lpl00085
B-Love Kandy,Jaffna Kings,lpl00086
Dambulla Aura,Colombo Strikers,lpl00087
Jaffna Kings,Galle Titans,lpl00088
Colombo Strikers,B-Love Kandy,lpl00089
Dambulla Aura,B-Love Kandy,lpl00090
Colombo Strikers,Galle Titans,lpl00091
Galle Titans,Dambulla Aura,lpl00092
B-Love Kandy,Jaffna Kings,lpl00093
B-Love Kandy,Galle Titans,lpl00094
Dambulla Aura,B-Love Kandy,lpl00095
Dambulla Sixers,Kandy Falcons,lpl00096
Jaffna Kings,Galle Marvels,lpl00097
Colombo Strikers,Kandy Falcons,lpl00098
Dambulla Sixers,Jaffna Kings,lpl00099
Galle Marvels,Colombo Strikers,lpl00100
Galle Marvels,Jaffna Kings,lpl00101
Colombo Strikers,Kandy Falcons,lpl00102
Jaffna Kings,Dambulla Sixers,lpl00103
Colombo Strikers,Dambulla Sixers,lpl00104
Kandy Falcons,Galle Marvels,lpl00105
Jaffna Kings,Kandy Falcons,lpl00106
Dambulla Sixers,Galle Marvels,lpl00107
Colombo Strikers,Jaffna Kings,lpl00108
Kandy Falcons,Galle Marvels,lpl00109
Kandy Falcons,Jaffna Kings,lpl00110
Galle Marvels,Dambulla Sixers,lpl00111
Jaffna Kings,Colombo Strikers,lpl00112
Kandy Falcons,Dambulla Sixers,lpl00113
Galle Marvels,Colombo Strikers,lpl00114
Dambulla Sixers,Colombo Strikers,lpl00115
Jaffna Kings,Galle Marvels,lpl00116
Colombo Strikers,Kandy Falcons,lpl00117
Jaffna Kings,Kandy Falcons,lpl00118
Galle Marvels,Jaffna Kings,lpl00119
