decision,winner,key
field,Colombo Kings,lpl00001
bat,Galle Gladiators,lpl00002
field,Kandy Tuskers,lpl00003
field,Galle Gladiators,lpl00004
field,Dambulla Viiking,lpl00005
field,Galle Gladiators,lpl00006
bat,Dambulla Viiking,lpl00007
bat,Jaffna Stallions,lpl00008
bat,Galle Gladiators,lpl00009
bat,Kandy Tuskers,lpl00010
field,Colombo Kings,lpl00011
bat,Dambulla Viiking,lpl00012
bat,Kandy Tuskers,lpl00013
field,Jaffna Stallions,lpl00014
bat,Colombo Kings,lpl00015
bat,Jaffna Stallions,lpl00016
field,Dambulla Viiking,lpl00017
field,Jaffna Stallions,lpl00018
field,Galle Gladiators,lpl00019
field,Colombo Kings,lpl00020
field,Galle Gladiators,lpl00021
field,Dambulla Viiking,lpl00022
bat,Jaffna Stallions,lpl00023
field,Jaffna Kings,lpl00024
bat,Dambulla Giants,lpl00025
bat,Galle Gladiators,lpl00026
bat,Dambulla Giants,lpl00027
bat,Kandy Warriors,lpl00028
field,Kandy Warriors,lpl00029
bat,Dambulla Giants,lpl00030
bat,Dambulla Giants,lpl00031
field,Colombo Stars,lpl00032
bat,Galle Gladiators,lpl00033
bat,Dambulla Giants,lpl00034
field,Jaffna Kings,lpl00035
bat,Colombo Stars,lpl00036
field,Jaffna Kings,lpl00037
field,Colombo Stars,lpl00038
field,Dambulla Giants,lpl00039
bat,Jaffna Kings,lpl00040
bat,Dambulla Giants,lpl00041
field,Kandy Warriors,lpl00042
bat,Galle Gladiators,lpl00043
field,Jaffna Kings,lpl00044
bat,Colombo Stars,lpl00045
field,Dambulla Giants,lpl00046
bat,Jaffna Kings,lpl00047
field,Galle Gladiators,lpl00048
field,Colombo Stars,lpl00049
bat,Dambulla Aura,lpl00050
bat,Galle Gladiators,lpl00051
bat,Colombo Stars,lpl00052
field,Kandy Falcons,lpl00053
bat,Galle Gladiators,lpl00054
field,Dambulla Aura,lpl00055
bat,Galle Gladiators,lpl00056
field,Colombo Stars,lpl00057
field,Colombo Stars,lpl00058
bat,Kandy Falcons,lpl00059
field,Colombo Stars,lpl00060
bat,Kandy Falcons,lpl00061
bat,Dambulla Aura,lpl00062
bat,Colombo Stars,lpl00063
bat,Jaffna Kings,lpl00064
bat,Kandy Falcons,lpl00065
field,Jaffna Kings,lpl00066
bat,Galle Gladiators,lpl00067
bat,Kandy Falcons,lpl00068
field,Colombo Stars,lpl00069
field,Colombo Stars,lpl00070
field,Jaffna Kings,lpl00071
field,Colombo Strikers,lpl00072
field,Dambulla Aura,lpl00073
bat,Colombo Strikers,lpl00074
bat,Galle Titans,lpl00075
bat,Jaffna Kings,lpl00076
bat,Dambulla Aura,lpl00077
bat,Galle Titans,lpl00078
field,Colombo Strikers,lpl00079
field,B-Love Kandy,lpl00080
field,Colombo Strikers,lpl00081
field,Jaffna Kings,lpl00082
field,Galle Titans,lpl00083
bat,Colombo Strikers,lpl00084
field,Dambulla Aura,lpl00085
bat,B-Love Kandy,lpl00086
bat,Dambulla Aura,lpl00087
bat,Jaffna Kings,lpl00088
bat,Colombo Strikers,lpl00089
field,B-Love Kandy,lpl00090
field,Galle Titans,lpl00091
field,Dambulla Aura,lpl00092
field,Jaffna Kings,lpl00093
bat,B-Love Kandy,lpl00094
bat,Dambulla Aura,lpl00095
field,Kandy Falcons,lpl00096
bat,Jaffna Kings,lpl00097
field,Kandy Falcons,lpl00098
field,Jaffna Kings,lpl00099
field,Colombo Strikers,lpl00100
field,Jaffna Kings,lpl00101
field,Kandy Falcons,lpl00102
field,Dambulla Sixers,lpl00103
field,Dambulla Sixers,lpl00104
field,Galle Marvels,lpl00105
field,Kandy Falcons,lpl00106
field,Galle Marvels,lpl00107
field,Jaffna Kings,lpl00108
field,Galle Marvels,lpl00109
field,Jaffna Kings,lpl00110
field,Dambulla Sixers,lpl00111
field,Colombo Strikers,lpl00112
field,Dambulla Sixers,lpl00113
field,Colombo Strikers,lpl00114
field,Colombo Strikers,lpl00115
field,Galle Marvels,lpl00116
field,Kandy Falcons,lpl00117
field,Kandy Falcons,lpl00118
field,Jaffna Kings,lpl00119
