name,match_number,key,stage
Major League Cricket,1.0,mlc00001,nan
Major League Cricket,2.0,mlc00002,nan
Major League Cricket,3.0,mlc00003,nan
Major League Cricket,4.0,mlc00004,nan
Major League Cricket,5.0,mlc00005,nan
Major League Cricket,6.0,mlc00006,nan
Major League Cricket,7.0,mlc00007,nan
Major League Cricket,8.0,mlc00008,nan
Major League Cricket,9.0,mlc00009,nan
Major League Cricket,10.0,mlc00010,nan
Major League Cricket,11.0,mlc00011,nan
Major League Cricket,12.0,mlc00012,nan
Major League Cricket,13.0,mlc00013,nan
Major League Cricket,14.0,mlc00014,nan
Major League Cricket,15.0,mlc00015,nan
Major League Cricket,,mlc00016,Eliminator
Major League Cricket,,mlc00017,Qualifier 1
Major League Cricket,,mlc00018,Qualifier 2
Major League Cricket,,mlc00019,Final
Major League Cricket,2.0,mlc00020,nan
Major League Cricket,1.0,mlc00021,nan
Major League Cricket,3.0,mlc00022,nan
Major League Cricket,4.0,mlc00023,nan
Major League Cricket,5.0,mlc00024,nan
Major League Cricket,6.0,mlc00025,nan
Major League Cricket,7.0,mlc00026,nan
Major League Cricket,8.0,mlc00027,nan
Major League Cricket,11.0,mlc00028,nan
Major League Cricket,12.0,mlc00029,nan
Major League Cricket,13.0,mlc00030,nan
Major League Cricket,14.0,mlc00031,nan
Major League Cricket,15.0,mlc00032,nan
Major League Cricket,16.0,mlc00033,nan
Major League Cricket,17.0,mlc00034,nan
Major League Cricket,18.0,mlc00035,nan
Major League Cricket,19.0,mlc00036,nan
Major League Cricket,20.0,mlc00037,nan
Major League Cricket,21.0,mlc00038,nan
Major League Cricket,,mlc00039,Eliminator
Major League Cricket,,mlc00040,Qualifier
Major League Cricket,,mlc00041,Challenger
Major League Cricket,,mlc00042,Final
