balls_per_over,city,date,gender,match_type,overs,player_of_match,season,team_type,venue,key
6,Grand Prairie,2023-07-13,male,T20,20,DA Miller,2023,club,Grand Prairie Stadium,mlc00001
6,Dallas,2023-07-14,male,T20,20,CJ Anderson,2023,club,Grand Prairie Stadium,mlc00002
6,Dallas,2023-07-14,male,T20,20,Imad Wasim,2023,club,Grand Prairie Stadium,mlc00003
6,Dallas,2023-07-15,male,T20,20,H Klaasen,2023,club,Grand Prairie Stadium,mlc00004
6,Dallas,2023-07-16,male,T20,20,MW Short,2023,club,Grand Prairie Stadium,mlc00005
6,Dallas,2023-07-16,male,T20,20,TH David,2023,club,Grand Prairie Stadium,mlc00006
6,Dallas,2023-07-17,male,T20,20,DP Conway,2023,club,Grand Prairie Stadium,mlc00007
6,Dallas,2023-07-18,male,T20,20,MS Wade,2023,club,Grand Prairie Stadium,mlc00008
6,Morrisville,2023-07-20,male,T20,20,AD Russell,2023,club,"Church Street Park, Morrisville",mlc00009
6,Morrisville,2023-07-21,male,T20,20,WD Parnell,2023,club,"Church Street Park, Morrisville",mlc00010
6,Morrisville,2023-07-22,male,T20,20,SN Netravalkar,2023,club,"Church Street Park, Morrisville",mlc00011
6,Morrisville,2023-07-23,male,T20,20,RR Rossouw,2023,club,"Church Street Park, Morrisville",mlc00012
6,Morrisville,2023-07-23,male,T20,20,N Pooran,2023,club,"Church Street Park, Morrisville",mlc00013
6,Morrisville,2023-07-24,male,T20,20,DR Sams,2023,club,"Church Street Park, Morrisville",mlc00014
6,Morrisville,2023-07-25,male,T20,20,H Klaasen,2023,club,"Church Street Park, Morrisville",mlc00015
6,Dallas,2023-07-27,male,T20,20,D Brevis,2023,club,Grand Prairie Stadium,mlc00016
6,Dallas,2023-07-27,male,T20,20,Q de Kock,2023,club,Grand Prairie Stadium,mlc00017
6,Dallas,2023-07-28,male,T20,20,TA Boult,2023,club,Grand Prairie Stadium,mlc00018
6,Dallas,2023-07-30,male,T20,20,N Pooran,2023,club,Grand Prairie Stadium,mlc00019
6,Dallas,2024-07-05,male,T20,20,Ali Khan,2024,club,"Grand Prairie Stadium, Dallas",mlc00020
6,Morrisville,2024-07-05,male,T20,20,N Pooran,2024,club,"Church Street Park, Morrisville",mlc00021
6,Morrisville,2024-07-06,male,T20,20,SN Netravalkar,2024,club,"Church Street Park, Morrisville",mlc00022
6,Dallas,2024-07-07,male,T20,20,FH Allen,2024,club,"Grand Prairie Stadium, Dallas",mlc00023
6,Morrisville,2024-07-08,male,T20,20,,2024,club,"Church Street Park, Morrisville",mlc00024
6,Dallas,2024-07-09,male,T20,20,RD Rickelton,2024,club,"Grand Prairie Stadium, Dallas",mlc00025
6,Morrisville,2024-07-10,male,T20,20,Mohammad Mohsin,2024,club,"Church Street Park, Morrisville",mlc00026
6,Dallas,2024-07-11,male,T20,20,LH Ferguson,2024,club,"Grand Prairie Stadium, Dallas",mlc00027
6,Morrisville,2024-07-14,male,T20,20,GJ Maxwell,2024,club,"Church Street Park, Morrisville",mlc00028
6,Dallas,2024-07-14,male,T20,20,Rashid Khan,2024,club,"Grand Prairie Stadium, Dallas",mlc00029
6,Morrisville,2024-07-15,male,T20,20,LE Plunkett,2024,club,"Church Street Park, Morrisville",mlc00030
6,Dallas,2024-07-16,male,T20,20,Jasdeep Singh,2024,club,"Grand Prairie Stadium, Dallas",mlc00031
6,Morrisville,2024-07-17,male,T20,20,RD Rickelton,2024,club,"Church Street Park, Morrisville",mlc00032
6,Dallas,2024-07-18,male,T20,20,CJ Anderson,2024,club,"Grand Prairie Stadium, Dallas",mlc00033
6,Dallas,2024-07-19,male,T20,20,Jasdeep Singh,2024,club,"Grand Prairie Stadium, Dallas",mlc00034
6,Dallas,2024-07-20,male,T20,20,FH Allen,2024,club,"Grand Prairie Stadium, Dallas",mlc00035
6,Dallas,2024-07-21,male,T20,20,Rashid Khan,2024,club,"Grand Prairie Stadium, Dallas",mlc00036
6,Dallas,2024-07-22,male,T20,20,SP Krishnamurthi,2024,club,"Grand Prairie Stadium, Dallas",mlc00037
6,Dallas,2024-07-23,male,T20,20,CP Savage,2024,club,"Grand Prairie Stadium, Dallas",mlc00038
6,Dallas,2024-07-24,male,T20,20,F du Plessis,2024,club,"Grand Prairie Stadium, Dallas",mlc00039
6,Dallas,2024-07-25,male,T20,20,TM Head,2024,club,"Grand Prairie Stadium, Dallas",mlc00040
6,Dallas,2024-07-26,male,T20,20,FH Allen,2024,club,"Grand Prairie Stadium, Dallas",mlc00041
6,Dallas,2024-07-28,male,T20,20,SPD Smith,2024,club,"Grand Prairie Stadium, Dallas",mlc00042
