batter,bowler,non_striker,runs_batter,runs_extras,runs_total,over,delivery_no,batting_team,inning_no,wickets_kind,wickets_player_out,review_by,review_umpire,review_batter,review_decision,review_type,bowling_team,key,review_umpires_call,replacements_role,runs_non_boundary,extras_type
DP Conway,Ali Khan,F du Plessis,0,0,0,0,1,Texas Super Kings,1,,,,,,,,Los Angeles Knight Riders,mlc00001,,,,
DP Conway,Ali Khan,F du Plessis,0,0,0,0,2,Texas Super Kings,1,,,,,,,,Los Angeles Knight Riders,mlc00001,,,,
DP Conway,Ali Khan,F du Plessis,4,0,4,0,3,Texas Super Kings,1,,,,,,,,Los Angeles Knight Riders,mlc00001,,,,
DP Conway,Ali Khan,F du Plessis,4,0,4,0,4,Texas Super Kings,1,,,,,,,,Los Angeles Knight Riders,mlc00001,,,,
DP Conway,Ali Khan,F du Plessis,0,0,0,0,5,Texas Super Kings,1,,,,,,,,Los Angeles Knight Riders,mlc00001,,,,
DP Conway,Ali Khan,F du Plessis,4,0,4,0,6,Texas Super Kings,1,,,,,,,,Los Angeles Knight Riders,mlc00001,,,,
F du Plessis,LH Ferguson,DP Conway,0,0,0,1,1,Texas Super Kings,1,caught,F du Plessis,,,,,,Los Angeles Knight Riders,mlc00001,,,,
BKEL Milantha,LH Ferguson,DP Conway,0,0,0,1,2,Texas Super Kings,1,,,,,,,,Los Angeles Knight Riders,mlc00001,,,,
BKEL Milantha,LH Ferguson,DP Conway,0,0,0,1,3,Texas Super Kings,1,,,,,,,,Los Angeles Knight Riders,mlc00001,,,,
BKEL Milantha,LH Ferguson,DP Conway,0,0,0,1,4,Texas Super Kings,1,,,,,,,,Los Angeles Knight Riders,mlc00001,,,,
BKEL Milantha,LH Ferguson,DP Conway,1,0,1,1,5,Texas Super Kings,1,,,,,,,,Los Angeles Knight Riders,mlc00001,,,,
DP Conway,LH Ferguson,BKEL Milantha,0,0,0,1,6,Texas Super Kings,1,,,,,,,,Los Angeles Knight Riders,mlc00001,,,,
BKEL Milantha,AD Russell,DP Conway,3,0,3,2,1,Texas Super Kings,1,,,,,,,,Los Angeles Knight Riders,mlc00001,,,,
DP Conway,AD Russell,BKEL Milantha,0,0,0,2,2,Texas Super Kings,1,,,,,,,,Los Angeles Knight Riders,mlc00001,,,,
DP Conway,AD Russell,BKEL Milantha,4,0,4,2,3,Texas Super Kings,1,,,,,,,,Los Angeles Knight Riders,mlc00001,,,,
DP Conway,AD Russell,BKEL Milantha,2,0,2,2,4,Texas Super Kings,1,,,,,,,,Los Angeles Knight Riders,mlc00001,,,,
DP Conway,AD Russell,BKEL Milantha,0,0,0,2,5,Texas Super Kings,1,,,,,,,,Los Angeles Knight Riders,mlc00001,,,,
DP Conway,AD Russell,BKEL Milantha,0,1,1,2,5,Texas Super Kings,1,,,,,,,,Los Angeles Knight Riders,mlc00001,,,,wides
DP Conway,AD Russell,BKEL Milantha,0,0,0,2,6,Texas Super Kings,1,,,,,,,,Los Angeles Knight Riders,mlc00001,,,,
BKEL Milantha,LH Ferguson,DP Conway,1,0,1,3,1,Texas Super Kings,1,,,,,,,,Los Angeles Knight Riders,mlc00001,,,,
DP Conway,LH Ferguson,BKEL Milantha,1,0,1,3,2,Texas Super Kings,1,,,,,,,,Los Angeles Knight Riders,mlc00001,,,,
BKEL Milantha,LH Ferguson,DP Conway,1,0,1,3,3,Texas Super Kings,1,,,,,,,,Los Angeles Knight Riders,mlc00001,,,,
DP Conway,LH Ferguson,BKEL Milantha,2,0,2,3,4,Texas Super Kings,1,,,,,,,,Los Angeles Knight Riders,mlc00001,,,,
DP Conway,LH Ferguson,BKEL Milantha,0,0,0,3,5,Texas Super Kings,1,,,,,,,,Los Angeles Knight Riders,mlc00001,,,,
DP Conway,LH Ferguson,BKEL Milantha,0,0,0,3,6,Texas Super Kings,1,,,,,,,,Los Angeles Knight Riders,mlc00001,,,,
BKEL Milantha,AD Russell,DP Conway,0,0,0,4,1,Texas Super Kings,1,,,,,,,,Los Angeles Knight Riders,mlc00001,,,,
BKEL Milantha,AD Russell,DP Conway,6,0,6,4,2,Texas Super Kings,1,,,,,,,,Los Angeles Knight Riders,mlc00001,,,,
BKEL Milantha,AD Russell,DP Conway,0,0,0,4,3,Texas Super Kings,1,,,,,,,,Los Angeles Knight Riders,mlc00001,,,,
BKEL Milantha,AD Russell,DP Conway,4,0,4,4,4,Texas Super Kings,1,,,,,,,,Los Angeles Knight Riders,mlc00001,,,,
BKEL Milantha,AD Russell,DP Conway,1,0,1,4,5,Texas Super Kings,1,,,,,,,,Los Angeles Knight Riders,mlc00001,,,,
DP Conway,AD Russell,BKEL Milantha,4,0,4,4,6,Texas Super Kings,1,,,,,,,,Los Angeles Knight Riders,mlc00001,,,,
BKEL Milantha,Ali Khan,DP Conway,0,0,0,5,1,Texas Super Kings,1,,,,,,,,Los Angeles Knight Riders,mlc00001,,,,
BKEL Milantha,Ali Khan,DP Conway,0,0,0,5,2,Texas Super Kings,1,caught,BKEL Milantha,,,,,,Los Angeles Knight Riders,mlc00001,,,,
DA Miller,Ali Khan,DP Conway,0,0,0,5,3,Texas Super Kings,1,,,,,,,,Los Angeles Knight Riders,mlc00001,,,,
DA Miller,Ali Khan,DP Conway,0,0,0,5,4,Texas Super Kings,1,,,,,,,,Los Angeles Knight Riders,mlc00001,,,,
DA Miller,Ali Khan,DP Conway,0,0,0,5,5,Texas Super Kings,1,,,,,,,,Los Angeles Knight Riders,mlc00001,,,,
DA Miller,Ali Khan,DP Conway,2,0,2,5,6,Texas Super Kings,1,,,,,,,,Los Angeles Knight Riders,mlc00001,,,,
DP Conway,CA Dry,DA Miller,4,0,4,6,1,Texas Super Kings,1,,,,,,,,Los Angeles Knight Riders,mlc00001,,,,
DP Conway,CA Dry,DA Miller,0,0,0,6,2,Texas Super Kings,1,,,,,,,,Los Angeles Knight Riders,mlc00001,,,,
DP Conway,CA Dry,DA Miller,4,0,4,6,3,Texas Super Kings,1,,,,,,,,Los Angeles Knight Riders,mlc00001,,,,
DP Conway,CA Dry,DA Miller,1,0,1,6,4,Texas Super Kings,1,,,,,,,,Los Angeles Knight Riders,mlc00001,,,,
DA Miller,CA Dry,DP Conway,0,0,0,6,5,Texas Super Kings,1,,,,,,,,Los Angeles Knight Riders,mlc00001,,,,
DA Miller,CA Dry,DP Conway,2,0,2,6,6,Texas Super Kings,1,,,,,,,,Los Angeles Knight Riders,mlc00001,,,,
DP Conway,SP Narine,DA Miller,1,0,1,7,1,Texas Super Kings,1,,,,,,,,Los Angeles Knight Riders,mlc00001,,,,
DA Miller,SP Narine,DP Conway,1,0,1,7,2,Texas Super Kings,1,,,,,,,,Los Angeles Knight Riders,mlc00001,,,,
DP Conway,SP Narine,DA Miller,0,0,0,7,3,Texas Super Kings,1,,,,,,,,Los Angeles Knight Riders,mlc00001,,,,
DP Conway,SP Narine,DA Miller,1,0,1,7,4,Texas Super Kings,1,,,,,,,,Los Angeles Knight Riders,mlc00001,,,,
DA Miller,SP Narine,DP Conway,0,0,0,7,5,Texas Super Kings,1,,,,,,,,Los Angeles Knight Riders,mlc00001,,,,
DA Miller,SP Narine,DP Conway,1,0,1,7,6,Texas Super Kings,1,,,,,,,,Los Angeles Knight Riders,mlc00001,,,,
DA Miller,CA Dry,DP Conway,4,0,4,8,1,Texas Super Kings,1,,,,,,,,Los Angeles Knight Riders,mlc00001,,,,
DA Miller,CA Dry,DP Conway,1,0,1,8,2,Texas Super Kings,1,,,,,,,,Los Angeles Knight Riders,mlc00001,,,,
DP Conway,CA Dry,DA Miller,1,0,1,8,3,Texas Super Kings,1,,,,,,,,Los Angeles Knight Riders,mlc00001,,,,
DA Miller,CA Dry,DP Conway,0,0,0,8,4,Texas Super Kings,1,,,,,,,,Los Angeles Knight Riders,mlc00001,,,,
DA Miller,CA Dry,DP Conway,4,0,4,8,5,Texas Super Kings,1,,,,,,,,Los Angeles Knight Riders,mlc00001,,,,
DA Miller,CA Dry,DP Conway,1,0,1,8,6,Texas Super Kings,1,,,,,,,,Los Angeles Knight Riders,mlc00001,,,,
DA Miller,A Zampa,DP Conway,0,0,0,9,1,Texas Super Kings,1,,,,,,,,Los Angeles Knight Riders,mlc00001,,,,
DA Miller,A Zampa,DP Conway,1,0,1,9,2,Texas Super Kings,1,,,,,,,,Los Angeles Knight Riders,mlc00001,,,,
DP Conway,A Zampa,DA Miller,1,0,1,9,3,Texas Super Kings,1,,,,,,,,Los Angeles Knight Riders,mlc00001,,,,
DA Miller,A Zampa,DP Conway,6,0,6,9,4,Texas Super Kings,1,,,,,,,,Los Angeles Knight Riders,mlc00001,,,,
DA Miller,A Zampa,DP Conway,2,0,2,9,5,Texas Super Kings,1,,,,,,,,Los Angeles Knight Riders,mlc00001,,,,
DA Miller,A Zampa,DP Conway,2,0,2,9,6,Texas Super Kings,1,,,,,,,,Los Angeles Knight Riders,mlc00001,,,,
DP Conway,Ali Khan,DA Miller,2,0,2,10,1,Texas Super Kings,1,,,,,,,,Los Angeles Knight Riders,mlc00001,,,,
DP Conway,Ali Khan,DA Miller,1,0,1,10,2,Texas Super Kings,1,,,,,,,,Los Angeles Knight Riders,mlc00001,,,,
DA Miller,Ali Khan,DP Conway,0,0,0,10,3,Texas Super Kings,1,,,,,,,,Los Angeles Knight Riders,mlc00001,,,,
DA Miller,Ali Khan,DP Conway,6,0,6,10,4,Texas Super Kings,1,,,,,,,,Los Angeles Knight Riders,mlc00001,,,,
DA Miller,Ali Khan,DP Conway,1,0,1,10,5,Texas Super Kings,1,,,,,,,,Los Angeles Knight Riders,mlc00001,,,,
DP Conway,Ali Khan,DA Miller,1,0,1,10,6,Texas Super Kings,1,,,,,,,,Los Angeles Knight Riders,mlc00001,,,,
DP Conway,SP Narine,DA Miller,1,0,1,11,1,Texas Super Kings,1,,,,,,,,Los Angeles Knight Riders,mlc00001,,,,
DA Miller,SP Narine,DP Conway,0,1,1,11,1,Texas Super Kings,1,,,,,,,,Los Angeles Knight Riders,mlc00001,,,,wides
DA Miller,SP Narine,DP Conway,1,0,1,11,2,Texas Super Kings,1,,,,,,,,Los Angeles Knight Riders,mlc00001,,,,
DP Conway,SP Narine,DA Miller,0,0,0,11,3,Texas Super Kings,1,,,,,,,,Los Angeles Knight Riders,mlc00001,,,,
DP Conway,SP Narine,DA Miller,2,0,2,11,4,Texas Super Kings,1,,,,,,,,Los Angeles Knight Riders,mlc00001,,,,
DP Conway,SP Narine,DA Miller,1,0,1,11,5,Texas Super Kings,1,,,,,,,,Los Angeles Knight Riders,mlc00001,,,,
DA Miller,SP Narine,DP Conway,1,0,1,11,6,Texas Super Kings,1,,,,,,,,Los Angeles Knight Riders,mlc00001,,,,
DA Miller,AD Russell,DP Conway,0,1,1,12,1,Texas Super Kings,1,,,,,,,,Los Angeles Knight Riders,mlc00001,,,,wides
DA Miller,AD Russell,DP Conway,0,0,0,12,1,Texas Super Kings,1,,,,,,,,Los Angeles Knight Riders,mlc00001,,,,
DA Miller,AD Russell,DP Conway,6,0,6,12,2,Texas Super Kings,1,,,,,,,,Los Angeles Knight Riders,mlc00001,,,,
DA Miller,AD Russell,DP Conway,1,0,1,12,3,Texas Super Kings,1,,,,,,,,Los Angeles Knight Riders,mlc00001,,,,
DP Conway,AD Russell,DA Miller,1,0,1,12,4,Texas Super Kings,1,,,,,,,,Los Angeles Knight Riders,mlc00001,,,,
DA Miller,AD Russell,DP Conway,1,0,1,12,5,Texas Super Kings,1,,,,,,,,Los Angeles Knight Riders,mlc00001,,,,
DP Conway,AD Russell,DA Miller,2,0,2,12,6,Texas Super Kings,1,,,,,,,,Los Angeles Knight Riders,mlc00001,,,,
DA Miller,A Zampa,DP Conway,1,0,1,13,1,Texas Super Kings,1,,,,,,,,Los Angeles Knight Riders,mlc00001,,,,
DP Conway,A Zampa,DA Miller,6,0,6,13,2,Texas Super Kings,1,,,,,,,,Los Angeles Knight Riders,mlc00001,,,,
DP Conway,A Zampa,DA Miller,0,0,0,13,3,Texas Super Kings,1,caught,DP Conway,,,,,,Los Angeles Knight Riders,mlc00001,,,,
Milind Kumar,A Zampa,DA Miller,1,0,1,13,4,Texas Super Kings,1,,,,,,,,Los Angeles Knight Riders,mlc00001,,,,
DA Miller,A Zampa,Milind Kumar,2,0,2,13,5,Texas Super Kings,1,,,,,,,,Los Angeles Knight Riders,mlc00001,,,,
DA Miller,A Zampa,Milind Kumar,1,0,1,13,6,Texas Super Kings,1,,,,,,,,Los Angeles Knight Riders,mlc00001,,,,
DA Miller,SP Narine,Milind Kumar,0,0,0,14,1,Texas Super Kings,1,,,,,,,,Los Angeles Knight Riders,mlc00001,,,,
DA Miller,SP Narine,Milind Kumar,1,0,1,14,2,Texas Super Kings,1,,,,,,,,Los Angeles Knight Riders,mlc00001,,,,
Milind Kumar,SP Narine,DA Miller,1,0,1,14,3,Texas Super Kings,1,,,,,,,,Los Angeles Knight Riders,mlc00001,,,,
DA Miller,SP Narine,Milind Kumar,1,0,1,14,4,Texas Super Kings,1,,,,,,,,Los Angeles Knight Riders,mlc00001,,,,
Milind Kumar,SP Narine,DA Miller,0,0,0,14,5,Texas Super Kings,1,lbw,Milind Kumar,,,,,,Los Angeles Knight Riders,mlc00001,,,,
MJ Santner,SP Narine,DA Miller,0,0,0,14,6,Texas Super Kings,1,,,,,,,,Los Angeles Knight Riders,mlc00001,,,,
DA Miller,A Zampa,MJ Santner,1,0,1,15,1,Texas Super Kings,1,,,,,,,,Los Angeles Knight Riders,mlc00001,,,,
MJ Santner,A Zampa,DA Miller,1,0,1,15,2,Texas Super Kings,1,,,,,,,,Los Angeles Knight Riders,mlc00001,,,,
DA Miller,A Zampa,MJ Santner,1,0,1,15,3,Texas Super Kings,1,,,,,,,,Los Angeles Knight Riders,mlc00001,,,,
MJ Santner,A Zampa,DA Miller,1,0,1,15,4,Texas Super Kings,1,,,,,,,,Los Angeles Knight Riders,mlc00001,,,,
DA Miller,A Zampa,MJ Santner,1,0,1,15,5,Texas Super Kings,1,,,,,,,,Los Angeles Knight Riders,mlc00001,,,,
MJ Santner,A Zampa,DA Miller,1,0,1,15,6,Texas Super Kings,1,,,,,,,,Los Angeles Knight Riders,mlc00001,,,,
MJ Santner,SP Narine,DA Miller,0,0,0,16,1,Texas Super Kings,1,,,,,,,,Los Angeles Knight Riders,mlc00001,,,,
MJ Santner,SP Narine,DA Miller,1,0,1,16,2,Texas Super Kings,1,,,,,,,,Los Angeles Knight Riders,mlc00001,,,,
DA Miller,SP Narine,MJ Santner,6,0,6,16,3,Texas Super Kings,1,,,,,,,,Los Angeles Knight Riders,mlc00001,,,,
DA Miller,SP Narine,MJ Santner,1,0,1,16,4,Texas Super Kings,1,,,,,,,,Los Angeles Knight Riders,mlc00001,,,,
MJ Santner,SP Narine,DA Miller,6,0,6,16,5,Texas Super Kings,1,,,,,,,,Los Angeles Knight Riders,mlc00001,,,,
MJ Santner,SP Narine,DA Miller,1,0,1,16,6,Texas Super Kings,1,,,,,,,,Los Angeles Knight Riders,mlc00001,,,,
MJ Santner,LH Ferguson,DA Miller,0,0,0,17,1,Texas Super Kings,1,,,,,,,,Los Angeles Knight Riders,mlc00001,,,,
MJ Santner,LH Ferguson,DA Miller,1,0,1,17,2,Texas Super Kings,1,,,,,,,,Los Angeles Knight Riders,mlc00001,,,,
DA Miller,LH Ferguson,MJ Santner,1,0,1,17,3,Texas Super Kings,1,,,,,,,,Los Angeles Knight Riders,mlc00001,,,,
MJ Santner,LH Ferguson,DA Miller,1,0,1,17,4,Texas Super Kings,1,,,,,,,,Los Angeles Knight Riders,mlc00001,,,,
DA Miller,LH Ferguson,MJ Santner,0,0,0,17,5,Texas Super Kings,1,,,,,,,,Los Angeles Knight Riders,mlc00001,,,,
DA Miller,LH Ferguson,MJ Santner,0,0,0,17,6,Texas Super Kings,1,caught,DA Miller,,,,,,Los Angeles Knight Riders,mlc00001,,,,
MJ Santner,Ali Khan,DJ Bravo,6,0,6,18,1,Texas Super Kings,1,,,,,,,,Los Angeles Knight Riders,mlc00001,,,,
MJ Santner,Ali Khan,DJ Bravo,2,0,2,18,2,Texas Super Kings,1,,,,,,,,Los Angeles Knight Riders,mlc00001,,,,
