winner,by.runs,key,by.wickets,method,result
Texas Super Kings,69.0,mlc00001,,,
San Francisco Unicorns,22.0,mlc00002,,,
Seattle Orcas,,mlc00003,5.0,,
Seattle Orcas,35.0,mlc00004,,,
Washington Freedom,6.0,mlc00005,,,
MI New York,105.0,mlc00006,,,
Texas Super Kings,17.0,mlc00007,,,
San Francisco Unicorns,21.0,mlc00008,,,
Washington Freedom,,mlc00009,6.0,,
Seattle Orcas,,mlc00010,8.0,,
Washington Freedom,30.0,mlc00011,,,
Los Angeles Knight Riders,,mlc00012,2.0,,
MI New York,,mlc00013,8.0,,
Texas Super Kings,,mlc00014,3.0,,
Seattle Orcas,,mlc00015,2.0,,
MI New York,16.0,mlc00016,,,
Seattle Orcas,,mlc00017,9.0,,
MI New York,,mlc00018,6.0,,
MI New York,,mlc00019,7.0,,
Los Angeles Knight Riders,12.0,mlc00020,,,
MI New York,,mlc00021,6.0,,
Washington Freedom,4.0,mlc00022,,D/L,
San Francisco Unicorns,,mlc00023,6.0,,
,,mlc00024,,,no result
Seattle Orcas,,mlc00025,9.0,,
Texas Super Kings,,mlc00026,7.0,,
Washington Freedom,,mlc00027,5.0,,
Washington Freedom,,mlc00028,8.0,,
Texas Super Kings,15.0,mlc00029,,,
San Francisco Unicorns,23.0,mlc00030,,,
Washington Freedom,94.0,mlc00031,,,
Los Angeles Knight Riders,,mlc00032,4.0,,
San Francisco Unicorns,3.0,mlc00033,,,
Washington Freedom,42.0,mlc00034,,,
San Francisco Unicorns,,mlc00035,6.0,,
MI New York,,mlc00036,4.0,,
San Francisco Unicorns,,mlc00037,6.0,D/L,
Texas Super Kings,37.0,mlc00038,,,
Texas Super Kings,,mlc00039,9.0,,
Washington Freedom,,mlc00040,7.0,,
San Francisco Unicorns,10.0,mlc00041,,,
Washington Freedom,96.0,mlc00042,,,
