team,name,key,batting_position
Texas Super Kings,DP Conway,mlc00001,1.0
Texas Super Kings,F du Plessis,mlc00001,2.0
Texas Super Kings,BKEL Milantha,mlc00001,3.0
Texas Super Kings,DA Miller,mlc00001,4.0
Texas Super Kings,Milind Kumar,mlc00001,5.0
Texas Super Kings,MJ Santner,mlc00001,6.0
Texas Super Kings,DJ Bravo,mlc00001,7.0
Texas Super Kings,CP Savage,mlc00001,8.0
Texas Super Kings,G Coetzee,mlc00001,
Texas Super Kings,Mohammad Mohsin,mlc00001,
Texas Super Kings,J Theron,mlc00001,
Los Angeles Knight Riders,MJ Guptill,mlc00001,1.0
Los Angeles Knight Riders,UBT Chand,mlc00001,2.0
Los Angeles Knight Riders,RR Rossouw,mlc00001,3.0
Los Angeles Knight Riders,NR Kumar,mlc00001,4.0
Los Angeles Knight Riders,JS Malhotra,mlc00001,5.0
Los Angeles Knight Riders,AD Russell,mlc00001,6.0
Los Angeles Knight Riders,SP Narine,mlc00001,7.0
Los Angeles Knight Riders,CA Dry,mlc00001,8.0
Los Angeles Knight Riders,A Zampa,mlc00001,9.0
Los Angeles Knight Riders,LH Ferguson,mlc00001,10.0
Los Angeles Knight Riders,Ali Khan,mlc00001,11.0
San Francisco Unicorns,FH Allen,mlc00002,1.0
San Francisco Unicorns,MS Wade,mlc00002,2.0
San Francisco Unicorns,MP Stoinis,mlc00002,3.0
San Francisco Unicorns,AJ Finch,mlc00002,4.0
San Francisco Unicorns,CJ Anderson,mlc00002,5.0
San Francisco Unicorns,Shadab Khan,mlc00002,6.0
San Francisco Unicorns,Tajinder Singh,mlc00002,7.0
San Francisco Unicorns,Chaitanya Bishnoi,mlc00002,
San Francisco Unicorns,C le Roux,mlc00002,
San Francisco Unicorns,Haris Rauf,mlc00002,
San Francisco Unicorns,LE Plunkett,mlc00002,
MI New York,D Brevis,mlc00002,1.0
MI New York,SR Taylor,mlc00002,2.0
MI New York,MD Patel,mlc00002,3.0
MI New York,N Pooran,mlc00002,4.0
MI New York,KA Pollard,mlc00002,5.0
MI New York,TH David,mlc00002,6.0
MI New York,Hammad Azam,mlc00002,7.0
MI New York,S Ladda,mlc00002,
MI New York,Ehsan Adil,mlc00002,
MI New York,K Rabada,mlc00002,
MI New York,TA Boult,mlc00002,
Washington Freedom,MW Short,mlc00003,1.0
Washington Freedom,AGS Gous,mlc00003,2.0
Washington Freedom,Mukhtar Ahmed,mlc00003,3.0
Washington Freedom,GD Phillips,mlc00003,4.0
Washington Freedom,MC Henriques,mlc00003,5.0
Washington Freedom,AJ Pienaar,mlc00003,6.0
Washington Freedom,M Jansen,mlc00003,7.0
Washington Freedom,AJ Hosein,mlc00003,8.0
Washington Freedom,DL Piedt,mlc00003,9.0
Washington Freedom,A Nortje,mlc00003,
Washington Freedom,SN Netravalkar,mlc00003,
Seattle Orcas,Q de Kock,mlc00003,1.0
Seattle Orcas,Nauman Anwar,mlc00003,2.0
Seattle Orcas,GSNFG Jayasuriya,mlc00003,3.0
Seattle Orcas,H Klaasen,mlc00003,4.0
Seattle Orcas,Imad Wasim,mlc00003,5.0
Seattle Orcas,SO Hetmyer,mlc00003,6.0
Seattle Orcas,Shubham Ranjane,mlc00003,7.0
Seattle Orcas,CJ Gannon,mlc00003,
Seattle Orcas,WD Parnell,mlc00003,
Seattle Orcas,Harmeet Singh,mlc00003,
Seattle Orcas,AJ Tye,mlc00003,
Seattle Orcas,Q de Kock,mlc00004,1.0
Seattle Orcas,Nauman Anwar,mlc00004,2.0
Seattle Orcas,GSNFG Jayasuriya,mlc00004,3.0
