name,registry_key
A Desai,9c1b1f4b
A Gajjar,37db06ef
A Nortje,acdc62f5
A Zampa,14f96089
AD Russell,bbd41817
AGS Gous,d1305df0
AJ Finch,b8d490fd
AJ Hosein,4d7f517e
AJ Pienaar,647a48da
AJ Tye,7c7d63a2
AM Hardie,d405c0d5
Aaron Jones,17aa4f1d
Abrar Ahmed,abb7c76c
Aleem Dar,f02778d1
Ali Khan,b0eaaac6
Ali Sheikh,fa4f5a0b
BKEL Milantha,dcabd6bc
BL Couch,be69e09d
BV Taylor,99760152
C Chetty,27ca3a11
C Edwards,a072f223
C le Roux,7a490dec
CA Dry,7bc29ffb
CAH Stevenson,7239b60d
CJ Anderson,8abdf100
CJ Gannon,519c30cb
CP Savage,a55e0360
Chaitanya Bishnoi,e793a8ed
D Brevis,844e79d1
D Pretorius,11614d87
D Wiese,aa8d28ae
DA Miller,d67d5f00
DJ Bravo,87e562a9
DL Piedt,537f5ab2
DP Conway,df5a6881
DR Sams,caf69bf7
DYA Davis,74b02e0c
Ehsan Adil,210b05cb
F du Plessis,3355b542
FH Allen,bf74b130
G Coetzee,3204c99f
G Singh,e93b6c95
GD Phillips,9a46c4e5
GJ Maxwell,b681e71e
GO Brathwaite,1ace56d4
GSNFG Jayasuriya,b58b7db6
H Klaasen,235c2bb6
H Richards,a0095f0e
HR Walsh,1ac2a995
Hammad Azam,57bd3ecc
Haris Rauf,24bb1c2f
Harmeet Singh,0bf15e52
Hassan Khan,486065b3
IG Holland,4167f30b
Imad Wasim,9cb8d7a6
J Drysdale,23f94c02
J Edwards,f787e0eb
J Fraser-McGurk,9b6e1b3f
J Little,9061a703
J Theron,dec8e038
J Tromp,fb501329
JG Dill,642e8af0
JJ Crowe,2e760301
JJ Roy,d1c36f5c
JP Inglis,989889ff
JS Malhotra,9633359f
Jasdeep Singh,5ec41cd7
Jermaine Lindo,1154bf4f
K Gore,a6bab2a9
K Rabada,e62dd25d
KA Pollard,a757b0d8
KMA Paul,75224f22
L Ngidi,f834dcfc
LE Plunkett,9a963804
LH Ferguson,2f9d0389
M Erasmus,15d3c895
M Jansen,81c36ee9
MA Aponso,e2ee90d9
MC Henriques,32198ae0
MD Patel,25d7f1ac
MD Shanaka,3ff033bb
MG Bracewell,e38bce7a
MJ Guptill,2be41edb
MJ Henry,e84ac20c
MJ Santner,e4a0deae
MP Stoinis,d9273ee7
MS Wade,afa7e784
MW Short,a90e53ec
Milind Kumar,b4296080
Mohammad Mohsin,79f8472d
Mukhtar Ahmed,456f6d99
N Burger,465aa633
N Pooran,3241e3fd
NP Kenjige,f7d267f7
NR Kumar,b3bad3f2
Nauman Anwar,d0540390
Naveen-ul-Haq,c0c411cb
Noor Ahmad,efc04be7
O Brown,22fe51d7
OEG Baartman,6b9eb501
P Wilson,68304a36
PJ Cummins,ded9240e
Q de Kock,372455c4
R Clinton,367e254b
R Ravindra,ba5e1069
R Samuels,8a8bc9f6
R Shepherd,c5aef772
R Ugarkar,8a58f203
RD Rickelton,e66732f8
RR Rossouw,cad00a4d
RSA Palliyaguruge,4339c19d
Rashid Khan,5f547c8b
Reon King,20fbf68c
S Ladda,fb693839
S van Staden,e7199177
SC van Schalkwyk,97b0e4ff
SE Rutherford,d014d5ac
SH Johnson,83c3e8e3
SJA Taufel,4b43d5ac
SN Netravalkar,c8a3f688
SO Hetmyer,48a1d7b7
SP Krishnamurthi,3b8e7647
SP Narine,9d430b40
SPD Smith,30a45b23
SR Taylor,a9231c3f
Saif Badar,e5d452d7
Shadab Khan,9de62878
Shakib Al Hasan,7dc35884
Shayan Jahangir,571e1d2a
Shubham Ranjane,6c7a68d0
Sunny Patel,db481029
TA Boult,a818c1be
TH David,f1f99156
TM Head,12b610c2
Tajinder Singh,f9d99806
UBT Chand,0c94f480
Vijaya Mallela,85b6244a
WD Parnell,3a60e0b5
WR Knights,63cbf8d8
Waqar Salamkheil,3f1066d0
Zaman Khan,28392e11
Zia Shahzad,91f8e260
Zia-ul-Haq,99c81226
