team_1,team_2,key
Texas Super Kings,Los Angeles Knight Riders,mlc00001
San Francisco Unicorns,MI New York,mlc00002
Washington Freedom,Seattle Orcas,mlc00003
Seattle Orcas,San Francisco Unicorns,mlc00004
Washington Freedom,Texas Super Kings,mlc00005
MI New York,Los Angeles Knight Riders,mlc00006
Texas Super Kings,MI New York,mlc00007
San Francisco Unicorns,Los Angeles Knight Riders,mlc00008
Los Angeles Knight Riders,Washington Freedom,mlc00009
Texas Super Kings,Seattle Orcas,mlc00010
Washington Freedom,San Francisco Unicorns,mlc00011
Seattle Orcas,Los Angeles Knight Riders,mlc00012
Washington Freedom,MI New York,mlc00013
San Francisco Unicorns,Texas Super Kings,mlc00014
MI New York,Seattle Orcas,mlc00015
MI New York,Washington Freedom,mlc00016
Texas Super Kings,Seattle Orcas,mlc00017
Texas Super Kings,MI New York,mlc00018
Seattle Orcas,MI New York,mlc00019
Los Angeles Knight Riders,Texas Super Kings,mlc00020
Seattle Orcas,MI New York,mlc00021
MI New York,Washington Freedom,mlc00022
Los Angeles Knight Riders,San Francisco Unicorns,mlc00023
Texas Super Kings,Washington Freedom,mlc00024
Los Angeles Knight Riders,Seattle Orcas,mlc00025
San Francisco Unicorns,Texas Super Kings,mlc00026
Seattle Orcas,Washington Freedom,mlc00027
Los Angeles Knight Riders,Washington Freedom,mlc00028
Texas Super Kings,MI New York,mlc00029
San Francisco Unicorns,Seattle Orcas,mlc00030
Washington Freedom,MI New York,mlc00031
Seattle Orcas,Los Angeles Knight Riders,mlc00032
San Francisco Unicorns,MI New York,mlc00033
Washington Freedom,Texas Super Kings,mlc00034
Seattle Orcas,San Francisco Unicorns,mlc00035
Los Angeles Knight Riders,MI New York,mlc00036
Washington Freedom,San Francisco Unicorns,mlc00037
Texas Super Kings,Seattle Orcas,mlc00038
MI New York,Texas Super Kings,mlc00039
San Francisco Unicorns,Washington Freedom,mlc00040
San Francisco Unicorns,Texas Super Kings,mlc00041
Washington Freedom,San Francisco Unicorns,mlc00042
