decision,winner,key
field,Los Angeles Knight Riders,mlc00001
bat,San Francisco Unicorns,mlc00002
field,Seattle Orcas,mlc00003
bat,Seattle Orcas,mlc00004
bat,Washington Freedom,mlc00005
bat,MI New York,mlc00006
bat,Texas Super Kings,mlc00007
bat,San Francisco Unicorns,mlc00008
field,Washington Freedom,mlc00009
field,Seattle Orcas,mlc00010
field,San Francisco Unicorns,mlc00011
field,Los Angeles Knight Riders,mlc00012
field,MI New York,mlc00013
bat,San Francisco Unicorns,mlc00014
field,Seattle Orcas,mlc00015
field,Washington Freedom,mlc00016
bat,Texas Super Kings,mlc00017
field,MI New York,mlc00018
field,MI New York,mlc00019
field,Texas Super Kings,mlc00020
field,MI New York,mlc00021
field,Washington Freedom,mlc00022
field,San Francisco Unicorns,mlc00023
field,Washington Freedom,mlc00024
field,Seattle Orcas,mlc00025
field,Texas Super Kings,mlc00026
field,Washington Freedom,mlc00027
field,Washington Freedom,mlc00028
field,MI New York,mlc00029
field,Seattle Orcas,mlc00030
field,MI New York,mlc00031
bat,Seattle Orcas,mlc00032
bat,San Francisco Unicorns,mlc00033
field,Texas Super Kings,mlc00034
field,San Francisco Unicorns,mlc00035
field,MI New York,mlc00036
field,San Francisco Unicorns,mlc00037
field,Seattle Orcas,mlc00038
field,Texas Super Kings,mlc00039
field,Washington Freedom,mlc00040
field,Texas Super Kings,mlc00041
field,San Francisco Unicorns,mlc00042
