name,group,key,stage
NatWest T20 Blast,North,ntb00001,nan
NatWest T20 Blast,South,ntb00002,nan
NatWest T20 Blast,North,ntb00003,nan
NatWest T20 Blast,North,ntb00004,nan
NatWest T20 Blast,North,ntb00005,nan
NatWest T20 Blast,South,ntb00006,nan
NatWest T20 Blast,North,ntb00007,nan
NatWest T20 Blast,South,ntb00008,nan
NatWest T20 Blast,South,ntb00009,nan
NatWest T20 Blast,North,ntb00010,nan
NatWest T20 Blast,South,ntb00011,nan
NatWest T20 Blast,North,ntb00012,nan
NatWest T20 Blast,South,ntb00013,nan
NatWest T20 Blast,North,ntb00014,nan
NatWest T20 Blast,South,ntb00015,nan
NatWest T20 Blast,South,ntb00016,nan
NatWest T20 Blast,South,ntb00017,nan
NatWest T20 Blast,North,ntb00018,nan
NatWest T20 Blast,South,ntb00019,nan
NatWest T20 Blast,North,ntb00020,nan
NatWest T20 Blast,South,ntb00021,nan
NatWest T20 Blast,North,ntb00022,nan
NatWest T20 Blast,South,ntb00023,nan
NatWest T20 Blast,North,ntb00024,nan
NatWest T20 Blast,North,ntb00025,nan
NatWest T20 Blast,South,ntb00026,nan
NatWest T20 Blast,North,ntb00027,nan
NatWest T20 Blast,South,ntb00028,nan
NatWest T20 Blast,North,ntb00029,nan
NatWest T20 Blast,South,ntb00030,nan
NatWest T20 Blast,South,ntb00031,nan
NatWest T20 Blast,South,ntb00032,nan
NatWest T20 Blast,North,ntb00033,nan
NatWest T20 Blast,North,ntb00034,nan
NatWest T20 Blast,South,ntb00035,nan
NatWest T20 Blast,North,ntb00036,nan
NatWest T20 Blast,South,ntb00037,nan
NatWest T20 Blast,South,ntb00038,nan
NatWest T20 Blast,North,ntb00039,nan
NatWest T20 Blast,North,ntb00040,nan
NatWest T20 Blast,South,ntb00041,nan
NatWest T20 Blast,South,ntb00042,nan
NatWest T20 Blast,South,ntb00043,nan
NatWest T20 Blast,North,ntb00044,nan
NatWest T20 Blast,North,ntb00045,nan
NatWest T20 Blast,South,ntb00046,nan
NatWest T20 Blast,South,ntb00047,nan
NatWest T20 Blast,South,ntb00048,nan
NatWest T20 Blast,North,ntb00049,nan
NatWest T20 Blast,North,ntb00050,nan
NatWest T20 Blast,South,ntb00051,nan
NatWest T20 Blast,South,ntb00052,nan
NatWest T20 Blast,South,ntb00053,nan
NatWest T20 Blast,North,ntb00054,nan
NatWest T20 Blast,South,ntb00055,nan
NatWest T20 Blast,North,ntb00056,nan
NatWest T20 Blast,North,ntb00057,nan
NatWest T20 Blast,North,ntb00058,nan
NatWest T20 Blast,South,ntb00059,nan
NatWest T20 Blast,South,ntb00060,nan
NatWest T20 Blast,North,ntb00061,nan
NatWest T20 Blast,South,ntb00062,nan
NatWest T20 Blast,South,ntb00063,nan
NatWest T20 Blast,North,ntb00064,nan
NatWest T20 Blast,South,ntb00065,nan
NatWest T20 Blast,South,ntb00066,nan
NatWest T20 Blast,North,ntb00067,nan
NatWest T20 Blast,North,ntb00068,nan
NatWest T20 Blast,North,ntb00069,nan
NatWest T20 Blast,South,ntb00070,nan
NatWest T20 Blast,North,ntb00071,nan
NatWest T20 Blast,South,ntb00072,nan
NatWest T20 Blast,North,ntb00073,nan
NatWest T20 Blast,South,ntb00074,nan
NatWest T20 Blast,South,ntb00075,nan
NatWest T20 Blast,North,ntb00076,nan
NatWest T20 Blast,South,ntb00077,nan
NatWest T20 Blast,South,ntb00078,nan
NatWest T20 Blast,North,ntb00079,nan
NatWest T20 Blast,North,ntb00080,nan
NatWest T20 Blast,North,ntb00081,nan
NatWest T20 Blast,South,ntb00082,nan
NatWest T20 Blast,North,ntb00083,nan
NatWest T20 Blast,North,ntb00084,nan
NatWest T20 Blast,North,ntb00085,nan
NatWest T20 Blast,South,ntb00086,nan
NatWest T20 Blast,South,ntb00087,nan
NatWest T20 Blast,South,ntb00088,nan
NatWest T20 Blast,North,ntb00089,nan
NatWest T20 Blast,South,ntb00090,nan
NatWest T20 Blast,North,ntb00091,nan
NatWest T20 Blast,South,ntb00092,nan
NatWest T20 Blast,South,ntb00093,nan
NatWest T20 Blast,South,ntb00094,nan
NatWest T20 Blast,North,ntb00095,nan
NatWest T20 Blast,North,ntb00096,nan
NatWest T20 Blast,North,ntb00097,nan
NatWest T20 Blast,South,ntb00098,nan
NatWest T20 Blast,South,ntb00099,nan
NatWest T20 Blast,South,ntb00100,nan
NatWest T20 Blast,North,ntb00101,nan
NatWest T20 Blast,North,ntb00102,nan
NatWest T20 Blast,South,ntb00103,nan
NatWest T20 Blast,South,ntb00104,nan
NatWest T20 Blast,North,ntb00105,nan
NatWest T20 Blast,South,ntb00106,nan
NatWest T20 Blast,North,ntb00107,nan
NatWest T20 Blast,South,ntb00108,nan
NatWest T20 Blast,South,ntb00109,nan
NatWest T20 Blast,North,ntb00110,nan
NatWest T20 Blast,North,ntb00111,nan
NatWest T20 Blast,North,ntb00112,nan
NatWest T20 Blast,North,ntb00113,nan
NatWest T20 Blast,South,ntb00114,nan
NatWest T20 Blast,South,ntb00115,nan
NatWest T20 Blast,nan,ntb00116,Quarter Final
NatWest T20 Blast,nan,ntb00117,Quarter Final
NatWest T20 Blast,nan,ntb00118,Quarter Final
NatWest T20 Blast,nan,ntb00119,Quarter Final
NatWest T20 Blast,nan,ntb00120,Semi Final
NatWest T20 Blast,nan,ntb00121,Semi Final
NatWest T20 Blast,nan,ntb00122,Final
NatWest T20 Blast,North,ntb00123,nan
NatWest T20 Blast,South,ntb00124,nan
NatWest T20 Blast,North,ntb00125,nan
NatWest T20 Blast,North,ntb00126,nan
NatWest T20 Blast,South,ntb00127,nan
NatWest T20 Blast,South,ntb00128,nan
NatWest T20 Blast,North,ntb00129,nan
NatWest T20 Blast,South,ntb00130,nan
NatWest T20 Blast,South,ntb00131,nan
NatWest T20 Blast,South,ntb00132,nan
NatWest T20 Blast,North,ntb00133,nan
NatWest T20 Blast,North,ntb00134,nan
NatWest T20 Blast,North,ntb00135,nan
NatWest T20 Blast,South,ntb00136,nan
NatWest T20 Blast,North,ntb00137,nan
NatWest T20 Blast,South,ntb00138,nan
NatWest T20 Blast,South,ntb00139,nan
NatWest T20 Blast,North,ntb00140,nan
NatWest T20 Blast,South,ntb00141,nan
NatWest T20 Blast,North,ntb00142,nan
NatWest T20 Blast,South,ntb00143,nan
NatWest T20 Blast,South,ntb00144,nan
NatWest T20 Blast,North,ntb00145,nan
NatWest T20 Blast,South,ntb00146,nan
NatWest T20 Blast,North,ntb00147,nan
NatWest T20 Blast,North,ntb00148,nan
NatWest T20 Blast,South,ntb00149,nan
NatWest T20 Blast,North,ntb00150,nan
NatWest T20 Blast,South,ntb00151,nan
NatWest T20 Blast,South,ntb00152,nan
NatWest T20 Blast,North,ntb00153,nan
NatWest T20 Blast,South,ntb00154,nan
NatWest T20 Blast,South,ntb00155,nan
NatWest T20 Blast,North,ntb00156,nan
NatWest T20 Blast,South,ntb00157,nan
NatWest T20 Blast,South,ntb00158,nan
NatWest T20 Blast,North,ntb00159,nan
NatWest T20 Blast,North,ntb00160,nan
NatWest T20 Blast,North,ntb00161,nan
NatWest T20 Blast,North,ntb00162,nan
NatWest T20 Blast,South,ntb00163,nan
NatWest T20 Blast,North,ntb00164,nan
NatWest T20 Blast,South,ntb00165,nan
NatWest T20 Blast,South,ntb00166,nan
NatWest T20 Blast,North,ntb00167,nan
NatWest T20 Blast,North,ntb00168,nan
NatWest T20 Blast,North,ntb00169,nan
NatWest T20 Blast,North,ntb00170,nan
NatWest T20 Blast,South,ntb00171,nan
NatWest T20 Blast,South,ntb00172,nan
NatWest T20 Blast,South,ntb00173,nan
NatWest T20 Blast,South,ntb00174,nan
NatWest T20 Blast,North,ntb00175,nan
NatWest T20 Blast,North,ntb00176,nan
NatWest T20 Blast,South,ntb00177,nan
NatWest T20 Blast,North,ntb00178,nan
NatWest T20 Blast,South,ntb00179,nan
NatWest T20 Blast,North,ntb00180,nan
NatWest T20 Blast,South,ntb00181,nan
NatWest T20 Blast,North,ntb00182,nan
NatWest T20 Blast,North,ntb00183,nan
NatWest T20 Blast,South,ntb00184,nan
NatWest T20 Blast,South,ntb00185,nan
NatWest T20 Blast,North,ntb00186,nan
NatWest T20 Blast,South,ntb00187,nan
NatWest T20 Blast,North,ntb00188,nan
NatWest T20 Blast,South,ntb00189,nan
NatWest T20 Blast,North,ntb00190,nan
NatWest T20 Blast,North,ntb00191,nan
NatWest T20 Blast,South,ntb00192,nan
NatWest T20 Blast,North,ntb00193,nan
NatWest T20 Blast,North,ntb00194,nan
NatWest T20 Blast,South,ntb00195,nan
NatWest T20 Blast,South,ntb00196,nan
NatWest T20 Blast,North,ntb00197,nan
NatWest T20 Blast,South,ntb00198,nan
NatWest T20 Blast,North,ntb00199,nan
NatWest T20 Blast,South,ntb00200,nan
NatWest T20 Blast,South,ntb00201,nan
