balls_per_over,city,date,gender,match_type,overs,player_of_match,season,team_type,venue,key,missing
6,Nottingham,2014-05-16,male,T20,20,SR Patel,2014,club,Trent Bridge,ntb00001,
6,Southampton,2014-05-16,male,T20,20,J Allenby,2014,club,The Rose Bowl,ntb00002,
6,Leeds,2014-05-16,male,T20,20,IG Butler,2014,club,Headingley,ntb00003,
6,Leicester,2014-05-16,male,T20,20,MJ North,2014,club,Grace Road,ntb00004,
6,Chester-le-Street,2014-05-16,male,T20,20,PD Collingwood,2014,club,Riverside Ground,ntb00005,
6,London,2014-05-17,male,T20,20,SA Piolet,2014,club,Lord's,ntb00006,
6,Manchester,2014-05-17,male,T20,20,PJ Horton,2014,club,Old Trafford,ntb00007,
6,London,2014-05-17,male,T20,20,ML Pettini,2014,club,Lord's,ntb00008,
6,Taunton,2014-05-18,male,T20,20,JJ Roy,2014,club,The Cooper Associates County Ground,ntb00009,
6,Nottingham,2014-05-23,male,T20,20,AN Kervezee,2014,club,Trent Bridge,ntb00010,
6,Taunton,2014-05-23,male,T20,20,DJ Bell-Drummond,2014,club,The Cooper Associates County Ground,ntb00011,
6,Northampton,2014-05-23,male,T20,20,DJ Willey,2014,club,County Ground,ntb00012,
6,Hove,2014-05-23,male,T20,20,JM Vince,2014,club,County Ground,ntb00013,
6,Derby,2014-05-23,male,T20,20,SJ Croft,2014,club,County Ground,ntb00014,
6,Chelmsford,2014-05-23,male,T20,20,T Westley,2014,club,County Ground,ntb00015,
6,Bristol,2014-05-23,male,T20,20,JK Fuller,2014,club,County Ground,ntb00016,
6,Northwood,2014-05-25,male,T20,20,JM Vince,2014,club,Merchant Taylors' School Ground,ntb00017,
6,Chester-le-Street,2014-05-29,male,T20,20,KR Brown,2014,club,Riverside Ground,ntb00018,
6,Southampton,2014-05-30,male,T20,20,JM Vince,2014,club,The Rose Bowl,ntb00019,
6,Manchester,2014-05-30,male,T20,20,Junaid Khan,2014,club,Old Trafford,ntb00020,
6,London,2014-05-30,male,T20,20,TK Curran,2014,club,Kennington Oval,ntb00021,
6,Leeds,2014-05-30,male,T20,20,AZ Lees,2014,club,Headingley,ntb00022,
6,Cardiff,2014-05-30,male,T20,20,CB Cooke,2014,club,Sophia Gardens,ntb00023,
6,Nottingham,2014-05-30,male,T20,20,SJ Mullaney,2014,club,Trent Bridge,ntb00024,
6,Worcester,2014-05-30,male,T20,20,RK Oliver,2014,club,"County Ground, New Road",ntb00025,
6,Canterbury,2014-05-30,male,T20,20,AEN Riley,2014,club,St Lawrence Ground,ntb00026,
6,Leicester,2014-06-01,male,T20,20,WTS Porterfield,2014,club,Grace Road,ntb00027,
6,Southampton,2014-06-05,male,T20,20,MA Carberry,2014,club,The Rose Bowl,ntb00028,
6,Manchester,2014-06-06,male,T20,20,AJ Finch,2014,club,Old Trafford,ntb00029,
6,Taunton,2014-06-06,male,T20,20,J Allenby,2014,club,The Cooper Associates County Ground,ntb00030,
6,London,2014-06-06,male,T20,20,T Westley,2014,club,Kennington Oval,ntb00031,
